,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3293045,212,3.093731481481482,left,fixation,1.0,,920.809,271.08870370370397,,,,,0.0,,
1,3293045,212,3.093731481481482,right,fixation,,1.0,929.226944444445,263.033203703704,,,,,0.0,,
2,3293261,32,,left,saccade,1.0,,,,919.9119999999999,275.21,671.01,246.955,,,
3,3293261,32,,right,saccade,,1.0,,,923.671,265.502,666.596,249.253,,,
4,3293297,124,3.127870967741936,left,fixation,2.0,,648.8424375,224.822875,,,,,2.0,4.944871120927624,11.552507115450853
5,3293297,128,3.1281875,right,fixation,,2.0,656.300363636364,228.75066666666697,,,,,0.0,,
6,3293425,24,,left,saccade,2.0,,,,642.861,203.49,518.3240000000002,180.551,,,
7,3293429,24,,right,saccade,,2.0,,,644.693,227.35,534.836,209.52900000000002,,,
8,3293453,164,3.1475975609756097,left,fixation,3.0,,493.021428571429,171.483,,,,,0.0,,
9,3293457,156,3.147666666666667,right,fixation,,3.0,519.6256,187.12455,,,,,0.0,,
10,3293617,43,,right,saccade,,3.0,,,514.128,176.519,941.323,95.988,,,
11,3293621,39,,left,saccade,3.0,,,,492.12300000000016,164.88299999999995,926.395,91.339,,,
12,3293664,280,3.145564285714286,right,fixation,,4.0,973.428169014084,64.7959154929577,,,,,2.0,7.996343915133987,38.381838790867576
13,3293664,284,3.145528169014085,left,fixation,4.0,,968.5208472222232,60.29625,,,,,1.0,7.796055174110659,38.731549013691726
14,3293948,44,,right,saccade,,4.0,,,995.579,60.148999999999994,1441.5279999999998,66.221,,,
15,3293952,40,,left,saccade,4.0,,,,994.312,48.948,1422.638,69.961,,,
16,3293996,332,3.181560240963855,left,fixation,5.0,,1434.57697619048,66.6698214285714,,,,,1.0,4.293984849634254,15.574715920362475
17,3293996,336,3.181970238095237,right,fixation,,5.0,1450.1227529411801,56.78802352941171,,,,,1.0,3.4892807480752874,15.927983048710034
18,3294332,56,,left,saccade,5.0,,,,1413.8570000000002,74.524,600.93,146.116,,,
19,3294336,56,,right,saccade,,5.0,,,1432.3629999999994,48.105,613.062,141.632,,,
20,3294392,248,3.212564516129032,left,fixation,6.0,,587.301555555556,150.364158730159,,,,,0.0,,
21,3294396,244,3.212614754098361,right,fixation,,6.0,594.1638225806449,159.230080645161,,,,,0.0,,
22,3294644,24,,left,saccade,6.0,,,,582.681,148.803,469.909,157.336,,,
23,3294644,24,,right,saccade,,6.0,,,590.2230000000002,152.197,466.751,153.966,,,
24,3294672,232,3.2148793103448265,left,fixation,7.0,,449.586237288136,160.836372881356,,,,,1.0,4.645524758063162,10.851680468941233
25,3294672,232,3.2148793103448265,right,fixation,,7.0,463.461,175.83364406779702,,,,,0.0,,
26,3294908,24,,right,saccade,,7.0,,,461.403,186.283,663.8969999999998,189.762,,,
27,3294908,28,,left,saccade,7.0,,,,446.769,174.827,659.8969999999998,172.412,,,
28,3294936,324,3.1652160493827166,right,fixation,,8.0,690.1540609756099,191.653378048781,,,,,0.0,,
29,3294940,320,3.16489375,left,fixation,8.0,,684.7781604938269,175.728296296296,,,,,0.0,,
30,3295264,20,,left,saccade,8.0,,,,683.335,176.449,757.265,178.50400000000005,,,
31,3295264,20,,right,saccade,,8.0,,,676.3860000000002,176.94400000000005,756.1260000000003,183.73,,,
32,3295288,276,3.1788840579710147,left,fixation,9.0,,771.3058714285719,181.970914285714,,,,,0.0,,
33,3295288,276,3.1788840579710147,right,fixation,,9.0,771.022628571429,194.768357142857,,,,,1.0,3.7054716486419017,12.949848184438373
34,3295568,16,,left,saccade,9.0,,,,765.727,175.019,862.3639999999997,175.518,,,
35,3295568,16,,right,saccade,,9.0,,,766.62,183.484,834.921,182.55599999999998,,,
36,3295588,84,3.2046666666666668,left,fixation,10.0,,857.873090909091,184.39177272727298,,,,,0.0,,
37,3295588,356,3.1993651685393263,right,fixation,,10.0,850.4270333333342,185.405711111111,,,,,2.0,3.4770890560571837,4.6663620553504295
38,3295676,12,,left,saccade,10.0,,,,840.1260000000003,206.40400000000002,839.54,239.83700000000002,,,
39,3295692,252,3.1970396825396827,left,fixation,11.0,,853.03853125,216.21675,,,,,1.0,9.178978156635953,51.59213355735545
40,3295948,20,,left,saccade,11.0,,,,848.959,190.822,761.784,194.18099999999998,,,
41,3295948,20,,right,saccade,,10.0,,,851.846,204.042,758.7460000000003,203.729,,,
42,3295972,132,3.18730303030303,left,fixation,12.0,,752.4818823529407,208.15400000000002,,,,,0.0,,
43,3295972,136,3.187367647058823,right,fixation,,11.0,753.509771428572,191.375742857143,,,,,0.0,,
44,3296108,16,,left,saccade,12.0,,,,751.1310000000003,196.785,673.2760000000002,196.368,,,
45,3296112,16,,right,saccade,,11.0,,,749.137,197.922,687.95,195.305,,,
46,3296128,348,3.1910754428710177,left,fixation,13.0,,653.1843295454551,172.72292045454498,,,,,1.0,8.06335813693306,44.744284830579204
47,3296132,432,3.1910951359069046,right,fixation,,12.0,672.775146788991,192.158247706422,,,,,6.0,5.441932446720362,16.775737042114528
48,3296480,16,,left,saccade,13.0,,,,630.054,152.083,697.794,152.319,,,
