,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20778016,52,2.8909615384615384,left,fixation,1.0,,1556.81057142857,949.9467857142861,,,,,0.0,,
1,20778016,56,2.890464285714286,right,fixation,,1.0,1509.65286666667,935.5376,,,,,0.0,,
2,20778072,60,,left,saccade,1.0,,,,1549.605,951.707,901.078,677.1669999999998,,,
3,20778076,52,,right,saccade,,1.0,,,1507.4520000000002,932.32,915.807,665.4860000000001,,,
4,20778132,156,2.8503187500000005,right,fixation,,2.0,894.852775,662.94635,,,,,1.0,5.9353671654657525,20.040956089967466
5,20778136,148,2.8500460526315803,left,fixation,2.0,,888.864421052632,657.119394736842,,,,,1.0,7.016464163744493,18.112220874315664
6,20778288,68,,left,saccade,2.0,,,,882.877,669.148,504.939,189.21200000000002,,,
7,20778292,56,,right,saccade,,2.0,,,881.153,648.605,533.196,227.032,,,
8,20778352,120,2.88655,right,fixation,,3.0,511.164870967742,209.547967741935,,,,,1.0,4.147197303266663,8.152495568842703
9,20778360,112,2.886232142857143,left,fixation,3.0,,481.562896551724,170.325586206897,,,,,0.0,,
10,20778476,16,,right,saccade,,3.0,,,506.285,193.72099999999998,445.421,172.769,,,
11,20778476,20,,left,saccade,3.0,,,,476.856,167.16299999999995,427.57800000000003,131.013,,,
12,20778496,428,2.8608924731182794,right,fixation,,4.0,418.81193518518603,151.924916666667,,,,,5.0,10.109866741501063,17.16505544395384
13,20778500,424,2.8607010869565217,left,fixation,4.0,,388.93231775701,122.967429906542,,,,,2.0,15.41570861188463,25.565834043265376
14,20778928,52,,left,saccade,4.0,,,,380.536,134.26,1595.3139999999999,937.8489999999999,,,
15,20778928,52,,right,saccade,,4.0,,,407.811,152.612,1575.6879999999999,923.7360000000001,,,
16,20779056,336,2.807895104895105,left,fixation,5.0,,1579.39845882353,956.3886470588228,,,,,1.0,11.896333555157057,50.529450313653705
17,20779064,328,2.8096453900709224,right,fixation,,5.0,1549.9354578313198,958.689722891566,,,,,2.0,7.307965932034932,31.331891139793907
18,20779396,76,,right,saccade,,5.0,,,1524.223,944.993,475.273,276.567,,,
19,20779396,88,,left,saccade,5.0,,,,1545.806,940.3760000000001,437.856,222.017,,,
20,20779476,164,2.8911585365853663,right,fixation,,6.0,454.6363333333329,237.65647619047598,,,,,2.0,3.3086426844935355,7.133321824013455
21,20779488,336,2.8928214285714287,left,fixation,6.0,,453.896670588236,225.6486,,,,,0.0,,
22,20779644,16,,right,saccade,,6.0,,,441.219,215.625,491.255,260.79400000000004,,,
23,20779664,164,2.8910731707317074,right,fixation,,7.0,498.58969047619,267.069976190476,,,,,1.0,2.779812983317805,6.444366920031746
24,20779828,28,,left,saccade,6.0,,,,480.785,245.813,372.841,130.274,,,
25,20779832,20,,right,saccade,,7.0,,,496.926,260.726,408.57,137.44799999999998,,,
26,20779856,692,2.9403728323699423,right,fixation,,8.0,404.90244827586196,134.032143678161,,,,,0.0,,
27,20779860,688,2.9405552325581388,left,fixation,7.0,,382.4705606936409,126.95274566474,,,,,1.0,4.199955819873448,10.788549670831552
28,20780552,24,,left,saccade,7.0,,,,374.161,126.956,440.82300000000004,209.06,,,
29,20780552,28,,right,saccade,,8.0,,,395.724,131.188,466.43,234.632,,,
30,20780580,220,2.9658636363636366,left,fixation,8.0,,452.901928571428,220.70048214285703,,,,,0.0,,
31,20780584,216,2.965685185185185,right,fixation,,9.0,480.968018181818,240.790854545455,,,,,0.0,,
32,20780804,20,,left,saccade,8.0,,,,459.545,217.326,399.37,151.201,,,
33,20780804,24,,right,saccade,,9.0,,,468.273,233.769,413.968,147.32,,,
34,20780828,3731,3.0274651287553644,left,fixation,9.0,,387.00418950749497,144.944451820129,,,,,8.0,4.304988257465927,13.467434862988956
35,20780832,3727,3.0275150375939845,right,fixation,,10.0,406.69876420150086,150.088738478028,,,,,7.0,3.270103348779265,13.56706354505884
36,20784563,20,,right,saccade,,10.0,,,419.00699999999995,167.358,469.545,215.046,,,
37,20784563,24,,left,saccade,9.0,,,,401.755,163.334,465.217,220.766,,,
38,20784587,2508,2.9628859649122807,right,fixation,,11.0,493.590189490446,278.141488853503,,,,,3.0,3.729876229742009,12.481920108033009
39,20784591,2508,2.9627408293460924,left,fixation,10.0,,480.437256369425,270.04177547770803,,,,,7.0,3.881745586692527,10.410817382209173
40,20787099,28,,right,saccade,,11.0,,,501.415,301.536,723.095,296.2870000000001,,,
41,20787103,24,,left,saccade,10.0,,,,492.155,287.70099999999996,689.0830000000003,276.04400000000004,,,
42,20787131,2964,2.8868396226415087,left,fixation,11.0,,720.80380458221,278.053702156334,,,,,2.0,3.821507606157319,7.018793269911425
43,20787131,2964,2.8868396226415087,right,fixation,,12.0,733.3665808625328,281.609553908355,,,,,9.0,3.5576678114183173,12.321446221477586
44,20790099,28,,right,saccade,,12.0,,,741.171,242.097,963.275,260.507,,,
45,20790099,36,,left,saccade,11.0,,,,725.201,230.165,951.17,268.95799999999997,,,
46,20790131,476,2.8578945712037767,right,fixation,,13.0,972.817591666666,293.564575,,,,,0.0,,
47,20790139,472,2.8577054409005624,left,fixation,12.0,,962.4463613445372,298.332882352941,,,,,0.0,,
48,20790611,40,,right,saccade,,13.0,,,968.265,300.676,956.613,305.105,,,
49,20790615,44,,left,saccade,12.0,,,,956.076,312.507,955.1089999999999,316.5420000000001,,,
50,20790727,1971,2.7829379014989293,left,fixation,13.0,,948.9010161943312,305.266410931174,,,,,0.0,,
51,20790735,1967,2.7830822649572653,right,fixation,,14.0,956.2555760649092,303.993356997972,,,,,6.0,5.360151820530908,23.225476774025875
52,20792702,56,,left,saccade,13.0,,,,938.095,287.757,337.957,221.52900000000002,,,
53,20792706,48,,right,saccade,,14.0,,,941.2280000000001,296.894,394.35400000000004,235.412,,,
54,20792758,1293,2.8238032144944483,right,fixation,,15.0,413.75477160493796,169.487280864198,,,,,6.0,5.6665427747079145,24.57649891678359
55,20792762,1285,2.8236885995777623,left,fixation,14.0,,375.413888198758,144.417254658385,,,,,2.0,8.515375990291963,32.027138843412125
56,20794051,40,,left,saccade,14.0,,,,374.436,127.876,397.829,137.436,,,
57,20794055,40,,right,saccade,,15.0,,,418.939,156.254,424.949,143.457,,,
58,20794187,891,2.7640604096448014,left,fixation,15.0,,388.3246428571431,144.819763392857,,,,,0.0,,
59,20794191,887,2.7640604096448014,right,fixation,,16.0,416.079165919283,141.02556053811702,,,,,2.0,4.567517458644028,25.81630135252197
60,20795082,56,,left,saccade,15.0,,,,385.49800000000016,140.00799999999998,905.3889999999999,255.37900000000002,,,
61,20795082,56,,right,saccade,,16.0,,,409.575,130.753,937.4960000000001,249.84400000000002,,,
62,20795142,2396,2.7868975,left,fixation,16.0,,941.796408333334,291.326806666666,,,,,1.0,4.120757211969701,9.772216125321863
63,20795142,2396,2.7868975,right,fixation,,17.0,957.3499316666679,296.953418333333,,,,,2.0,3.6256066056777234,12.907523924178234
64,20797542,24,,left,saccade,16.0,,,,953.352,292.305,725.299,297.942,,,
65,20797542,28,,right,saccade,,17.0,,,948.548,308.21,739.467,288.1020000000001,,,
66,20797570,3528,2.881634353741497,left,fixation,17.0,,727.256380520952,295.563828992072,,,,,5.0,6.4938315339334025,18.908194774525946
67,20797574,3528,2.8816298185941043,right,fixation,,18.0,723.429450736125,291.574001132503,,,,,8.0,3.9003597314577036,10.759770020697458
68,20801102,44,,left,saccade,17.0,,,,707.9730000000003,300.686,397.028,181.699,,,
69,20801106,44,,right,saccade,,18.0,,,728.388,291.434,428.63599999999997,175.77200000000005,,,
70,20801150,1072,2.8604972409277964,left,fixation,18.0,,392.46251301115194,143.403843866171,,,,,1.0,4.958474869128379,9.591766521345237
71,20801154,1068,2.8603567336589037,right,fixation,,19.0,414.656037313433,156.44994029850798,,,,,3.0,3.9201314996436114,18.603470065894662
72,20802226,76,,left,saccade,18.0,,,,377.49300000000005,126.772,628.8,252.987,,,
