,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2624210,4,3.122,left,fixation,1.0,,1290.883,951.2589999999999,,,,,0.0,,
1,2624210,4,3.122,right,fixation,,1.0,1350.651,947.6469999999999,,,,,0.0,,
2,2624218,56,,left,saccade,1.0,,,,1290.883,951.2589999999999,666.837,352.131,,,
3,2624218,60,,right,saccade,,1.0,,,1350.651,947.6469999999999,668.227,370.98400000000004,,,
4,2624278,240,3.0652049180327867,left,fixation,2.0,,670.308770491803,362.7594918032791,,,,,0.0,,
5,2624282,240,3.0646557377049177,right,fixation,,2.0,656.0353770491797,368.038885245902,,,,,0.0,,
6,2624522,32,,left,saccade,2.0,,,,672.049,379.67,523.831,322.466,,,
7,2624526,24,,right,saccade,,2.0,,,652.972,360.35400000000004,508.144,326.2340000000001,,,
8,2624554,328,3.0476402439024395,right,fixation,,3.0,487.065481927711,294.565819277108,,,,,0.0,,
9,2624558,320,3.04769375,left,fixation,3.0,,514.141308641975,289.46555555555597,,,,,0.0,,
10,2624882,24,,left,saccade,3.0,,,,502.161,272.601,461.952,203.96900000000002,,,
11,2624886,20,,right,saccade,,3.0,,,451.11,295.313,445.972,233.812,,,
12,2624910,724,3.0655741758241764,right,fixation,,4.0,418.904016483516,203.590703296703,,,,,0.0,,
13,2624910,728,3.0658032786885245,left,fixation,4.0,,449.037792349727,191.065524590164,,,,,0.0,,
14,2625638,28,,right,saccade,,4.0,,,419.083,203.178,583.972,278.514,,,
15,2625642,24,,left,saccade,4.0,,,,455.595,201.013,584.3480000000002,271.388,,,
16,2625670,140,3.121157142857143,right,fixation,,5.0,593.078083333333,292.242222222222,,,,,0.0,,
17,2625670,144,3.1214166666666667,left,fixation,5.0,,620.967216216216,293.81827027027,,,,,0.0,,
18,2625814,28,,right,saccade,,5.0,,,587.734,296.439,761.7260000000001,296.439,,,
19,2625818,24,,left,saccade,5.0,,,,628.683,294.07599999999996,782.7860000000003,292.247,,,
20,2625846,968,3.199690871369294,left,fixation,6.0,,756.0588683127562,303.886390946502,,,,,2.0,4.595426793427771,12.403598781692107
21,2625846,968,3.199690871369294,right,fixation,,6.0,736.691234567901,308.643176954733,,,,,3.0,5.04150761425412,17.268481361222698
22,2626818,32,,right,saccade,,6.0,,,732.4630000000003,310.028,402.699,449.45300000000003,,,
23,2626818,36,,left,saccade,6.0,,,,748.96,313.009,439.265,435.517,,,
24,2626854,1128,3.250381625441696,right,fixation,,7.0,387.13232862190887,495.39064664310996,,,,,2.0,11.889000182168125,45.24341329408614
25,2626858,1424,3.2491232492997195,left,fixation,7.0,,432.69329131652603,463.205425770308,,,,,3.0,9.64357409104354,41.98002808196414
26,2627986,0,,right,saccade,,7.0,,,369.717,479.602,369.717,479.602,,,
27,2627990,288,3.2433402777777776,right,fixation,,8.0,396.469863013699,468.05478082191803,,,,,1.0,11.343705609034672,32.99552413585823
28,2628282,36,,right,saccade,,8.0,,,429.67900000000003,472.885,694.408,605.9119999999998,,,
29,2628286,28,,left,saccade,7.0,,,,487.194,457.885,702.187,601.063,,,
30,2628318,176,3.266306818181819,left,fixation,8.0,,734.521488888889,616.4017555555561,,,,,0.0,,
31,2628322,172,3.266534883720932,right,fixation,,9.0,701.1423181818179,637.935977272727,,,,,0.0,,
32,2628498,32,,left,saccade,8.0,,,,747.245,618.006,1008.572,617.047,,,
33,2628498,32,,right,saccade,,9.0,,,704.35,641.1519999999998,975.155,642.039,,,
34,2628534,516,3.3196821705426367,left,fixation,9.0,,1010.8171,623.717823076923,,,,,0.0,,
35,2628534,516,3.3196821705426367,right,fixation,,10.0,973.295592307692,633.531515384616,,,,,0.0,,
36,2629054,44,,left,saccade,9.0,,,,1007.5260000000001,633.964,397.93199999999996,704.6210000000003,,,
37,2629054,44,,right,saccade,,10.0,,,969.6080000000001,629.689,359.515,729.698,,,
38,2629102,216,3.240018518518517,left,fixation,10.0,,411.25212727272697,710.8887818181821,,,,,0.0,,
39,2629102,216,3.240018518518517,right,fixation,,11.0,366.8236545454551,731.044527272727,,,,,0.0,,
40,2629322,44,,right,saccade,,11.0,,,363.42400000000004,742.1030000000003,981.4739999999999,627.505,,,
41,2629322,48,,left,saccade,10.0,,,,414.545,718.0210000000003,995.79,620.362,,,
42,2629370,176,3.2227954545454547,right,fixation,,12.0,971.046044444444,617.9071555555561,,,,,0.0,,
