,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,7666496,144,3.2957302631578957,left,fixation,1.0,,1509.68586486487,812.720027027027,,,,,1.0,3.1875594852836784,10.563178735588938
1,7666496,144,3.2957302631578957,right,fixation,,1.0,1522.3419729729699,800.254027027027,,,,,3.0,3.535769249087125,9.297164991921237
2,7666644,48,,left,saccade,1.0,,,,1511.9189999999999,810.316,688.805,432.774,,,
3,7666644,52,,right,saccade,,1.0,,,1503.2120000000002,795.722,702.112,410.23900000000003,,,
4,7666696,124,3.313,left,fixation,2.0,,684.4609375,409.389625,,,,,1.0,3.4736411411914427,7.07043944886034
5,7666700,120,3.312983333333334,right,fixation,,2.0,683.235709677419,391.31303225806505,,,,,1.0,4.912667913443545,21.948354881402803
6,7666824,24,,left,saccade,2.0,,,,677.76,393.13199999999995,479.773,338.11,,,
7,7666824,24,,right,saccade,,2.0,,,677.648,381.421,475.15,321.6040000000001,,,
8,7666852,84,3.2625249999999992,right,fixation,,3.0,478.819545454545,302.107636363636,,,,,0.0,,
9,7666852,88,3.2616904761904757,left,fixation,3.0,,478.270043478261,320.44504347826097,,,,,0.0,,
10,7666940,16,,right,saccade,,3.0,,,485.13,293.125,488.37199999999996,226.66299999999998,,,
11,7666944,12,,left,saccade,3.0,,,,481.056,310.202,480.881,262.57,,,
12,7666960,208,3.2211509433962253,left,fixation,4.0,,485.64816981132003,239.191735849057,,,,,3.0,5.344100107362002,17.586457909010292
13,7666960,212,3.2208703703703683,right,fixation,,4.0,480.644518518518,218.313092592593,,,,,1.0,9.603712291493217,22.09231723925761
14,7667172,0,,left,saccade,4.0,,,,479.466,196.851,479.466,196.851,,,
15,7667176,0,,right,saccade,,4.0,,,480.278,180.727,480.278,180.727,,,
16,7667176,144,3.198180555555555,left,fixation,5.0,,494.087351351351,174.636,,,,,0.0,,
17,7667180,316,3.1853333333333333,right,fixation,,5.0,495.0498,202.04315,,,,,4.0,5.548399463041111,17.795881535906105
18,7667324,16,,left,saccade,5.0,,,,501.67,183.69,502.306,256.704,,,
19,7667344,144,3.1741857142857146,left,fixation,6.0,,494.174216216216,256.372837837838,,,,,1.0,3.3932642142600216,16.051317952118392
20,7667492,16,,left,saccade,6.0,,,,499.957,255.19099999999997,505.65,183.6,,,
21,7667500,8,,right,saccade,,5.0,,,502.77,217.77700000000002,506.663,194.345,,,
22,7667512,392,3.2093214285714287,left,fixation,7.0,,503.035545454545,158.436858585859,,,,,2.0,3.692295742140183,20.218822063850556
23,7667512,400,3.2095148514851486,right,fixation,,6.0,508.94485148514804,164.096198019802,,,,,1.0,3.8021266709858788,14.885081121713784
24,7667908,16,,left,saccade,7.0,,,,519.2,166.94799999999995,503.51300000000003,251.054,,,
25,7667916,8,,right,saccade,,6.0,,,489.965,176.364,485.19300000000004,209.21900000000002,,,
26,7667928,140,3.2125142857142848,left,fixation,8.0,,493.55463888888886,262.634916666667,,,,,0.0,,
27,7667928,144,3.212333333333333,right,fixation,,7.0,471.498432432432,224.83018918918896,,,,,0.0,,
28,7668072,16,,left,saccade,8.0,,,,495.735,263.502,474.54400000000004,164.80599999999995,,,
29,7668076,16,,right,saccade,,7.0,,,466.3,214.322,462.754,162.938,,,
30,7668092,1528,3.304425392670157,left,fixation,9.0,,463.825960835509,144.69972845953,,,,,5.0,5.7102175101149095,24.51736331687217
31,7668096,1976,3.326113360323887,right,fixation,,8.0,462.194248484849,143.249258585859,,,,,11.0,5.853023452148599,20.009020595066982
32,7669624,12,,left,saccade,9.0,,,,476.426,157.317,435.074,159.48,,,
33,7669640,420,3.399528571428572,left,fixation,10.0,,420.77324528301904,143.422575471698,,,,,0.0,,
34,7670064,16,,left,saccade,10.0,,,,420.905,131.753,442.00699999999995,205.423,,,
35,7670076,4,,right,saccade,,8.0,,,449.65,160.804,453.68300000000005,165.99,,,
36,7670084,320,3.3969,left,fixation,11.0,,470.507691358024,234.523703703704,,,,,1.0,7.597834797566409,28.06931509673861
37,7670084,324,3.396962962962963,right,fixation,,9.0,483.594353658537,215.70445121951198,,,,,2.0,5.263654131324339,17.784285331268972
38,7670408,16,,left,saccade,11.0,,,,479.56800000000004,249.167,479.911,171.563,,,
