,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,747684,164,3.5559404761904765,left,fixation,1.0,,756.131023809524,279.283904761905,,,,,0.0,,
1,747684,164,3.5559404761904765,right,fixation,,1.0,750.421333333333,313.39919047619,,,,,0.0,,
2,747852,32,,left,saccade,1.0,,,,758.9680000000003,295.553,478.592,229.54,,,
3,747852,32,,right,saccade,,1.0,,,756.555,315.855,478.733,229.803,,,
4,747888,264,3.655284615384616,left,fixation,2.0,,460.495328358209,175.321179104478,,,,,2.0,5.682405784239088,11.420144746114174
5,747888,264,3.655284615384616,right,fixation,,2.0,452.648089552239,202.124208955224,,,,,0.0,,
6,748156,24,,right,saccade,,2.0,,,443.76199999999994,191.33900000000003,634.058,191.542,,,
7,748156,28,,left,saccade,2.0,,,,463.94800000000004,154.321,642.399,162.625,,,
8,748184,320,3.6761062499999992,right,fixation,,3.0,646.515283950617,204.722938271605,,,,,1.0,4.39193899218911,9.558771730719297
9,748188,316,3.676101265822784,left,fixation,3.0,,659.0464375,180.0648875,,,,,1.0,3.7139748435993782,8.16835999451547
10,748508,20,,left,saccade,3.0,,,,654.61,197.74900000000002,488.43199999999996,199.317,,,
11,748508,20,,right,saccade,,3.0,,,646.573,208.555,486.36,212.858,,,
12,748532,208,3.784173076923077,left,fixation,4.0,,488.05513207547205,186.227981132075,,,,,0.0,,
13,748532,208,3.784173076923077,right,fixation,,4.0,476.052943396227,205.595622641509,,,,,0.0,,
14,748744,24,,left,saccade,4.0,,,,489.316,183.451,695.169,184.60299999999998,,,
15,748744,24,,right,saccade,,4.0,,,478.472,212.86,663.699,204.889,,,
16,748772,240,3.8458833333333335,left,fixation,5.0,,699.6388852459012,194.561475409836,,,,,0.0,,
17,748772,240,3.8458833333333335,right,fixation,,5.0,699.9913770491811,205.035672131148,,,,,1.0,9.117939498288237,25.90002658299807
18,749016,20,,left,saccade,5.0,,,,703.294,201.355,819.1,199.27,,,
19,749016,20,,right,saccade,,5.0,,,708.298,189.90599999999998,828.534,188.051,,,
20,749040,200,3.890617647058823,left,fixation,6.0,,826.6736862745099,188.910901960784,,,,,0.0,,
21,749040,200,3.890617647058823,right,fixation,,6.0,832.889882352941,201.36674509803902,,,,,0.0,,
22,749244,20,,left,saccade,6.0,,,,823.372,202.253,648.752,204.47799999999998,,,
23,749244,24,,right,saccade,,6.0,,,835.071,204.627,659.4830000000002,210.025,,,
24,749268,376,3.932239361702128,left,fixation,7.0,,652.6978,211.798578947369,,,,,0.0,,
25,749272,372,3.932338709677419,right,fixation,,7.0,658.963212765957,236.199478723404,,,,,0.0,,
26,749648,16,,right,saccade,,7.0,,,663.334,243.19299999999998,733.694,242.09,,,
27,749648,20,,left,saccade,7.0,,,,654.466,219.19099999999997,743.678,199.317,,,
28,749668,356,3.9205738636363634,right,fixation,,8.0,745.133333333333,220.29872222222198,,,,,0.0,,
29,749672,356,3.9202386363636363,left,fixation,8.0,,746.789111111111,207.51422222222197,,,,,1.0,3.4633141200943065,9.490443245707716
30,750028,20,,right,saccade,,8.0,,,740.701,221.173,817.84,220.11599999999999,,,
31,750032,16,,left,saccade,8.0,,,,751.242,210.19299999999998,825.72,210.692,,,
32,750052,196,3.902234693877552,left,fixation,9.0,,838.71872,208.87032,,,,,1.0,4.513742380528375,6.3196896284549045
33,750052,200,3.9024300000000003,right,fixation,,9.0,828.502078431373,219.63276470588198,,,,,0.0,,
34,750252,20,,left,saccade,9.0,,,,842.385,217.92,718.3330000000003,220.96400000000003,,,
35,750256,20,,right,saccade,,9.0,,,834.118,234.93599999999998,703.779,238.18599999999998,,,
36,750276,340,3.928505813953489,left,fixation,10.0,,723.677953488372,202.791279069767,,,,,1.0,8.06858504909284,14.971456341986293
37,750280,336,3.9287470588235287,right,fixation,,10.0,714.4405882352942,227.37711764705898,,,,,1.0,6.223430748210986,14.259982643748248
38,750620,44,,left,saccade,10.0,,,,726.472,194.613,1436.524,193.02900000000002,,,
39,750620,44,,right,saccade,,10.0,,,722.61,226.051,1413.1229999999994,239.63400000000001,,,
40,750668,860,3.860025700934578,left,fixation,11.0,,1474.80463425926,167.43240740740802,,,,,2.0,6.667026362233125,9.236023885431619
41,750668,1468,3.7974069293478254,right,fixation,,11.0,1446.81476630435,146.405230978261,,,,,4.0,11.1512449867255,32.00388717343727
42,751532,12,,left,saccade,11.0,,,,1466.17,145.70600000000005,1426.095,104.486,,,
43,751548,360,3.706627717391304,left,fixation,12.0,,1408.1730549450501,88.5751538461538,,,,,0.0,,
44,751912,4,,left,saccade,12.0,,,,1415.668,102.279,1433.281,103.404,,,
45,751920,212,3.7131226415094334,left,fixation,13.0,,1453.88381481481,129.828055555555,,,,,0.0,,
46,752136,44,,left,saccade,13.0,,,,1453.234,127.906,780.811,144.653,,,
47,752140,44,,right,saccade,,11.0,,,1458.641,133.675,795.443,152.99200000000005,,,
48,752184,400,3.729655,left,fixation,14.0,,735.941198019802,167.355237623762,,,,,2.0,6.621212555225128,19.803364444794397
49,752188,400,3.7295500000000006,right,fixation,,12.0,739.670168316832,192.638168316832,,,,,1.0,14.687001158431801,50.79370175523734
50,752588,28,,left,saccade,14.0,,,,706.413,180.755,470.281,295.034,,,
51,752592,28,,right,saccade,,12.0,,,717.4630000000003,215.0,471.408,321.125,,,
52,752620,292,3.748561643835616,left,fixation,15.0,,453.899351351351,314.485148648649,,,,,1.0,4.127529857217518,9.101207667117562
53,752624,288,3.748770833333333,right,fixation,,13.0,450.51905479452006,323.05098630137,,,,,2.0,6.641548062434063,12.5503094878486
54,752916,20,,left,saccade,15.0,,,,446.061,301.704,526.6469999999998,303.758,,,
55,752916,20,,right,saccade,,13.0,,,448.714,316.471,513.0269999999998,322.653,,,
