,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10906287,0,,left,fixation,1.0,,420.67199999999997,157.736,,,,,0.0,,
1,10906287,24,,right,saccade,,1.0,,,421.616,148.175,529.703,143.782,,,
2,10906291,20,,left,saccade,1.0,,,,422.87199999999996,157.736,503.57,155.05200000000005,,,
3,10906315,216,3.7247681818181815,left,fixation,2.0,,509.1303454545449,151.405654545455,,,,,0.0,,
4,10906315,216,3.7247681818181815,right,fixation,,1.0,530.929036363636,153.057309090909,,,,,0.0,,
5,10906535,16,,right,saccade,,2.0,,,515.327,162.222,481.089,216.918,,,
6,10906535,24,,left,saccade,2.0,,,,518.4069999999998,186.024,461.599,240.327,,,
7,10906555,292,3.724732876712328,right,fixation,,2.0,482.758351351351,256.759162162162,,,,,0.0,,
8,10906563,288,3.7259722222222216,left,fixation,3.0,,462.588246575342,281.95298630137,,,,,1.0,6.029416822730215,15.321714819170811
9,10906851,28,,right,saccade,,3.0,,,499.291,267.481,428.515,167.049,,,
10,10906855,20,,left,saccade,3.0,,,,471.781,293.191,414.272,222.138,,,
11,10906879,512,3.780968992248062,left,fixation,4.0,,400.87680620155,189.639581395349,,,,,0.0,,
12,10906883,496,3.7800879999999997,right,fixation,,3.0,404.39559199999997,168.26657600000001,,,,,0.0,,
13,10907383,20,,right,saccade,,4.0,,,377.216,175.608,442.534,164.895,,,
14,10907395,8,,left,saccade,4.0,,,,397.14099999999996,195.609,424.569,190.291,,,
15,10907407,812,4.0094162561576345,right,fixation,,4.0,450.711196078431,157.464264705882,,,,,1.0,5.839155437408935,16.547292014103082
16,10907407,816,4.009776960784314,left,fixation,5.0,,450.41956097560995,205.678546341463,,,,,1.0,6.251418801182465,9.395028472548617
17,10908223,40,,right,saccade,,5.0,,,426.84,173.813,755.9069999999997,272.01099999999997,,,
18,10908227,32,,left,saccade,5.0,,,,447.592,242.793,740.541,303.381,,,
19,10908263,744,4.111129032258065,left,fixation,6.0,,737.34650802139,342.626930481283,,,,,1.0,6.68093448636574,19.356347305212193
20,10908267,740,4.111154054054054,right,fixation,,5.0,726.264451612903,294.205661290323,,,,,1.0,12.202733683937812,34.28663816999261
21,10909011,32,,left,saccade,6.0,,,,727.8389999999997,347.783,506.55400000000003,258.486,,,
22,10909011,32,,right,saccade,,6.0,,,707.238,281.874,496.99199999999996,211.135,,,
23,10909047,700,3.8610056818181815,left,fixation,7.0,,437.211772727273,215.62399431818199,,,,,1.0,7.743416438426192,38.47474060991188
24,10909047,700,3.8610056818181815,right,fixation,,6.0,443.914840909091,165.418602272727,,,,,1.0,9.346707750741848,56.99773105133222
25,10909751,32,,left,saccade,7.0,,,,382.07599999999996,223.456,669.0269999999998,263.345,,,
26,10909751,32,,right,saccade,,7.0,,,410.92400000000004,172.08700000000005,708.623,200.71,,,
27,10909787,360,4.099688888888888,left,fixation,8.0,,710.1155384615379,280.09335164835204,,,,,1.0,7.5618843624529966,6.0121317350836305
28,10909787,364,4.100434065934066,right,fixation,,7.0,730.765695652174,249.400793478261,,,,,0.0,,
29,10910151,44,,left,saccade,8.0,,,,718.033,273.392,368.264,438.54,,,
30,10910155,36,,right,saccade,,8.0,,,725.987,261.058,363.62300000000016,390.999,,,
31,10910195,1072,3.9847220149253726,right,fixation,,8.0,424.674427509294,443.06355018587305,,,,,2.0,9.312134142762746,52.218640634959144
32,10910199,152,4.111776315789474,left,fixation,9.0,,360.0919230769229,432.448871794872,,,,,1.0,8.467772906732911,21.24243359410597
33,10910355,0,,left,saccade,9.0,,,,378.959,430.815,378.959,430.815,,,
34,10910359,908,3.9618436123348015,left,fixation,10.0,,421.24267543859594,472.64019298245597,,,,,1.0,7.322037628131794,36.79944615072351
35,10911271,48,,right,saccade,,9.0,,,460.55300000000005,438.53,810.395,554.8480000000002,,,
36,10911271,52,,left,saccade,10.0,,,,434.522,431.61300000000006,797.1310000000003,549.764,,,
37,10911323,132,4.0479393939393935,right,fixation,,9.0,831.9839411764709,573.725941176471,,,,,0.0,,
38,10911327,128,4.048,left,fixation,11.0,,809.678272727273,568.519090909091,,,,,0.0,,
39,10911459,24,,left,saccade,11.0,,,,811.791,559.7909999999998,959.4010000000001,567.997,,,
40,10911459,24,,right,saccade,,10.0,,,831.53,567.587,957.05,566.836,,,
41,10911487,652,4.016696319018405,left,fixation,12.0,,957.564158536586,569.100945121951,,,,,1.0,9.216974565381486,28.22996666664705
42,10911487,656,4.016115853658537,right,fixation,,10.0,980.8596787878801,554.6303393939402,,,,,0.0,,
43,10912143,52,,left,saccade,12.0,,,,950.76,547.47,408.675,666.2860000000003,,,
44,10912147,44,,right,saccade,,11.0,,,986.549,551.967,427.691,642.721,,,
45,10912195,983,3.760685975609756,right,fixation,,11.0,437.6203117408911,687.424611336033,,,,,0.0,,
46,10912199,979,3.760331632653061,left,fixation,13.0,,406.638914634146,685.6454959349591,,,,,1.0,4.735558584909615,14.524334786832744
47,10913182,36,,left,saccade,13.0,,,,433.082,691.0210000000003,712.559,817.166,,,
48,10913182,36,,right,saccade,,12.0,,,440.463,681.201,764.5239999999999,831.515,,,
49,10913222,1324,3.87885391566265,right,fixation,,12.0,745.032159638555,825.378177710843,,,,,0.0,,
50,10913222,1328,3.8787702702702704,left,fixation,14.0,,706.7881201201201,794.149504504504,,,,,0.0,,
51,10914550,64,,right,saccade,,13.0,,,721.681,814.5310000000003,1540.349,929.832,,,
52,10914554,60,,left,saccade,14.0,,,,697.7819999999997,778.212,1527.7479999999994,902.1389999999999,,,
53,10914618,672,3.7345297619047617,right,fixation,,13.0,1542.36425443787,920.4649940828392,,,,,0.0,,
54,10914618,676,3.7344408284023674,left,fixation,15.0,,1498.05219411765,902.1612,,,,,0.0,,
55,10915294,76,,right,saccade,,14.0,,,1506.0739999999994,919.576,481.658,157.171,,,
56,10915298,72,,left,saccade,15.0,,,,1487.259,899.013,446.543,189.308,,,
57,10915374,120,3.7368257575757577,left,fixation,16.0,,454.933032258064,180.647548387097,,,,,0.0,,
58,10915374,120,3.7368257575757577,right,fixation,,14.0,477.9439032258071,131.94799999999998,,,,,0.0,,
