,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10838719,292,3.9121614583333333,left,fixation,1.0,,1425.71039189189,557.606648648649,,,,,0.0,,
1,10838719,292,3.9121614583333333,right,fixation,,1.0,1422.5104864864902,539.975189189189,,,,,0.0,,
2,10839015,40,,left,saccade,1.0,,,,1423.287,564.363,586.971,298.695,,,
3,10839015,40,,right,saccade,,1.0,,,1431.987,541.9540000000002,587.116,255.66,,,
4,10839191,140,3.940734693877552,left,fixation,2.0,,585.481416666667,291.121,,,,,2.0,4.999315139802505,13.23617042883389
5,10839191,140,3.940734693877552,right,fixation,,2.0,591.251833333333,274.897944444445,,,,,0.0,,
6,10839335,20,,left,saccade,2.0,,,,583.435,292.83799999999997,542.445,185.63099999999997,,,
7,10839335,24,,right,saccade,,2.0,,,586.59,284.6740000000001,547.243,175.649,,,
8,10839359,140,3.944371428571429,left,fixation,3.0,,524.716222222222,179.466305555556,,,,,2.0,2.453486474190814,6.660383694652068
9,10839363,140,3.944757142857143,right,fixation,,3.0,523.868861111111,160.862777777778,,,,,1.0,3.2416048537380218,6.003549366832887
10,10839503,16,,left,saccade,3.0,,,,516.9680000000002,174.90599999999995,452.82099999999997,180.827,,,
11,10839507,16,,right,saccade,,3.0,,,513.299,166.253,448.102,174.34799999999996,,,
12,10839523,168,3.877928571428572,left,fixation,4.0,,443.985465116279,194.141813953488,,,,,1.0,3.0037478903677903,9.112106726767431
13,10839527,160,3.8781125,right,fixation,,4.0,442.19973170731697,172.309292682927,,,,,3.0,2.391743110823532,5.099947300384505
14,10839691,32,,right,saccade,,4.0,,,449.73800000000006,177.96900000000005,757.828,182.50799999999998,,,
15,10839695,32,,left,saccade,4.0,,,,447.13699999999994,197.672,724.2810000000003,190.562,,,
16,10839727,264,3.693401515151515,right,fixation,,5.0,772.0722985074631,198.017343283582,,,,,0.0,,
17,10839731,260,3.691830769230769,left,fixation,5.0,,755.4918939393941,199.485666666667,,,,,2.0,2.7533770704912213,14.20885029110174
18,10839995,24,,left,saccade,5.0,,,,757.29,205.518,626.1,207.813,,,
19,10839995,24,,right,saccade,,5.0,,,776.1089999999997,193.054,643.179,196.65900000000002,,,
20,10840023,379,3.6318138297872338,left,fixation,6.0,,622.594520833334,202.18748958333302,,,,,2.0,1.9713011483137692,5.958004647753907
21,10840023,379,3.6318138297872338,right,fixation,,6.0,639.988416666667,199.92202083333302,,,,,0.0,,
22,10840406,16,,right,saccade,,6.0,,,643.2130000000002,204.988,571.313,206.702,,,
23,10840406,20,,left,saccade,6.0,,,,625.259,197.524,547.3290000000002,200.215,,,
24,10840426,324,3.7011666666666665,right,fixation,,7.0,556.67206097561,200.386963414634,,,,,2.0,3.4055502467244043,10.757665343301085
25,10840430,316,3.7013607594936713,left,fixation,7.0,,539.3996,200.18205,,,,,1.0,1.815887761154635,4.716614251770006
26,10840750,16,,left,saccade,7.0,,,,544.217,206.938,490.16900000000004,206.938,,,
27,10840754,12,,right,saccade,,7.0,,,545.064,193.294,497.606,191.987,,,
28,10840770,109,3.7658928571428567,left,fixation,8.0,,473.98346428571404,189.84639285714297,,,,,2.0,2.3394615922343425,8.625077007918334
29,10840770,109,3.7658928571428567,right,fixation,,8.0,492.1168214285711,185.93889285714297,,,,,3.0,2.0769731432544933,6.6228155427211535
30,10840883,27,,right,saccade,,8.0,,,484.909,188.467,824.4639999999997,197.666,,,
31,10840883,31,,left,saccade,8.0,,,,477.62199999999996,179.33,796.346,175.572,,,
32,10840914,1033,3.815789575289576,right,fixation,,9.0,825.978092664092,197.759579150579,,,,,3.0,9.910714516788932,41.226822706275776
33,10840918,348,3.8101321839080464,left,fixation,9.0,,835.2216136363637,201.822511363636,,,,,5.0,2.5634835443356474,12.76451306110873
34,10841270,20,,left,saccade,9.0,,,,857.755,233.331,784.1619999999997,217.93400000000003,,,
35,10841294,256,3.8407109375,left,fixation,10.0,,780.525692307693,212.20815384615398,,,,,2.0,2.440285734941224,6.436555235303402
36,10841554,8,,left,saccade,10.0,,,,796.178,217.382,834.497,220.585,,,
37,10841566,381,3.802208333333333,left,fixation,11.0,,845.6063749999989,228.95077083333302,,,,,2.0,2.95652843608693,9.568257448586447
38,10841951,32,,left,saccade,11.0,,,,841.122,228.372,539.059,233.114,,,
39,10841951,32,,right,saccade,,9.0,,,851.659,196.40400000000002,544.05,193.94799999999998,,,
40,10841987,399,3.733363636363636,left,fixation,12.0,,504.103287128713,204.71055445544602,,,,,3.0,6.313102964596872,21.999251601709627
41,10841987,399,3.733363636363636,right,fixation,,10.0,515.005603960396,185.190584158416,,,,,4.0,4.226720429390242,13.135375596784725
42,10842390,28,,left,saccade,12.0,,,,475.73199999999997,204.304,701.13,193.22,,,
43,10842390,28,,right,saccade,,10.0,,,487.83,191.092,739.337,196.701,,,
44,10842422,344,3.7131686046511625,left,fixation,13.0,,748.5417931034482,197.47799999999998,,,,,4.0,2.6613972869142497,13.100215482533601
45,10842422,344,3.7131686046511625,right,fixation,,11.0,765.380574712643,198.97878160919498,,,,,2.0,3.2691353846245463,11.123432460843945
46,10842770,20,,left,saccade,13.0,,,,761.972,197.671,647.783,197.195,,,
47,10842770,20,,right,saccade,,11.0,,,788.373,197.028,662.637,197.831,,,
48,10842794,801,3.67713184079602,left,fixation,14.0,,642.2061243781089,203.71944278606998,,,,,1.0,1.636440174416527,3.5242843245118567
49,10842794,801,3.67713184079602,right,fixation,,12.0,658.836248756219,203.865014925373,,,,,0.0,,
50,10843599,24,,left,saccade,14.0,,,,647.52,209.315,827.086,209.315,,,
51,10843599,24,,right,saccade,,12.0,,,668.8889999999999,207.707,847.828,210.672,,,
52,10843627,160,3.7229375000000013,left,fixation,15.0,,833.56912195122,208.580243902439,,,,,0.0,,
53,10843627,160,3.7229375000000013,right,fixation,,13.0,854.438512195122,206.87356097561002,,,,,1.0,1.9177798289225496,6.034328877348348
54,10843790,28,,left,saccade,15.0,,,,841.203,216.822,589.596,231.606,,,
55,10843790,28,,right,saccade,,13.0,,,849.3489999999997,201.851,599.211,214.989,,,
