,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,21727620,176,3.666505555555557,left,fixation,1.0,,1160.66788888889,681.013266666667,,,,,2.0,3.981199550606065,7.573261655694809
1,21727620,176,3.666505555555557,right,fixation,,1.0,1166.79971111111,662.2808666666671,,,,,0.0,,
2,21727800,44,,right,saccade,,1.0,,,1156.937,661.7610000000002,813.308,448.151,,,
3,21727800,48,,left,saccade,1.0,,,,1150.483,671.6460000000002,846.11,448.772,,,
4,21727848,120,3.7175166666666666,right,fixation,,2.0,803.076806451613,423.327483870968,,,,,0.0,,
5,21727852,116,3.7175689655172413,left,fixation,2.0,,832.6617666666672,431.0767,,,,,0.0,,
6,21727972,36,,left,saccade,2.0,,,,823.2869999999997,429.42800000000005,469.356,315.062,,,
7,21727972,36,,right,saccade,,2.0,,,802.063,421.99199999999996,457.10900000000004,285.693,,,
8,21728012,144,3.655930555555555,left,fixation,3.0,,468.3913513513511,279.433621621622,,,,,0.0,,
9,21728012,376,3.6353640862495578,right,fixation,,3.0,418.3446,189.61661052631598,,,,,3.0,9.427898830897249,25.37377630715852
10,21728160,16,,left,saccade,3.0,,,,464.95300000000003,264.305,451.60900000000004,205.7,,,
11,21728180,208,3.608782294489612,left,fixation,4.0,,442.418245283019,195.937018867924,,,,,0.0,,
12,21728392,40,,left,saccade,4.0,,,,453.543,184.532,441.45599999999996,179.083,,,
13,21728392,40,,right,saccade,,3.0,,,403.005,147.792,424.88599999999997,139.526,,,
14,21728516,524,3.6749480570530086,right,fixation,,4.0,436.123818181819,156.052174242424,,,,,1.0,6.637832571705916,12.889529277673414
15,21728520,520,3.6749480570530095,left,fixation,5.0,,455.784435114504,203.86079389313,,,,,0.0,,
16,21729044,24,,left,saccade,5.0,,,,471.19800000000004,203.02700000000002,490.01800000000003,319.045,,,
17,21729044,24,,right,saccade,,4.0,,,435.542,145.878,459.24699999999996,258.099,,,
18,21729072,160,3.6534875,right,fixation,,5.0,484.00373170731694,289.392243902439,,,,,0.0,,
19,21729072,164,3.653292682926829,left,fixation,6.0,,498.737142857143,338.555285714286,,,,,0.0,,
20,21729236,28,,right,saccade,,5.0,,,482.61400000000003,303.139,701.17,294.305,,,
21,21729240,24,,left,saccade,6.0,,,,510.444,335.351,686.447,320.969,,,
22,21729268,504,3.6119285714285714,left,fixation,7.0,,723.667622047244,315.45463779527597,,,,,0.0,,
23,21729268,504,3.6119285714285714,right,fixation,,6.0,719.01409448819,298.163842519685,,,,,3.0,7.005144532582153,20.896463254664546
24,21729776,28,,left,saccade,7.0,,,,717.705,328.897,502.75800000000004,228.303,,,
25,21729776,32,,right,saccade,,6.0,,,725.325,323.038,491.06300000000016,184.53799999999998,,,
26,21729808,323,3.68616875,left,fixation,8.0,,470.747036585366,206.066597560976,,,,,0.0,,
27,21729812,319,3.68686075949367,right,fixation,,7.0,453.597395061728,163.852567901235,,,,,0.0,,
28,21730135,40,,right,saccade,,7.0,,,437.98400000000004,163.423,891.882,295.967,,,
29,21730135,48,,left,saccade,8.0,,,,466.657,214.47,884.618,294.278,,,
30,21730179,289,3.7861986301369854,right,fixation,,8.0,918.963232876712,324.474904109589,,,,,2.0,7.834920726406485,23.278637175196014
31,21730187,32,3.7286875,left,fixation,9.0,,909.893888888889,293.158555555556,,,,,0.0,,
32,21730223,4,,left,saccade,9.0,,,,921.177,315.27099999999996,921.428,329.746,,,
33,21730231,237,3.797733333333333,left,fixation,10.0,,956.8569,353.3718,,,,,1.0,9.609183912914881,50.753760451812965
34,21730472,24,,right,saccade,,8.0,,,944.9960000000001,311.694,1162.713,326.582,,,
35,21730472,32,,left,saccade,10.0,,,,988.81,348.3,1189.682,343.798,,,
36,21730500,451,3.7230446428571433,right,fixation,,9.0,1177.06257017544,354.971868421053,,,,,0.0,,
37,21730508,443,3.721627272727273,left,fixation,11.0,,1201.53615178571,317.901616071428,,,,,5.0,5.5916681355353655,17.194195150758894
38,21730955,40,,left,saccade,11.0,,,,1204.526,294.384,755.865,327.651,,,
39,21730955,44,,right,saccade,,9.0,,,1177.741,365.569,731.9060000000003,340.108,,,
40,21730999,316,3.678702531645569,left,fixation,12.0,,738.7408125000011,338.766575,,,,,1.0,6.486813466136102,41.18004255704452
41,21731003,316,3.6786835443037966,right,fixation,,10.0,702.37685,319.3861125,,,,,2.0,6.826599111773963,20.596506636761987
42,21731319,32,,left,saccade,12.0,,,,752.7719999999997,346.881,499.5,214.558,,,
43,21731323,36,,right,saccade,,10.0,,,703.1419999999997,310.355,475.38800000000003,216.96200000000002,,,
44,21731355,260,3.6946384615384615,left,fixation,13.0,,473.7844393939389,185.26754545454497,,,,,0.0,,
45,21731363,252,3.695269841269842,right,fixation,,11.0,448.423890625,174.278640625,,,,,0.0,,
46,21731619,48,,right,saccade,,11.0,,,466.504,183.73,1199.1860000000001,269.02299999999997,,,
47,21731619,52,,left,saccade,13.0,,,,456.685,170.21400000000003,1185.052,259.467,,,
48,21731671,536,3.5512351851851864,right,fixation,,12.0,1200.8707037037,326.48737037037,,,,,0.0,,
49,21731675,532,3.550583955223882,left,fixation,14.0,,1190.2911268656699,309.518813432836,,,,,1.0,6.0813772403041435,27.438041693969428
50,21732211,24,,right,saccade,,12.0,,,1185.425,328.129,1394.0739999999994,332.94599999999997,,,
51,21732211,28,,left,saccade,14.0,,,,1186.025,304.558,1391.7179999999994,307.22,,,
52,21732239,312,3.4848148148148144,right,fixation,,13.0,1414.91844303797,328.276493670886,,,,,0.0,,
53,21732243,308,3.484424528301888,left,fixation,15.0,,1411.9312820512805,288.746025641026,,,,,2.0,6.829856576825139,32.311906747067376
54,21732555,79,,left,saccade,15.0,,,,1399.44,295.065,409.579,462.274,,,
55,21732555,72,,right,saccade,,13.0,,,1403.095,328.754,401.652,396.64,,,
56,21732720,0,,right,fixation,,14.0,403.889,412.065,,,,,0.0,,
57,21732723,0,,right,saccade,,14.0,,,417.909,419.473,417.909,419.473,,,
58,21732727,2188,3.6290509615384616,right,fixation,,15.0,409.795363138687,467.20439781021895,,,,,4.0,9.578950287758953,31.316097296478443
59,21732731,2184,3.6290509615384616,left,fixation,16.0,,434.02351005484496,496.981018281536,,,,,4.0,7.276457964650002,25.277491558208517
60,21734919,20,,left,saccade,16.0,,,,473.642,510.06199999999995,489.55699999999996,578.013,,,
61,21734919,20,,right,saccade,,15.0,,,428.24699999999996,470.31699999999995,476.601,551.4580000000002,,,
62,21734943,296,3.73276,left,fixation,17.0,,506.71216,602.61088,,,,,0.0,,
63,21734943,296,3.73276,right,fixation,,16.0,490.59834666666603,563.7470933333329,,,,,0.0,,
64,21735243,24,,right,saccade,,16.0,,,482.916,572.609,705.145,569.819,,,
65,21735243,28,,left,saccade,17.0,,,,509.713,611.0840000000002,695.944,604.956,,,
66,21735271,392,3.7870412371134017,right,fixation,,17.0,720.270626262626,584.651424242424,,,,,0.0,,
67,21735275,388,3.7870520833333337,left,fixation,18.0,,723.9545510204083,602.081479591837,,,,,0.0,,
68,21735667,32,,left,saccade,18.0,,,,708.203,610.368,479.713,520.398,,,
69,21735667,32,,right,saccade,,17.0,,,742.0210000000003,612.7869999999998,510.916,539.414,,,
70,21735703,888,3.670412162162162,right,fixation,,18.0,429.131780269058,482.867511210762,,,,,2.0,4.6956836570108935,22.40886293284944
71,21735703,2056,3.6815856031128407,left,fixation,19.0,,444.04624660194196,508.764106796117,,,,,16.0,10.384551314566103,26.656556975718235
72,21736595,12,,right,saccade,,18.0,,,426.254,469.741,387.902,498.36199999999997,,,
73,21736611,1152,3.6893958333333328,right,fixation,,19.0,408.21460553633204,468.08485467127997,,,,,3.0,8.513813066944525,33.470978460706256
74,21737763,28,,left,saccade,19.0,,,,474.55,478.11199999999997,457.759,649.648,,,
75,21737767,24,,right,saccade,,19.0,,,449.695,453.191,438.49800000000016,613.1030000000002,,,
76,21737795,1292,3.620921296296296,left,fixation,20.0,,423.237262345678,753.3413209876552,,,,,4.0,7.004603190477615,24.655355184940177
77,21737795,1292,3.620921296296296,right,fixation,,20.0,411.705709876543,723.901848765432,,,,,5.0,6.404036291255702,18.328738998463454
78,21739091,32,,left,saccade,20.0,,,,394.98699999999997,802.55,665.46,834.416,,,
79,21739091,32,,right,saccade,,20.0,,,382.211,755.702,699.4910000000001,798.193,,,
80,21739127,180,3.7287333333333335,left,fixation,21.0,,701.143891304348,867.946999999999,,,,,1.0,3.9767581506660163,19.9949696173812
81,21739127,180,3.7287333333333335,right,fixation,,21.0,723.7906521739128,832.032456521739,,,,,0.0,,
82,21739311,24,,right,saccade,,21.0,,,732.945,831.6110000000001,514.866,852.725,,,
83,21739311,28,,left,saccade,21.0,,,,688.972,883.3489999999997,477.477,886.177,,,
84,21739339,748,3.6993271276595743,right,fixation,,22.0,480.46501063829805,856.2677234042551,,,,,0.0,,
85,21739343,740,3.6995,left,fixation,22.0,,483.038365591398,881.519704301075,,,,,1.0,4.029178248863029,8.99348086115708
86,21740087,24,,left,saccade,22.0,,,,486.51599999999996,868.799,405.347,825.512,,,
87,21740091,20,,right,saccade,,22.0,,,491.42900000000003,853.4060000000003,425.655,802.755,,,
88,21740115,228,3.624008771929824,left,fixation,23.0,,396.708844827586,789.332344827587,,,,,0.0,,
89,21740115,228,3.624008771929824,right,fixation,,23.0,383.62267241379305,768.194844827586,,,,,1.0,6.537994638181405,18.03507163833848
90,21740347,56,,left,saccade,23.0,,,,400.509,790.424,1218.088,792.2810000000003,,,
91,21740347,56,,right,saccade,,23.0,,,389.976,762.096,1237.755,808.492,,,
