,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2241913,324,3.7944974574692254,right,fixation,,1.0,1245.65115853659,784.736365853658,,,,,0.0,,
1,2241913,328,3.7944974574692254,left,fixation,1.0,,1187.7797710843402,828.953518072289,,,,,0.0,,
2,2242241,40,,right,saccade,,1.0,,,1248.329,782.3539999999997,723.21,140.197,,,
3,2242245,40,,left,saccade,1.0,,,,1190.415,817.2130000000003,715.8689999999997,255.231,,,
4,2242425,695,3.726147924894339,right,fixation,,2.0,737.7172628571429,199.418131428571,,,,,0.0,,
5,2242441,679,3.7261479248943377,left,fixation,2.0,,717.9844385964909,232.56212865497105,,,,,1.0,11.496110212927578,23.36123149579235
6,2243124,28,,left,saccade,2.0,,,,708.932,216.752,914.393,51.745,,,
7,2243124,28,,right,saccade,,2.0,,,740.169,215.375,989.802,38.395,,,
8,2243156,760,3.8058210526315785,left,fixation,3.0,,925.014523560209,42.547209424083796,,,,,1.0,7.924781029221642,18.673570761908394
9,2243156,760,3.8058210526315785,right,fixation,,3.0,967.316235602092,53.5701570680628,,,,,0.0,,
10,2243920,36,,left,saccade,3.0,,,,921.125,41.086999999999996,586.643,177.18200000000004,,,
11,2243920,36,,right,saccade,,3.0,,,963.94,58.343,603.639,179.199,,,
12,2243960,228,3.835789473684212,left,fixation,4.0,,578.904189655172,193.565448275862,,,,,0.0,,
13,2243960,228,3.835789473684212,right,fixation,,4.0,595.989103448276,192.496413793103,,,,,0.0,,
14,2244192,24,,left,saccade,4.0,,,,573.702,197.185,397.892,184.887,,,
15,2244192,24,,right,saccade,,4.0,,,593.654,186.118,385.411,183.357,,,
16,2244220,404,3.89230463576159,left,fixation,5.0,,387.12950980392196,165.673274509804,,,,,1.0,6.229791672100903,12.38794357429837
17,2244220,408,3.89230463576159,right,fixation,,5.0,386.141990291262,174.295834951456,,,,,0.0,,
18,2244628,40,,left,saccade,5.0,,,,364.60699999999997,142.512,369.971,187.701,,,
19,2244632,44,,right,saccade,,5.0,,,385.03,172.574,361.601,110.314,,,
20,2244812,4636,3.8448161175422975,right,fixation,,6.0,373.904623275862,160.366894827586,,,,,16.0,9.279382621559824,26.90905628063896
21,2244856,4104,3.853101898101898,left,fixation,6.0,,347.30916747809096,128.37803407984399,,,,,6.0,8.037334264641169,22.627293072782642
22,2248964,16,,left,saccade,6.0,,,,338.061,161.773,393.077,162.619,,,
23,2248984,2488,3.79325,left,fixation,7.0,,359.709990369182,122.98776886035299,,,,,9.0,11.58580943441092,35.63907882665596
24,2249452,20,,right,saccade,,6.0,,,421.75199999999995,168.61700000000005,368.973,169.419,,,
25,2249476,1992,3.7984608433734937,right,fixation,,7.0,373.14162124248395,148.45847695390802,,,,,7.0,11.477647737826569,31.00951992907327
26,2251472,20,,right,saccade,,7.0,,,396.788,123.79700000000001,368.34,204.426,,,
27,2251476,16,,left,saccade,7.0,,,,363.642,124.086,348.645,175.368,,,
28,2251496,664,3.805400000000001,left,fixation,8.0,,358.6138143712571,201.466820359281,,,,,1.0,7.246509782493777,21.810186725473066
29,2251496,1012,3.7950178571428568,right,fixation,,8.0,368.78300787401497,192.847161417323,,,,,3.0,10.417646202485544,27.865333483555798
30,2252164,16,,left,saccade,8.0,,,,335.616,140.428,375.499,175.47099999999998,,,
