,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2615862,325,3.702373493975904,left,fixation,1.0,,1095.73687804878,101.170292682927,,,,,1.0,22.051850625287642,64.2665711081588
1,2615862,329,3.7023273809523807,right,fixation,,1.0,1098.14256626506,115.930168674699,,,,,1.0,28.835750174720488,57.80655369419628
2,2616191,16,,left,saccade,1.0,,,,1094.622,96.675,1018.054,71.55,,,
3,2616195,20,,right,saccade,,1.0,,,1083.015,100.87899999999999,998.548,74.493,,,
4,2616211,923,3.672795652173913,left,fixation,2.0,,988.013693965517,30.9584181034483,,,,,0.0,,
5,2616219,911,3.6727378854625554,right,fixation,,2.0,969.1539475982539,88.2097641921398,,,,,0.0,,
6,2617134,68,,right,saccade,,2.0,,,944.3810000000001,99.89299999999999,1504.5910000000001,807.048,,,
7,2617138,64,,left,saccade,2.0,,,,995.207,36.864000000000004,1513.361,753.653,,,
8,2617206,660,3.638069696969697,left,fixation,3.0,,1511.7034397590396,820.777343373494,,,,,1.0,8.404273648302745,24.944745117960238
9,2617206,660,3.638069696969697,right,fixation,,3.0,1493.6330843373498,864.354608433734,,,,,0.0,,
10,2617870,60,,left,saccade,3.0,,,,1512.4260000000006,824.2189999999997,530.75,759.252,,,
11,2617870,60,,right,saccade,,3.0,,,1490.701,874.827,494.17800000000005,851.93,,,
12,2617934,164,3.6206416666666654,left,fixation,4.0,,502.11226190476197,768.961666666667,,,,,0.0,,
13,2617934,164,3.6206416666666654,right,fixation,,4.0,453.9611190476191,841.1175,,,,,1.0,8.521738986915237,19.59085347809021
