,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,19944708,296,3.392717105263158,left,fixation,1.0,,788.415746666667,302.51568,,,,,0.0,,
1,19944708,300,3.3922337662337663,right,fixation,,1.0,799.013828947368,354.46168421052596,,,,,0.0,,
2,19945008,36,,left,saccade,1.0,,,,775.842,317.406,487.909,245.762,,,
3,19945012,32,,right,saccade,,1.0,,,796.803,380.44,545.827,267.841,,,
4,19945048,164,3.3654625000000005,left,fixation,2.0,,499.63830952381,224.24233333333302,,,,,0.0,,
5,19945048,944,3.3501829787234043,right,fixation,,2.0,469.203805907173,247.998666666667,,,,,0.0,,
6,19945216,24,,left,saccade,2.0,,,,489.61699999999996,225.83,429.144,157.208,,,
7,19945244,320,3.3368703703703715,left,fixation,3.0,,436.196530864198,164.031185185185,,,,,0.0,,
8,19945568,4,,left,saccade,3.0,,,,442.42900000000003,195.671,446.26099999999997,205.36700000000002,,,
9,19945576,432,3.35707476635514,left,fixation,4.0,,462.563908256881,246.555,,,,,0.0,,
10,19945996,16,,right,saccade,,2.0,,,453.221,260.202,502.525,242.06900000000002,,,
11,19946012,12,,left,saccade,4.0,,,,461.86800000000005,247.39700000000002,476.085,203.095,,,
12,19946016,128,3.4770625,right,fixation,,3.0,514.13,210.05184848484902,,,,,0.0,,
13,19946028,272,3.470764705882353,left,fixation,5.0,,492.376536231884,179.65847826086997,,,,,0.0,,
14,19946148,0,,right,saccade,,3.0,,,518.254,202.38400000000001,518.254,202.38400000000001,,,
15,19946152,148,3.4625945945945955,right,fixation,,4.0,509.260368421053,213.58071052631598,,,,,0.0,,
16,19946304,12,,right,saccade,,4.0,,,505.718,219.62099999999998,549.216,218.63099999999997,,,
17,19946304,16,,left,saccade,5.0,,,,486.149,202.646,555.922,186.679,,,
18,19946320,144,3.444090909090909,right,fixation,,5.0,587.997135135135,203.015459459459,,,,,0.0,,
19,19946324,140,3.44285,left,fixation,6.0,,556.596138888889,155.24988888888902,,,,,0.0,,
20,19946468,40,,left,saccade,6.0,,,,550.66,141.39600000000004,680.23,152.113,,,
21,19946468,40,,right,saccade,,5.0,,,589.491,194.734,740.87,196.16,,,
22,19946612,4,,right,fixation,,6.0,741.6089999999997,197.674,,,,,0.0,,
23,19946612,256,3.391602409638555,left,fixation,7.0,,703.949030769231,220.0596,,,,,0.0,,
24,19946620,20,,right,saccade,,6.0,,,741.72,199.57299999999998,736.1039999999997,288.342,,,
25,19946644,228,3.392188235294118,right,fixation,,7.0,723.451775862069,300.374793103448,,,,,0.0,,
26,19946872,28,,left,saccade,7.0,,,,699.56,239.903,499.7,264.249,,,
27,19946876,24,,right,saccade,,7.0,,,729.615,286.871,509.60400000000004,294.64599999999996,,,
28,19946904,236,3.4568305084745763,left,fixation,8.0,,472.038366666667,253.16655,,,,,0.0,,
29,19946904,236,3.4568305084745763,right,fixation,,8.0,490.23475,287.42871666666696,,,,,0.0,,
30,19947144,4,,left,saccade,8.0,,,,475.032,211.15,475.032,203.42700000000002,,,
31,19947144,8,,right,saccade,,8.0,,,504.27099999999996,271.47900000000004,503.142,254.986,,,
32,19947152,396,3.4051989795918374,left,fixation,9.0,,478.0102,164.73487,,,,,0.0,,
33,19947156,240,3.4127966101694924,right,fixation,,9.0,483.163704918033,217.697459016394,,,,,0.0,,
34,19947400,4,,right,saccade,,9.0,,,511.68800000000016,215.97400000000002,512.438,208.81799999999998,,,
35,19947408,144,3.393041666666667,right,fixation,,10.0,506.962945945946,186.680621621622,,,,,1.0,7.9035901828079425,18.084117147375515
36,19947552,20,,left,saccade,9.0,,,,492.505,160.384,425.298,165.96400000000003,,,
37,19947556,20,,right,saccade,,10.0,,,516.026,203.963,423.274,190.59,,,
38,19947576,308,3.3899935064935063,left,fixation,10.0,,423.734038461539,161.942461538462,,,,,0.0,,
39,19947580,508,3.3845196850393697,right,fixation,,11.0,457.2025625,206.575015625,,,,,1.0,7.9990170507242775,18.794853976554307
40,19947888,16,,left,saccade,10.0,,,,411.18199999999996,158.67700000000005,458.597,157.024,,,
41,19947908,308,3.393207792207793,left,fixation,11.0,,492.594269230769,159.191294871795,,,,,0.0,,
42,19948092,0,,right,saccade,,11.0,,,527.034,180.342,527.034,180.342,,,
43,19948096,116,3.416172413793104,right,fixation,,12.0,534.606633333333,155.449466666667,,,,,0.0,,
44,19948216,28,,right,saccade,,12.0,,,533.197,185.729,704.2739999999999,277.022,,,
45,19948220,36,,left,saccade,11.0,,,,516.8480000000002,146.643,685.8689999999998,225.895,,,
46,19948248,204,3.3895392156862765,right,fixation,,13.0,706.5688461538458,298.611192307692,,,,,0.0,,
47,19948260,192,3.3890625,left,fixation,12.0,,702.5970408163271,252.63697959183705,,,,,0.0,,
48,19948456,20,,right,saccade,,13.0,,,722.3489999999997,268.39599999999996,943.758,275.464,,,
49,19948456,24,,left,saccade,12.0,,,,705.873,225.122,901.814,222.732,,,
50,19948480,187,3.374717391304348,right,fixation,,14.0,928.800166666667,311.532604166667,,,,,0.0,,
51,19948484,183,3.3745,left,fixation,13.0,,932.1330212765961,258.65670212766,,,,,0.0,,
52,19948671,28,,left,saccade,13.0,,,,924.625,253.09599999999998,1160.22,250.644,,,
53,19948671,28,,right,saccade,,14.0,,,944.191,312.783,1206.829,325.94,,,
54,19948703,1337,3.4265252976190474,left,fixation,14.0,,1177.32360895522,244.056340298507,,,,,1.0,8.024618587336272,30.60855739821801
55,19948703,1341,3.4268026706231454,right,fixation,,15.0,1201.84213095238,321.859199404762,,,,,0.0,,
56,19950044,52,,left,saccade,14.0,,,,1170.593,225.905,426.694,362.69,,,
57,19950048,48,,right,saccade,,15.0,,,1195.97,307.097,506.93,398.545,,,
58,19950100,292,3.5161438356164383,right,fixation,,16.0,493.676,401.586,,,,,0.0,,
59,19950100,448,3.4922053571428573,left,fixation,15.0,,477.3771327433631,359.118637168142,,,,,1.0,8.155313068791427,17.99920942708313
60,19950396,8,,right,saccade,,16.0,,,496.06699999999995,423.033,511.86699999999996,434.824,,,
61,19950408,140,3.4453285714285715,right,fixation,,17.0,547.20475,441.32286111111085,,,,,0.0,,
62,19950552,16,,left,saccade,15.0,,,,501.35900000000004,379.675,442.931,379.69699999999995,,,
