,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3112644,288,3.7691369863013695,left,fixation,1.0,,1253.29680821918,412.03834246575286,,,,,1.0,4.57469820801812,28.399076393432285
1,3112644,292,3.769182432432432,right,fixation,,1.0,1245.89097297297,409.90383783783795,,,,,2.0,2.251790276205824,5.617489982366278
2,3112936,56,,left,saccade,1.0,,,,1253.661,420.01,573.214,239.415,,,
3,3112940,52,,right,saccade,,1.0,,,1238.9489999999996,407.784,568.389,244.554,,,
4,3112996,188,3.7901702127659576,left,fixation,2.0,,543.0369999999998,200.0555625,,,,,2.0,4.865925266680554,11.042720920697676
5,3112996,392,3.8032653061224484,right,fixation,,2.0,518.308252525252,185.43402020202,,,,,7.0,3.2548148810133983,21.707016566372555
6,3113188,12,,left,saccade,2.0,,,,522.609,186.885,498.93,163.203,,,
7,3113204,368,3.779747252747253,left,fixation,3.0,,481.35097849462403,190.88141935483898,,,,,6.0,5.2634218176004275,17.452961493215078
8,3113392,16,,right,saccade,,2.0,,,489.55199999999996,168.08700000000005,489.55199999999996,224.551,,,
9,3113412,160,3.736871794871796,right,fixation,,3.0,487.086317073171,248.724975609756,,,,,1.0,2.0250901900354297,3.78941948060652
10,3113576,16,,left,saccade,3.0,,,,488.18199999999996,243.545,493.418,189.89700000000002,,,
11,3113576,16,,right,saccade,,3.0,,,494.961,248.979,513.243,187.775,,,
12,3113596,264,3.723583333333333,left,fixation,4.0,,513.154402985075,152.04210447761199,,,,,1.0,5.278567466652276,18.46292763892016
13,3113596,264,3.723583333333333,right,fixation,,4.0,527.492074626866,152.890582089552,,,,,1.0,3.3402162812542033,8.909108653507445
14,3113864,20,,left,saccade,4.0,,,,513.745,140.339,504.483,224.477,,,
15,3113864,20,,right,saccade,,4.0,,,530.993,147.168,512.331,230.27599999999998,,,
16,3113888,224,3.744651785714286,left,fixation,5.0,,490.08559649122805,241.759947368421,,,,,1.0,4.466354839861643,19.13970681593633
17,3113888,224,3.744651785714286,right,fixation,,5.0,503.794877192983,236.71573684210492,,,,,1.0,2.323415326147652,5.451451366379348
18,3114116,24,,left,saccade,5.0,,,,483.191,231.204,651.8530000000002,231.204,,,
19,3114116,24,,right,saccade,,5.0,,,506.293,236.19400000000002,682.93,231.422,,,
20,3114144,256,3.8280769230769214,left,fixation,6.0,,672.441076923077,226.4092,,,,,1.0,2.8943317209869543,12.02099205556686
21,3114144,256,3.8280769230769214,right,fixation,,6.0,696.875769230769,230.11509230769198,,,,,0.0,,
22,3114404,28,,left,saccade,6.0,,,,670.044,221.515,512.038,234.50099999999998,,,
23,3114404,28,,right,saccade,,6.0,,,695.15,233.105,533.743,238.895,,,
24,3114436,164,3.8900609756097566,left,fixation,7.0,,512.641761904762,241.37219047618999,,,,,0.0,,
25,3114436,164,3.8900609756097566,right,fixation,,7.0,517.288595238095,232.224285714286,,,,,2.0,2.1070607028077526,6.520370028506898
26,3114604,44,,left,saccade,7.0,,,,513.039,231.257,949.107,204.72799999999998,,,
27,3114604,44,,right,saccade,,7.0,,,508.29900000000004,226.14,993.107,229.322,,,
28,3114652,248,3.787491935483871,left,fixation,8.0,,987.097111111111,214.44169841269797,,,,,4.0,4.494926626394697,21.148235167264808
29,3114652,252,3.7870158730158727,right,fixation,,8.0,1003.910484375,253.4083125,,,,,0.0,,
30,3114904,28,,left,saccade,8.0,,,,1003.831,241.43400000000003,1157.266,238.445,,,
31,3114908,28,,right,saccade,,8.0,,,1008.263,265.404,1165.171,264.307,,,
32,3114936,116,3.770758620689656,left,fixation,9.0,,1178.4842,226.0909,,,,,1.0,2.1901067452422733,4.79045895504791
33,3114940,112,3.770821428571428,right,fixation,,9.0,1179.20979310345,250.75103448275902,,,,,1.0,2.063292790393252,7.989157715303866
34,3115056,28,,right,saccade,,9.0,,,1183.762,244.452,1346.105,254.808,,,
35,3115056,32,,left,saccade,9.0,,,,1186.036,224.084,1393.8329999999999,238.585,,,
36,3115088,380,3.738415789473684,right,fixation,,10.0,1407.4233125,248.57657291666698,,,,,4.0,2.850434121310663,11.790620945811401
37,3115092,372,3.738618279569892,left,fixation,10.0,,1416.2098829787199,248.80442553191503,,,,,2.0,3.5732089666668463,9.343396329915906
38,3115468,64,,left,saccade,10.0,,,,1447.442,230.773,497.8,233.079,,,
39,3115472,60,,right,saccade,,10.0,,,1423.2820000000006,254.80700000000002,500.86199999999997,238.165,,,
40,3115536,376,3.6859815789473687,left,fixation,11.0,,477.816589473685,227.873894736842,,,,,0.0,,
41,3115536,376,3.6859815789473687,right,fixation,,11.0,470.90286315789496,245.447789473684,,,,,3.0,2.828194864450281,7.907721178364222
42,3115916,20,,left,saccade,11.0,,,,481.619,222.69099999999997,474.52,339.579,,,
43,3115916,20,,right,saccade,,11.0,,,476.945,232.49400000000003,469.115,319.559,,,
44,3115940,236,3.716186440677967,right,fixation,,12.0,456.09258333333395,344.586283333333,,,,,1.0,3.448929129293454,11.192126384204249
45,3115940,240,3.716325,left,fixation,12.0,,478.672409836066,354.66868852459,,,,,1.0,3.541923508333977,7.258155413050852
46,3116180,24,,right,saccade,,12.0,,,451.26599999999996,357.16,466.274,242.92700000000002,,,
47,3116184,20,,left,saccade,12.0,,,,475.50300000000004,345.76300000000015,480.785,239.887,,,
48,3116208,148,3.7922162162162167,left,fixation,13.0,,482.80931578947406,225.640052631579,,,,,0.0,,
49,3116208,148,3.7922162162162167,right,fixation,,13.0,467.05931578947406,219.704368421053,,,,,2.0,2.3375128991580154,20.14916258615418
50,3116360,24,,left,saccade,13.0,,,,476.611,207.565,457.18,348.105,,,
51,3116360,24,,right,saccade,,13.0,,,470.332,216.67700000000002,428.76199999999994,345.543,,,
52,3116388,932,3.8056394849785407,left,fixation,14.0,,473.329572649573,375.94752991453,,,,,6.0,4.250566394976887,24.93671655555661
53,3116388,936,3.8057435897435896,right,fixation,,14.0,453.628059574468,364.88980425532003,,,,,9.0,3.4671889879566224,16.798842760447307
54,3117324,36,,left,saccade,14.0,,,,529.677,354.64,707.1239999999997,471.668,,,
55,3117328,32,,right,saccade,,14.0,,,520.691,354.463,716.7339999999997,446.108,,,
56,3117364,228,3.8680526315789474,left,fixation,15.0,,737.261637931035,490.52562068965597,,,,,3.0,3.7283724363063,9.923968569304934
57,3117364,228,3.8680526315789474,right,fixation,,15.0,723.366206896552,455.87374137931,,,,,5.0,4.820286189813065,26.33167999834444
58,3117596,28,,right,saccade,,15.0,,,735.882,470.13599999999997,912.3760000000001,473.38599999999997,,,
59,3117596,32,,left,saccade,15.0,,,,749.245,513.651,944.1310000000001,508.41,,,
60,3117628,224,3.895241071428572,right,fixation,,16.0,939.1441052631579,459.69635087719286,,,,,2.0,2.4107588492206413,11.750889121266296
61,3117632,220,3.895345454545454,left,fixation,16.0,,959.3787857142861,501.6742321428569,,,,,1.0,2.081523780791397,4.575264145380067
62,3117856,32,,left,saccade,16.0,,,,962.85,506.17699999999996,1154.607,503.569,,,
63,3117856,32,,right,saccade,,16.0,,,944.57,453.57599999999996,1143.969,447.57599999999996,,,
64,3117892,408,3.835622549019608,left,fixation,17.0,,1188.46985436893,500.718242718447,,,,,4.0,3.1555002414329487,9.517965391351591
65,3117892,412,3.8347912621359215,right,fixation,,17.0,1166.8150096153802,469.081682692308,,,,,3.0,3.4575104205255336,19.75028933380953
66,3118304,48,,left,saccade,17.0,,,,1197.356,483.815,645.0740000000002,450.097,,,
67,3118308,44,,right,saccade,,17.0,,,1171.266,471.969,666.735,426.57099999999997,,,
68,3118356,172,3.6689534883720927,left,fixation,18.0,,618.547181818182,438.969795454546,,,,,1.0,3.2788721849982747,14.506860204744546
69,3118356,1588,3.687471032745592,right,fixation,,18.0,518.598555276382,364.977690954775,,,,,16.0,3.614718301661561,20.487279001959077
70,3118532,12,,left,saccade,18.0,,,,594.002,419.733,571.16,384.975,,,
71,3118548,1396,3.690734957020057,left,fixation,19.0,,505.072248571429,371.3900685714289,,,,,3.0,5.319439616977946,33.83629943990324
72,3119948,60,,left,saccade,19.0,,,,526.98,355.584,1357.638,464.925,,,
73,3119948,60,,right,saccade,,18.0,,,519.288,348.395,1350.545,485.779,,,
74,3120012,716,3.801891061452514,left,fixation,20.0,,1417.4884722222198,491.654472222223,,,,,8.0,5.528916034069075,23.954547467701897
75,3120012,720,3.8015722222222217,right,fixation,,19.0,1416.73488950276,467.727812154696,,,,,4.0,4.710149910287907,30.001769803075753
76,3120732,56,,left,saccade,20.0,,,,1433.776,506.119,670.925,405.273,,,
77,3120736,52,,right,saccade,,19.0,,,1419.9470000000001,477.644,699.415,367.101,,,
78,3120792,156,3.7188461538461537,right,fixation,,20.0,657.9222,367.1219,,,,,3.0,3.031845111446742,13.386327394215698
79,3120792,160,3.71895,left,fixation,21.0,,638.575487804878,393.87087804877996,,,,,3.0,3.801509584150852,9.192581982956858
80,3120952,20,,right,saccade,,20.0,,,646.719,371.235,574.398,368.496,,,
81,3120956,12,,left,saccade,21.0,,,,621.705,395.783,572.472,390.131,,,
82,3120972,315,3.734666666666666,left,fixation,22.0,,547.6994125,363.931425,,,,,1.0,2.4865083338779423,4.4623232738115615
83,3120976,311,3.7349220779220764,right,fixation,,21.0,543.271569620253,346.865683544304,,,,,1.0,3.126088401572237,11.878498600412431
84,3121291,56,,left,saccade,22.0,,,,542.112,350.12800000000016,1355.63,488.525,,,
85,3121291,60,,right,saccade,,21.0,,,545.29,342.425,1338.692,451.579,,,
86,3121351,140,3.742128571428572,left,fixation,23.0,,1362.91872222222,497.0629166666671,,,,,0.0,,
87,3121355,144,3.742125,right,fixation,,22.0,1354.1515675675698,466.99640540540497,,,,,1.0,1.5222416675563912,2.8094883875894423
88,3121495,20,,left,saccade,23.0,,,,1367.521,508.51599999999996,1441.477,506.532,,,
89,3121503,8,,right,saccade,,22.0,,,1365.4620000000002,464.644,1404.1470000000006,458.525,,,
90,3121515,833,3.696040476190477,right,fixation,,23.0,1425.22487559809,442.585215311005,,,,,3.0,2.525686275342754,8.938677433803813
91,3121519,829,3.6958229665071767,left,fixation,24.0,,1448.7901490384604,465.011086538461,,,,,0.0,,
92,3122352,60,,left,saccade,24.0,,,,1446.977,478.22,529.155,619.606,,,
93,3122352,60,,right,saccade,,23.0,,,1424.6779999999999,439.916,521.922,614.737,,,
94,3122416,571,3.7099859154929575,left,fixation,25.0,,502.141951388889,604.346201388889,,,,,1.0,4.701827930591339,40.168358193981476
95,3122416,747,3.707506703470032,right,fixation,,24.0,454.26755851063797,623.026468085106,,,,,10.0,2.8557187201360934,19.437221544267512
96,3122991,12,,left,saccade,25.0,,,,483.907,608.507,443.778,609.609,,,
97,3123007,148,3.6857228260869563,left,fixation,26.0,,430.410421052631,602.849736842105,,,,,0.0,,
98,3123159,48,,left,saccade,26.0,,,,423.379,596.568,385.70300000000003,598.385,,,
99,3123167,40,,right,saccade,,24.0,,,384.57800000000003,607.064,398.645,568.846,,,
100,3123319,140,3.763319220430107,left,fixation,27.0,,411.688333333333,597.872166666667,,,,,2.0,5.32063977355952,26.47049096754305
101,3123339,128,3.758255376344087,right,fixation,,25.0,406.15087878787904,603.89396969697,,,,,5.0,3.376631085107717,10.029613720492536
