,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20419088,400,3.2275594059405948,left,fixation,1.0,,627.771821782179,206.28498019801998,,,,,0.0,,
1,20419088,404,3.2271862745098034,right,fixation,,1.0,631.647049019608,233.81331372549,,,,,1.0,4.107296299135078,9.095919964467553
2,20419492,36,,left,saccade,1.0,,,,624.194,207.093,445.38199999999995,183.007,,,
3,20419496,40,,right,saccade,,1.0,,,614.646,252.90400000000002,413.275,189.002,,,
4,20419532,680,3.2360590277777783,left,fixation,2.0,,427.99551461988295,175.73350877193005,,,,,2.0,3.0783914371392185,14.37687171029768
5,20419540,664,3.2364260563380283,right,fixation,,2.0,383.297371257485,116.837688622755,,,,,3.0,5.4595855438787355,23.27498633950395
6,20420208,44,,right,saccade,,2.0,,,413.9,126.4,379.815,94.613,,,
7,20420216,40,,left,saccade,2.0,,,,443.324,165.62400000000005,428.384,153.382,,,
8,20420332,392,3.237576158940397,right,fixation,,3.0,386.91590909090894,137.175383838384,,,,,1.0,4.941593720653287,26.12134653879849
9,20420340,384,3.237576158940397,left,fixation,3.0,,427.27782474226797,158.639082474227,,,,,0.0,,
10,20420728,24,,left,saccade,3.0,,,,429.647,174.703,489.885,241.50400000000002,,,
11,20420728,24,,right,saccade,,3.0,,,401.12199999999996,167.525,463.944,273.765,,,
12,20420756,164,3.2192682926829272,right,fixation,,4.0,492.2958571428569,294.10719047619097,,,,,0.0,,
13,20420756,172,3.2179883720930227,left,fixation,4.0,,508.693363636364,277.816590909091,,,,,0.0,,
14,20420924,28,,right,saccade,,4.0,,,491.12300000000016,296.018,429.24800000000016,202.74099999999999,,,
15,20420932,20,,left,saccade,4.0,,,,511.159,290.682,485.131,215.41099999999997,,,
16,20420956,988,3.24621875,right,fixation,,5.0,413.21579838709687,171.691310483871,,,,,6.0,6.1919400698785925,29.39247763723304
17,20420956,996,3.24621875,left,fixation,5.0,,438.447372,190.895164,,,,,3.0,7.311418938804617,25.886372420620088
18,20421948,48,,right,saccade,,5.0,,,399.645,178.674,375.175,104.727,,,
19,20421956,48,,left,saccade,5.0,,,,394.45099999999996,188.799,383.92900000000003,132.844,,,
20,20422080,380,3.3939185649940002,right,fixation,,6.0,414.1421979166671,155.152135416667,,,,,1.0,5.618327870065575,21.47079374406077
21,20422084,380,3.3942532224737727,left,fixation,6.0,,433.40630208333397,184.76290625,,,,,1.0,9.316735988114194,41.60649204150716
22,20422464,36,,right,saccade,,6.0,,,423.00300000000004,164.456,684.806,285.079,,,
23,20422468,36,,left,saccade,6.0,,,,439.898,185.405,705.97,265.79900000000004,,,
24,20422504,272,3.3249191176470587,right,fixation,,7.0,709.9715072463762,308.352434782609,,,,,1.0,5.206276449846123,15.378474859361026
25,20422508,268,3.3233030303030304,left,fixation,7.0,,721.014441176471,297.54394117647,,,,,0.0,,
26,20422780,24,,right,saccade,,7.0,,,708.09,328.6790000000001,510.855,333.342,,,
27,20422780,28,,left,saccade,7.0,,,,713.6260000000003,302.3640000000001,515.8580000000002,303.776,,,
28,20422808,240,3.321791666666667,right,fixation,,8.0,486.27514754098394,306.77806557377005,,,,,0.0,,
29,20422812,240,3.321908333333333,left,fixation,8.0,,504.407819672131,307.282278688525,,,,,1.0,2.639247646373672,5.1163128324996014
30,20423052,52,,right,saccade,,8.0,,,487.35699999999997,300.93,1088.721,284.156,,,
31,20423056,48,,left,saccade,8.0,,,,507.349,318.816,1099.822,287.517,,,
32,20423108,220,3.3113055555555566,left,fixation,9.0,,1107.30994642857,301.597964285714,,,,,0.0,,
33,20423108,220,3.3113055555555566,right,fixation,,9.0,1092.21114285714,293.835,,,,,0.0,,
34,20423332,16,,right,saccade,,9.0,,,1088.43,306.336,1012.5319999999999,306.191,,,
35,20423332,20,,left,saccade,9.0,,,,1099.568,311.992,1008.988,309.278,,,
36,20423352,396,3.3155100000000006,right,fixation,,10.0,973.5692899999988,295.35386,,,,,2.0,3.3262950882690547,9.603031947205887
37,20423356,392,3.315717171717172,left,fixation,10.0,,982.3760000000001,303.249454545454,,,,,0.0,,
38,20423752,36,,left,saccade,10.0,,,,973.013,298.181,1192.266,310.25,,,
39,20423752,36,,right,saccade,,10.0,,,975.295,302.565,1194.1680000000001,301.5440000000001,,,
40,20423792,448,3.309473214285714,left,fixation,11.0,,1198.93984955752,324.85123008849604,,,,,1.0,2.9136622668998187,9.259501120470947
41,20423792,448,3.309473214285714,right,fixation,,11.0,1195.15333628319,319.635955752212,,,,,2.0,4.316646549922012,13.887336809246696
42,20424244,32,,left,saccade,11.0,,,,1191.978,320.6140000000001,1409.9660000000001,316.325,,,
43,20424244,32,,right,saccade,,11.0,,,1183.823,324.122,1397.835,328.459,,,
44,20424280,644,3.2977950310559003,left,fixation,12.0,,1427.3356358024698,302.137049382716,,,,,4.0,2.967809890457973,12.326045381933467
45,20424280,644,3.2977950310559003,right,fixation,,12.0,1428.7721790123499,306.29287037037005,,,,,3.0,4.162957263462505,10.421879923959949
46,20424928,32,,right,saccade,,12.0,,,1432.483,311.297,1213.904,299.843,,,
47,20424928,36,,left,saccade,12.0,,,,1433.0710000000001,300.48,1203.86,307.63599999999997,,,
48,20424964,184,3.317467391304348,right,fixation,,13.0,1184.1700212766,317.77429787233996,,,,,0.0,,
49,20424968,180,3.3172000000000006,left,fixation,13.0,,1189.22480434783,314.83306521739104,,,,,0.0,,
50,20425152,48,,left,saccade,13.0,,,,1181.315,314.27299999999997,557.98,236.497,,,
51,20425152,48,,right,saccade,,13.0,,,1181.088,322.46,553.4630000000002,219.15400000000002,,,
52,20425204,124,3.3657096774193547,right,fixation,,14.0,538.42328125,228.47903125,,,,,0.0,,
53,20425204,128,3.366,left,fixation,14.0,,536.627696969697,227.648575757576,,,,,2.0,5.987704177628832,12.823321090405967
54,20425332,16,,right,saccade,,14.0,,,530.721,227.954,465.931,219.95,,,
55,20425336,8,,left,saccade,14.0,,,,492.99699999999996,223.94799999999998,488.94699999999995,217.357,,,
56,20425348,660,3.286845454545455,left,fixation,15.0,,449.51865060241,184.409096385542,,,,,1.0,4.7536271823617975,14.348831346141065
57,20425352,656,3.2863170731707316,right,fixation,,15.0,444.101757575757,205.52887272727298,,,,,1.0,6.855731000816437,25.34858940848585
58,20426012,64,,left,saccade,15.0,,,,447.10699999999997,180.503,1421.569,274.848,,,
59,20426012,68,,right,saccade,,15.0,,,431.545,194.48,1451.549,302.435,,,
60,20426080,508,3.108615183468832,left,fixation,16.0,,1439.3904921875,297.6520859375,,,,,0.0,,
61,20426084,496,3.1079310736563324,right,fixation,,16.0,1447.237584,305.162592,,,,,3.0,4.802175543902703,29.936761514230838
62,20426584,44,,right,saccade,,16.0,,,1455.2520000000006,272.719,420.92199999999997,189.07299999999998,,,
63,20426592,40,,left,saccade,16.0,,,,1419.175,282.132,459.80400000000003,210.453,,,
64,20426732,1096,3.0909480958493787,right,fixation,,17.0,413.497996363636,185.97625454545502,,,,,10.0,20.247644093047853,68.40060496957781
65,20426744,1084,3.09094809584938,left,fixation,17.0,,439.889955882352,190.100488970588,,,,,7.0,26.790658283373013,85.08219550860207
66,20427832,36,,left,saccade,17.0,,,,451.06699999999995,181.928,451.23,498.35400000000004,,,
67,20427832,36,,right,saccade,,17.0,,,423.164,174.283,425.907,497.963,,,
68,20427872,72,3.0496666666666665,left,fixation,18.0,,455.961,508.815368421053,,,,,0.0,,
69,20427872,76,3.0495,right,fixation,,18.0,437.70315,518.732,,,,,0.0,,
70,20427948,16,,left,saccade,18.0,,,,461.93199999999996,503.166,456.097,455.1,,,
71,20427952,8,,right,saccade,,18.0,,,442.05400000000003,509.62300000000016,442.05400000000003,482.686,,,
72,20427964,160,3.076178571428572,right,fixation,,19.0,426.201170731707,444.602829268293,,,,,0.0,,
73,20427968,156,3.077384615384616,left,fixation,19.0,,435.4683,429.6078,,,,,1.0,3.8598768906677585,14.949804446881595
74,20428128,40,,left,saccade,19.0,,,,443.61800000000005,437.22,391.35400000000004,346.083,,,
75,20428128,40,,right,saccade,,19.0,,,426.185,437.754,395.11300000000006,345.20300000000015,,,
76,20428260,711,3.1953557931034484,left,fixation,20.0,,409.519162011173,428.852977653631,,,,,3.0,6.386368409158304,18.325227488362795
77,20428260,711,3.1953557931034484,right,fixation,,20.0,405.511636871508,436.280201117318,,,,,1.0,5.746090767740362,10.903677590611334
78,20428975,40,,left,saccade,20.0,,,,403.333,454.218,391.662,384.545,,,
79,20428975,40,,right,saccade,,20.0,,,396.602,463.361,384.908,395.88699999999994,,,
80,20429115,573,3.2058463960052106,right,fixation,,21.0,405.299284722222,434.491895833333,,,,,1.0,4.588620913617618,27.751693804162674
81,20429123,565,3.2058463960052106,left,fixation,21.0,,408.580887323944,425.9267535211261,,,,,3.0,3.638488531028186,22.201545761295915
82,20429692,40,,left,saccade,21.0,,,,423.50699999999995,422.98699999999997,411.892,360.473,,,
83,20429692,40,,right,saccade,,21.0,,,398.93300000000005,418.26800000000003,393.856,374.565,,,
84,20429844,232,3.1836173282981792,right,fixation,,22.0,427.17961016949204,406.677406779661,,,,,1.0,4.238298833258462,11.679439798209515
85,20429848,232,3.1836173282981792,left,fixation,22.0,,435.531322033898,395.302677966102,,,,,3.0,8.28926548042849,40.72172019278438
86,20430080,40,,right,saccade,,22.0,,,447.565,430.60400000000004,448.589,359.173,,,
87,20430084,48,,left,saccade,22.0,,,,467.096,422.56800000000004,413.777,402.106,,,
88,20430236,172,3.211807126565191,right,fixation,,23.0,450.773681818182,409.046454545454,,,,,2.0,9.67632601222926,39.70295670259391
89,20430248,156,3.2101384439932827,left,fixation,23.0,,438.52685,399.509575,,,,,2.0,5.054904883772703,12.865239875998546
90,20430408,12,,left,saccade,23.0,,,,439.50699999999995,419.92199999999997,405.30800000000005,441.19199999999995,,,
91,20430412,0,,right,saccade,,23.0,,,408.537,440.144,408.537,440.144,,,
92,20430416,491,3.2369590163934427,right,fixation,,24.0,384.7939596774189,477.5181451612901,,,,,1.0,3.5737610518269904,10.219499204951305
93,20430424,847,3.2254289099526057,left,fixation,24.0,,419.115286384977,451.292816901408,,,,,2.0,5.4045648534069475,41.889676423933956
94,20430911,0,,right,saccade,,24.0,,,386.92900000000003,446.50199999999995,386.92900000000003,446.50199999999995,,,
95,20430915,356,3.2101629213483145,right,fixation,,25.0,432.353322222222,437.31554444444396,,,,,2.0,3.1808543574900776,7.719676225278957
96,20431275,20,,right,saccade,,25.0,,,428.241,411.756,358.093,385.005,,,
97,20431275,32,,left,saccade,24.0,,,,442.82099999999997,437.173,343.587,388.736,,,
98,20431299,24,3.1210000000000004,right,fixation,,26.0,352.058857142857,373.3848571428569,,,,,0.0,,
99,20431311,624,3.1941045508374213,left,fixation,25.0,,403.759974522293,387.971974522293,,,,,5.0,6.2484452111748725,34.47151485875453
100,20431327,0,,right,saccade,,26.0,,,356.486,336.459,356.486,336.459,,,
101,20431331,608,3.1978415771871163,right,fixation,,27.0,417.70741176470597,416.973745098039,,,,,2.0,9.732160203879758,49.630535941261606
102,20431939,44,,left,saccade,25.0,,,,430.62699999999995,388.05800000000005,380.99,384.721,,,
103,20431943,40,,right,saccade,,27.0,,,424.705,384.031,390.075,363.06800000000004,,,
104,20432079,24,,right,fixation,,28.0,391.3148571428569,373.902,,,,,0.0,,
105,20432079,296,3.2260452390389656,left,fixation,26.0,,410.11996,453.377053333333,,,,,1.0,8.174081817278058,96.75876973174059
106,20432107,0,,right,saccade,,28.0,,,392.80199999999996,396.4,392.80199999999996,396.4,,,
107,20432111,264,3.2260452390389656,right,fixation,,29.0,404.802059701492,467.444910447761,,,,,0.0,,
108,20432379,44,,right,saccade,,29.0,,,409.691,492.491,938.98,514.66,,,
109,20432379,48,,left,saccade,26.0,,,,399.50699999999995,466.30800000000005,949.4680000000001,503.48900000000003,,,
110,20432427,344,3.14718023255814,right,fixation,,30.0,948.870850574713,557.1223103448269,,,,,0.0,,
111,20432431,340,3.1462941176470602,left,fixation,27.0,,963.863081395349,545.173709302326,,,,,0.0,,
112,20432775,28,,left,saccade,27.0,,,,969.7669999999999,562.2330000000002,1187.224,570.0880000000002,,,
113,20432775,32,,right,saccade,,30.0,,,943.722,537.307,1187.021,544.234,,,
114,20432807,540,3.1430485074626864,left,fixation,28.0,,1208.90880147059,577.233522058824,,,,,0.0,,
115,20432811,536,3.142966165413533,right,fixation,,31.0,1190.63803703704,565.412533333334,,,,,1.0,3.268118474154633,9.129445218631583
116,20433351,60,,left,saccade,28.0,,,,1213.51,564.77,483.434,451.44,,,
117,20433351,60,,right,saccade,,31.0,,,1178.751,579.508,459.95,460.101,,,
118,20433415,304,3.1738504609081604,left,fixation,29.0,,468.877922077922,433.293025974026,,,,,0.0,,
119,20433415,304,3.1738504609081604,right,fixation,,32.0,444.27679220779197,439.1464155844149,,,,,0.0,,
120,20433723,40,,left,saccade,29.0,,,,452.352,411.13,420.99300000000005,373.88599999999997,,,
121,20433723,40,,right,saccade,,32.0,,,430.717,427.57199999999995,413.88300000000004,343.414,,,
122,20433847,208,3.2305399999999995,left,fixation,30.0,,429.080886792453,397.69726415094397,,,,,1.0,5.130213567679228,27.865413562335736
123,20433851,204,3.2305400000000004,right,fixation,,33.0,425.690269230769,389.71794230769206,,,,,1.0,5.057137804902867,15.415309922281796
124,20434059,52,,right,saccade,,33.0,,,429.62800000000004,413.74800000000016,1173.976,499.001,,,
125,20434059,56,,left,saccade,30.0,,,,425.337,409.908,1183.645,513.27,,,
126,20434115,572,3.1290879310344826,right,fixation,,34.0,1184.62336805556,532.020826388889,,,,,1.0,3.1448322689771784,6.1338813976144735
127,20434119,568,3.1284913194444446,left,fixation,31.0,,1196.78666433566,542.068097902098,,,,,2.0,3.1049906035654025,7.348652506664113
128,20434691,28,,right,saccade,,34.0,,,1193.0339999999999,537.17,1374.1979999999999,530.379,,,
129,20434691,32,,left,saccade,31.0,,,,1198.5,558.335,1421.638,551.3580000000002,,,
130,20434723,480,3.121949579831932,right,fixation,,35.0,1417.4527768595,562.710388429752,,,,,2.0,5.274055748957865,20.02473717316695
131,20434727,472,3.1217948717948723,left,fixation,32.0,,1443.31440336135,549.038630252101,,,,,0.0,,
132,20435203,68,,left,saccade,32.0,,,,1438.365,561.0219999999998,417.475,451.06199999999995,,,
133,20435207,64,,right,saccade,,35.0,,,1434.398,572.9,395.25,458.43199999999996,,,
134,20435275,500,3.2169158333333336,right,fixation,,36.0,390.10049206349197,437.89619841269797,,,,,2.0,6.039670073058147,32.59425176381662
135,20435275,508,3.2169158333333336,left,fixation,33.0,,402.65296875,436.90728125,,,,,1.0,4.224399944239286,28.040521036528503
136,20435779,44,,right,saccade,,36.0,,,437.19699999999995,434.92400000000004,411.36800000000005,363.17699999999996,,,
137,20435787,40,,left,saccade,33.0,,,,429.776,402.94300000000004,421.17199999999997,341.5030000000001,,,
138,20435927,428,3.1935465403098435,left,fixation,34.0,,415.69278703703696,421.23324074074094,,,,,3.0,6.984367639802773,29.07142512172197
139,20435927,428,3.1935465403098435,right,fixation,,37.0,406.960648148148,435.689935185185,,,,,2.0,8.01863368433549,34.626452102324144
140,20436359,40,,right,saccade,,37.0,,,381.91,468.47,369.215,383.904,,,
141,20436359,48,,left,saccade,34.0,,,,401.21,475.01,385.42,321.138,,,
142,20436507,24,,left,fixation,35.0,,385.137857142857,332.827,,,,,1.0,7.241000838205244,19.909659163330787
143,20436507,576,3.167611032100772,right,fixation,,38.0,410.059103448276,436.62275862069,,,,,6.0,4.801973205052887,15.788349809467595
144,20436535,4,,left,saccade,35.0,,,,387.105,354.175,387.832,362.506,,,
145,20436543,540,3.167611032100772,left,fixation,36.0,,412.364301470588,415.840169117647,,,,,3.0,3.585362960621838,22.11682141776318
146,20437087,40,,right,saccade,,38.0,,,450.01199999999994,446.787,442.38,338.983,,,
147,20437087,48,,left,saccade,36.0,,,,446.351,419.01199999999994,426.472,322.936,,,
148,20437243,12,,right,fixation,,39.0,441.65425,345.954,,,,,0.0,,
149,20437247,24,,left,fixation,37.0,,426.6871428571431,317.857,,,,,1.0,9.583451763036347,22.120649764417003
150,20437259,8,,right,saccade,,39.0,,,437.18699999999995,367.397,437.18699999999995,385.355,,,
151,20437271,136,3.01095,right,fixation,,40.0,451.864371428571,424.460028571428,,,,,2.0,3.837980359628544,7.762895518978574
152,20437275,12,,left,saccade,37.0,,,,429.38699999999994,331.148,435.996,372.106,,,
153,20437291,116,3.01095,left,fixation,38.0,,450.061133333333,405.9134,,,,,0.0,,
154,20437411,52,,left,saccade,38.0,,,,448.091,422.79900000000004,1063.644,516.091,,,
155,20437411,52,,right,saccade,,40.0,,,451.914,443.38599999999997,1068.403,528.433,,,
156,20437467,92,3.0628043478260882,right,fixation,,41.0,1067.99945833333,566.982041666667,,,,,0.0,,
157,20437467,100,3.0631000000000004,left,fixation,39.0,,1082.41219230769,546.9193461538459,,,,,0.0,,
158,20437563,0,,right,saccade,,41.0,,,1074.253,575.849,1074.253,575.849,,,
159,20437567,0,,right,fixation,,42.0,1079.875,574.379,,,,,0.0,,
160,20437571,12,,right,saccade,,42.0,,,1095.335,572.568,1126.33,571.539,,,
161,20437571,16,,left,saccade,39.0,,,,1101.618,556.419,1158.545,565.612,,,
162,20437587,224,3.0669636363636363,right,fixation,,43.0,1177.9876666666698,571.693578947368,,,,,2.0,4.310894225609748,12.164818859372886
