,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,7647982,268,3.60760294117647,left,fixation,1.0,,571.124176470588,532.159,,,,,0.0,,
1,7647982,272,3.6066231884057967,right,fixation,,1.0,545.1756811594212,524.041681159421,,,,,0.0,,
2,7648254,40,,left,saccade,1.0,,,,564.599,524.0369999999998,539.475,136.731,,,
3,7648258,36,,right,saccade,,1.0,,,551.49,528.9069999999998,549.79,163.241,,,
4,7648298,244,3.4850391425908662,left,fixation,2.0,,532.595209677419,131.15875806451598,,,,,3.0,3.207976990645463,12.61803245923798
5,7648298,252,3.4850391425908662,right,fixation,,2.0,530.56409375,164.712375,,,,,1.0,2.077389581234621,4.237832700803562
6,7648546,40,,left,saccade,2.0,,,,537.884,156.879,518.731,160.792,,,
7,7648554,40,,right,saccade,,2.0,,,528.259,143.209,505.05400000000003,155.404,,,
8,7648662,700,3.382086206896552,right,fixation,,3.0,523.946318181818,156.86252272727302,,,,,5.0,4.87923757960562,16.861432842451094
9,7648666,692,3.3822534722222213,left,fixation,3.0,,535.791431034483,143.085781609195,,,,,2.0,7.473481890141954,35.948558911750425
10,7649362,24,,left,saccade,3.0,,,,558.089,129.657,521.644,243.03900000000002,,,
11,7649366,20,,right,saccade,,3.0,,,544.31,163.89,514.231,234.695,,,
12,7649390,784,3.466923469387756,left,fixation,4.0,,504.36477157360395,234.412487309645,,,,,3.0,3.0080162554141743,8.327320453508124
13,7649390,784,3.466923469387756,right,fixation,,4.0,497.275335025381,221.444045685279,,,,,5.0,3.6676844144947376,19.150337130442725
14,7650178,24,,right,saccade,,4.0,,,498.69599999999997,216.14700000000002,680.922,222.15900000000002,,,
15,7650178,28,,left,saccade,4.0,,,,490.019,202.641,692.382,216.169,,,
16,7650206,264,3.5851818181818182,right,fixation,,5.0,710.3426119402991,217.98762686567198,,,,,4.0,4.328216621217215,11.711861124700455
17,7650210,260,3.5854307692307685,left,fixation,5.0,,711.737348484848,241.512787878788,,,,,2.0,5.019193701605992,26.63574314775034
18,7650474,28,,left,saccade,5.0,,,,735.0219999999997,239.37900000000002,988.597,234.301,,,
19,7650474,28,,right,saccade,,5.0,,,740.6410000000003,233.237,987.6339999999999,226.519,,,
20,7650506,200,3.62896,left,fixation,6.0,,994.7947647058819,234.94437254902002,,,,,0.0,,
21,7650506,200,3.62896,right,fixation,,6.0,992.2449019607852,219.779098039216,,,,,0.0,,
22,7650710,28,,left,saccade,6.0,,,,992.454,232.674,1260.1480000000001,244.912,,,
23,7650710,28,,right,saccade,,6.0,,,998.2919999999999,243.761,1241.068,257.518,,,
24,7650742,216,3.593601851851852,left,fixation,7.0,,1256.34574545455,233.84463636363603,,,,,1.0,3.16987392406138,6.4456256484533885
25,7650742,220,3.5931090909090915,right,fixation,,7.0,1247.79692857143,244.372821428572,,,,,1.0,4.370497648374206,8.006015987993058
26,7650962,60,,left,saccade,7.0,,,,1265.525,218.255,501.166,218.77599999999998,,,
