,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2982180,68,3.717388888888889,left,fixation,1.0,,420.3888333333329,718.223944444444,,,,,2.0,80.4906413381434,63.28191491461726
1,2982180,72,3.7166315789473687,right,fixation,,1.0,480.327631578947,758.948631578947,,,,,0.0,,
2,2982252,8,,left,saccade,1.0,,,,406.73400000000004,709.742,394.061,707.4069999999997,,,
3,2982256,16,,right,saccade,,1.0,,,479.825,757.181,453.356,693.3560000000001,,,
4,2982264,268,3.676738805970149,left,fixation,2.0,,389.74019117647003,663.068852941176,,,,,10.0,10.76690209729671,33.10710444254943
5,2982276,252,3.6756269841269837,right,fixation,,2.0,433.011640625,676.053421875,,,,,1.0,4.631731719586318,11.931173454442757
6,2982532,32,,right,saccade,,2.0,,,441.385,705.811,438.935,255.33900000000003,,,
7,2982536,32,,left,saccade,2.0,,,,400.18300000000005,665.388,388.255,260.54,,,
8,2982568,84,,right,fixation,,3.0,436.262545454545,252.117181818182,,,,,1.0,3.553881735354857,7.86928319480239
9,2982572,4,,left,fixation,3.0,,387.819,259.195,,,,,0.0,,
10,2982580,12,,left,saccade,3.0,,,,387.38300000000004,257.85,386.685,204.662,,,
11,2982596,44,,left,fixation,4.0,,396.1973333333329,194.64108333333303,,,,,0.0,,
12,2982644,44,,left,saccade,4.0,,,,404.449,184.30900000000003,336.534,102.456,,,
13,2982656,44,,right,saccade,,3.0,,,422.712,246.304,331.8769999999999,120.303,,,
14,2982760,500,3.6818379888268153,right,fixation,,4.0,383.339404761905,134.567666666667,,,,,1.0,6.540857361827858,55.61728200838298
15,2982812,0,,left,fixation,5.0,,336.534,102.456,,,,,0.0,,
16,2982816,12,,left,saccade,5.0,,,,333.14300000000014,86.476,327.685,46.388999999999996,,,
17,2982832,76,3.653875,left,fixation,6.0,,339.57525,40.36445,,,,,2.0,4.419851410540504,12.497033996103276
18,2982912,16,,left,saccade,6.0,,,,363.543,63.442,375.333,111.8,,,
19,2982932,324,3.6840740740740734,left,fixation,7.0,,370.524914634147,125.13313414634099,,,,,0.0,,
20,2983260,24,,left,saccade,7.0,,,,382.202,135.162,436.719,199.88,,,
21,2983264,12,,right,saccade,,4.0,,,402.566,171.392,446.06699999999995,204.503,,,
22,2983280,372,3.585822580645161,right,fixation,,5.0,470.668393617022,251.00805319148893,,,,,2.0,14.565332670405658,38.61119587596771
23,2983288,364,3.583994505494505,left,fixation,8.0,,461.59107608695604,231.36629347826096,,,,,1.0,7.25581928140748,24.165012331881837
24,2983656,20,,left,saccade,8.0,,,,468.667,242.702,400.293,120.53399999999999,,,
25,2983656,28,,right,saccade,,5.0,,,480.853,287.113,409.726,173.93099999999995,,,
26,2983680,3339,3.734810551558753,left,fixation,9.0,,378.32496531100486,95.9343110047847,,,,,3.0,3.910560086274233,13.579802038646376
27,2983688,3331,3.735299879807692,right,fixation,,6.0,394.559070743405,138.916717026379,,,,,6.0,4.177069405117,12.400007429078515
28,2987023,24,,left,saccade,9.0,,,,366.036,79.298,472.904,130.608,,,
29,2987023,24,,right,saccade,,6.0,,,398.526,128.175,485.54900000000004,212.606,,,
30,2987051,700,3.981557142857144,left,fixation,10.0,,477.05885227272796,195.070698863636,,,,,2.0,7.185560084869348,15.249178801417685
31,2987051,700,3.981557142857144,right,fixation,,7.0,485.09303977272697,249.463448863637,,,,,1.0,8.670464291361673,33.927709324385624
32,2987755,28,,right,saccade,,7.0,,,493.537,273.868,729.607,251.62900000000002,,,
33,2987755,32,,left,saccade,10.0,,,,484.483,234.03099999999998,730.077,230.77700000000002,,,
34,2987787,336,3.923392857142857,right,fixation,,8.0,724.313435294118,250.674270588235,,,,,2.0,5.826225589789832,23.400773459275694
35,2987791,332,3.9233554216867472,left,fixation,11.0,,724.3788571428571,233.28530952381,,,,,1.0,8.817167399139262,55.608649156403764
36,2988127,28,,right,saccade,,8.0,,,707.383,232.455,981.88,208.827,,,
37,2988127,32,,left,saccade,11.0,,,,711.255,223.457,950.416,244.83,,,
38,2988159,444,3.860707207207207,right,fixation,,9.0,976.160044642858,227.295267857143,,,,,1.0,6.683597611150595,22.531357393641454
39,2988163,440,3.8605227272727283,left,fixation,12.0,,963.7829189189192,252.167612612612,,,,,2.0,4.800442953065692,14.712133269991677
40,2988607,32,,right,saccade,,9.0,,,958.058,221.771,1243.766,236.851,,,
41,2988607,36,,left,saccade,12.0,,,,943.107,261.096,1204.4460000000001,247.095,,,
42,2988643,148,3.776621621621623,right,fixation,,10.0,1267.34560526316,226.369131578947,,,,,1.0,7.492972211049273,18.046367085926345
43,2988647,408,3.723372549019608,left,fixation,13.0,,1206.27209708738,251.138514563107,,,,,4.0,6.373034464330367,20.141941413199984
44,2988795,0,,right,saccade,,10.0,,,1256.095,221.94,1256.095,221.94,,,
45,2988799,256,3.6924609375,right,fixation,,11.0,1204.6230769230801,214.891723076923,,,,,0.0,,
46,2989059,28,,right,saccade,,11.0,,,1198.7269999999999,249.05900000000003,1444.1770000000001,252.135,,,
47,2989059,36,,left,saccade,13.0,,,,1174.336,260.527,1455.455,241.58599999999998,,,
48,2989091,408,3.5899754901960783,right,fixation,,12.0,1454.18783495146,265.134854368932,,,,,0.0,,
49,2989099,400,3.589265,left,fixation,14.0,,1460.11731683168,262.140326732673,,,,,2.0,3.4085187786032884,7.634179687162021
50,2989503,60,,left,saccade,14.0,,,,1462.207,263.89099999999996,714.971,376.25300000000004,,,
51,2989503,72,,right,saccade,,12.0,,,1449.556,263.64599999999996,702.368,426.392,,,
52,2989567,100,3.7186,left,fixation,15.0,,705.2773846153841,408.980615384615,,,,,1.0,7.4882864157592675,7.390488820098401
53,2989579,88,3.7203636363636363,right,fixation,,13.0,704.370217391304,455.020956521739,,,,,0.0,,
54,2989671,28,,right,saccade,,13.0,,,710.6519999999997,466.869,828.704,225.187,,,
55,2989671,32,,left,saccade,15.0,,,,701.995,427.092,857.855,192.748,,,
56,2989703,108,3.6689074074074064,right,fixation,,14.0,840.020321428571,228.00560714285703,,,,,0.0,,
