,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2993755,4,3.1095,left,fixation,1.0,,1044.425,489.56,,,,,0.0,,
1,2993755,4,3.1095,right,fixation,,1.0,1096.4,490.661,,,,,0.0,,
2,2993763,36,,right,saccade,,1.0,,,1096.4,490.661,788.087,314.14099999999996,,,
3,2993763,40,,left,saccade,1.0,,,,1044.425,489.56,778.1060000000001,346.459,,,
4,2993803,152,3.116934210526316,right,fixation,,2.0,788.420666666667,329.26517948718,,,,,1.0,3.084672231822636,6.836870629169407
5,2993807,152,3.1169605263157885,left,fixation,2.0,,778.1893589743588,325.175,,,,,2.0,5.496060640088153,23.3195905096562
6,2993959,32,,right,saccade,,2.0,,,786.075,325.551,594.279,212.282,,,
7,2993963,28,,left,saccade,2.0,,,,778.211,302.925,592.673,192.269,,,
8,2993994,121,3.144564516129032,left,fixation,3.0,,555.211258064516,187.06564516128998,,,,,1.0,3.635112886066199,18.46214684157837
9,2993994,121,3.144564516129032,right,fixation,,3.0,562.938516129032,194.57990322580602,,,,,1.0,3.85246475576928,21.05536292729239
10,2994119,16,,left,saccade,3.0,,,,547.874,188.437,488.126,197.644,,,
11,2994119,16,,right,saccade,,3.0,,,556.288,186.56900000000002,495.19599999999997,195.102,,,
12,2994139,108,3.1404823529411767,left,fixation,4.0,,470.626821428571,215.584321428571,,,,,0.0,,
13,2994139,108,3.1404823529411767,right,fixation,,4.0,472.837,204.03282142857103,,,,,1.0,6.033675726932776,7.607543953208567
14,2994251,48,,left,saccade,4.0,,,,461.772,220.44400000000002,425.305,169.926,,,
15,2994251,40,,right,saccade,,4.0,,,474.486,213.082,474.483,169.755,,,
16,2994391,759,3.0209728008634644,right,fixation,,5.0,505.264790575916,210.848356020942,,,,,10.0,3.5412283373323774,15.241523837609328
17,2994399,284,3.0475484829721355,left,fixation,5.0,,442.53397222222196,181.78873611111092,,,,,1.0,5.981918377261777,23.28162238762581
18,2994687,12,,left,saccade,5.0,,,,445.689,178.642,491.852,184.71200000000002,,,
19,2994703,443,3.0091318181818183,left,fixation,6.0,,530.063589285714,195.575544642857,,,,,3.0,2.5994568409557703,7.539398806278101
20,2995150,4,,left,saccade,6.0,,,,509.149,194.894,496.657,195.183,,,
21,2995154,4,,right,saccade,,5.0,,,495.325,215.782,484.26199999999994,215.666,,,
22,2995158,356,3.01047191011236,left,fixation,7.0,,446.5685666666671,188.917844444444,,,,,4.0,3.8253169136833214,13.11723619979086
23,2995162,344,3.0106162790697675,right,fixation,,6.0,451.70716091954,187.800873563218,,,,,4.0,2.7095901534350544,16.096603739416484
24,2995510,16,,right,saccade,,6.0,,,459.68800000000016,194.032,515.21,199.475,,,
25,2995518,8,,left,saccade,7.0,,,,465.94,205.597,497.667,200.91400000000002,,,
26,2995530,624,3.0245160256410246,left,fixation,8.0,,519.100955414013,182.15617834394902,,,,,1.0,3.39167658065707,12.497577685295642
27,2995530,624,3.0245160256410246,right,fixation,,7.0,532.921668789809,209.690140127389,,,,,3.0,2.3908527331401284,8.534259315200106
28,2996158,16,,right,saccade,,7.0,,,529.181,204.16099999999997,446.425,205.69099999999997,,,
29,2996158,20,,left,saccade,8.0,,,,521.822,186.607,438.777,184.636,,,
30,2996178,264,3.04675,right,fixation,,8.0,435.163552238806,181.357880597015,,,,,2.0,3.1749527774381407,12.44676247373723
31,2996182,260,3.046815384615385,left,fixation,9.0,,429.080787878788,182.610803030303,,,,,0.0,,
