,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2371624,12,3.439,left,fixation,1.0,,391.4145,689.2785,,,,,0.0,,
1,2371624,12,3.439,right,fixation,,1.0,403.73275,731.023,,,,,0.0,,
2,2371640,36,,left,saccade,1.0,,,,395.316,689.441,475.44300000000004,178.38299999999995,,,
3,2371640,40,,right,saccade,,1.0,,,404.76199999999994,731.317,501.23,217.157,,,
4,2371680,180,3.4390222222222224,left,fixation,2.0,,508.14628260869597,151.301391304348,,,,,1.0,6.787468276987461,12.762296854406776
5,2371684,176,3.439193181818182,right,fixation,,2.0,499.282466666667,176.56077777777801,,,,,0.0,,
6,2371864,8,,left,saccade,2.0,,,,495.835,133.381,478.81699999999995,128.855,,,
7,2371864,16,,right,saccade,,2.0,,,500.67,178.605,442.57300000000004,181.921,,,
8,2371876,384,3.374348958333333,left,fixation,3.0,,449.449113402062,149.643371134021,,,,,0.0,,
9,2371884,372,3.3737688172043008,right,fixation,,3.0,429.714468085106,183.45202127659599,,,,,0.0,,
10,2372260,60,,right,saccade,,3.0,,,420.82099999999997,213.976,1007.42,880.5160000000003,,,
11,2372264,56,,left,saccade,3.0,,,,447.48199999999997,174.80599999999995,1015.298,862.547,,,
12,2372324,156,3.464833333333333,left,fixation,4.0,,1019.88725,893.112275,,,,,0.0,,
13,2372324,156,3.464833333333333,right,fixation,,4.0,1001.139025,912.191875,,,,,0.0,,
14,2372484,36,,left,saccade,4.0,,,,1019.789,892.8919999999997,1489.168,906.2660000000001,,,
15,2372484,36,,right,saccade,,4.0,,,1000.7139999999999,916.326,1496.494,915.22,,,
16,2372524,168,3.4558928571428567,left,fixation,5.0,,1515.7245348837198,901.87111627907,,,,,1.0,3.6555089932867566,8.379767836879365
17,2372524,172,3.456162790697675,right,fixation,,5.0,1494.65929545455,908.1859999999988,,,,,0.0,,
18,2372696,60,,left,saccade,5.0,,,,1525.3329999999999,897.452,385.565,188.99900000000002,,,
