,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2256912,192,3.1936479591836733,left,fixation,1.0,,427.366183673469,573.777285714286,,,,,0.0,,
1,2256912,192,3.1936479591836733,right,fixation,,1.0,414.561326530612,588.32318367347,,,,,1.0,2.5125362683949364,7.246407385732567
2,2257108,32,,left,saccade,1.0,,,,422.86800000000005,548.997,428.004,238.29,,,
3,2257108,32,,right,saccade,,1.0,,,417.781,595.342,456.889,289.808,,,
4,2257144,928,3.3279533286085514,right,fixation,,2.0,462.137957081546,178.547587982833,,,,,7.0,4.139645095301927,24.400603550964213
5,2257144,936,3.3279533286085514,left,fixation,2.0,,446.168919148936,133.203910638298,,,,,8.0,4.914397051996035,27.324995014310907
6,2258076,40,,right,saccade,,2.0,,,508.626,167.61900000000003,440.691,158.082,,,
7,2258084,40,,left,saccade,2.0,,,,484.80800000000005,140.61700000000002,395.89300000000003,135.92700000000002,,,
8,2258212,392,3.319197183098592,left,fixation,3.0,,389.900828282828,108.32051515151501,,,,,3.0,3.732665707008415,21.24496914309451
9,2258212,400,3.3194109589041094,right,fixation,,3.0,412.246089108911,150.75755445544598,,,,,2.0,3.0841350110483905,8.17740522026352
10,2258608,20,,left,saccade,3.0,,,,398.376,112.90899999999999,429.579,178.329,,,
11,2258616,12,,right,saccade,,3.0,,,425.824,179.852,437.751,216.49200000000002,,,
12,2258632,292,3.3053356164383563,right,fixation,,4.0,473.32491891891885,258.339783783784,,,,,1.0,5.409436697927856,21.210619321462595
13,2258632,300,3.3048333333333333,left,fixation,4.0,,459.460828947368,216.539210526316,,,,,1.0,4.1860824997178865,6.638789799353487
14,2258928,12,,right,saccade,,4.0,,,475.212,247.021,470.10699999999997,204.683,,,
15,2258936,12,,left,saccade,4.0,,,,467.225,210.87599999999998,459.416,167.484,,,
16,2258944,808,3.334905940594058,right,fixation,,5.0,440.155315270936,154.463458128079,,,,,3.0,3.4936049055870253,17.802019246693362
17,2258952,796,3.3351105527638185,left,fixation,5.0,,424.297605,127.71413999999999,,,,,5.0,2.9466218202179086,11.378621824929171
18,2259752,24,,left,saccade,5.0,,,,394.352,119.68700000000001,516.467,123.946,,,
19,2259756,20,,right,saccade,,5.0,,,428.75199999999995,159.02200000000005,548.0840000000002,153.819,,,
20,2259780,168,3.3749166666666666,left,fixation,6.0,,526.038534883721,130.986627906977,,,,,1.0,1.9832635842077224,3.793721787374511
21,2259780,168,3.3749166666666666,right,fixation,,6.0,547.344860465117,150.60848837209298,,,,,1.0,2.5837786336638446,5.0810200747487215
22,2259952,28,,right,saccade,,6.0,,,548.931,154.24200000000005,701.9739999999997,239.17,,,
