,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2919890,104,3.282828703703704,left,fixation,1.0,,1422.7858518518499,204.688740740741,,,,,1.0,10.357334042707242,41.988439135076206
1,2919890,108,3.283120535714286,right,fixation,,1.0,1434.29457142857,146.789857142857,,,,,0.0,,
2,2919998,36,,left,saccade,1.0,,,,1462.766,155.562,1085.163,188.36,,,
3,2920002,44,,right,saccade,,1.0,,,1433.819,146.273,1083.92,200.37,,,
4,2920038,137,3.2569999999999997,left,fixation,2.0,,1058.4482,229.285257142857,,,,,0.0,,
5,2920050,125,3.2555468750000003,right,fixation,,2.0,1058.0760625,237.11853125,,,,,0.0,,
6,2920179,43,,left,saccade,2.0,,,,1045.0430000000001,234.315,559.1080000000002,272.666,,,
7,2920179,43,,right,saccade,,2.0,,,1043.213,271.056,543.226,274.841,,,
8,2920226,148,3.2773513513513515,left,fixation,3.0,,549.61347368421,295.688973684211,,,,,0.0,,
9,2920226,152,3.2771184210526316,right,fixation,,3.0,510.23084615384596,298.313538461539,,,,,1.0,6.766798284844768,12.131254057186391
10,2920378,28,,left,saccade,3.0,,,,547.369,306.828,471.13300000000004,188.984,,,
11,2920382,24,,right,saccade,,3.0,,,515.502,292.884,439.69,202.449,,,
12,2920410,305,3.312948051948052,left,fixation,4.0,,440.051818181818,177.742818181818,,,,,0.0,,
13,2920410,309,3.31273717948718,right,fixation,,4.0,433.704256410256,178.56987179487203,,,,,0.0,,
14,2920719,20,,left,saccade,4.0,,,,456.11300000000006,197.82299999999998,476.32,278.851,,,
15,2920723,20,,right,saccade,,4.0,,,428.217,209.168,478.44300000000004,248.56,,,
16,2920743,144,3.2904722222222222,left,fixation,5.0,,508.93032432432403,305.95343243243303,,,,,0.0,,
17,2920747,140,3.2902142857142858,right,fixation,,5.0,505.847861111111,284.803166666667,,,,,0.0,,
18,2920891,24,,left,saccade,5.0,,,,502.292,317.95799999999997,471.095,167.451,,,
19,2920891,24,,right,saccade,,5.0,,,498.14,308.716,471.168,178.91,,,
20,2920919,1155,3.366923611111111,left,fixation,6.0,,439.735786206897,154.819924137931,,,,,1.0,7.940403953480242,22.578560560850672
21,2920919,1155,3.366923611111111,right,fixation,,6.0,428.484337931035,167.518451724138,,,,,1.0,6.5090556492047575,16.2681062204548
22,2922078,32,,right,saccade,,6.0,,,465.904,168.541,697.0039999999997,236.44799999999998,,,
23,2922078,52,,left,saccade,6.0,,,,479.92699999999996,166.644,714.3639999999997,261.182,,,
24,2922114,220,3.2823909090909096,right,fixation,,7.0,732.381071428571,272.430392857143,,,,,0.0,,
25,2922134,200,3.27937,left,fixation,7.0,,720.1741960784309,286.910764705882,,,,,1.0,8.113908965131682,14.018491359629257
26,2922338,24,,left,saccade,7.0,,,,725.8510000000001,286.232,896.237,282.1740000000001,,,
27,2922338,24,,right,saccade,,7.0,,,740.4910000000001,275.94599999999997,906.5189999999999,288.596,,,
28,2922366,296,3.2425202702702705,right,fixation,,8.0,937.458706666666,276.56885333333304,,,,,0.0,,
29,2922366,300,3.2421733333333336,left,fixation,8.0,,934.732855263158,295.331763157895,,,,,0.0,,
30,2922666,32,,right,saccade,,8.0,,,933.1389999999999,290.395,1154.3010000000004,282.988,,,
31,2922670,28,,left,saccade,8.0,,,,941.553,294.39799999999997,1135.219,299.111,,,
32,2922702,260,3.196984615384616,left,fixation,9.0,,1159.53262121212,285.829863636364,,,,,0.0,,
33,2922702,913,3.1821986899563317,right,fixation,,9.0,1179.5302401746699,252.969908296943,,,,,2.0,6.803492623769458,17.345100904688447
34,2922966,16,,left,saccade,9.0,,,,1174.0910000000001,290.78,1185.157,229.625,,,
35,2922986,629,3.175756329113924,left,fixation,10.0,,1191.02655696203,262.650012658228,,,,,1.0,8.800823271149115,28.172233227062392
36,2923619,59,,right,saccade,,9.0,,,1183.761,240.982,525.146,141.668,,,
37,2923619,63,,left,saccade,10.0,,,,1186.786,244.50799999999998,553.977,154.997,,,
38,2923682,136,3.2199117647058824,right,fixation,,10.0,523.197142857143,127.17802857142901,,,,,0.0,,
39,2923686,320,3.221861111111111,left,fixation,11.0,,497.12161728394994,146.491913580247,,,,,1.0,12.239728579280026,44.76503507202917
40,2923822,16,,right,saccade,,10.0,,,531.7180000000002,132.954,458.67699999999996,133.535,,,
41,2923842,164,3.220958333333334,right,fixation,,11.0,462.313857142857,170.188976190476,,,,,0.0,,
42,2924010,56,,left,saccade,11.0,,,,479.30199999999996,200.976,1099.125,223.419,,,
43,2924010,56,,right,saccade,,11.0,,,470.19300000000004,171.567,1121.862,255.484,,,
44,2924070,288,3.191205479452055,left,fixation,12.0,,1154.93324657534,274.259438356164,,,,,3.0,7.216424914661137,17.925310580064266
45,2924070,288,3.191205479452055,right,fixation,,12.0,1156.42187671233,268.417260273973,,,,,1.0,9.613347182722343,42.36096979531975
46,2924362,52,,left,saccade,12.0,,,,1184.641,263.77,491.365,450.55300000000005,,,
47,2924362,56,,right,saccade,,12.0,,,1168.245,270.188,446.849,387.095,,,
48,2924418,2740,3.2167470760233923,left,fixation,13.0,,412.967829446064,450.7321924198249,,,,,0.0,,
49,2924422,0,,right,fixation,,13.0,446.60699999999997,391.225,,,,,0.0,,
50,2924426,4,,right,saccade,,13.0,,,444.99199999999996,395.845,441.725,407.276,,,
51,2924434,2984,3.2193873994638067,right,fixation,,14.0,418.385734939758,448.092390896921,,,,,6.0,9.848904367120689,29.310447299639677
52,2927162,12,,left,saccade,13.0,,,,414.164,514.696,436.76,540.813,,,
53,2927178,240,3.244475409836065,left,fixation,14.0,,488.672344262295,596.6177540983609,,,,,0.0,,
54,2927422,28,,right,saccade,,14.0,,,483.967,576.813,705.171,562.206,,,
55,2927422,32,,left,saccade,14.0,,,,502.565,608.452,690.932,585.279,,,
56,2927454,492,3.233598360655738,right,fixation,,15.0,718.7605725806461,551.187798387097,,,,,1.0,13.486434799868743,54.24471422175618
57,2927458,488,3.2333347107438017,left,fixation,15.0,,717.995211382114,544.239894308943,,,,,2.0,7.637874725959749,23.394910179148088
58,2927950,40,,left,saccade,15.0,,,,723.188,508.749,501.901,481.957,,,
59,2927950,40,,right,saccade,,15.0,,,726.7869999999997,524.36,471.14,435.157,,,
60,2927994,280,3.1697753623188407,left,fixation,16.0,,467.27512676056296,451.1964788732389,,,,,1.0,5.381043031895501,15.040637021083937
61,2927994,280,3.1697753623188407,right,fixation,,16.0,468.943070422535,420.006408450704,,,,,0.0,,
62,2928278,32,,left,saccade,16.0,,,,477.468,457.906,671.2719999999998,475.45099999999996,,,
63,2928278,40,,right,saccade,,16.0,,,471.838,385.048,681.752,473.162,,,
64,2928314,176,3.180916666666666,left,fixation,17.0,,700.680133333333,513.530577777778,,,,,0.0,,
65,2928322,168,3.180168604651163,right,fixation,,17.0,697.9407674418599,492.38162790697686,,,,,0.0,,
66,2928494,32,,left,saccade,17.0,,,,701.426,542.396,460.856,526.188,,,
67,2928494,32,,right,saccade,,17.0,,,696.1419999999997,487.926,445.029,485.093,,,
68,2928530,356,3.2248033707865176,left,fixation,18.0,,430.387955555556,487.559111111111,,,,,0.0,,
69,2928530,356,3.2248033707865176,right,fixation,,18.0,428.492433333333,465.2152,,,,,0.0,,
70,2928890,28,,left,saccade,18.0,,,,415.13699999999994,476.914,611.3530000000002,497.66,,,
71,2928890,28,,right,saccade,,18.0,,,404.24800000000016,444.24300000000005,615.444,496.19599999999997,,,
72,2928922,324,3.203823170731708,left,fixation,19.0,,687.611134146342,533.1759268292681,,,,,1.0,10.096049426769747,49.76131852151832
73,2928922,324,3.203823170731708,right,fixation,,19.0,683.330451219512,538.015036585366,,,,,2.0,7.853128611177549,32.32765353698725
74,2929250,32,,right,saccade,,19.0,,,710.697,538.107,467.292,458.37300000000016,,,
75,2929250,36,,left,saccade,19.0,,,,719.824,534.7959999999998,477.284,489.68,,,
76,2929286,3280,3.218960975609756,right,fixation,,20.0,405.088473812424,437.590633373934,,,,,6.0,6.5859497780256815,24.796351749510716
77,2929290,3276,3.2189639804639807,left,fixation,20.0,,423.07768902438903,469.016546341463,,,,,1.0,7.022320273796806,35.645848355734216
78,2932570,28,,right,saccade,,20.0,,,421.064,451.642,618.825,485.041,,,
79,2932570,32,,left,saccade,20.0,,,,438.105,483.12,621.54,510.593,,,
80,2932602,132,3.250954545454545,right,fixation,,21.0,624.1593529411757,518.067970588235,,,,,0.0,,
81,2932606,388,3.2530773195876286,left,fixation,21.0,,679.652357142857,556.939183673469,,,,,0.0,,
82,2932738,20,,right,saccade,,21.0,,,637.553,525.206,698.605,575.375,,,
83,2932762,232,3.254637931034482,right,fixation,,22.0,713.2218135593221,570.584101694915,,,,,0.0,,
84,2932998,32,,left,saccade,21.0,,,,698.074,583.0,513.619,489.966,,,
85,2932998,36,,right,saccade,,22.0,,,711.212,545.774,481.736,451.20099999999996,,,
86,2933034,84,3.189071428571429,left,fixation,22.0,,481.31077272727305,446.70122727272695,,,,,1.0,13.939945138780935,34.64557364224186
87,2933038,740,3.1603675675675684,right,fixation,,23.0,448.437747311828,419.89314516128997,,,,,1.0,7.73188264590197,16.947267419852686
88,2933122,0,,left,saccade,22.0,,,,472.71,467.343,472.71,467.343,,,
89,2933126,652,3.156570552147239,left,fixation,23.0,,451.458737804878,465.1827987804869,,,,,1.0,8.67580353787347,26.556906691103944
90,2933782,20,,right,saccade,,23.0,,,446.275,411.47900000000004,413.291,492.949,,,
91,2933782,24,,left,saccade,23.0,,,,433.455,438.091,418.884,541.321,,,
92,2933806,464,3.18909051724138,right,fixation,,24.0,390.392803418804,503.195846153846,,,,,0.0,,
93,2933810,460,3.189134782608696,left,fixation,24.0,,409.49254310344804,531.234206896552,,,,,0.0,,
94,2934274,20,,right,saccade,,24.0,,,384.585,499.861,387.655,708.6569999999997,,,
95,2934274,24,,left,saccade,24.0,,,,416.913,535.502,412.895,682.507,,,
96,2934298,1884,3.1763619957537155,right,fixation,,25.0,401.96275423728895,764.503887711864,,,,,4.0,10.383566269635752,35.35316837410045
97,2934302,0,,left,fixation,25.0,,410.921,701.831,,,,,0.0,,
98,2934306,0,,left,saccade,25.0,,,,407.73699999999997,705.115,407.73699999999997,705.115,,,
99,2934310,1608,3.17444776119403,left,fixation,26.0,,432.65264764268,740.07012406948,,,,,1.0,7.183772904184059,44.67744931170535
100,2935922,20,,left,saccade,26.0,,,,423.55800000000005,736.554,453.2,805.53,,,
101,2935946,236,3.1856779661016965,left,fixation,27.0,,476.693266666667,828.922516666667,,,,,0.0,,
102,2936186,24,,left,saccade,27.0,,,,464.957,835.97,441.30800000000005,721.325,,,
