,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2884097,100,3.457653846153846,left,fixation,1.0,,621.150769230769,317.819346153846,,,,,1.0,4.5500775481791855,10.810734295134573
1,2884097,104,3.457351851851852,right,fixation,,1.0,648.303925925926,306.141037037037,,,,,0.0,,
2,2884201,40,,left,saccade,1.0,,,,595.66,294.072,445.853,237.34599999999998,,,
3,2884205,32,,right,saccade,,1.0,,,650.269,285.26599999999996,493.906,237.24099999999999,,,
4,2884241,839,3.388590909090909,right,fixation,,2.0,428.588379146919,192.179099526066,,,,,0.0,,
5,2884245,839,3.3880454545454546,left,fixation,2.0,,380.984137440758,182.008872037915,,,,,1.0,10.945407957728724,54.98237649465514
6,2885084,20,,right,saccade,,2.0,,,411.537,175.516,463.403,244.959,,,
7,2885088,20,,left,saccade,2.0,,,,409.336,194.537,446.202,292.551,,,
8,2885108,572,3.3858741258741265,right,fixation,,3.0,479.926208333334,240.74388888888905,,,,,1.0,5.554567469909589,15.359879459162435
9,2885112,572,3.3864825174825177,left,fixation,3.0,,466.313194444444,262.48247916666696,,,,,1.0,5.915376732625657,25.559109237217175
10,2885684,36,,right,saccade,,3.0,,,508.324,268.27099999999996,702.877,250.84799999999998,,,
11,2885688,32,,left,saccade,3.0,,,,470.397,262.20599999999996,661.845,263.243,,,
12,2885724,561,3.4640744680851068,left,fixation,4.0,,684.19770212766,262.04432624113497,,,,,0.0,,
13,2885724,561,3.4640744680851068,right,fixation,,4.0,734.5788723404262,261.85219858156,,,,,0.0,,
14,2886289,36,,right,saccade,,4.0,,,729.1010000000001,255.40900000000002,437.965,223.678,,,
15,2886289,48,,left,saccade,4.0,,,,668.8430000000002,274.712,367.31800000000004,190.326,,,
16,2886329,1459,3.6487898351648367,right,fixation,,5.0,393.662404371585,156.462081967213,,,,,1.0,6.144603504069423,20.792254254890178
17,2886341,1447,3.6499958448753462,left,fixation,5.0,,367.28071074380205,153.119683195592,,,,,1.0,7.461337966477599,45.745841515923615
18,2887792,48,,left,saccade,5.0,,,,365.185,140.827,788.2339999999997,206.77200000000002,,,
19,2887792,48,,right,saccade,,5.0,,,389.035,129.235,822.9630000000003,231.946,,,
20,2887844,148,3.74322972972973,right,fixation,,6.0,834.837131578947,278.45284210526296,,,,,0.0,,
21,2887844,836,3.674840909090909,left,fixation,6.0,,730.952880952381,255.071138095238,,,,,3.0,86.10156113471048,258.6102757366473
22,2887996,20,,right,saccade,,6.0,,,834.6260000000003,297.393,755.4110000000003,270.927,,,
23,2888020,664,3.6571641566265054,right,fixation,,7.0,738.294700598802,261.383886227545,,,,,4.0,69.25420383856681,207.68481323319446
24,2888684,52,,left,saccade,6.0,,,,713.4810000000001,253.783,453.605,187.581,,,
25,2888688,52,,right,saccade,,7.0,,,729.785,261.04400000000004,485.67400000000004,201.75099999999998,,,
26,2888740,2112,3.6344488636363637,left,fixation,7.0,,382.02481285444196,164.134238185255,,,,,2.0,4.7870125258651335,12.695114855083062
27,2888744,2108,3.634587286527514,right,fixation,,8.0,397.804742424243,162.463609848485,,,,,4.0,7.230193022881018,29.857459589405178
28,2890856,49,,left,saccade,7.0,,,,364.648,159.393,736.703,242.69799999999998,,,
29,2890856,53,,right,saccade,,8.0,,,392.05800000000005,176.48,769.1239999999997,293.9,,,
30,2890909,20,3.6345,left,fixation,8.0,,743.8791666666672,249.27216666666698,,,,,0.0,,
31,2890913,123,3.6393,right,fixation,,9.0,789.23853125,332.1855625,,,,,0.0,,
32,2890933,12,,left,saccade,8.0,,,,749.123,264.925,754.225,304.483,,,
33,2890949,1039,3.564020114942529,left,fixation,9.0,,705.3241954022992,257.462360153257,,,,,2.0,11.334237001686699,33.79329629109456
34,2891040,20,,right,saccade,,9.0,,,789.824,349.733,771.7719999999997,294.952,,,
35,2891064,492,3.6049092741935485,right,fixation,,10.0,730.821685483871,262.786532258064,,,,,3.0,6.978535135660777,20.78894849085981
36,2891560,16,,right,saccade,,10.0,,,732.4910000000001,271.962,735.242,223.037,,,
37,2891580,408,3.4964563106796116,right,fixation,,11.0,735.3357184466023,211.21626213592202,,,,,0.0,,
38,2891992,44,,left,saccade,9.0,,,,696.002,263.788,442.00800000000004,359.352,,,
39,2891992,48,,right,saccade,,11.0,,,731.961,256.335,426.969,390.35400000000004,,,
40,2892040,1284,3.5588722741433028,left,fixation,10.0,,375.62946894410004,417.139754658385,,,,,2.0,6.712195921952058,19.931542187681373
41,2892044,1284,3.5588052959501555,right,fixation,,12.0,387.23150931677003,437.014478260869,,,,,0.0,,
42,2893328,24,,left,saccade,10.0,,,,359.61,418.74,422.93,550.823,,,
43,2893332,24,,right,saccade,,12.0,,,387.985,448.461,449.61400000000003,546.327,,,
44,2893356,340,3.5432470588235288,left,fixation,11.0,,443.542430232558,548.791755813954,,,,,0.0,,
45,2893360,336,3.5436011904761906,right,fixation,,13.0,481.529529411765,564.928435294117,,,,,1.0,9.420149947202415,37.37920556940722
46,2893700,24,,right,saccade,,13.0,,,475.651,564.32,425.19300000000004,473.483,,,
47,2893700,28,,left,saccade,11.0,,,,447.98400000000004,562.5219999999998,386.457,449.207,,,
48,2893728,860,3.5330860465116283,right,fixation,,14.0,397.751652777778,451.045347222222,,,,,0.0,,
49,2893732,128,3.5215,left,fixation,12.0,,360.33072727272696,416.497393939394,,,,,0.0,,
50,2893864,8,,left,saccade,12.0,,,,358.619,416.208,363.986,445.68,,,
51,2893876,712,3.5358567415730335,left,fixation,13.0,,371.891117318436,432.853670391062,,,,,0.0,,
52,2894592,24,,left,saccade,13.0,,,,380.434,440.199,423.98699999999997,548.512,,,
53,2894592,28,,right,saccade,,14.0,,,389.999,460.05199999999996,455.205,564.896,,,
54,2894620,440,3.6491045454545454,left,fixation,14.0,,455.681081081081,577.538261261261,,,,,0.0,,
55,2894624,432,3.6495740740740734,right,fixation,,15.0,468.830779816514,570.909201834862,,,,,0.0,,
56,2895060,40,,right,saccade,,15.0,,,464.325,577.625,690.33,582.005,,,
57,2895064,40,,left,saccade,14.0,,,,477.869,592.964,684.418,581.862,,,
58,2895104,872,3.674793577981652,right,fixation,,16.0,715.271155251142,568.598515981735,,,,,0.0,,
59,2895108,864,3.6748402777777778,left,fixation,15.0,,696.768092165899,565.262271889402,,,,,0.0,,
60,2895976,52,,left,saccade,15.0,,,,708.475,543.293,389.668,459.056,,,
61,2895980,44,,right,saccade,,16.0,,,696.314,572.951,413.38599999999997,460.778,,,
62,2896028,1080,3.6251259259259263,right,fixation,,17.0,391.155490774908,448.7287343173429,,,,,0.0,,
63,2896032,1076,3.6251821561338287,left,fixation,16.0,,369.12932962963,430.220185185185,,,,,4.0,7.4851334833782674,28.705356988982025
64,2897112,48,,left,saccade,16.0,,,,387.833,433.452,822.4019999999997,517.7090000000002,,,
65,2897112,52,,right,saccade,,17.0,,,399.8,443.76599999999996,888.0169999999997,517.686,,,
66,2897164,951,3.6845654008438817,left,fixation,17.0,,947.705146443514,564.89489539749,,,,,1.0,5.816387206753738,14.88043883761496
67,2897168,136,3.7196515151515164,right,fixation,,18.0,907.5672857142861,546.098457142857,,,,,0.0,,
68,2897308,4,,right,saccade,,18.0,,,949.221,546.308,954.826,545.9590000000002,,,
69,2897316,803,3.6774676616915434,right,fixation,,19.0,992.440475247524,541.575643564357,,,,,1.0,4.338748683536367,14.820466423159525
70,2898119,56,,left,saccade,17.0,,,,976.328,579.945,528.6669999999998,487.50300000000004,,,
71,2898123,52,,right,saccade,,19.0,,,1003.112,535.993,547.163,487.39,,,
72,2898179,104,3.5934615384615385,left,fixation,18.0,,522.135666666666,469.90903703703697,,,,,0.0,,
73,2898179,1525,3.605757635253054,right,fixation,,20.0,425.567408376964,453.145997382199,,,,,9.0,73.0156653210414,159.43883885892473
74,2898287,16,,left,saccade,18.0,,,,517.908,463.972,464.63699999999994,461.848,,,
75,2898307,1397,3.606925476190476,left,fixation,19.0,,409.586345714286,453.63067428571503,,,,,9.0,69.66068247545395,211.73185052366628
76,2899708,56,,left,saccade,19.0,,,,368.786,425.11,819.013,484.046,,,
