,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3631748,80,3.30427380952381,left,fixation,1.0,,658.637476190476,173.951809523809,,,,,0.0,,
1,3631748,80,3.30427380952381,right,fixation,,1.0,671.728380952381,202.233285714286,,,,,2.0,4.830302917604729,17.503601508771055
2,3631832,28,,left,saccade,1.0,,,,660.5160000000002,181.718,507.264,233.234,,,
3,3631832,28,,right,saccade,,1.0,,,662.4689999999998,216.058,512.721,259.769,,,
4,3631864,204,3.244340425531916,left,fixation,2.0,,489.4755,246.96246153846198,,,,,1.0,2.0812825706493587,7.485153906233282
5,3631864,292,3.244340425531916,right,fixation,,2.0,474.380635135135,260.563986486487,,,,,2.0,6.0019831997497715,39.68941372788524
6,3632072,12,,left,saccade,2.0,,,,475.404,227.63400000000001,451.74300000000005,203.07,,,
7,3632088,64,,left,fixation,3.0,,429.949352941177,181.87711764705898,,,,,1.0,4.0658832202992565,8.66622432204473
8,3632156,40,,left,saccade,3.0,,,,423.907,179.542,405.088,146.36,,,
9,3632160,40,,right,saccade,,2.0,,,429.871,230.792,426.836,220.895,,,
10,3632264,1703,3.3503159303882186,right,fixation,,3.0,424.774238875879,194.34934894613602,,,,,13.0,3.4114344959068976,16.240399985670333
11,3632292,1667,3.3503159303882186,left,fixation,4.0,,419.1301124401909,157.676523923445,,,,,10.0,4.226754286736529,23.123415639790288
12,3633963,40,,left,saccade,4.0,,,,399.67699999999996,149.537,389.67800000000005,121.76799999999999,,,
13,3633971,40,,right,saccade,,3.0,,,409.58,181.668,401.98699999999997,184.49099999999999,,,
14,3634088,656,3.4340732600732595,right,fixation,,4.0,409.47287878787904,200.55684242424198,,,,,4.0,5.255618865506872,41.212151164059854
15,3634124,443,3.404983606557377,left,fixation,5.0,,405.5085803571431,179.00180357142796,,,,,4.0,3.8670118757740335,14.835108042580902
16,3634571,8,,left,saccade,5.0,,,,402.06199999999995,200.19099999999997,402.36400000000003,171.111,,,
17,3634583,161,3.4959390243902444,left,fixation,6.0,,398.69909756097604,147.997195121951,,,,,0.0,,
18,3634748,24,,left,saccade,6.0,,,,396.325,140.567,524.067,262.3,,,
19,3634748,28,,right,saccade,,4.0,,,390.56199999999995,140.018,543.467,261.76599999999996,,,
20,3634776,144,3.505736111111111,left,fixation,7.0,,550.622459459459,261.95002702702703,,,,,1.0,2.494399977950612,7.569437561668654
21,3634780,140,3.5054,right,fixation,,5.0,566.196722222223,268.598555555555,,,,,1.0,3.04140592946384,10.170567584948234
22,3634924,24,,left,saccade,7.0,,,,555.783,257.356,691.0239999999999,283.079,,,
23,3634924,24,,right,saccade,,5.0,,,568.205,266.746,694.051,279.882,,,
24,3634952,155,3.46871052631579,left,fixation,8.0,,714.929725,302.187675,,,,,1.0,3.2462517573691567,11.33128271644482
25,3634952,155,3.46871052631579,right,fixation,,6.0,716.898825,308.259625,,,,,1.0,2.9348542458603277,9.755220653578263
26,3635111,32,,left,saccade,8.0,,,,714.446,302.95099999999996,953.195,303.20099999999996,,,
27,3635111,32,,right,saccade,,6.0,,,717.7760000000003,307.52,950.669,316.657,,,
28,3635147,160,3.4425875,left,fixation,9.0,,960.084414634146,305.906682926829,,,,,0.0,,
29,3635147,160,3.4425875,right,fixation,,7.0,963.800097560975,315.002926829268,,,,,1.0,2.2013921416029203,6.122099313144138
30,3635311,24,,left,saccade,9.0,,,,961.21,297.2940000000001,1114.606,307.608,,,
31,3635311,24,,right,saccade,,7.0,,,966.755,320.487,1130.377,321.08099999999996,,,
32,3635339,161,3.408939024390244,left,fixation,10.0,,1131.7886829268302,328.313682926829,,,,,1.0,3.8639867329252247,4.747354631792454
33,3635339,161,3.408939024390244,right,fixation,,8.0,1128.4414146341499,338.629024390244,,,,,2.0,2.34621263752027,6.13660877899387
34,3635504,20,,left,saccade,10.0,,,,1129.499,333.806,1023.797,328.173,,,
35,3635504,20,,right,saccade,,8.0,,,1109.0410000000004,351.977,1004.668,339.3830000000001,,,
