,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1962448,4,3.2485,left,fixation,1.0,,1260.567,626.486,,,,,0.0,,
1,1962448,4,3.2485,right,fixation,,1.0,1291.509,635.807,,,,,0.0,,
2,1962456,32,,left,saccade,1.0,,,,1260.567,626.486,940.5089999999999,347.293,,,
3,1962456,40,,right,saccade,,1.0,,,1291.509,635.807,933.002,331.809,,,
4,1962492,356,3.2323707865168543,left,fixation,2.0,,920.834433333333,300.3892,,,,,0.0,,
5,1962500,351,3.232436781609195,right,fixation,,2.0,901.0682584269659,303.590910112359,,,,,4.0,4.910108220730862,13.255537989517356
6,1962851,40,,left,saccade,2.0,,,,921.6010000000001,293.889,590.81,184.171,,,
7,1962855,40,,right,saccade,,2.0,,,881.1669999999997,291.819,549.23,181.678,,,
8,1962895,981,3.31185162601626,left,fixation,3.0,,512.441256097561,152.314894308943,,,,,7.0,7.184525789224447,23.84618040511768
9,1962899,144,3.2906111111111107,right,fixation,,3.0,542.663108108108,147.771972972973,,,,,0.0,,
10,1963047,16,,right,saccade,,3.0,,,538.7280000000002,130.222,492.973,174.06900000000005,,,
11,1963067,369,3.3153602150537633,right,fixation,,4.0,483.878924731183,187.57410752688202,,,,,0.0,,
12,1963440,16,,right,saccade,,4.0,,,477.385,183.93599999999998,477.79400000000004,107.897,,,
13,1963460,412,3.3171504854368927,right,fixation,,5.0,491.541173076923,110.8255,,,,,1.0,9.669482688966477,35.93193884276215
14,1963876,20,,right,saccade,,5.0,,,492.785,118.542,482.658,229.38,,,
15,1963880,16,,left,saccade,3.0,,,,525.065,124.337,516.012,194.37400000000002,,,
16,1963900,156,3.2972692307692317,right,fixation,,6.0,484.832025,219.816425,,,,,0.0,,
17,1963900,160,3.2969375,left,fixation,4.0,,494.4621951219509,198.75039024390202,,,,,0.0,,
18,1964060,32,,right,saccade,,6.0,,,476.05400000000003,234.237,703.453,225.80700000000002,,,
19,1964064,24,,left,saccade,4.0,,,,505.409,209.584,687.552,210.456,,,
20,1964092,200,3.2640299999999987,left,fixation,5.0,,713.4904901960789,211.318588235294,,,,,0.0,,
21,1964096,196,3.2637244897959174,right,fixation,,7.0,711.57876,228.92888,,,,,1.0,3.7901173867778013,8.210764885197955
22,1964296,24,,right,saccade,,7.0,,,710.423,241.528,966.91,241.61900000000003,,,
23,1964296,32,,left,saccade,5.0,,,,714.947,211.377,993.413,217.231,,,
