,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3460031,264,2.8933768656716414,left,fixation,1.0,,1214.50331343284,327.17010447761197,,,,,0.0,,
1,3460031,264,2.8933768656716414,right,fixation,,1.0,1194.8041791044802,316.098970149254,,,,,0.0,,
2,3460299,56,,left,saccade,1.0,,,,1207.296,321.647,396.26599999999996,262.465,,,
3,3460299,56,,right,saccade,,1.0,,,1190.508,310.71299999999997,369.19300000000004,268.008,,,
4,3460359,116,2.8882241379310343,left,fixation,2.0,,372.5861333333329,250.41023333333303,,,,,0.0,,
5,3460359,120,2.887666666666666,right,fixation,,2.0,362.728451612903,269.738709677419,,,,,0.0,,
6,3460479,20,,left,saccade,2.0,,,,355.97900000000016,242.125,391.99300000000005,177.554,,,
7,3460483,12,,right,saccade,,2.0,,,372.606,267.93,382.293,239.747,,,
8,3460499,116,2.848551724137931,right,fixation,,3.0,403.8350666666671,191.15773333333303,,,,,0.0,,
9,3460503,116,2.8485344827586205,left,fixation,3.0,,428.593366666667,164.458366666667,,,,,0.0,,
10,3460619,56,,right,saccade,,3.0,,,411.148,151.421,1466.48,139.94,,,
11,3460623,56,,left,saccade,3.0,,,,443.343,172.458,1472.715,116.10799999999999,,,
12,3460679,388,2.819530927835052,right,fixation,,4.0,1447.84263265306,119.951071428571,,,,,1.0,10.885314074476648,33.93250431371056
13,3460683,384,2.81940625,left,fixation,4.0,,1476.7038969072198,112.859041237113,,,,,2.0,8.549103314815763,25.737144216355038
14,3461071,40,,left,saccade,4.0,,,,1451.122,114.03200000000001,970.508,98.889,,,
15,3461071,40,,right,saccade,,4.0,,,1404.7179999999994,121.927,938.045,79.84899999999998,,,
16,3461115,596,2.9213959731543624,left,fixation,5.0,,987.5853800000001,70.0912266666667,,,,,1.0,6.065705216854706,18.92599812427353
17,3461115,596,2.9213959731543624,right,fixation,,5.0,935.4683466666679,81.3074666666667,,,,,1.0,7.797014074132623,31.69032036758234
18,3461715,40,,right,saccade,,5.0,,,926.752,75.08,409.074,185.99200000000002,,,
19,3461715,44,,left,saccade,5.0,,,,994.497,78.46600000000002,444.186,196.24,,,
20,3461759,188,3.008276595744681,right,fixation,,6.0,381.5595625,207.66645833333303,,,,,1.0,8.629584367807707,12.455289037192173
21,3461763,184,3.0086630434782613,left,fixation,6.0,,424.865404255319,205.566085106383,,,,,0.0,,
22,3461951,36,,left,saccade,6.0,,,,417.805,196.36,554.2959999999998,607.84,,,
23,3461951,36,,right,saccade,,6.0,,,371.395,195.82,562.2330000000002,640.529,,,
24,3461991,160,3.0436,left,fixation,7.0,,594.219804878049,641.125317073171,,,,,0.0,,
25,3461991,160,3.0436,right,fixation,,7.0,562.6827560975611,680.770195121951,,,,,1.0,9.07202708114957,20.593895454721554
26,3462155,24,,left,saccade,7.0,,,,609.3430000000002,644.9019999999998,439.346,658.158,,,
27,3462155,28,,right,saccade,,7.0,,,559.4590000000002,680.0110000000002,363.85699999999997,686.665,,,
28,3462183,84,3.1255,left,fixation,8.0,,429.398272727273,661.6754090909089,,,,,0.0,,
29,3462187,76,3.125815789473684,right,fixation,,8.0,356.20375,718.6692,,,,,0.0,,
30,3462267,40,,right,saccade,,8.0,,,364.48800000000006,733.275,434.977,221.325,,,
31,3462271,36,,left,saccade,8.0,,,,438.598,654.909,451.832,231.21,,,
32,3462311,136,3.1445000000000003,right,fixation,,9.0,415.1972,196.590685714286,,,,,0.0,,
33,3462311,624,3.1581217948717946,left,fixation,9.0,,496.65221656050994,238.89170700636902,,,,,1.0,8.783729094499414,30.304513888198233
34,3462451,16,,right,saccade,,9.0,,,405.92400000000004,197.206,444.004,226.674,,,
35,3462471,460,3.162830434782608,right,fixation,,10.0,474.757612068966,253.07397413793097,,,,,0.0,,
36,3462935,52,,right,saccade,,10.0,,,480.51599999999996,258.268,891.3689999999997,84.245,,,
37,3462939,40,,left,saccade,9.0,,,,501.34,250.935,898.375,37.66,,,
38,3462983,223,3.255172727272728,left,fixation,10.0,,959.066070175439,47.9745438596491,,,,,1.0,10.471970753980482,24.6459367036435
39,3462991,108,3.2556666666666683,right,fixation,,11.0,895.196035714286,66.5434285714286,,,,,0.0,,
40,3463103,8,,right,saccade,,11.0,,,899.475,74.753,933.65,76.329,,,
41,3463115,91,3.254363636363636,right,fixation,,12.0,950.91,81.1878333333334,,,,,0.0,,
42,3463210,44,,left,saccade,10.0,,,,989.9830000000001,65.142,438.87699999999995,172.801,,,
43,3463210,44,,right,saccade,,12.0,,,945.7489999999999,83.027,373.575,193.25599999999997,,,
44,3463258,129,3.2569848484848487,right,fixation,,13.0,363.35430303030296,211.34736363636398,,,,,1.0,9.892474204610718,26.259925076054568
45,3463258,913,3.268506550218341,left,fixation,11.0,,436.5202707423581,181.29431877729303,,,,,1.0,5.881026169432975,9.577848244778114
46,3463391,0,,right,saccade,,13.0,,,389.82199999999995,212.562,389.82199999999995,212.562,,,
47,3463395,776,3.2706469072164954,right,fixation,,14.0,397.454323076923,181.43467179487203,,,,,1.0,6.3641126050691454,19.3446084478337
48,3464175,24,,left,saccade,11.0,,,,442.474,206.575,449.806,394.913,,,
49,3464175,28,,right,saccade,,14.0,,,399.56800000000004,182.377,414.903,418.191,,,
50,3464203,5131,3.1588646645865834,left,fixation,12.0,,423.279035825544,418.036614485982,,,,,2.0,4.133406443698783,8.76430475869871
51,3464207,5127,3.1587876658860266,right,fixation,,15.0,405.72154715510595,369.97707560405297,,,,,2.0,9.823186236210054,28.000180503202078
52,3469338,24,,right,saccade,,15.0,,,419.827,338.189,638.535,477.094,,,
53,3469338,28,,left,saccade,12.0,,,,403.163,398.24699999999996,595.751,508.245,,,
54,3469366,92,3.252630434782609,right,fixation,,16.0,623.7039583333329,496.434416666667,,,,,0.0,,
55,3469370,88,3.253227272727273,left,fixation,13.0,,614.5177826086959,522.744739130435,,,,,0.0,,
56,3469462,20,,left,saccade,13.0,,,,620.156,528.5419999999998,528.526,533.305,,,
57,3469462,20,,right,saccade,,16.0,,,608.878,506.12800000000004,535.8240000000002,476.91900000000004,,,
58,3469486,1348,3.2533026706231447,right,fixation,,17.0,502.987562130178,522.879363905325,,,,,6.0,7.562641246906451,21.622379342963782
59,3469486,1352,3.2535,left,fixation,14.0,,493.938896755162,525.895061946903,,,,,0.0,,
60,3470838,52,,right,saccade,,17.0,,,515.827,535.064,623.081,159.667,,,
61,3470842,32,,left,saccade,14.0,,,,475.969,503.856,600.7040000000002,122.265,,,
62,3470878,64,3.263,left,fixation,15.0,,623.683647058823,114.333411764706,,,,,1.0,4.532604956804045,13.918810365832233
63,3470894,48,3.2612916666666667,right,fixation,,18.0,625.723076923077,126.000615384615,,,,,0.0,,
64,3470946,20,,right,saccade,,18.0,,,629.981,103.37899999999999,719.3889999999999,47.58,,,
65,3470946,24,,left,saccade,15.0,,,,645.491,113.271,753.327,43.56100000000001,,,
66,3470970,72,3.276805555555556,right,fixation,,19.0,738.278842105263,36.78268421052629,,,,,0.0,,
67,3470974,68,3.2773823529411765,left,fixation,16.0,,767.791944444445,45.890222222222214,,,,,0.0,,
68,3471046,20,,right,saccade,,19.0,,,743.242,32.181,899.5930000000003,50.782,,,
69,3471046,24,,left,saccade,16.0,,,,780.373,52.592,942.012,59.793,,,
70,3471070,168,3.279642857142858,right,fixation,,20.0,910.256837209302,64.66520930232561,,,,,0.0,,
71,3471074,160,3.2802375000000006,left,fixation,17.0,,949.704853658537,55.376999999999995,,,,,0.0,,
72,3471238,44,,left,saccade,17.0,,,,932.529,60.424,415.777,454.161,,,
73,3471242,44,,right,saccade,,20.0,,,915.1010000000001,92.104,391.92400000000004,443.069,,,
74,3471286,2724,3.1036145374449338,left,fixation,18.0,,408.548357771261,434.216507331378,,,,,5.0,5.1591083292288795,14.051786735988571
75,3471290,2720,3.1034367647058825,right,fixation,,21.0,401.007898678414,389.021270190896,,,,,1.0,8.69967705658601,16.892135004196493
76,3474014,12,,left,saccade,18.0,,,,395.017,443.226,398.148,483.32199999999995,,,
77,3474014,20,,right,saccade,,21.0,,,396.67,370.996,424.42800000000005,484.264,,,
78,3474030,28,3.1448571428571426,left,fixation,19.0,,419.95325,497.394625,,,,,0.0,,
79,3474038,28,3.1425000000000005,right,fixation,,22.0,446.86,500.01875,,,,,0.0,,
80,3474062,28,,left,saccade,19.0,,,,429.199,508.648,452.65,697.561,,,
81,3474070,28,,right,saccade,,22.0,,,463.06199999999995,510.026,478.68199999999996,672.9939999999998,,,
82,3474094,12,3.1375,left,fixation,20.0,,455.67675,697.507,,,,,0.0,,
83,3474102,1524,3.1772787958115183,right,fixation,,23.0,458.751159685864,453.0937329842929,,,,,8.0,11.528999817242225,34.213501800835694
84,3474110,12,,left,saccade,20.0,,,,456.87199999999996,691.375,467.842,645.295,,,
85,3474126,940,3.1867944915254234,left,fixation,21.0,,493.877707627119,530.9989194915261,,,,,1.0,7.573725004543324,21.797539425357318
86,3475070,20,,left,saccade,21.0,,,,505.277,525.827,427.014,480.13699999999994,,,
87,3475094,536,3.1627723880597016,left,fixation,22.0,,433.027637037037,455.392614814815,,,,,2.0,11.07279877899904,34.315589983123964
88,3475630,24,,right,saccade,,23.0,,,412.351,347.279,522.0269999999998,547.895,,,
89,3475634,28,,left,saccade,22.0,,,,406.116,424.913,509.344,528.722,,,
90,3475658,360,3.2847637362637365,right,fixation,,24.0,519.452648351648,547.606483516483,,,,,3.0,10.300065156305607,28.61445427644435
91,3475666,352,3.2856573033707863,left,fixation,23.0,,512.798797752809,540.438696629213,,,,,1.0,7.875413022678733,40.17757951893074
92,3476022,16,,left,saccade,23.0,,,,506.501,560.475,468.62,613.016,,,
93,3476022,20,,right,saccade,,24.0,,,496.805,568.951,414.533,642.965,,,
94,3476042,144,3.3310555555555563,left,fixation,24.0,,443.93678378378405,628.792864864865,,,,,0.0,,
95,3476046,140,3.3308714285714283,right,fixation,,25.0,394.039777777778,656.65125,,,,,0.0,,
96,3476190,56,,left,saccade,24.0,,,,436.28,635.094,1422.25,646.599,,,
97,3476190,56,,right,saccade,,25.0,,,401.708,659.44,1425.026,639.439,,,
98,3476250,136,3.2605588235294114,right,fixation,,26.0,1455.5038571428602,617.8876571428569,,,,,1.0,8.649294088087338,17.447305809207336
99,3476250,140,3.260185714285714,left,fixation,25.0,,1450.60916666667,655.065944444444,,,,,0.0,,
100,3476390,20,,right,saccade,,26.0,,,1473.973,649.56,1440.3,506.586,,,
101,3476394,20,,left,saccade,25.0,,,,1448.609,652.5880000000002,1421.7620000000006,576.942,,,
102,3476414,172,3.1977093023255807,right,fixation,,27.0,1421.5948863636402,507.602704545455,,,,,0.0,,
103,3476418,172,3.1960348837209294,left,fixation,26.0,,1417.8578636363598,558.645613636364,,,,,0.0,,
104,3476590,32,,right,saccade,,27.0,,,1430.5610000000001,488.25800000000004,1259.31,254.32,,,
105,3476594,24,,left,saccade,26.0,,,,1417.8729999999994,542.79,1244.726,366.80400000000003,,,
106,3476622,120,3.1480166666666665,left,fixation,27.0,,1227.91038709677,329.670677419355,,,,,0.0,,
107,3476626,120,3.1481833333333333,right,fixation,,28.0,1227.9318064516099,294.362161290322,,,,,0.0,,
108,3476746,48,,left,saccade,27.0,,,,1234.5439999999999,343.903,500.523,306.69599999999997,,,
109,3476750,48,,right,saccade,,28.0,,,1203.484,315.506,477.42199999999997,279.244,,,
110,3476798,400,3.135625,left,fixation,28.0,,491.326782178218,272.53897029703,,,,,0.0,,
111,3476802,396,3.135459595959597,right,fixation,,29.0,457.05127999999996,263.95904,,,,,0.0,,
112,3477202,48,,left,saccade,28.0,,,,487.01199999999994,254.638,1132.5839999999996,215.93099999999998,,,
113,3477202,48,,right,saccade,,29.0,,,465.19599999999997,262.46299999999997,1117.1,257.041,,,
