,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,777013,100,3.270913461538462,right,fixation,,1.0,558.567846153846,259.667115384615,,,,,0.0,,
1,777013,104,3.2708981481481483,left,fixation,1.0,,558.1625555555561,259.468740740741,,,,,0.0,,
2,777117,24,,right,saccade,,1.0,,,560.71,260.966,500.724,209.075,,,
3,777121,20,,left,saccade,1.0,,,,549.896,264.362,493.42800000000005,201.30599999999998,,,
4,777145,528,3.3167500000000003,left,fixation,2.0,,467.327766917293,172.53584962406003,,,,,2.0,5.2496979901070455,14.116918860205073
5,777145,528,3.3167500000000003,right,fixation,,2.0,456.617766917293,175.215578947369,,,,,5.0,4.333220665041156,13.601337899913386
6,777677,20,,left,saccade,2.0,,,,459.983,182.90099999999998,567.904,165.199,,,
7,777677,20,,right,saccade,,2.0,,,427.931,175.024,567.609,169.22299999999996,,,
8,777701,376,3.2820744680851077,left,fixation,3.0,,581.6044842105259,176.22904210526298,,,,,2.0,3.1822927031474477,8.936455892935383
9,777701,376,3.2820744680851077,right,fixation,,3.0,573.7314,174.627189473684,,,,,1.0,3.1829749405583065,4.348579653174082
10,778081,24,,left,saccade,3.0,,,,580.605,183.209,728.327,178.574,,,
11,778081,24,,right,saccade,,3.0,,,571.7959999999998,173.368,746.0369999999997,172.22799999999995,,,
12,778109,180,3.3175444444444446,left,fixation,4.0,,738.927260869565,159.017717391304,,,,,2.0,9.719649353223957,23.624315067479788
13,778109,404,3.3554455445544558,right,fixation,,4.0,714.023705882353,190.31368627451,,,,,2.0,9.289342579413683,29.66514636699459
14,778293,0,,left,saccade,4.0,,,,695.5239999999999,176.582,695.5239999999999,176.582,,,
15,778297,456,3.3963201754385963,left,fixation,5.0,,725.259556521739,158.935747826087,,,,,4.0,5.922678621496723,17.183806609337225
16,778517,12,,right,saccade,,4.0,,,696.285,190.25799999999998,746.2810000000003,190.25799999999998,,,
17,778533,224,3.403125,right,fixation,,5.0,764.457842105263,196.65277192982398,,,,,2.0,3.5310986649274065,15.74429932514261
18,778757,20,,left,saccade,5.0,,,,771.023,175.49200000000005,852.317,173.597,,,
19,778761,16,,right,saccade,,5.0,,,764.27,204.043,841.59,194.929,,,
20,778781,268,3.3875746268656712,right,fixation,,6.0,854.172985294117,192.323411764706,,,,,1.0,3.8873792121285446,5.981216682247866
21,778781,272,3.3875808823529416,left,fixation,6.0,,858.703115942029,167.736608695652,,,,,1.0,4.911887635002337,14.299902971698794
22,779053,24,,right,saccade,,6.0,,,850.551,203.898,683.5260000000002,197.576,,,
23,779057,20,,left,saccade,6.0,,,,840.666,184.322,680.8389999999997,177.035,,,
24,779081,287,3.4154859154929578,left,fixation,7.0,,682.139657534247,171.166205479452,,,,,3.0,3.068270387414185,10.056164308967881
25,779081,287,3.4154859154929578,right,fixation,,7.0,661.8467808219181,192.22604109589,,,,,2.0,3.6611973779168214,7.216451337501214
26,779372,16,,right,saccade,,7.0,,,662.497,195.46,736.732,190.225,,,
27,779372,20,,left,saccade,7.0,,,,684.363,170.69,775.8689999999997,166.049,,,
28,779392,361,3.4272142857142853,right,fixation,,8.0,756.339780219781,185.63741758241798,,,,,1.0,4.1058800450627295,17.095544478021132
29,779396,357,3.4273888888888893,left,fixation,8.0,,770.797133333333,169.987166666667,,,,,0.0,,
30,779757,24,,left,saccade,8.0,,,,776.8889999999999,172.11700000000005,620.319,174.437,,,
31,779757,24,,right,saccade,,8.0,,,754.326,191.3,607.0930000000002,188.24,,,
32,779785,464,3.5209224137931034,right,fixation,,9.0,564.747658119658,172.96964957264996,,,,,4.0,6.379543354672498,17.563561157489705
