,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2498790,280,3.3805352112676066,left,fixation,1.0,,1505.1159295774698,779.098633802817,,,,,0.0,,
1,2498790,280,3.3805352112676066,right,fixation,,1.0,1524.8898309859198,770.4359577464792,,,,,0.0,,
2,2499074,48,,left,saccade,1.0,,,,1499.969,777.079,812.552,482.217,,,
3,2499074,52,,right,saccade,,1.0,,,1539.475,754.342,892.201,461.52099999999996,,,
4,2499126,76,,left,fixation,2.0,,815.51235,469.84055,,,,,0.0,,
5,2499130,84,,right,fixation,,2.0,856.501272727273,457.5034545454551,,,,,0.0,,
6,2499206,56,,left,saccade,2.0,,,,829.8589999999997,468.35699999999997,869.873,253.176,,,
7,2499218,72,,right,saccade,,2.0,,,846.262,473.291,866.905,473.962,,,
8,2499318,0,,left,fixation,3.0,,871.056,277.908,,,,,0.0,,
9,2499322,28,,left,saccade,3.0,,,,873.7719999999997,285.117,892.6439999999999,480.96,,,
10,2499342,84,3.4963333333333337,right,fixation,,3.0,875.4793181818179,479.515681818182,,,,,0.0,,
11,2499354,68,3.4960000000000004,left,fixation,4.0,,892.607666666667,502.189611111111,,,,,0.0,,
12,2499426,44,,left,saccade,4.0,,,,886.262,506.89,592.09,695.2660000000003,,,
13,2499430,28,,right,saccade,,3.0,,,857.307,492.27099999999996,626.2669999999998,657.794,,,
14,2499462,216,3.429722222222221,right,fixation,,4.0,613.8374545454541,672.252745454545,,,,,0.0,,
15,2499474,204,3.4296078431372545,left,fixation,5.0,,588.934961538461,711.686903846154,,,,,0.0,,
16,2499682,32,,right,saccade,,4.0,,,625.754,674.7689999999999,619.5980000000002,175.24599999999995,,,
17,2499682,40,,left,saccade,5.0,,,,591.089,702.115,540.366,134.109,,,
18,2499718,180,3.3257111111111115,right,fixation,,5.0,580.471760869565,143.736086956522,,,,,1.0,7.479173767870361,27.109665619479657
19,2499726,176,3.3235227272727275,left,fixation,6.0,,543.929466666667,131.232311111111,,,,,0.0,,
20,2499902,24,,right,saccade,,5.0,,,573.503,144.536,532.371,267.995,,,
21,2499906,20,,left,saccade,6.0,,,,544.161,120.69200000000001,530.804,241.0,,,
22,2499930,172,3.2590581395348837,left,fixation,7.0,,523.015545454545,261.273454545455,,,,,0.0,,
23,2499930,176,3.259011363636364,right,fixation,,6.0,533.914711111111,291.603444444444,,,,,0.0,,
24,2500106,24,,left,saccade,7.0,,,,521.766,267.189,491.846,458.436,,,
25,2500110,20,,right,saccade,,6.0,,,532.0409999999998,302.53,519.6990000000002,445.207,,,
26,2500134,128,3.383015625,left,fixation,8.0,,478.96196969696996,458.017060606061,,,,,0.0,,
27,2500134,128,3.383015625,right,fixation,,7.0,521.73303030303,455.397636363636,,,,,0.0,,
28,2500266,24,,left,saccade,8.0,,,,480.084,448.81300000000016,656.9760000000001,453.53,,,
29,2500266,24,,right,saccade,,7.0,,,513.83,457.11,677.0980000000002,443.691,,,
30,2500294,200,3.44767,left,fixation,9.0,,680.239588235294,476.974470588235,,,,,0.0,,
31,2500294,200,3.44767,right,fixation,,8.0,695.918294117647,442.289921568627,,,,,0.0,,
