,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3962008,8,3.0835,left,fixation,1.0,,779.2130000000003,400.559,,,,,0.0,,
1,3962008,8,3.0835,right,fixation,,1.0,813.345,447.45599999999996,,,,,0.0,,
2,3962020,24,,left,saccade,1.0,,,,779.2130000000003,400.559,682.552,342.347,,,
3,3962020,24,,right,saccade,,1.0,,,813.345,447.45599999999996,726.087,378.51099999999997,,,
4,3962048,284,3.1284895833333337,left,fixation,2.0,,666.001888888889,306.887486111111,,,,,2.0,2.156238349325086,4.152203888690373
5,3962048,288,3.1280308219178083,right,fixation,,2.0,702.9036027397258,348.420917808219,,,,,0.0,,
6,3962336,44,,left,saccade,2.0,,,,668.023,321.793,390.276,181.263,,,
7,3962340,40,,right,saccade,,2.0,,,704.1310000000003,347.85,427.914,220.13099999999997,,,
8,3962384,708,3.0889466666666667,left,fixation,3.0,,377.767876404494,155.816696629213,,,,,9.0,3.2709837231245684,15.091568204743881
9,3962384,708,3.0889466666666667,right,fixation,,3.0,414.241056179776,179.924387640449,,,,,5.0,3.849932700244242,19.369764079639626
10,3963096,40,,left,saccade,3.0,,,,347.039,190.368,331.029,163.685,,,
11,3963096,40,,right,saccade,,3.0,,,399.931,217.205,407.293,192.7,,,
12,3963224,192,3.0443744227994234,right,fixation,,4.0,424.992306122449,214.939591836735,,,,,1.0,7.984374942487503,51.682283279669434
13,3963244,172,3.0443744227994234,left,fixation,4.0,,365.66265909090896,159.01106818181802,,,,,2.0,3.8523471547714547,24.431715466620606
14,3963420,20,,left,saccade,4.0,,,,377.69599999999997,163.679,405.265,275.509,,,
15,3963420,20,,right,saccade,,4.0,,,425.566,231.364,463.42699999999996,323.726,,,
16,3963444,200,3.0190900000000003,left,fixation,5.0,,445.7392941176471,297.554117647059,,,,,3.0,2.2665841015841104,5.479515253640202
17,3963444,204,3.0192352941176464,right,fixation,,5.0,495.406865384616,325.8685,,,,,1.0,3.36449243736868,8.43819323078107
18,3963648,24,,left,saccade,5.0,,,,457.662,308.7870000000001,418.085,136.898,,,
19,3963652,20,,right,saccade,,5.0,,,500.684,318.043,459.441,176.06099999999995,,,
20,3963676,1140,3.076533333333334,right,fixation,,6.0,402.756339160839,170.92144055944098,,,,,8.0,4.1357618115265415,17.60094156723124
21,3963676,3703,3.118549189189189,left,fixation,6.0,,380.39041423948197,141.140577130529,,,,,30.0,4.6508034529668265,17.583215774002515
22,3964820,12,,right,saccade,,6.0,,,399.727,204.31900000000002,444.80300000000005,180.667,,,
23,3964836,963,3.138279166666666,right,fixation,,7.0,428.2111446280989,178.949128099174,,,,,7.0,3.0563997853038565,12.05230007730976
24,3965803,12,,right,saccade,,7.0,,,424.542,208.105,395.475,165.835,,,
25,3965819,1236,3.1276569579288025,right,fixation,,8.0,408.966506451613,177.59108709677398,,,,,8.0,5.880947734380323,18.841613815222864
26,3967059,4,,right,saccade,,8.0,,,430.911,166.988,425.50800000000004,166.61900000000003,,,
27,3967067,312,3.17375,right,fixation,,9.0,393.7680886075949,158.139050632911,,,,,3.0,4.092833949837766,14.73704835438854
28,3967383,28,,left,saccade,6.0,,,,378.13800000000003,144.35299999999995,651.019,282.95599999999996,,,
29,3967383,28,,right,saccade,,9.0,,,401.551,162.85,665.655,318.305,,,
30,3967415,388,3.1917422680412377,left,fixation,7.0,,654.361183673469,237.811214285714,,,,,4.0,2.877768587338884,26.67388455430878
