,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2171201,36,3.4441250000000005,left,fixation,1.0,,1527.0688,759.8958,,,,,0.0,,
1,2171201,36,3.4441250000000005,right,fixation,,1.0,1499.9196,796.8024,,,,,0.0,,
2,2171241,68,,left,saccade,1.0,,,,1526.539,758.822,744.087,205.537,,,
3,2171241,68,,right,saccade,,1.0,,,1503.985,798.8589999999997,740.279,240.175,,,
4,2171313,196,3.4480204081632646,left,fixation,2.0,,725.6376,200.76594,,,,,1.0,5.955894493879312,19.70904627322189
5,2171313,196,3.4480204081632646,right,fixation,,2.0,733.87954,207.86033999999998,,,,,1.0,3.805053193525107,8.395417619153934
6,2171513,24,,left,saccade,2.0,,,,722.684,205.58900000000003,492.594,197.68200000000002,,,
7,2171513,28,,right,saccade,,2.0,,,737.3,203.745,498.514,200.38099999999997,,,
8,2171541,236,3.465584745762712,left,fixation,3.0,,483.931666666667,189.145866666667,,,,,0.0,,
9,2171545,228,3.4655701754385966,right,fixation,,3.0,471.23329310344803,189.141379310345,,,,,1.0,5.080362213683402,26.255105427325894
10,2171777,20,,right,saccade,,3.0,,,476.082,186.31900000000002,557.128,188.075,,,
11,2171781,16,,left,saccade,3.0,,,,481.16900000000004,189.176,546.464,173.889,,,
12,2171801,180,3.4736333333333342,right,fixation,,4.0,567.5231304347831,185.00852173913003,,,,,1.0,3.5213390169397742,9.1002229643015
13,2171801,184,3.4734239130434794,left,fixation,4.0,,570.459872340425,177.101340425532,,,,,0.0,,
14,2171985,20,,right,saccade,,4.0,,,565.674,191.952,660.7280000000002,184.929,,,
15,2171989,16,,left,saccade,4.0,,,,573.274,182.25599999999997,658.831,182.25599999999997,,,
16,2172009,224,3.467375,right,fixation,,5.0,676.7571228070179,192.549403508772,,,,,1.0,3.3447509291093342,6.650128194253208
17,2172009,228,3.46728947368421,left,fixation,5.0,,675.6855344827591,180.650482758621,,,,,0.0,,
18,2172237,20,,right,saccade,,5.0,,,679.801,193.562,779.0939999999997,192.585,,,
19,2172241,16,,left,saccade,5.0,,,,681.2389999999998,183.63400000000001,755.398,179.153,,,
20,2172261,396,3.520313131313132,right,fixation,,6.0,776.1356,195.42802,,,,,0.0,,
21,2172261,556,3.5376618705035967,left,fixation,6.0,,785.547728571428,179.51505,,,,,1.0,14.234153083341493,42.69781280112598
22,2172661,20,,right,saccade,,6.0,,,774.196,200.248,835.966,201.31099999999998,,,
23,2172685,132,3.584772727272728,right,fixation,,7.0,843.623647058824,206.89970588235298,,,,,1.0,4.368017822129893,3.5990168101857787
24,2172821,8,,left,saccade,6.0,,,,836.0260000000003,198.588,795.2589999999999,198.78099999999998,,,
25,2172821,8,,right,saccade,,7.0,,,836.07,211.88400000000001,791.8860000000003,211.012,,,
26,2172833,532,3.632662313432837,right,fixation,,8.0,783.793164179105,199.553537313433,,,,,0.0,,
27,2172833,536,3.632620370370371,left,fixation,7.0,,773.817251851852,197.466311111111,,,,,2.0,4.420375792337973,12.816708106628473
28,2173369,52,,right,saccade,,8.0,,,777.5260000000003,192.46400000000003,1335.604,189.937,,,
29,2173373,44,,left,saccade,7.0,,,,766.955,210.78599999999997,1313.69,190.382,,,
30,2173421,292,3.686601351351353,left,fixation,8.0,,1334.5237837837801,159.968081081081,,,,,5.0,4.601386191055104,14.25461984207291
31,2173425,288,3.6871027397260265,right,fixation,,9.0,1351.4267260274,162.340054794521,,,,,1.0,6.102096188105267,17.01537730995114
32,2173717,20,,left,saccade,8.0,,,,1319.434,134.43200000000002,1399.652,112.366,,,
33,2173717,20,,right,saccade,,9.0,,,1340.1989999999996,136.908,1413.2420000000006,129.037,,,
34,2173741,656,3.694301829268293,left,fixation,9.0,,1444.4714181818201,111.582472727273,,,,,1.0,6.018509009251801,17.965166990596078
35,2173741,656,3.694301829268293,right,fixation,,10.0,1446.38206060606,136.782860606061,,,,,1.0,17.421034900372533,48.2105313806019
36,2174401,48,,left,saccade,9.0,,,,1484.53,112.682,825.058,141.244,,,
37,2174401,52,,right,saccade,,10.0,,,1479.876,148.191,812.182,144.893,,,
38,2174453,356,3.659294943820224,left,fixation,10.0,,785.985533333333,183.6668,,,,,3.0,4.318341890717626,10.25040442766302
39,2174457,352,3.658741477272727,right,fixation,,11.0,775.4460561797749,171.306719101124,,,,,2.0,6.081971144442355,19.390506579612413
40,2174813,20,,left,saccade,10.0,,,,772.699,198.467,796.945,309.87,,,
41,2174813,20,,right,saccade,,11.0,,,760.701,189.576,784.8589999999997,264.428,,,
42,2174837,152,3.585855263157895,left,fixation,11.0,,814.7901025641029,312.929076923077,,,,,0.0,,
43,2174837,152,3.585855263157895,right,fixation,,12.0,806.123,273.181,,,,,0.0,,
44,2174993,24,,left,saccade,11.0,,,,813.201,311.342,670.581,318.853,,,
45,2174993,24,,right,saccade,,12.0,,,814.102,283.53,672.567,301.285,,,
46,2175021,380,3.5061473684210513,right,fixation,,13.0,658.184020833334,302.991510416667,,,,,0.0,,
47,2175021,812,3.4976985294117653,left,fixation,12.0,,695.412980392157,319.970485294118,,,,,1.0,9.008203750224322,56.230765253551404
48,2175405,12,,right,saccade,,13.0,,,666.207,298.074,714.248,297.888,,,
49,2175421,412,3.4924038461538465,right,fixation,,14.0,728.5270384615379,309.654259615385,,,,,0.0,,
50,2175837,20,,left,saccade,12.0,,,,747.804,355.654,615.738,348.103,,,
51,2175837,20,,right,saccade,,14.0,,,738.632,315.731,601.27,315.731,,,
52,2175861,440,3.5787590909090907,left,fixation,13.0,,568.579738738739,322.91245045044997,,,,,3.0,7.239300699874036,23.220405761569186
53,2175861,440,3.5787590909090907,right,fixation,,15.0,572.862612612612,317.930306306306,,,,,2.0,9.915705014768127,31.733248198194605
54,2176305,20,,left,saccade,13.0,,,,537.31,318.936,443.01,314.78,,,
55,2176305,20,,right,saccade,,15.0,,,533.3480000000002,316.748,443.917,316.33299999999997,,,
56,2176329,300,3.5861148648648657,right,fixation,,16.0,445.04285526315806,311.537052631579,,,,,4.0,3.5267644091740467,18.031014218635693
57,2176329,304,3.585766666666668,left,fixation,14.0,,441.25440259740196,307.125675324675,,,,,0.0,,
58,2176633,28,,right,saccade,,16.0,,,464.278,309.785,724.1260000000003,307.265,,,
59,2176637,28,,left,saccade,14.0,,,,455.19800000000004,297.0490000000001,692.753,295.342,,,
60,2176665,400,3.504549504950496,right,fixation,,17.0,755.152366336634,310.546297029703,,,,,1.0,4.27956088739124,16.170215830346944
61,2176669,396,3.50409,left,fixation,15.0,,746.42432,324.8681200000001,,,,,1.0,5.622038373421303,34.497237512589344
62,2177069,16,,left,saccade,15.0,,,,769.76,322.548,836.8710000000003,321.45,,,
63,2177069,16,,right,saccade,,17.0,,,780.3839999999999,304.269,849.7539999999997,305.508,,,
64,2177089,464,3.4646293103448285,left,fixation,16.0,,856.286034188034,324.914376068376,,,,,0.0,,
65,2177089,464,3.4646293103448285,right,fixation,,18.0,855.261547008546,319.093230769231,,,,,0.0,,
66,2177557,28,,left,saccade,16.0,,,,851.64,313.845,643.197,317.656,,,
67,2177557,32,,right,saccade,,18.0,,,850.748,314.14799999999997,641.719,322.426,,,
68,2177589,196,3.442959183673469,left,fixation,17.0,,637.72682,343.61699999999996,,,,,0.0,,
69,2177593,192,3.442645833333333,right,fixation,,19.0,624.517367346939,326.15406122448996,,,,,0.0,,
70,2177789,20,,left,saccade,17.0,,,,643.576,346.43,727.548,339.69,,,
71,2177789,20,,right,saccade,,19.0,,,610.252,308.536,743.9010000000003,301.524,,,
72,2177813,292,3.4637808219178083,left,fixation,18.0,,759.160581081081,337.609918918919,,,,,0.0,,
73,2177813,292,3.4637808219178083,right,fixation,,20.0,758.5915810810809,306.776364864865,,,,,0.0,,
74,2178109,20,,left,saccade,18.0,,,,761.709,322.722,622.724,325.572,,,
75,2178109,20,,right,saccade,,20.0,,,768.685,320.18,639.266,316.573,,,
76,2178133,504,3.466305555555555,left,fixation,19.0,,636.410086614173,325.900015748032,,,,,2.0,4.828259360492739,15.953265858896195
77,2178133,504,3.466305555555555,right,fixation,,21.0,641.050338582677,314.124653543307,,,,,3.0,4.269491289729797,15.029809277583606
78,2178641,20,,left,saccade,19.0,,,,651.499,329.595,553.471,331.017,,,
79,2178641,20,,right,saccade,,21.0,,,660.438,314.057,556.436,319.092,,,
80,2178665,364,3.449593406593406,left,fixation,20.0,,542.780456521739,330.094032608696,,,,,0.0,,
81,2178665,364,3.449593406593406,right,fixation,,22.0,545.09247826087,309.939945652174,,,,,1.0,3.392548124607514,7.821143906104793
82,2179033,20,,left,saccade,20.0,,,,553.755,339.11300000000006,447.19699999999995,340.695,,,
83,2179033,20,,right,saccade,,22.0,,,532.453,302.5440000000001,428.75699999999995,295.9290000000001,,,
84,2179057,392,3.4287040816326533,right,fixation,,23.0,443.644424242424,303.679393939394,,,,,4.0,3.831097165646801,12.141411815560597
85,2179057,396,3.4288535353535354,left,fixation,21.0,,431.66282,319.31789,,,,,1.0,5.318319453131359,9.8006073791373
86,2179453,20,,right,saccade,,23.0,,,435.935,307.726,531.3430000000002,295.251,,,
87,2179457,16,,left,saccade,21.0,,,,434.384,321.052,513.7719999999998,311.702,,,
88,2179477,224,3.461866071428572,left,fixation,22.0,,528.906333333333,305.65805263157904,,,,,0.0,,
89,2179477,428,3.4780093457943924,right,fixation,,24.0,569.506157407407,295.07517592592603,,,,,3.0,6.9715078766617085,22.600339356111565
90,2179705,8,,left,saccade,22.0,,,,557.266,302.83799999999997,587.789,303.253,,,
91,2179717,188,3.496542553191489,left,fixation,23.0,,603.283104166666,319.698645833333,,,,,1.0,4.023065059407078,12.43012779499865
92,2179909,24,,left,saccade,23.0,,,,598.636,324.569,718.925,327.312,,,
93,2179909,24,,right,saccade,,24.0,,,596.0269999999998,294.485,735.221,306.297,,,
94,2179937,232,3.5345517241379314,left,fixation,24.0,,723.4309152542371,323.9290000000001,,,,,0.0,,
95,2179937,236,3.5347033898305087,right,fixation,,25.0,733.70545,325.49048333333303,,,,,0.0,,
96,2180173,32,,left,saccade,24.0,,,,732.7080000000003,340.103,486.119,331.848,,,
97,2180177,36,,right,saccade,,25.0,,,736.4810000000001,324.362,464.01599999999996,313.855,,,
98,2180209,232,3.5721034482758616,left,fixation,25.0,,441.78713559322,319.964271186441,,,,,1.0,4.749324457810352,25.72567857219709
99,2180217,220,3.5729090909090897,right,fixation,,26.0,429.82808928571404,303.114535714286,,,,,1.0,5.535131560215064,17.512013961849238
100,2180441,60,,right,saccade,,26.0,,,418.101,298.23,1262.633,281.83099999999996,,,
101,2180445,56,,left,saccade,25.0,,,,446.721,337.342,1261.156,296.265,,,
102,2180505,516,3.5332868217054263,left,fixation,26.0,,1314.70086153846,297.691438461538,,,,,3.0,4.544437797063941,10.791961745387717
103,2180505,520,3.5328307692307686,right,fixation,,27.0,1311.4386412213698,286.961328244275,,,,,1.0,4.523627001643708,18.4971837856468
104,2181025,60,,left,saccade,26.0,,,,1315.86,306.427,507.63,439.653,,,
105,2181029,56,,right,saccade,,27.0,,,1314.2479999999996,297.048,504.746,427.084,,,
