,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,11033219,60,3.912359375,left,fixation,1.0,,1585.9250625,809.939625,,,,,1.0,1.5689559249527438,3.5376219413609804
1,11033219,64,3.9121911764705892,right,fixation,,1.0,1521.63247058824,828.664529411765,,,,,0.0,,
2,11033283,64,,left,saccade,1.0,,,,1586.2320000000002,806.7339999999997,765.883,572.232,,,
3,11033287,60,,right,saccade,,1.0,,,1516.18,819.9889999999997,731.8330000000003,616.32,,,
4,11033351,161,3.892243902439024,left,fixation,2.0,,767.393195121951,580.087170731707,,,,,1.0,2.316296133437535,7.237050573265318
5,11033351,165,3.8915357142857134,right,fixation,,2.0,725.7846428571429,610.372047619048,,,,,4.0,3.156374477034505,16.72570381629121
6,11033516,40,,left,saccade,2.0,,,,763.066,581.587,607.741,271.218,,,
7,11033520,36,,right,saccade,,2.0,,,717.2310000000001,624.373,619.955,317.9290000000001,,,
8,11033560,88,,left,fixation,3.0,,583.846043478261,255.680913043478,,,,,1.0,2.937971304980517,12.619666952816127
9,11033560,96,,right,fixation,,3.0,601.31828,317.5225200000001,,,,,2.0,4.416947737637472,14.164287648565328
10,11033652,32,,left,saccade,3.0,,,,574.832,246.055,508.205,239.64,,,
11,11033660,32,,right,saccade,,3.0,,,594.814,330.81699999999995,506.155,354.534,,,
12,11033808,728,3.8173377545552,right,fixation,,4.0,537.1236174863379,301.639071038251,,,,,5.0,3.7033115081958736,14.419794751040607
13,11033820,724,3.817009656084656,left,fixation,4.0,,507.98171978022003,180.765543956044,,,,,9.0,5.03837815488425,33.86006475382323
14,11034540,24,,right,saccade,,4.0,,,564.1759999999998,284.08,659.591,274.738,,,
15,11034548,16,,left,saccade,4.0,,,,595.365,224.27900000000002,657.321,224.59,,,
16,11034568,291,3.7614375,left,fixation,5.0,,665.345135135136,219.904472972973,,,,,1.0,2.2604708580293678,8.671628451450225
17,11034568,291,3.7614375,right,fixation,,5.0,673.534891891892,251.715594594595,,,,,1.0,2.1407593733169668,9.259740925101402
18,11034863,12,,right,saccade,,5.0,,,688.433,243.22799999999998,740.867,247.105,,,
19,11034863,16,,left,saccade,5.0,,,,660.775,208.955,732.605,210.865,,,
20,11034879,244,3.7334016393442617,right,fixation,,6.0,781.708161290322,244.544241935484,,,,,1.0,5.172303143238565,39.47304945149292
21,11034883,244,3.7334344262295085,left,fixation,6.0,,763.174532258065,210.118387096774,,,,,3.0,3.0525665540400277,22.904582754443965
22,11035127,8,,right,saccade,,6.0,,,829.8610000000001,247.68,862.18,247.68,,,
23,11035131,4,,left,saccade,6.0,,,,800.797,208.593,811.2560000000003,208.593,,,
24,11035139,220,3.718645454545455,left,fixation,7.0,,859.786571428572,233.166589285714,,,,,3.0,2.770581386906904,16.11813868685977
25,11035139,224,3.718651785714286,right,fixation,,7.0,878.219210526315,257.946631578947,,,,,2.0,2.3249448563646937,10.01023876443294
26,11035363,12,,left,saccade,7.0,,,,845.73,241.39700000000002,805.6110000000001,237.451,,,
27,11035367,8,,right,saccade,,7.0,,,856.0210000000003,251.00599999999997,827.921,250.55599999999998,,,
28,11035379,152,3.7288289473684215,right,fixation,,8.0,807.773666666667,244.958128205128,,,,,1.0,2.136481147692275,3.501698445040585
29,11035379,156,3.729294871794872,left,fixation,8.0,,789.247675,232.68015,,,,,2.0,2.8444219052431916,8.931868834388776
30,11035535,12,,right,saccade,,8.0,,,810.332,234.84099999999998,862.562,237.49,,,
31,11035539,8,,left,saccade,8.0,,,,806.971,236.63299999999998,833.314,239.398,,,
32,11035551,192,3.766125,left,fixation,9.0,,859.7907959183681,222.216183673469,,,,,3.0,2.810976344279163,13.979590920161623
33,11035551,192,3.766125,right,fixation,,9.0,883.0734693877548,259.786775510204,,,,,1.0,3.1796269609989025,16.029341876695966
34,11035747,28,,left,saccade,9.0,,,,854.915,237.47400000000002,684.173,227.007,,,
35,11035747,28,,right,saccade,,9.0,,,883.317,263.173,705.934,260.173,,,
36,11035779,245,3.7850161290322575,left,fixation,10.0,,667.8927258064521,209.713822580645,,,,,3.0,3.930930535582115,11.629442644314326
37,11035779,537,3.782818518518519,right,fixation,,10.0,648.1648518518521,269.499518518518,,,,,3.0,5.370288874822414,31.334416764335362
38,11036028,8,,left,saccade,10.0,,,,634.415,206.688,612.184,206.688,,,
39,11036040,276,3.7804637681159416,left,fixation,11.0,,573.112628571428,224.67424285714299,,,,,2.0,2.9133929919172794,19.27655209396778
40,11036320,16,,right,saccade,,10.0,,,616.134,280.025,679.76,276.737,,,
41,11036320,24,,left,saccade,11.0,,,,563.635,225.035,654.634,218.84400000000002,,,
42,11036340,223,3.7778545454545465,right,fixation,,11.0,692.347789473684,271.897298245614,,,,,0.0,,
43,11036348,215,3.7780188679245286,left,fixation,12.0,,655.268781818182,212.34792727272702,,,,,1.0,2.924109741062695,25.49965588003099
44,11036567,12,,left,saccade,12.0,,,,648.922,224.799,603.643,224.799,,,
45,11036567,12,,right,saccade,,11.0,,,684.37,270.439,631.677,271.813,,,
46,11036583,260,3.8157384615384617,left,fixation,13.0,,569.6507727272731,202.406196969697,,,,,1.0,3.1258598505939945,20.267018651000463
47,11036583,260,3.8157384615384617,right,fixation,,12.0,611.732712121212,270.506121212121,,,,,2.0,2.0468926627246247,9.524343524904287
48,11036847,12,,left,saccade,13.0,,,,549.514,198.642,506.45599999999996,198.475,,,
49,11036847,16,,right,saccade,,12.0,,,586.451,267.995,525.126,266.405,,,
50,11036863,393,3.748363636363636,left,fixation,14.0,,484.334616161616,201.65429292929298,,,,,3.0,1.971482267628282,8.10982829199798
51,11036867,385,3.748273195876288,right,fixation,,13.0,510.608505154639,252.34724742268003,,,,,1.0,1.8758731448463049,4.377872771107056
52,11037256,31,,right,saccade,,13.0,,,512.825,254.58900000000003,679.429,247.11900000000003,,,
53,11037259,28,,left,saccade,14.0,,,,500.89,206.83900000000003,628.9540000000002,201.123,,,
54,11037291,128,3.689828125,left,fixation,15.0,,650.084181818182,194.784818181818,,,,,2.0,2.2830463683188933,9.635478797051068
55,11037291,128,3.689828125,right,fixation,,14.0,687.869939393939,255.028818181818,,,,,1.0,2.2569710897572186,5.214722427895982
56,11037423,16,,left,saccade,15.0,,,,642.729,198.44299999999998,562.487,204.49900000000002,,,
57,11037423,16,,right,saccade,,14.0,,,681.2810000000002,262.892,592.18,262.716,,,
58,11037443,208,3.6824615384615385,right,fixation,,15.0,584.300132075472,263.95837735849,,,,,0.0,,
59,11037443,528,3.711045454545455,left,fixation,16.0,,517.122135338346,212.16575187969897,,,,,3.0,5.099598590634905,29.486263970065483
60,11037655,12,,right,saccade,,15.0,,,569.2919999999998,269.923,521.128,264.01099999999997,,,
61,11037671,296,3.7323581081081088,right,fixation,,16.0,508.56156,240.17524,,,,,1.0,2.9161928853291594,7.897178356856282
62,11037971,20,,right,saccade,,16.0,,,504.76800000000003,231.114,642.861,237.297,,,
63,11037975,20,,left,saccade,16.0,,,,497.356,205.15200000000002,611.036,201.208,,,
64,11037995,144,3.769527777777777,right,fixation,,17.0,674.906432432432,257.28700000000003,,,,,2.0,2.4715399923900065,8.141964411955978
65,11037999,144,3.769000000000001,left,fixation,17.0,,649.942135135135,193.79756756756802,,,,,1.0,2.826746780507817,17.76011514602308
66,11038143,16,,right,saccade,,17.0,,,693.8380000000003,258.17900000000003,776.5980000000003,257.149,,,
67,11038147,12,,left,saccade,17.0,,,,670.823,185.28900000000002,729.305,183.202,,,
68,11038163,396,3.7561313131313128,left,fixation,18.0,,765.9217,196.675,,,,,2.0,3.3783144960079614,21.62319069910129
69,11038163,400,3.756215,right,fixation,,18.0,785.765811881188,234.93529702970298,,,,,0.0,,
70,11038563,28,,left,saccade,18.0,,,,779.2710000000003,204.66299999999998,595.104,214.421,,,
71,11038567,24,,right,saccade,,18.0,,,782.645,227.766,611.952,240.764,,,
72,11038595,320,3.7321875,left,fixation,19.0,,575.004456790123,213.38692592592602,,,,,1.0,1.9460319884318265,6.0677854279793975
73,11038595,320,3.7321875,right,fixation,,19.0,606.989222222222,266.19935802469104,,,,,0.0,,
74,11038919,8,,left,saccade,19.0,,,,534.205,202.227,503.69800000000004,203.643,,,
75,11038919,16,,right,saccade,,19.0,,,590.6669999999998,277.04400000000004,534.964,273.205,,,
76,11038931,184,3.730641304347827,left,fixation,20.0,,489.434595744681,222.69485106383,,,,,1.0,1.8556937307169556,6.294839156007054
77,11038939,176,3.7308068181818186,right,fixation,,20.0,501.51,241.08415555555598,,,,,1.0,3.774175954945528,19.25996430422449
78,11039119,32,,left,saccade,20.0,,,,484.54,222.658,714.688,204.81799999999998,,,
79,11039119,32,,right,saccade,,20.0,,,494.542,232.05,725.113,240.396,,,
80,11039155,264,3.756257575757576,right,fixation,,21.0,747.785820895522,239.634597014925,,,,,2.0,3.5574016001048334,13.414675971971675
81,11039155,272,3.756433823529412,left,fixation,21.0,,741.4431739130431,190.783086956522,,,,,4.0,3.3833656474532092,16.754020215822912
82,11039423,16,,right,saccade,,21.0,,,774.1110000000001,227.525,844.732,227.79,,,
83,11039431,12,,left,saccade,21.0,,,,790.352,208.662,834.01,211.86700000000002,,,
84,11039443,144,3.790625,right,fixation,,22.0,858.270108108108,234.410189189189,,,,,0.0,,
85,11039447,140,3.7912428571428567,left,fixation,22.0,,855.605472222222,214.525694444444,,,,,1.0,2.273476645042879,7.72015194150999
86,11039591,32,,left,saccade,22.0,,,,854.196,219.977,614.122,209.61700000000002,,,
87,11039591,32,,right,saccade,,22.0,,,856.855,240.356,638.17,245.09799999999998,,,
88,11039627,392,3.8408520408163267,right,fixation,,23.0,616.816474747475,254.76758585858602,,,,,3.0,2.6883836163717385,14.057829205178182
89,11039627,396,3.840883838383839,left,fixation,23.0,,598.78126,194.90176,,,,,1.0,6.120385066408076,40.45981405048729
90,11040023,16,,right,saccade,,23.0,,,594.863,260.112,678.857,259.758,,,
91,11040027,16,,left,saccade,23.0,,,,588.215,224.358,640.622,210.074,,,
92,11040043,1028,3.843313229571984,right,fixation,,24.0,682.4333837209299,245.347748062016,,,,,3.0,4.013888093809991,26.709037344344786
93,11040047,1024,3.84325,left,fixation,24.0,,648.054498054474,175.048813229572,,,,,8.0,3.423106806929424,25.34542458015441
