,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2654039,4,,right,saccade,,1.0,,,477.83,108.071,481.82,114.788,,,
1,2654039,144,3.8855202702702702,left,fixation,1.0,,525.031432432432,173.996459459459,,,,,2.0,11.505078859087744,29.02624356221969
2,2654047,128,3.886780303030304,right,fixation,,1.0,506.993151515151,148.952575757576,,,,,1.0,5.0547664909249415,19.119110910290786
3,2654179,16,,right,saccade,,2.0,,,493.43,172.017,438.542,182.088,,,
4,2654187,4,,left,saccade,1.0,,,,493.644,204.56,491.412,208.25900000000001,,,
5,2654195,467,3.9323888888888883,left,fixation,2.0,,435.592093220339,186.71542372881302,,,,,3.0,5.9125483777973376,22.331995186323045
6,2654199,467,3.9328675213675215,right,fixation,,2.0,403.699101694915,173.085508474576,,,,,1.0,5.911907240664567,16.914751550052394
7,2654666,28,,left,saccade,2.0,,,,405.93,164.577,456.921,288.972,,,
8,2654670,24,,right,saccade,,3.0,,,406.906,181.27200000000002,460.24300000000005,302.443,,,
9,2654698,176,3.9552840909090894,left,fixation,3.0,,490.13908888888886,315.611977777778,,,,,4.0,8.764495566108572,26.341732098196275
10,2654698,176,3.9552840909090894,right,fixation,,3.0,482.5267333333329,310.049088888889,,,,,0.0,,
11,2654878,24,,left,saccade,3.0,,,,493.55300000000005,342.225,456.79,222.55900000000003,,,
12,2654878,24,,right,saccade,,4.0,,,475.915,302.13,429.835,161.201,,,
13,2654906,460,3.9702017543859656,right,fixation,,4.0,404.38429310344804,166.081275862069,,,,,1.0,3.966750520822361,7.538749564748802
14,2654906,464,3.9704130434782616,left,fixation,4.0,,427.443735042735,186.499076923077,,,,,1.0,6.885198409551383,22.00686649661871
15,2655370,28,,right,saccade,,5.0,,,420.54900000000004,180.605,747.612,317.931,,,
16,2655374,36,,left,saccade,4.0,,,,432.414,177.2,743.693,305.471,,,
17,2655402,172,4.063593023255813,right,fixation,,5.0,756.381272727273,342.329590909091,,,,,1.0,6.50775147420366,24.68014477267107
18,2655414,164,4.065975609756098,left,fixation,5.0,,774.152047619048,332.643547619048,,,,,2.0,7.44124746270464,16.50873244579952
19,2655578,24,,right,saccade,,6.0,,,756.664,359.846,965.957,369.54400000000004,,,
20,2655582,28,,left,saccade,5.0,,,,776.0,340.897,990.6080000000001,351.39099999999996,,,
21,2655606,204,4.105666666666666,right,fixation,,6.0,961.600230769231,342.67975,,,,,2.0,7.444686104670657,30.79189351772457
22,2655614,200,4.1063800000000015,left,fixation,6.0,,991.267803921568,329.079862745098,,,,,2.0,7.167800537267027,19.2532627356157
23,2655814,28,,right,saccade,,7.0,,,951.0160000000001,334.23,1237.507,335.629,,,
24,2655818,24,,left,saccade,6.0,,,,989.63,339.971,1196.829,323.783,,,
25,2655846,556,4.0964784172661854,left,fixation,7.0,,1206.15531428571,339.305464285714,,,,,2.0,6.4455177207522585,24.297122862508548
26,2655846,556,4.0964784172661854,right,fixation,,7.0,1186.45849285714,314.669742857143,,,,,0.0,,
27,2656406,24,,right,saccade,,8.0,,,1189.486,303.381,1431.34,309.041,,,
28,2656406,32,,left,saccade,7.0,,,,1188.134,315.714,1464.885,317.718,,,
29,2656434,140,4.0163714285714285,right,fixation,,8.0,1436.38863888889,294.378305555555,,,,,0.0,,
30,2656442,132,4.015833333333333,left,fixation,8.0,,1436.44994117647,333.66723529411814,,,,,2.0,4.933597140934444,19.680874255211275
31,2656578,40,,left,saccade,8.0,,,,1403.496,339.0,834.1139999999997,328.15,,,
32,2656578,44,,right,saccade,,9.0,,,1437.319,290.656,853.941,314.342,,,
33,2656622,212,4.068452830188678,left,fixation,9.0,,835.7171851851849,335.028037037037,,,,,0.0,,
34,2656626,208,4.068923076923077,right,fixation,,9.0,841.8452452830188,341.244679245283,,,,,0.0,,
35,2656838,40,,left,saccade,9.0,,,,841.176,361.99199999999996,456.965,266.84,,,
36,2656838,40,,right,saccade,,10.0,,,841.2280000000003,351.025,428.54900000000004,257.837,,,
37,2656882,96,4.059645833333334,right,fixation,,10.0,418.98964,251.38512000000003,,,,,0.0,,
38,2656882,384,4.033244791666667,left,fixation,10.0,,450.152845360825,222.695051546392,,,,,1.0,8.239812243343632,23.35777044154685
39,2656982,8,,right,saccade,,11.0,,,435.151,230.68,434.463,213.953,,,
40,2656994,268,4.022611940298509,right,fixation,,11.0,418.280676470588,186.79161764705898,,,,,0.0,,
41,2657266,36,,right,saccade,,12.0,,,411.615,181.003,441.69599999999997,480.13300000000004,,,
42,2657270,28,,left,saccade,10.0,,,,430.837,180.321,428.23,423.913,,,
43,2657302,768,3.9492526041666665,left,fixation,11.0,,448.177082901555,444.599227979275,,,,,3.0,7.0885136866094385,35.14359281153668
44,2657306,764,3.9489136125654447,right,fixation,,12.0,438.293453125,471.951151041667,,,,,1.0,6.314117394555005,11.461904204799525
45,2658074,24,,right,saccade,,13.0,,,437.92199999999997,468.105,484.881,559.337,,,
46,2658074,28,,left,saccade,11.0,,,,461.967,409.52099999999996,507.934,526.712,,,
47,2658102,108,3.897518518518518,right,fixation,,13.0,502.359142857143,575.436285714286,,,,,0.0,,
48,2658106,108,3.8969074074074084,left,fixation,12.0,,523.5281071428569,563.098642857143,,,,,0.0,,
49,2658214,28,,right,saccade,,14.0,,,490.509,574.86,750.966,593.1,,,
50,2658218,24,,left,saccade,12.0,,,,525.746,556.151,720.956,585.323,,,
51,2658246,156,3.9093846153846163,left,fixation,13.0,,745.429925,588.5698,,,,,0.0,,
52,2658246,156,3.9093846153846163,right,fixation,,14.0,748.783875,597.897325,,,,,0.0,,
53,2658406,32,,right,saccade,,15.0,,,747.67,605.059,1104.33,611.6569999999998,,,
54,2658406,36,,left,saccade,13.0,,,,753.7339999999997,584.061,1133.4189999999999,566.5409999999998,,,
55,2658442,276,3.9134130434782612,right,fixation,,15.0,1134.11204285714,609.332,,,,,2.0,5.9801606866054415,14.512810463918242
56,2658446,272,3.913470588235294,left,fixation,14.0,,1170.86230434783,608.600115942029,,,,,1.0,11.919009198661493,63.33296444190821
57,2658722,28,,right,saccade,,16.0,,,1157.708,614.854,1430.884,628.319,,,
58,2658722,32,,left,saccade,14.0,,,,1208.8039999999999,637.498,1457.786,619.232,,,
59,2658754,184,3.861063829787233,right,fixation,,16.0,1453.22106382979,619.081936170213,,,,,0.0,,
60,2658758,180,3.86091304347826,left,fixation,15.0,,1475.0779565217401,577.697,,,,,0.0,,
61,2658942,60,,left,saccade,15.0,,,,1475.497,574.192,631.641,547.744,,,
62,2658942,60,,right,saccade,,17.0,,,1442.723,619.188,590.163,546.582,,,
63,2659006,84,3.8748,left,fixation,16.0,,624.805590909091,534.843636363636,,,,,0.0,,
64,2659006,84,3.8748,right,fixation,,17.0,582.895545454546,532.207,,,,,0.0,,
65,2659094,24,,left,saccade,16.0,,,,631.7080000000002,539.778,508.936,470.1,,,
