,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2049333,124,3.2569453125,left,fixation,1.0,,1537.99146875,880.40303125,,,,,0.0,,
1,2049333,124,3.2569453125,right,fixation,,1.0,1541.2963125,882.49975,,,,,0.0,,
2,2049461,48,,left,saccade,1.0,,,,1537.5120000000006,879.1060000000001,952.4060000000001,332.801,,,
3,2049461,52,,right,saccade,,1.0,,,1532.3629999999994,882.1360000000003,965.306,317.904,,,
4,2049513,123,3.2289,left,fixation,2.0,,940.30225,332.40871875,,,,,0.0,,
5,2049517,123,3.2287166666666662,right,fixation,,2.0,944.907875,318.4195,,,,,0.0,,
6,2049640,44,,left,saccade,2.0,,,,934.835,332.779,567.293,216.78,,,
7,2049644,36,,right,saccade,,2.0,,,940.416,326.075,572.8480000000002,221.672,,,
8,2049684,128,3.247109375,right,fixation,,3.0,550.611757575758,190.69803030303,,,,,0.0,,
9,2049688,124,3.247532258064515,left,fixation,3.0,,557.69321875,203.734875,,,,,0.0,,
10,2049816,20,,left,saccade,3.0,,,,553.839,203.172,482.26599999999996,207.37900000000002,,,
11,2049816,20,,right,saccade,,3.0,,,532.946,168.324,468.725,172.077,,,
12,2049840,393,3.278010101010101,right,fixation,,4.0,442.17165656565595,169.03077777777798,,,,,2.0,6.808928264823304,19.012142767346283
13,2049840,740,3.256681081081081,left,fixation,4.0,,462.813559139785,174.805752688172,,,,,2.0,9.580542964564417,29.54057533590905
14,2050237,12,,right,saccade,,4.0,,,436.865,166.358,440.162,112.671,,,
15,2050253,327,3.231438271604938,right,fixation,,5.0,449.63902409638496,123.89544578313298,,,,,1.0,8.748408471132205,39.269144082854645
16,2050584,4,,right,saccade,,5.0,,,465.52099999999996,199.02200000000002,465.751,202.60299999999998,,,
17,2050584,8,,left,saccade,4.0,,,,472.875,220.18400000000003,479.176,226.734,,,
18,2050592,164,3.250256097560976,right,fixation,,6.0,474.954928571428,245.476285714286,,,,,0.0,,
19,2050596,160,3.2507,left,fixation,5.0,,487.242658536585,256.661024390244,,,,,0.0,,
20,2050760,28,,right,saccade,,6.0,,,481.913,243.905,702.2919999999997,239.72099999999998,,,
21,2050760,32,,left,saccade,5.0,,,,491.55699999999996,256.844,699.7589999999999,247.408,,,
22,2050792,552,3.307949275362319,right,fixation,,7.0,723.7936402877701,230.287913669065,,,,,1.0,5.5926371363506915,14.785977985916233
23,2050796,544,3.3083198529411764,left,fixation,6.0,,724.647014598541,236.618824817518,,,,,1.0,11.547975661945644,43.64612368813526
24,2051344,33,,left,saccade,6.0,,,,729.8639999999997,266.094,510.13800000000003,206.97299999999998,,,
25,2051348,29,,right,saccade,,7.0,,,723.5889999999997,246.41400000000002,539.109,193.157,,,
26,2051381,567,3.3402624113475174,left,fixation,7.0,,490.944370629371,194.24879020979,,,,,3.0,6.647591638204433,27.44449811113481
27,2051381,567,3.3402624113475174,right,fixation,,8.0,490.564482517483,171.57308391608402,,,,,3.0,6.378695371495799,27.629073638608826
28,2051952,20,,left,saccade,7.0,,,,513.722,176.30599999999995,416.173,182.111,,,
29,2051952,20,,right,saccade,,8.0,,,507.134,147.16899999999995,420.663,156.421,,,
30,2051976,288,3.3564583333333338,left,fixation,8.0,,406.89942465753404,192.938315068493,,,,,0.0,,
31,2051976,636,3.3673396226415098,right,fixation,,9.0,433.21229375,150.56906875,,,,,3.0,9.337619303320821,42.227663734553275
