,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,635221,120,3.659035997649133,left,fixation,1.0,,794.892322580646,790.305677419355,,,,,1.0,4.7269434627463225,9.280440722293367
1,635221,120,3.659035997649133,right,fixation,,1.0,794.481161290323,859.263193548387,,,,,1.0,3.06118532779562,11.557272904972038
2,635345,72,,right,saccade,,1.0,,,782.955,855.9580000000003,1112.644,-1.337,,,
3,635345,76,,left,saccade,1.0,,,,787.6469999999997,798.1669999999997,1011.4889999999999,-28.596,,,
4,636549,156,3.821967270896273,left,fixation,2.0,,1060.730125,23.949475,,,,,1.0,10.18181452530823,46.71751437095082
5,636549,156,3.821967270896273,right,fixation,,2.0,1105.1697,45.7754,,,,,1.0,8.848135487836464,14.480754952694971
6,636709,16,,left,saccade,2.0,,,,1070.315,35.78800000000001,993.574,36.937,,,
7,636709,21,,right,saccade,,2.0,,,1096.877,56.375,1005.703,64.546,,,
8,636730,1015,3.648474042753112,left,fixation,3.0,,972.426105882352,59.450921568627386,,,,,0.0,,
9,636734,1011,3.6477393253125743,right,fixation,,3.0,972.4368503937,75.97747244094491,,,,,1.0,8.259913802684487,25.722033065059232
10,637749,80,,left,saccade,3.0,,,,975.125,68.85300000000001,1215.869,580.7719999999998,,,
11,637749,88,,right,saccade,,3.0,,,953.174,73.642,1285.399,650.0830000000002,,,
12,640445,124,3.8787554285714285,left,fixation,4.0,,1268.58996875,619.56084375,,,,,1.0,5.207726674001936,65.23645920035838
13,640445,124,3.8787554285714285,right,fixation,,4.0,1293.880625,684.5393125,,,,,1.0,3.753235004632637,18.897814185773104
14,640573,40,,left,saccade,4.0,,,,1278.2269999999999,629.531,1024.501,83.415,,,
15,640573,40,,right,saccade,,4.0,,,1290.298,687.3539999999997,1066.347,143.136,,,
16,640617,524,3.571385496183206,left,fixation,5.0,,979.1056439393941,53.4296590909091,,,,,8.0,5.703224218834594,18.34135529952768
17,640617,524,3.571385496183206,right,fixation,,5.0,984.046068181818,96.4543863636364,,,,,4.0,7.086888878957976,22.89095168955533
18,641145,36,,left,saccade,5.0,,,,954.255,28.41,1405.6779999999999,102.169,,,
19,641145,36,,right,saccade,,5.0,,,974.694,88.92,1409.279,129.571,,,
20,641185,476,3.334508333333333,left,fixation,6.0,,1419.70675833333,82.3761166666667,,,,,3.0,4.060609685467607,17.72489617932856
21,641185,480,3.3346404958677685,right,fixation,,6.0,1412.0864710743801,142.610727272727,,,,,1.0,3.653423755724089,6.932560061045253
22,641665,32,,left,saccade,6.0,,,,1388.808,68.743,1003.7869999999999,48.233999999999995,,,
23,641669,32,,right,saccade,,6.0,,,1383.1770000000001,163.486,999.845,92.617,,,
24,641701,800,3.3927404129793515,left,fixation,7.0,,971.207771144279,46.2040995024876,,,,,5.0,13.69206345277548,27.90115408136727
25,641705,548,3.385529411764706,right,fixation,,7.0,967.915282608696,64.173,,,,,2.0,4.494940847736159,11.517215447843625
26,642257,8,,right,saccade,,7.0,,,970.328,75.059,965.415,41.552,,,
27,642269,212,3.4260350877192987,right,fixation,,8.0,954.7973148148152,58.4848333333333,,,,,0.0,,
28,642485,60,,right,saccade,,8.0,,,963.2130000000001,62.282,1058.9189999999999,504.088,,,
29,642505,40,,left,saccade,7.0,,,,994.268,2.51,980.46,414.355,,,
30,642993,232,3.655147540983607,right,fixation,,9.0,1023.4061864406799,558.293508474576,,,,,2.0,8.801041356914308,38.38286443881997
