,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2762319,104,3.3630462962962966,left,fixation,1.0,,677.653777777778,218.98237037036998,,,,,0.0,,
1,2762319,104,3.3630462962962966,right,fixation,,1.0,677.5782222222219,229.683037037037,,,,,0.0,,
2,2762427,28,,right,saccade,,1.0,,,671.852,229.03400000000002,519.587,228.47,,,
3,2762427,32,,left,saccade,1.0,,,,677.482,206.707,483.126,192.643,,,
4,2762459,708,3.4101779661016947,right,fixation,,2.0,475.991752808989,211.98241573033692,,,,,2.0,5.9072790603072844,32.36805826233499
5,2762463,700,3.4102771428571432,left,fixation,2.0,,468.20042045454596,174.217579545455,,,,,2.0,2.6899853492911734,15.961100270204904
6,2763167,20,,left,saccade,2.0,,,,465.72900000000004,170.597,547.347,181.104,,,
7,2763171,20,,right,saccade,,2.0,,,477.358,220.863,555.737,220.479,,,
8,2763191,332,3.4324578313253005,left,fixation,3.0,,554.7121071428579,196.394964285714,,,,,1.0,3.2510494416760536,15.959035841804516
9,2763195,332,3.4329337349397586,right,fixation,,3.0,554.837095238095,218.950833333333,,,,,0.0,,
10,2763527,20,,left,saccade,3.0,,,,545.374,213.74400000000003,460.59,206.382,,,
11,2763531,16,,right,saccade,,3.0,,,540.286,229.222,478.48400000000004,222.833,,,
12,2763551,316,3.4749303797468363,right,fixation,,4.0,458.775825,198.7102625,,,,,0.0,,
13,2763551,320,3.475,left,fixation,4.0,,471.4183086419751,177.737802469136,,,,,1.0,3.1469571988050635,25.914009357874328
14,2763871,24,,right,saccade,,4.0,,,456.653,173.36900000000003,562.984,181.81,,,
15,2763875,16,,left,saccade,4.0,,,,489.134,175.68900000000005,537.9730000000002,183.139,,,
16,2763895,528,3.457954545454545,left,fixation,5.0,,614.386759398496,190.29353383458698,,,,,3.0,5.747989028839832,25.27989198365992
17,2763899,524,3.4577519083969466,right,fixation,,5.0,613.073833333333,201.392871212121,,,,,1.0,6.1391527464662525,43.68101010736822
18,2764427,24,,left,saccade,5.0,,,,661.59,199.105,773.418,196.79,,,
19,2764427,24,,right,saccade,,5.0,,,645.276,209.613,777.182,194.40400000000002,,,
20,2764455,408,3.4373235294117648,left,fixation,6.0,,789.4682135922328,176.88884466019402,,,,,2.0,2.4294933128176743,11.695491370476987
21,2764455,408,3.4373235294117648,right,fixation,,6.0,785.847514563107,186.01600970873798,,,,,1.0,3.207561378991828,9.643428850777159
22,2764867,20,,left,saccade,6.0,,,,772.0880000000003,193.05,688.855,195.493,,,
23,2764867,20,,right,saccade,,6.0,,,768.018,188.475,677.086,192.91099999999997,,,
24,2764891,904,3.37033628318584,left,fixation,7.0,,615.009894273128,194.917933920705,,,,,3.0,5.943273648850559,42.864426308630684
25,2764891,908,3.370416299559471,right,fixation,,7.0,618.286140350877,219.011688596491,,,,,4.0,5.54842336963095,26.34917033622972
26,2765799,20,,left,saccade,7.0,,,,540.573,179.16,446.582,188.30900000000003,,,
27,2765803,16,,right,saccade,,7.0,,,539.313,216.755,473.17,218.641,,,
28,2765823,516,3.3594728682170545,left,fixation,8.0,,454.8268153846151,182.316261538461,,,,,0.0,,
29,2765823,516,3.3594728682170545,right,fixation,,8.0,477.260653846154,210.955607692308,,,,,1.0,3.5753848122342884,7.451582180986836
30,2766343,16,,left,saccade,8.0,,,,467.30699999999996,192.433,530.427,206.856,,,
31,2766343,16,,right,saccade,,8.0,,,483.963,199.51,535.908,199.51,,,
32,2766363,356,3.3169269662921343,left,fixation,9.0,,557.289644444444,210.450633333333,,,,,2.0,2.9719484106053864,5.78225317261297
33,2766363,356,3.3169269662921343,right,fixation,,9.0,549.014833333333,209.462177777778,,,,,0.0,,
34,2766723,12,,left,saccade,9.0,,,,575.635,211.083,613.518,211.083,,,
35,2766723,12,,right,saccade,,9.0,,,571.232,221.351,624.706,217.39700000000002,,,
36,2766739,380,3.303336842105264,left,fixation,10.0,,652.0845625,194.14789583333302,,,,,1.0,3.26125729418713,10.740759610009
37,2766739,380,3.303336842105264,right,fixation,,10.0,645.809552083333,199.68538541666697,,,,,0.0,,
38,2767123,16,,right,saccade,,10.0,,,645.84,190.7,563.029,204.783,,,
39,2767123,20,,left,saccade,10.0,,,,651.732,175.748,575.96,188.47299999999998,,,
40,2767143,340,3.2859000000000003,right,fixation,,11.0,551.738697674419,219.775174418605,,,,,1.0,2.6870623778063263,5.643136184782327
