,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2661415,276,2.7032000000000007,left,fixation,1.0,,523.735814285714,594.574728571429,,,,,0.0,,
1,2661415,280,2.7033028169014086,right,fixation,,1.0,552.506014084507,557.158253521127,,,,,0.0,,
2,2661695,12,,left,saccade,1.0,,,,514.396,594.97,486.159,554.74,,,
3,2661699,16,,right,saccade,,1.0,,,544.6709999999998,554.65,527.634,497.67199999999997,,,
4,2661711,68,2.7247058823529406,left,fixation,2.0,,474.40172222222196,520.128222222222,,,,,1.0,4.845856789854364,23.04720471120089
5,2661719,56,2.7253571428571424,right,fixation,,2.0,504.028533333333,484.8402,,,,,1.0,4.048538848221135,12.161530536902015
6,2661779,28,,right,saccade,,2.0,,,495.875,475.716,494.478,287.936,,,
7,2661783,24,,left,saccade,2.0,,,,478.254,497.166,466.786,318.003,,,
8,2661811,88,2.7516136363636363,right,fixation,,3.0,493.934608695652,273.67413043478297,,,,,0.0,,
9,2661811,96,2.7529791666666665,left,fixation,3.0,,446.96067999999997,296.35868,,,,,1.0,4.0540412005251865,7.4030411318591876
10,2661903,12,,right,saccade,,3.0,,,488.061,265.936,483.709,219.115,,,
11,2661911,8,,left,saccade,3.0,,,,450.208,270.079,448.94300000000004,249.143,,,
12,2661919,412,2.749915287244401,right,fixation,,4.0,434.907634615384,138.83373076923098,,,,,2.0,4.715735973575167,22.56326969457137
13,2661923,408,2.7496739273384843,left,fixation,4.0,,461.599359223301,209.82847572815498,,,,,1.0,4.731348016744873,21.738448610698995
14,2662335,40,,left,saccade,4.0,,,,423.978,205.567,424.111,124.887,,,
15,2662335,44,,right,saccade,,4.0,,,408.87,150.126,456.955,139.21200000000002,,,
16,2662439,516,2.7929108910891087,left,fixation,5.0,,461.19324615384596,149.595561538461,,,,,2.0,6.601287562143093,23.846471080955464
17,2662439,2100,2.811629518072289,right,fixation,,5.0,473.68036121673,162.372505703422,,,,,9.0,7.699094966738823,24.654668523442737
18,2662959,12,,left,saccade,5.0,,,,490.28,181.479,441.56300000000016,175.24400000000003,,,
19,2662975,1564,2.8165790816326535,left,fixation,6.0,,443.796007653061,158.28385969387801,,,,,10.0,6.534050308018227,18.02805931255311
20,2664543,32,,left,saccade,6.0,,,,502.153,188.082,689.564,259.922,,,
21,2664543,36,,right,saccade,,5.0,,,518.179,155.719,732.96,221.678,,,
