,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20299897,60,3.067125,left,fixation,1.0,,750.966375,743.318125,,,,,1.0,3.6250956845609132,7.8744834751239905
1,20299897,60,3.067125,right,fixation,,1.0,755.4239375,722.130125,,,,,0.0,,
2,20299961,20,,left,saccade,1.0,,,,756.69,730.3389999999997,878.312,737.688,,,
3,20299961,20,,right,saccade,,1.0,,,758.177,714.742,857.538,720.982,,,
4,20299985,224,3.084888888888889,left,fixation,2.0,,881.2472631578951,739.2881754385968,,,,,0.0,,
5,20299985,228,3.084888888888889,right,fixation,,2.0,871.4437241379311,717.259706896552,,,,,1.0,3.382661037473971,6.693517535645987
6,20300213,44,,left,saccade,2.0,,,,882.66,744.4630000000003,770.4960000000003,140.888,,,
7,20300217,40,,right,saccade,,2.0,,,867.7739999999999,726.97,754.1039999999997,167.132,,,
8,20300381,119,3.0701666666666667,right,fixation,,3.0,727.231451612903,112.220419354839,,,,,1.0,8.791561572831569,33.761797641713336
9,20300401,95,3.069,left,fixation,3.0,,750.3127599999997,131.92703999999998,,,,,1.0,4.3978639069944565,9.684897314891927
10,20300500,20,,left,saccade,3.0,,,,729.4689999999997,110.916,627.202,122.79799999999999,,,
11,20300504,20,,right,saccade,,3.0,,,699.1619999999997,109.037,596.72,138.42700000000002,,,
12,20300524,133,3.0992500000000005,left,fixation,4.0,,612.2839411764701,159.771264705882,,,,,1.0,5.076209940606391,12.952446911684337
13,20300528,129,3.0997424242424243,right,fixation,,4.0,597.341151515152,162.28796969696998,,,,,0.0,,
14,20300661,20,,right,saccade,,4.0,,,608.508,171.385,494.67900000000003,188.03799999999998,,,
15,20300661,24,,left,saccade,4.0,,,,606.192,172.50900000000001,486.352,170.266,,,
