,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2604916,220,3.4393616071428568,left,fixation,1.0,,1432.6134642857098,776.2661071428571,,,,,1.0,10.677614378013237,46.603544350188656
1,2604928,20,,right,saccade,,1.0,,,0.0,0.0,1428.941,651.909,,,
2,2604952,0,,right,fixation,,1.0,1435.0520000000001,655.687,,,,,0.0,,
3,2604956,52,,right,saccade,,2.0,,,1435.0520000000001,655.687,1549.4360000000001,630.6709999999998,,,
4,2605040,4,3.412,right,fixation,,2.0,1551.924,621.0455,,,,,0.0,,
5,2605048,12,,right,saccade,,3.0,,,1551.924,619.831,1425.9029999999998,614.342,,,
6,2605064,68,3.4194705882352943,right,fixation,,3.0,1422.51211111111,643.028111111111,,,,,2.0,26.929554236360726,86.5324055354948
7,2605136,59,,right,saccade,,4.0,,,1415.365,648.33,761.814,265.09,,,
8,2605140,51,,left,saccade,1.0,,,,1415.474,735.5360000000003,768.05,366.154,,,
9,2605195,101,3.2810384615384622,left,fixation,2.0,,754.859807692307,355.583076923077,,,,,0.0,,
10,2605199,97,3.2790599999999994,right,fixation,,4.0,739.06508,315.84684,,,,,0.0,,
11,2605300,32,,left,saccade,2.0,,,,756.8839999999999,354.75,523.965,214.877,,,
12,2605300,32,,right,saccade,,5.0,,,724.562,342.7480000000001,506.824,204.588,,,
13,2605336,288,3.2810279753437652,right,fixation,,5.0,472.605835616438,191.45852054794497,,,,,0.0,,
14,2605336,292,3.2810279753437652,left,fixation,3.0,,477.783540540541,172.905594594595,,,,,0.0,,
15,2605628,40,,right,saccade,,6.0,,,456.409,182.108,462.30300000000005,56.922,,,
16,2605632,72,,left,saccade,3.0,,,,462.69699999999995,165.08599999999996,402.829,42.677,,,
17,2605820,12,,left,fixation,4.0,,419.79,42.6795,,,,,0.0,,
18,2605832,980,3.207476432348822,right,fixation,,6.0,420.984894308943,139.14256097561,,,,,2.0,11.700535642244482,37.8886211407737
