,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,11057386,76,3.0088,left,fixation,1.0,,988.69545,240.23915,,,,,0.0,,
1,11057386,80,3.0085,right,fixation,,1.0,965.976666666667,244.834857142857,,,,,0.0,,
2,11057466,20,,left,saccade,1.0,,,,987.299,245.734,895.0989999999997,234.097,,,
3,11057470,20,,right,saccade,,1.0,,,949.7310000000001,243.37,864.035,228.515,,,
4,11057490,200,3.05055,left,fixation,2.0,,876.2224901960782,221.74088235294101,,,,,1.0,3.378965160453041,9.316685301114287
5,11057494,200,3.0518600000000005,right,fixation,,2.0,841.008647058824,219.260176470588,,,,,0.0,,
6,11057694,28,,left,saccade,2.0,,,,857.438,199.171,683.4630000000002,208.136,,,
7,11057698,24,,right,saccade,,2.0,,,831.3510000000001,213.335,658.823,224.55200000000002,,,
8,11057726,60,3.0840666666666663,left,fixation,3.0,,665.2208125,227.55075,,,,,0.0,,
9,11057726,60,3.0840666666666663,right,fixation,,3.0,646.2925625,243.8118125,,,,,1.0,3.708540001731759,9.053286309401793
10,11057790,24,,left,saccade,3.0,,,,658.926,239.88,517.315,199.398,,,
11,11057790,24,,right,saccade,,3.0,,,634.465,248.615,511.36,191.957,,,
12,11057818,184,3.1093555718475074,left,fixation,4.0,,491.908893617021,164.761744680851,,,,,1.0,4.070878379143483,19.232092371866354
13,11057818,184,3.1093555718475074,right,fixation,,4.0,483.060893617021,154.538191489362,,,,,0.0,,
14,11058006,40,,left,saccade,4.0,,,,480.93,157.606,445.142,157.776,,,
15,11058006,40,,right,saccade,,4.0,,,481.38699999999994,152.394,469.106,156.627,,,
16,11058126,60,,right,fixation,,5.0,450.706625,164.4525,,,,,1.0,4.295765111000473,11.588057343662095
17,11058138,48,,left,fixation,5.0,,442.611615384615,162.449076923077,,,,,0.0,,
18,11058190,40,,left,saccade,5.0,,,,444.166,165.12,457.277,235.23,,,
19,11058190,40,,right,saccade,,5.0,,,442.965,171.408,453.62800000000004,207.067,,,
20,11058314,204,3.1805777649769587,right,fixation,,6.0,471.014076923077,273.35725,,,,,1.0,7.860424106808035,23.002065668109058
21,11058330,192,3.1815233592880983,left,fixation,6.0,,479.76065306122496,273.074775510204,,,,,2.0,3.82673272928909,11.912572540892484
