,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,4165011,72,2.9192777777777783,left,fixation,1.0,,1519.77010526316,955.053263157895,,,,,0.0,,
1,4165011,76,2.919131578947369,right,fixation,,1.0,1458.5799,972.14235,,,,,0.0,,
2,4165087,60,,left,saccade,1.0,,,,1521.7910000000006,951.98,958.913,383.98699999999997,,,
3,4165091,60,,right,saccade,,1.0,,,1456.546,967.9630000000001,974.762,400.338,,,
4,4165151,148,2.8708618421052634,left,fixation,2.0,,951.601394736843,382.143552631579,,,,,0.0,,
5,4165155,148,2.8705460526315782,right,fixation,,2.0,965.3570789473688,412.23842105263196,,,,,0.0,,
6,4165303,36,,left,saccade,2.0,,,,950.0419999999999,382.108,581.818,317.873,,,
7,4165307,40,,right,saccade,,2.0,,,960.9689999999999,417.41900000000004,580.8480000000002,344.496,,,
8,4165343,128,2.870578125,left,fixation,3.0,,568.6923030303029,292.805666666667,,,,,1.0,11.891891471829796,29.606904363678407
9,4165351,112,2.870553571428572,right,fixation,,3.0,565.099896551724,314.78224137931,,,,,0.0,,
10,4165467,8,,right,saccade,,3.0,,,544.939,300.598,509.848,293.902,,,
11,4165475,0,,left,saccade,3.0,,,,524.307,279.666,524.307,279.666,,,
12,4165479,488,2.8294631147540987,left,fixation,4.0,,498.48837398374,261.568975609756,,,,,3.0,63.50444896282104,189.96691680094884
13,4165479,488,2.8294631147540987,right,fixation,,4.0,482.99647154471603,269.048008130081,,,,,2.0,91.24645716844415,276.0929942904023
14,4165971,24,,left,saccade,4.0,,,,493.654,260.512,428.62300000000016,163.421,,,
15,4165971,24,,right,saccade,,4.0,,,472.11300000000006,264.61400000000003,416.50800000000004,176.56599999999997,,,
16,4165999,268,2.784683740315217,left,fixation,5.0,,412.480132352941,139.508720588235,,,,,1.0,3.9034107592662663,8.386374961805691
17,4165999,268,2.784683740315217,right,fixation,,5.0,392.267367647059,155.208367647059,,,,,1.0,3.9828673541948563,7.676166556296244
18,4166271,39,,left,saccade,5.0,,,,411.31,134.067,409.8,109.325,,,
19,4166271,39,,right,saccade,,5.0,,,390.74300000000005,155.548,382.19699999999995,95.85700000000001,,,
20,4166394,909,2.8955495454581563,right,fixation,,6.0,398.337982456141,145.931600877193,,,,,3.0,51.76092040994612,143.2757078577682
21,4166398,1033,2.908366592359808,left,fixation,6.0,,432.0121930501931,126.399382239382,,,,,4.0,40.974184137369335,125.69796992710238
22,4167307,12,,right,saccade,,6.0,,,405.76199999999994,142.144,445.337,129.24,,,
23,4167323,104,2.9925,right,fixation,,7.0,456.51596296296304,111.813296296296,,,,,0.0,,
24,4167431,31,,right,saccade,,7.0,,,456.814,111.101,662.284,93.03299999999999,,,
25,4167435,27,,left,saccade,6.0,,,,488.805,72.46300000000002,679.355,36.088,,,
26,4167466,28,3.0260714285714294,right,fixation,,8.0,670.575625,91.51925,,,,,0.0,,
27,4167466,32,3.0256875,left,fixation,7.0,,683.249666666667,34.3523333333333,,,,,0.0,,
28,4167498,32,,right,saccade,,8.0,,,675.177,91.88,924.665,64.969,,,
29,4167502,28,,left,saccade,7.0,,,,689.1389999999999,34.254,908.203,21.127,,,
30,4167534,505,3.0506850393700784,left,fixation,8.0,,953.6920157480321,-2.4387480314960603,,,,,5.0,3.2710219392197537,11.898081042953171
31,4167534,509,3.0506484375,right,fixation,,9.0,941.6289531250012,48.9710625,,,,,0.0,,
32,4168043,36,,left,saccade,8.0,,,,962.571,-8.957,774.7539999999997,184.639,,,
33,4168047,36,,right,saccade,,9.0,,,948.138,44.12300000000001,762.545,224.52599999999998,,,
34,4168083,196,3.048683673469388,left,fixation,9.0,,761.11356,211.77716,,,,,2.0,3.217303798825337,8.617585534343416
35,4168087,192,3.048760416666666,right,fixation,,10.0,739.559530612245,240.388714285714,,,,,1.0,3.342008793791221,10.205371330823816
36,4168283,32,,left,saccade,9.0,,,,762.051,217.796,534.187,448.661,,,
37,4168283,36,,right,saccade,,10.0,,,739.7810000000003,243.274,534.525,458.48900000000003,,,
38,4168319,64,3.04428125,left,fixation,10.0,,523.2447647058821,466.690529411765,,,,,1.0,5.458057145684328,11.54761291349864
39,4168323,60,3.043366666666666,right,fixation,,11.0,517.4513125,468.1841875,,,,,1.0,5.510176454121556,8.120111575588048
40,4168387,20,,left,saccade,10.0,,,,519.332,477.222,450.524,448.05300000000005,,,
41,4168387,20,,right,saccade,,11.0,,,510.255,473.84,439.017,459.163,,,
42,4168411,424,3.002466981132075,left,fixation,11.0,,442.7113364485981,423.600411214953,,,,,1.0,3.2863289380232152,5.980609751522003
43,4168411,424,3.002466981132075,right,fixation,,12.0,418.801177570094,420.628803738318,,,,,1.0,4.3918670605766135,7.878424461781705
44,4168839,28,,left,saccade,11.0,,,,439.166,411.07099999999997,462.63,207.785,,,
45,4168839,28,,right,saccade,,12.0,,,420.64099999999996,414.996,454.589,228.375,,,
46,4168871,156,2.9551538461538462,left,fixation,12.0,,478.4639,195.535225,,,,,0.0,,
47,4168871,164,2.955073170731707,right,fixation,,13.0,457.140904761905,216.149547619048,,,,,1.0,6.719841123287242,15.191003785135484
48,4169031,16,,left,saccade,12.0,,,,478.325,192.31099999999998,444.648,155.8,,,
49,4169039,8,,right,saccade,,13.0,,,436.83,198.97099999999998,416.32199999999995,184.4,,,
50,4169051,411,2.9678129032258065,left,fixation,13.0,,421.8895,138.664798076923,,,,,0.0,,
51,4169051,415,2.9678129032258065,right,fixation,,14.0,395.599571428572,149.28786666666701,,,,,0.0,,
52,4169466,40,,left,saccade,13.0,,,,433.652,148.211,429.04,83.287,,,
