,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2217885,276,3.0244678571428567,right,fixation,,1.0,642.040542857143,537.861342857143,,,,,0.0,,
1,2217885,280,3.0243767605633805,left,fixation,1.0,,662.089704225352,569.293732394367,,,,,1.0,9.321020439188931,35.57280204032293
2,2218165,44,,right,saccade,,1.0,,,648.447,548.053,480.88699999999994,184.933,,,
3,2218169,44,,left,saccade,1.0,,,,653.77,564.573,469.589,186.203,,,
4,2218213,2164,3.0572587800369684,right,fixation,,2.0,432.581422509225,166.76751845018498,,,,,0.0,,
5,2218217,2160,3.0572935185185184,left,fixation,2.0,,443.073203327172,190.001452865065,,,,,1.0,7.667265628776829,26.77750343105194
6,2220381,44,,left,saccade,2.0,,,,484.10900000000004,201.11900000000003,800.503,282.124,,,
7,2220381,44,,right,saccade,,2.0,,,482.629,177.86599999999999,800.3430000000003,241.08599999999998,,,
8,2220429,160,3.1251125,right,fixation,,3.0,807.9470975609752,233.540634146342,,,,,0.0,,
9,2220429,164,3.1253292682926834,left,fixation,3.0,,816.002952380952,316.17780952381,,,,,0.0,,
10,2220593,24,,right,saccade,,3.0,,,805.6389999999999,215.312,929.4780000000001,263.717,,,
11,2220597,20,,left,saccade,3.0,,,,826.571,330.3830000000001,926.102,337.3040000000001,,,
12,2220621,159,3.1115897435897435,left,fixation,4.0,,958.3920487804879,321.501341463415,,,,,0.0,,
13,2220621,159,3.1115897435897435,right,fixation,,4.0,929.203,264.125951219512,,,,,0.0,,
14,2220784,24,,left,saccade,4.0,,,,967.7360000000001,331.89300000000014,829.172,342.955,,,
15,2220784,28,,right,saccade,,4.0,,,934.2660000000001,275.32099999999997,772.306,270.122,,,
16,2220812,136,3.0820294117647054,left,fixation,5.0,,771.2946571428571,341.283028571429,,,,,1.0,8.456587557112531,35.524582193180095
17,2220816,132,3.0817878787878783,right,fixation,,5.0,746.952970588235,258.924823529412,,,,,0.0,,
18,2220952,28,,right,saccade,,5.0,,,746.301,246.483,536.498,267.315,,,
19,2220952,32,,left,saccade,5.0,,,,770.689,351.788,564.832,339.471,,,
20,2220984,328,3.06459756097561,right,fixation,,6.0,511.333361445783,271.26356626506,,,,,1.0,11.977105560656586,36.77860879641854
21,2220988,324,3.064611111111111,left,fixation,6.0,,531.8815731707319,327.80651219512197,,,,,1.0,8.098509027729829,21.599966157380766
22,2221316,56,,right,saccade,,6.0,,,505.724,273.121,1268.152,277.218,,,
23,2221316,60,,left,saccade,6.0,,,,511.277,328.94599999999997,1285.968,305.908,,,
24,2221376,188,3.099936170212767,right,fixation,,7.0,1284.07558333333,277.849,,,,,0.0,,
25,2221380,196,3.1,left,fixation,7.0,,1317.61298,331.37526,,,,,1.0,7.337891087438625,20.2345601632455
26,2221568,16,,right,saccade,,7.0,,,1303.828,283.971,1369.547,295.032,,,
27,2221580,20,,left,saccade,7.0,,,,1340.5639999999999,351.32300000000015,1418.6370000000006,342.8880000000001,,,
28,2221588,200,3.1131300000000004,right,fixation,,8.0,1415.11341176471,292.29131372549,,,,,0.0,,
29,2221604,180,3.114544444444445,left,fixation,8.0,,1447.8584565217402,312.770782608696,,,,,0.0,,
30,2221788,21,,left,saccade,8.0,,,,1466.642,310.934,1332.973,323.161,,,
31,2221792,21,,right,saccade,,8.0,,,1424.504,306.095,1328.495,304.25,,,
32,2221813,143,3.1143142857142854,left,fixation,9.0,,1322.67151351351,338.80851351351396,,,,,0.0,,
33,2221817,131,3.1140625,right,fixation,,9.0,1299.20429411765,287.215382352941,,,,,0.0,,
34,2221952,20,,right,saccade,,9.0,,,1289.687,278.375,1396.675,266.22,,,
35,2221960,20,,left,saccade,9.0,,,,1331.967,331.0540000000001,1429.371,294.649,,,
36,2221976,140,3.123214285714286,right,fixation,,10.0,1417.2834722222199,265.873083333333,,,,,0.0,,
37,2221984,132,3.122772727272728,left,fixation,10.0,,1441.8110882352896,285.090470588235,,,,,0.0,,
38,2222120,68,,left,saccade,10.0,,,,1454.526,284.459,444.615,165.22,,,
39,2222120,68,,right,saccade,,10.0,,,1405.761,265.048,402.944,111.186,,,
40,2222192,516,3.1854418604651165,right,fixation,,11.0,393.8594,137.740169230769,,,,,2.0,10.291463554897373,31.048543352191253
41,2222192,520,3.1853807692307696,left,fixation,11.0,,431.527328244275,180.19016030534303,,,,,0.0,,
42,2222712,68,,right,saccade,,11.0,,,396.105,175.887,1369.326,217.38,,,
43,2222716,68,,left,saccade,11.0,,,,440.418,225.048,1414.761,238.33599999999998,,,
44,2222784,1004,3.186005952380952,right,fixation,,12.0,1409.1518650793698,265.443821428572,,,,,1.0,9.292964526696784,22.867600223897604
45,2222788,996,3.186138,left,fixation,12.0,,1470.962632,289.781796,,,,,1.0,13.699317647240706,40.95431027376731
46,2223788,72,,left,saccade,12.0,,,,1467.121,314.738,484.506,433.055,,,
47,2223792,68,,right,saccade,,12.0,,,1423.594,287.83099999999996,411.07599999999996,350.099,,,
48,2223864,1496,3.081431818181818,right,fixation,,13.0,413.964664,421.661256,,,,,0.0,,
49,2223864,1712,3.0742675233644863,left,fixation,13.0,,437.583855477856,467.9291794871791,,,,,2.0,7.566758611853622,20.44757996656389
50,2225364,16,,right,saccade,,13.0,,,408.416,450.909,470.05,462.408,,,
51,2225384,188,3.0263510638297872,right,fixation,,14.0,463.812875,498.882375,,,,,0.0,,
52,2225576,44,,right,saccade,,14.0,,,431.05199999999996,481.87699999999995,881.105,555.669,,,
53,2225580,48,,left,saccade,13.0,,,,470.37800000000004,521.682,899.175,595.07,,,
54,2225624,344,3.1032413793103446,right,fixation,,15.0,936.2361379310339,569.959655172414,,,,,1.0,8.105125362317883,41.20717648662667
55,2225632,336,3.103858823529412,left,fixation,14.0,,949.787352941176,616.284658823529,,,,,1.0,7.593351075484072,23.23804957392076
56,2225972,24,,right,saccade,,15.0,,,999.3889999999999,594.232,1187.53,589.251,,,
57,2225972,28,,left,saccade,14.0,,,,1009.91,612.795,1187.849,617.934,,,
58,2226000,320,3.15384375,right,fixation,,16.0,1197.7410987654305,565.405790123457,,,,,0.0,,
59,2226004,204,3.1543431372549025,left,fixation,15.0,,1208.65119230769,620.998673076923,,,,,0.0,,
60,2226212,0,,left,saccade,15.0,,,,1222.181,606.1709999999998,1222.181,606.1709999999998,,,
61,2226216,100,3.1527200000000004,left,fixation,16.0,,1235.98307692308,582.245115384615,,,,,0.0,,
62,2226320,56,,left,saccade,16.0,,,,1231.496,584.185,465.151,451.978,,,
63,2226324,56,,right,saccade,,16.0,,,1198.281,535.534,441.565,382.603,,,
64,2226380,276,3.072810714285714,left,fixation,17.0,,450.2445,442.5716571428569,,,,,0.0,,
65,2226384,268,3.0724080882352944,right,fixation,,17.0,427.490573529412,380.726088235294,,,,,0.0,,
66,2226656,52,,right,saccade,,17.0,,,454.824,404.62699999999995,1084.21,494.165,,,
67,2226660,52,,left,saccade,17.0,,,,461.80400000000003,445.296,1066.066,522.813,,,
68,2226712,120,3.1133999999999995,right,fixation,,18.0,1085.73287096774,496.753870967742,,,,,0.0,,
69,2226716,112,3.1124107142857143,left,fixation,18.0,,1092.05196551724,544.989965517241,,,,,0.0,,
70,2226832,20,,left,saccade,18.0,,,,1085.7269999999999,554.754,1209.728,567.659,,,
71,2226836,16,,right,saccade,,18.0,,,1091.846,513.956,1166.6,516.851,,,
72,2226856,248,3.156806128279884,left,fixation,19.0,,1211.16542857143,603.694952380952,,,,,1.0,7.327605166234188,14.731982792550296
73,2226856,248,3.156806128279884,right,fixation,,19.0,1188.30761904762,551.761333333333,,,,,0.0,,
74,2227108,40,,left,saccade,19.0,,,,1224.945,624.361,548.08,778.6160000000001,,,
75,2227108,88,,right,saccade,,19.0,,,1181.488,565.038,497.88300000000004,634.186,,,
76,2227252,0,,left,fixation,20.0,,548.08,778.6160000000001,,,,,0.0,,
77,2227256,40,,left,saccade,20.0,,,,548.08,778.6160000000001,437.27,655.5310000000002,,,
78,2227292,1796,3.0459212000000004,right,fixation,,20.0,414.00704444444506,711.3701533333342,,,,,1.0,6.7664423792877875,16.188668042800757
