,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3691825,312,3.130215189873417,right,fixation,,1.0,894.98235443038,784.925063291139,,,,,1.0,12.045067055069095,32.10103569980266
1,3691825,392,3.138181818181818,left,fixation,1.0,,932.433060606061,802.647161616162,,,,,3.0,5.3759950533827565,25.53653193256324
2,3692141,0,,right,saccade,,1.0,,,938.811,827.225,938.811,827.225,,,
3,3692145,72,3.1711666666666662,right,fixation,,2.0,968.379842105263,827.385421052632,,,,,0.0,,
4,3692221,44,,left,saccade,1.0,,,,976.212,812.428,480.156,278.673,,,
5,3692221,48,,right,saccade,,2.0,,,973.477,822.077,488.61699999999996,227.954,,,
6,3692269,188,3.112159574468085,left,fixation,2.0,,488.4205833333329,260.005083333333,,,,,2.0,8.145704231136763,16.83841285891173
7,3692273,544,3.0923366277036446,right,fixation,,3.0,436.739087591241,189.17254744525601,,,,,2.0,5.866947570107549,17.848178316940388
8,3692461,4,,left,saccade,2.0,,,,458.04,239.912,453.61400000000003,237.578,,,
9,3692469,344,3.07711340055453,left,fixation,3.0,,437.3686551724141,187.384356321839,,,,,1.0,3.5374673339677587,7.499576654718598
10,3692817,56,,left,saccade,3.0,,,,448.67800000000005,171.248,411.93300000000005,120.74600000000001,,,
11,3692821,40,,right,saccade,,3.0,,,432.167,158.621,387.082,89.949,,,
12,3692961,20,,right,fixation,,4.0,396.8195,73.803,,,,,0.0,,
13,3692985,20,,right,saccade,,4.0,,,399.399,65.73,397.355,157.549,,,
14,3693005,724,3.0858476637289423,left,fixation,4.0,,413.68570329670405,189.62669780219798,,,,,3.0,7.099076406156787,26.85277896135338
15,3693009,2555,3.075810824202434,right,fixation,,5.0,407.47960625,173.034203125,,,,,4.0,6.412880595946263,23.581149926506036
16,3693733,12,,left,saccade,4.0,,,,440.115,214.736,450.06199999999995,172.127,,,
17,3693749,276,3.060768115942029,left,fixation,5.0,,459.12798571428596,160.097414285714,,,,,0.0,,
18,3694029,12,,left,saccade,5.0,,,,454.8,162.121,404.60699999999997,148.34799999999996,,,
19,3694045,351,3.0768735632183906,left,fixation,6.0,,419.114235955056,134.79495505618,,,,,1.0,4.312573596795511,11.027494819767584
20,3694400,12,,left,saccade,6.0,,,,423.11800000000005,138.005,424.074,185.868,,,
21,3694416,777,3.077825641025641,left,fixation,7.0,,430.997287179488,169.200441025641,,,,,1.0,6.564284212480618,27.363560952478384
22,3695197,12,,left,saccade,7.0,,,,431.371,189.172,412.58099999999996,227.13,,,
23,3695213,564,3.090560283687944,left,fixation,8.0,,422.197901408451,200.02538732394402,,,,,1.0,8.342841409123018,50.15756104517044
24,3695568,12,,right,saccade,,5.0,,,401.55699999999996,182.049,431.217,159.821,,,
25,3695584,189,3.133104166666667,right,fixation,,6.0,424.0745833333329,135.009354166667,,,,,1.0,5.233487412806121,22.907422661661407
26,3695777,16,,right,saccade,,6.0,,,436.56800000000004,161.94299999999996,462.602,221.166,,,
27,3695781,20,,left,saccade,8.0,,,,458.79,169.7,489.25699999999995,230.477,,,
28,3695797,160,3.1204625,right,fixation,,7.0,487.807926829268,233.52678048780498,,,,,0.0,,
29,3695805,152,3.1200394736842103,left,fixation,9.0,,505.040923076923,243.12141025641003,,,,,0.0,,
30,3695961,20,,left,saccade,9.0,,,,504.075,258.861,406.974,152.977,,,
