,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1238939,160,3.31619375,left,fixation,1.0,,750.631804878049,389.87353658536597,,,,,0.0,,
1,1238939,164,3.3162743902439025,right,fixation,,1.0,734.032476190476,389.460119047619,,,,,0.0,,
2,1239103,44,,left,saccade,1.0,,,,750.7919999999997,379.73,518.831,250.731,,,
3,1239107,48,,right,saccade,,1.0,,,730.612,388.959,509.17400000000004,255.09,,,
4,1239151,360,3.3102087912087916,left,fixation,2.0,,489.18658241758203,207.98193406593398,,,,,2.0,4.153496786807094,16.736520960632337
5,1239159,352,3.310033707865169,right,fixation,,2.0,475.50304494382004,220.38159550561798,,,,,2.0,4.4971516658857835,20.612025846838158
6,1239515,20,,right,saccade,,2.0,,,489.199,248.831,634.067,262.539,,,
7,1239515,24,,left,saccade,2.0,,,,489.134,215.893,622.39,256.52,,,
8,1239539,16,3.2635,right,fixation,,3.0,635.273,272.1058,,,,,0.0,,
9,1239543,12,3.262833333333333,left,fixation,3.0,,622.33125,262.11575,,,,,0.0,,
10,1239559,16,,right,saccade,,3.0,,,626.224,278.819,549.456,280.14799999999997,,,
11,1239559,20,,left,saccade,3.0,,,,617.1569999999998,272.019,541.544,273.19,,,
12,1239579,128,3.27675,right,fixation,,4.0,534.80296969697,272.705090909091,,,,,1.0,2.3256158324194742,5.653869206127836
13,1239583,124,3.276741935483871,left,fixation,4.0,,535.5535,262.21375,,,,,1.0,2.8258387594561194,5.569314589785697
14,1239711,16,,left,saccade,4.0,,,,517.22,267.855,475.339,231.956,,,
15,1239711,16,,right,saccade,,4.0,,,523.025,272.099,469.51199999999994,245.96900000000002,,,
16,1239731,916,3.2857726161369185,left,fixation,5.0,,420.933204347826,185.18398260869597,,,,,3.0,3.2342969795871355,8.963048997196086
17,1239731,920,3.2857726161369185,right,fixation,,5.0,410.439614718614,187.89947186147202,,,,,3.0,4.506756189891763,16.848996655660518
18,1240651,40,,left,saccade,5.0,,,,402.999,164.726,392.772,162.031,,,
19,1240655,40,,right,saccade,,5.0,,,389.06800000000004,180.36,382.657,155.124,,,
20,1240803,2435,3.2316635193133045,right,fixation,,6.0,394.62434590164,175.350142622951,,,,,7.0,3.9529766697122986,12.633700566792054
21,1240815,2423,3.2316635193133045,left,fixation,6.0,,411.833062602965,176.337673805601,,,,,6.0,3.658662437838845,21.562751977998676
22,1243242,20,,left,saccade,6.0,,,,413.55800000000005,186.252,482.95599999999996,217.34799999999998,,,
23,1243242,24,,right,saccade,,6.0,,,398.796,174.793,473.783,243.253,,,
24,1243266,1157,3.2176068965517235,left,fixation,7.0,,493.402879310345,296.206555172414,,,,,3.0,4.0734096151863834,24.63310727567693
25,1243270,1153,3.217467128027682,right,fixation,,7.0,488.636456747405,308.553871972318,,,,,3.0,4.137379435986099,21.6938602914959
26,1244427,24,,left,saccade,7.0,,,,476.695,284.728,425.82300000000004,206.551,,,
27,1244427,24,,right,saccade,,7.0,,,484.25,295.974,436.04900000000004,198.463,,,
28,1244455,884,3.2197993539105783,left,fixation,8.0,,406.079157657658,181.543135135135,,,,,0.0,,
29,1244455,892,3.2197993539105783,right,fixation,,8.0,404.2685133928569,163.639223214286,,,,,5.0,4.392947703804547,24.92449414017853
