,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2763434,80,3.775964285714286,left,fixation,1.0,,1053.0777619047599,296.743,,,,,0.0,,
1,2763434,80,3.775964285714286,right,fixation,,1.0,1075.066,224.79757142857102,,,,,0.0,,
2,2763518,40,,left,saccade,1.0,,,,1051.928,295.272,505.069,228.53400000000002,,,
3,2763518,44,,right,saccade,,1.0,,,1075.269,238.278,521.609,195.782,,,
4,2763562,148,3.7546216216216224,left,fixation,2.0,,496.065631578947,228.168078947368,,,,,0.0,,
5,2763566,148,3.754716216216216,right,fixation,,2.0,513.415921052632,199.59034210526298,,,,,0.0,,
6,2763714,24,,left,saccade,2.0,,,,499.651,230.68599999999998,397.26099999999997,201.36599999999999,,,
7,2763718,20,,right,saccade,,2.0,,,506.165,207.46,426.24,188.113,,,
8,2763742,575,3.720777663230241,left,fixation,3.0,,409.19650344827596,170.72428965517202,,,,,1.0,8.399332625605169,53.65137251739233
9,2763742,587,3.720777663230241,right,fixation,,3.0,418.43374324324304,163.873452702703,,,,,1.0,4.96948242330684,20.088467462701114
10,2764321,40,,left,saccade,3.0,,,,434.72900000000004,175.91299999999995,431.215,93.259,,,
11,2764333,44,,right,saccade,,3.0,,,440.56699999999995,158.482,451.885,109.522,,,
12,2764469,2188,3.703808786025424,right,fixation,,4.0,411.871034671533,144.098443430657,,,,,24.0,5.7372781393950625,18.753461741628282
13,2764493,2152,3.703808786025424,left,fixation,4.0,,407.0754471243029,151.198480519481,,,,,12.0,6.205720290513373,18.703263320375783
14,2766649,40,,left,saccade,4.0,,,,363.84,123.934,667.829,163.359,,,
15,2766661,52,,right,saccade,,4.0,,,385.233,158.736,694.263,180.31,,,
16,2766801,168,3.754662668665668,right,fixation,,5.0,700.6719534883722,233.87160465116298,,,,,1.0,4.319198543197043,10.735772445427513
17,2766817,152,3.754662668665668,left,fixation,5.0,,684.517051282051,212.07971794871798,,,,,1.0,8.143973874726164,51.79418315795706
18,2766973,60,,left,saccade,5.0,,,,687.855,231.18200000000002,1370.122,103.93299999999999,,,
19,2766973,60,,right,saccade,,5.0,,,712.965,236.498,1390.3110000000001,134.827,,,
20,2767037,100,3.806,right,fixation,,6.0,1399.45373076923,131.890576923077,,,,,0.0,,
21,2767037,224,3.7866875,left,fixation,6.0,,1408.51596491228,59.452210526315795,,,,,2.0,7.174182981157077,28.774809267815215
22,2767141,20,,right,saccade,,6.0,,,1394.922,143.371,1458.1570000000006,82.301,,,
23,2767165,96,3.763458333333334,right,fixation,,7.0,1459.61916,71.80628,,,,,0.0,,
24,2767265,40,,left,saccade,6.0,,,,1436.283,31.015,973.8660000000001,-9.412,,,
25,2767265,45,,right,saccade,,7.0,,,1449.576,88.22,1007.0210000000001,28.248,,,
26,2767310,215,3.695885964912281,left,fixation,7.0,,971.9868363636368,-9.499836363636359,,,,,0.0,,
27,2767314,215,3.695427272727272,right,fixation,,8.0,978.6733818181821,15.0804363636364,,,,,0.0,,
28,2767529,40,,left,saccade,7.0,,,,966.773,-10.222000000000001,399.533,114.693,,,
29,2767533,44,,right,saccade,,8.0,,,972.918,45.265,373.835,64.89699999999999,,,
30,2767645,508,3.801570005534035,right,fixation,,9.0,429.8354765625,155.7964296875,,,,,6.0,6.94568728737978,20.08288976425864
31,2767677,344,3.7954541552197796,left,fixation,8.0,,432.641390804597,158.973045977012,,,,,4.0,6.116365508400191,24.80535080522195
32,2768025,0,,left,saccade,8.0,,,,402.088,178.512,402.088,178.512,,,
33,2768029,108,3.8745855572998433,left,fixation,9.0,,397.66275,195.21242857142897,,,,,0.0,,
34,2768141,40,,left,saccade,9.0,,,,397.95599999999996,204.863,382.67,172.987,,,
35,2768157,52,,right,saccade,,9.0,,,411.811,219.705,399.04699999999997,198.231,,,
36,2768301,144,3.8104946236559134,right,fixation,,10.0,419.554756756757,217.378594594595,,,,,2.0,3.5320589032659004,10.027282992586658
37,2768337,108,3.8104946236559134,left,fixation,10.0,,388.93199999999996,166.698892857143,,,,,0.0,,
38,2768449,20,,right,saccade,,10.0,,,437.67900000000003,234.40400000000002,431.31199999999995,399.336,,,
39,2768449,24,,left,saccade,10.0,,,,404.436,188.315,402.935,387.955,,,
40,2768473,124,3.832751898734177,right,fixation,,11.0,427.1429375,406.1840625,,,,,0.0,,
41,2768477,108,3.8338148734177215,left,fixation,11.0,,410.16025,398.526892857143,,,,,1.0,2.9756893225678684,11.503416927156884
42,2768589,84,,left,saccade,11.0,,,,397.284,401.514,375.38199999999995,422.095,,,
43,2768601,64,,right,saccade,,11.0,,,425.954,402.139,440.13599999999997,386.536,,,
44,2768777,76,,right,fixation,,12.0,425.2017,400.5543,,,,,1.0,5.147515959718389,19.03395705049269
45,2768817,28,,left,fixation,12.0,,378.950375,406.333,,,,,0.0,,
46,2768849,60,,left,saccade,12.0,,,,375.971,406.80800000000005,366.81800000000004,114.816,,,
47,2768857,56,,right,saccade,,12.0,,,411.44599999999997,403.566,428.92900000000003,136.982,,,
48,2769029,1068,3.823460176983744,right,fixation,,13.0,434.737514925373,147.746074626866,,,,,6.0,8.052274096932862,29.2416830553626
49,2769065,972,3.823460176983744,left,fixation,13.0,,427.272090163935,154.191237704918,,,,,6.0,29.438979081198227,95.75974775428794
50,2770041,24,,left,saccade,13.0,,,,415.215,188.609,467.86699999999996,330.285,,,
51,2770069,0,,left,fixation,14.0,,467.86699999999996,330.285,,,,,0.0,,
52,2770073,64,,left,saccade,14.0,,,,467.86699999999996,330.20099999999996,772.316,267.232,,,
53,2770101,16,,right,saccade,,13.0,,,411.49,212.21900000000002,411.88300000000004,277.205,,,
54,2770121,12,,right,fixation,,14.0,407.85325,281.51925,,,,,0.0,,
55,2770137,80,,right,saccade,,14.0,,,403.385,281.541,795.2289999999997,251.922,,,
56,2770377,12,,right,fixation,,15.0,797.06575,253.938,,,,,0.0,,
57,2770381,140,3.9041216216216217,left,fixation,15.0,,806.3298888888893,323.52625,,,,,1.0,11.933863119059325,52.41889885337158
58,2770393,16,,right,saccade,,15.0,,,801.49,256.046,799.0160000000003,314.82099999999997,,,
59,2770413,120,3.9044169884169895,right,fixation,,16.0,804.492096774193,314.98703225806486,,,,,0.0,,
60,2770525,20,,left,saccade,15.0,,,,815.2289999999997,315.81,728.814,320.349,,,
61,2770537,8,,right,saccade,,16.0,,,776.215,314.754,755.171,318.134,,,
62,2770549,200,3.8986099999999992,right,fixation,,17.0,723.8380784313721,317.648392156863,,,,,0.0,,
63,2770549,204,3.8982058823529417,left,fixation,16.0,,717.123942307692,321.133173076923,,,,,1.0,3.7758580224308713,8.063861667960344
64,2770753,52,,right,saccade,,17.0,,,716.75,300.007,1237.594,306.569,,,
65,2770757,48,,left,saccade,16.0,,,,726.672,317.9190000000001,1203.479,309.76,,,
