,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2285734,216,3.7579499999999992,left,fixation,1.0,,477.509709090909,711.277327272727,,,,,0.0,,
1,2285734,216,3.7579499999999992,right,fixation,,1.0,467.934272727273,702.750872727273,,,,,0.0,,
2,2285954,28,,left,saccade,1.0,,,,471.065,710.1,477.03,484.991,,,
3,2285954,28,,right,saccade,,1.0,,,463.226,671.803,481.976,425.66900000000004,,,
4,2285986,108,3.800296296296296,right,fixation,,2.0,485.063535714286,420.7188571428569,,,,,0.0,,
5,2285986,112,3.7993928571428577,left,fixation,2.0,,498.5105172413791,454.390344827586,,,,,0.0,,
6,2286098,28,,right,saccade,,2.0,,,479.221,381.76800000000003,484.043,194.64700000000002,,,
7,2286102,20,,left,saccade,2.0,,,,502.361,439.105,491.55,233.49200000000002,,,
8,2286126,156,3.7147692307692313,left,fixation,3.0,,479.512675,206.67735,,,,,0.0,,
9,2286130,156,3.7131153846153846,right,fixation,,3.0,485.300225,200.580625,,,,,0.0,,
10,2286286,20,,left,saccade,3.0,,,,486.673,206.44,416.223,171.668,,,
11,2286290,8,,right,saccade,,3.0,,,455.14599999999996,172.625,444.49699999999996,153.674,,,
12,2286302,400,3.6400250000000014,right,fixation,,4.0,401.513425742574,129.35206930693099,,,,,0.0,,
13,2286310,388,3.639670103092784,left,fixation,4.0,,405.906163265306,153.821387755102,,,,,0.0,,
14,2286702,20,,left,saccade,4.0,,,,414.54400000000004,157.597,452.293,222.945,,,
15,2286706,20,,right,saccade,,4.0,,,414.719,153.42,430.23900000000003,237.537,,,
16,2286726,296,3.5724189189189195,left,fixation,5.0,,471.7424,239.24741333333301,,,,,0.0,,
17,2286730,288,3.5719652777777786,right,fixation,,5.0,463.76378082191803,233.27697260274,,,,,0.0,,
18,2287022,20,,right,saccade,,5.0,,,469.4,220.18099999999998,446.267,156.785,,,
19,2287026,12,,left,saccade,5.0,,,,457.97900000000004,205.331,442.421,174.3,,,
20,2287042,2107,3.6400133079847907,left,fixation,6.0,,468.280176136364,152.265689393939,,,,,0.0,,
21,2287046,2099,3.6399866412213737,right,fixation,,6.0,463.11035171102685,133.268922053232,,,,,0.0,,
22,2289149,32,,right,saccade,,6.0,,,501.375,119.281,696.1289999999997,187.005,,,
23,2289153,24,,left,saccade,6.0,,,,488.871,163.207,678.875,167.83,,,
24,2289181,772,3.6452435233160623,left,fixation,7.0,,709.998608247422,235.033695876288,,,,,0.0,,
25,2289185,768,3.645234375,right,fixation,,7.0,695.960238341969,238.521606217617,,,,,0.0,,
26,2289957,24,,left,saccade,7.0,,,,726.803,234.791,933.4639999999999,232.078,,,
27,2289957,24,,right,saccade,,7.0,,,715.725,248.80599999999998,955.262,246.301,,,
28,2289985,404,3.5514653465346533,left,fixation,8.0,,956.2344215686279,233.44870588235298,,,,,0.0,,
