,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1322783,364,3.6456902173913046,left,fixation,1.0,,614.321,253.60081521739102,,,,,0.0,,
1,1322783,364,3.6456902173913046,right,fixation,,1.0,583.773315217392,251.120326086956,,,,,0.0,,
2,1323151,24,,left,saccade,1.0,,,,609.759,248.903,474.846,238.799,,,
3,1323151,24,,right,saccade,,1.0,,,590.617,254.14700000000002,463.26599999999996,237.442,,,
4,1323179,1564,3.6106240409207166,left,fixation,2.0,,440.6647321428569,172.368533163265,,,,,5.0,5.529051275169362,23.451496681667727
5,1323179,1564,3.6106240409207166,right,fixation,,2.0,426.99415561224487,184.087910714286,,,,,4.0,5.103581437920316,14.824243175738141
6,1324747,48,,left,saccade,2.0,,,,416.425,144.951,1014.799,208.653,,,
7,1324747,48,,right,saccade,,2.0,,,421.597,175.24400000000003,1038.593,244.2,,,
8,1324799,140,3.6586285714285713,left,fixation,3.0,,1041.77819444444,247.727583333333,,,,,2.0,4.72636538188137,14.427188341839619
9,1324799,140,3.6586285714285713,right,fixation,,3.0,1042.96841666667,259.88475,,,,,0.0,,
10,1324943,16,,left,saccade,3.0,,,,1053.7,276.437,980.11,276.002,,,
11,1324943,16,,right,saccade,,3.0,,,1040.389,266.509,971.279,267.334,,,
12,1324963,120,3.6481612903225815,left,fixation,4.0,,967.2757741935479,275.809709677419,,,,,0.0,,
13,1324963,120,3.6481612903225815,right,fixation,,4.0,959.122064516129,284.60364516129,,,,,0.0,,
14,1325087,24,,left,saccade,4.0,,,,958.933,273.76599999999996,772.322,265.198,,,
15,1325087,24,,right,saccade,,4.0,,,948.452,284.5370000000001,776.852,291.4890000000001,,,
16,1325115,220,3.65487037037037,right,fixation,,5.0,761.1608928571429,281.736732142857,,,,,1.0,4.941676981439497,7.872743930803254
17,1325115,224,3.6549181818181817,left,fixation,5.0,,768.736929824561,263.220438596491,,,,,0.0,,
18,1325339,32,,right,saccade,,5.0,,,768.535,283.363,502.222,285.211,,,
19,1325343,24,,left,saccade,5.0,,,,760.584,270.993,519.25,277.629,,,
20,1325371,332,3.6320963855421695,left,fixation,6.0,,509.940714285714,283.77516666666696,,,,,1.0,3.9944419753508154,11.91731165154292
21,1325375,328,3.6319878048780487,right,fixation,,6.0,493.21430120482,284.81078313253,,,,,0.0,,
22,1325707,20,,right,saccade,,6.0,,,494.67199999999997,289.402,440.06699999999995,164.146,,,
23,1325707,24,,left,saccade,6.0,,,,510.936,285.253,444.68,143.291,,,
24,1325731,1584,3.713384422110553,right,fixation,,7.0,459.751785894206,212.505,,,,,6.0,5.606027194714359,17.24639392228276
25,1325735,1576,3.7134583333333335,left,fixation,7.0,,472.472450632912,202.908030379747,,,,,3.0,5.8330599649965595,35.16527888615579
26,1327315,20,,left,saccade,7.0,,,,490.30800000000005,261.973,463.963,174.50400000000005,,,
27,1327319,20,,right,saccade,,7.0,,,467.061,255.361,441.579,184.195,,,
28,1327339,892,3.7608565022421523,left,fixation,8.0,,444.328915178572,176.655875,,,,,3.0,4.85713856792187,20.517295670879378
29,1327343,1180,3.74461186440678,right,fixation,,8.0,439.70174324324404,204.267472972973,,,,,10.0,6.879833108326343,23.362479162250015
30,1328235,16,,left,saccade,8.0,,,,461.184,195.168,486.585,243.24599999999998,,,
31,1328255,268,3.693194029850746,left,fixation,9.0,,496.084794117647,256.89230882352996,,,,,0.0,,
32,1328527,20,,right,saccade,,8.0,,,478.089,269.295,438.902,444.885,,,
33,1328527,24,,left,saccade,9.0,,,,487.60900000000004,260.29200000000003,449.061,417.94699999999995,,,
34,1328551,648,3.7159668262653898,right,fixation,,9.0,425.729582822086,454.4286257668711,,,,,2.0,4.4311297079513485,12.582598063568135
35,1328555,640,3.716151765719208,left,fixation,10.0,,436.007316770186,434.626142857143,,,,,1.0,3.9465261940090888,9.353344856253306
36,1329199,40,,left,saccade,10.0,,,,428.915,421.56199999999995,410.276,348.75,,,
37,1329203,40,,right,saccade,,9.0,,,412.166,444.885,424.783,437.43199999999996,,,
38,1329327,1400,3.659958186141304,right,fixation,,10.0,416.502903133903,448.399888888889,,,,,4.0,8.588386965813212,23.699309151692482
39,1329335,1392,3.659958186141304,left,fixation,11.0,,425.653303724928,423.918905444126,,,,,8.0,7.679032115898508,29.665989463554386
40,1330731,24,,left,saccade,11.0,,,,420.76099999999997,458.972,606.877,478.91,,,
41,1330731,24,,right,saccade,,10.0,,,416.496,481.411,587.687,505.01199999999994,,,
42,1330759,180,3.780022222222221,left,fixation,12.0,,611.533847826087,505.12993478260887,,,,,0.0,,
43,1330759,180,3.780022222222221,right,fixation,,11.0,605.736282608696,534.3499565217389,,,,,0.0,,
44,1330943,24,,left,saccade,12.0,,,,614.41,500.975,745.209,526.081,,,
45,1330943,24,,right,saccade,,11.0,,,605.553,514.221,766.28,529.628,,,
46,1330971,172,3.8358488372093036,left,fixation,13.0,,765.575795454545,547.936136363636,,,,,1.0,3.1448088883816663,7.289791835162307
47,1330971,172,3.8358488372093036,right,fixation,,12.0,759.929636363637,556.2265,,,,,0.0,,
48,1331147,32,,left,saccade,13.0,,,,776.315,564.573,465.374,413.421,,,
49,1331147,32,,right,saccade,,12.0,,,767.855,563.414,470.99300000000005,441.70099999999996,,,
50,1331183,172,3.7479166666666655,left,fixation,14.0,,459.11722727272695,404.30159090909103,,,,,0.0,,
51,1331183,172,3.7479166666666655,right,fixation,,13.0,452.661727272727,422.412613636364,,,,,0.0,,
52,1331359,40,,right,saccade,,13.0,,,451.0,416.962,963.779,529.914,,,
53,1331359,44,,left,saccade,14.0,,,,463.704,407.14099999999996,950.1610000000001,523.365,,,
54,1331403,320,3.8056234567901233,right,fixation,,14.0,967.077172839506,562.504617283951,,,,,0.0,,
55,1331407,316,3.80605,left,fixation,15.0,,979.7541124999988,565.91275,,,,,1.0,6.6457000571798215,14.823741632934544
56,1331727,40,,left,saccade,15.0,,,,968.3919999999999,570.668,502.788,436.912,,,
57,1331727,44,,right,saccade,,14.0,,,951.546,572.024,472.134,470.19699999999995,,,
58,1331771,600,3.7124,left,fixation,16.0,,474.494927152318,418.72967549668886,,,,,2.0,4.91072323195822,18.32519543346246
59,1331775,596,3.7118691275167786,right,fixation,,15.0,456.20158,447.6409466666671,,,,,2.0,4.904108294382335,12.517029488396478
60,1332375,44,,right,saccade,,15.0,,,450.91900000000004,430.408,967.222,551.758,,,
61,1332375,48,,left,saccade,16.0,,,,454.941,405.096,976.033,545.403,,,
62,1332423,500,3.7876519999999996,right,fixation,,16.0,965.2672301587301,570.438325396825,,,,,1.0,13.604329540627868,43.885342803719794
63,1332427,496,3.7878991935483866,left,fixation,17.0,,989.40344,570.623144000001,,,,,1.0,3.4216333534666727,7.629466888321961
64,1332927,40,,left,saccade,17.0,,,,985.7539999999999,568.762,520.076,432.249,,,
65,1332927,44,,right,saccade,,16.0,,,959.441,568.844,501.086,460.88,,,
66,1332971,428,3.7232850467289715,left,fixation,18.0,,458.88195370370397,391.50730555555606,,,,,3.0,5.569099269932944,14.88606225427809
67,1332975,420,3.722985714285714,right,fixation,,17.0,454.691613207547,429.62548113207606,,,,,3.0,5.616660095671088,14.963517625975028
68,1333399,40,,right,saccade,,17.0,,,430.715,439.095,922.1489999999999,479.397,,,
69,1333403,40,,left,saccade,18.0,,,,448.11199999999997,402.34,929.663,458.431,,,
70,1333443,452,3.831440789473685,right,fixation,,18.0,953.2446929824561,532.5121754385959,,,,,4.0,5.1449058430460335,11.753750249561186
71,1333447,448,3.8319225663716816,left,fixation,19.0,,976.968840707964,520.332840707965,,,,,0.0,,
72,1333899,40,,left,saccade,19.0,,,,970.591,527.2669999999998,492.46,634.628,,,
73,1333899,44,,right,saccade,,18.0,,,969.6060000000001,526.047,467.642,637.624,,,
74,1333943,712,3.8593792134831455,left,fixation,20.0,,460.36876536312894,677.865240223464,,,,,1.0,7.351584910374391,20.778646346670488
75,1333947,708,3.858991525423728,right,fixation,,19.0,439.968466292135,669.128719101123,,,,,5.0,4.824936050640997,21.435790087493533
76,1334659,20,,left,saccade,20.0,,,,432.662,681.941,464.43300000000005,785.785,,,
77,1334659,20,,right,saccade,,19.0,,,427.881,676.175,451.74300000000005,797.678,,,
78,1334683,416,3.8101875,left,fixation,21.0,,509.543647619048,807.352942857142,,,,,0.0,,
79,1334683,416,3.8101875,right,fixation,,20.0,491.2890190476191,811.4786761904761,,,,,1.0,3.4403456262093406,10.17102521872791
80,1335103,24,,right,saccade,,20.0,,,487.14599999999996,806.9810000000001,667.217,813.2360000000001,,,
81,1335103,28,,left,saccade,21.0,,,,494.20599999999996,809.821,680.7260000000001,810.327,,,
82,1335131,400,3.863355400696864,right,fixation,,21.0,711.051356435644,831.766455445545,,,,,2.0,6.618312448700843,21.22091447232773
83,1335135,392,3.8635878889823374,left,fixation,22.0,,708.72898989899,807.145191919192,,,,,1.0,12.578450222503582,39.02458325209889
84,1335531,40,,left,saccade,22.0,,,,737.273,814.888,551.298,810.087,,,
85,1335535,40,,right,saccade,,21.0,,,737.1110000000001,835.867,542.935,850.0139999999999,,,
86,1335639,0,,right,fixation,,22.0,544.871,850.0139999999999,,,,,0.0,,
87,1335643,24,,right,saccade,,22.0,,,547.993,850.0139999999999,575.225,759.5269999999997,,,
88,1335671,112,3.767045454545455,right,fixation,,23.0,574.5901379310341,754.7769999999997,,,,,1.0,6.167305572758527,27.559520496554303
89,1335675,0,,left,fixation,23.0,,550.123,805.6469999999997,,,,,0.0,,
90,1335679,20,,left,saccade,23.0,,,,550.123,805.6469999999997,529.747,730.232,,,
91,1335703,84,3.771499999999999,left,fixation,24.0,,541.888818181818,740.200727272727,,,,,1.0,5.784175320552528,54.31325593259905
92,1335787,20,,right,saccade,,23.0,,,553.653,767.328,468.379,765.082,,,
93,1335791,16,,left,saccade,24.0,,,,565.595,758.159,492.405,760.097,,,
94,1335811,160,3.781975,right,fixation,,24.0,461.536853658537,753.584268292683,,,,,0.0,,
95,1335811,168,3.781428571428572,left,fixation,25.0,,478.0517441860469,759.360720930233,,,,,1.0,3.433157309403578,6.979341301297745
96,1335975,20,,right,saccade,,24.0,,,464.79900000000004,769.502,457.144,696.659,,,
97,1335983,12,,left,saccade,25.0,,,,455.74199999999996,746.623,450.51,695.676,,,
98,1335999,944,3.809059322033898,left,fixation,26.0,,449.60673417721495,689.848033755275,,,,,2.0,4.57437069516893,13.560072168832312
99,1335999,944,3.809059322033898,right,fixation,,25.0,444.94920253164497,692.14782278481,,,,,1.0,4.29524173423984,12.650020750971164
100,1336947,20,,left,saccade,26.0,,,,488.477,704.235,498.841,808.913,,,
101,1336947,24,,right,saccade,,25.0,,,447.793,694.307,480.11400000000003,791.993,,,
102,1336971,204,3.807960784313725,left,fixation,27.0,,508.039461538461,809.2830769230769,,,,,1.0,4.081390646717251,29.674796208230237
103,1336975,200,3.8081,right,fixation,,26.0,495.7071568627449,813.2166862745099,,,,,0.0,,
104,1337179,19,,left,saccade,27.0,,,,476.98900000000003,806.7589999999999,454.415,713.067,,,
105,1337179,19,,right,saccade,,26.0,,,473.745,796.044,443.42,709.4730000000003,,,
106,1337202,1540,3.8535129870129854,left,fixation,28.0,,434.914751295337,699.445044041451,,,,,3.0,4.453144864347216,13.215139559739447
107,1337202,1544,3.8533730569948186,right,fixation,,27.0,416.62271059431504,696.208896640827,,,,,6.0,5.3131204747918215,26.119951584917587
108,1338746,16,,left,saccade,28.0,,,,476.584,714.158,495.162,766.988,,,
109,1338750,8,,right,saccade,,27.0,,,477.352,716.923,482.798,741.0210000000003,,,
110,1338762,196,3.8106938775510217,right,fixation,,28.0,486.0612,775.19604,,,,,0.0,,
111,1338766,192,3.811031250000001,left,fixation,29.0,,513.2990408163259,782.060142857143,,,,,0.0,,
112,1338962,45,,left,saccade,29.0,,,,512.5790000000002,794.128,982.677,812.797,,,
113,1338962,45,,right,saccade,,28.0,,,496.70300000000003,771.788,989.747,821.8989999999999,,,
114,1339011,459,3.9514868421052634,left,fixation,30.0,,990.580249999999,831.11900862069,,,,,2.0,3.4476889590160464,7.581146339648348
115,1339011,459,3.9514868421052634,right,fixation,,29.0,973.946189655172,843.6010000000001,,,,,3.0,5.5501273118926635,20.95340637583443
116,1339474,44,,left,saccade,30.0,,,,968.174,829.828,465.336,684.7310000000001,,,
117,1339474,44,,right,saccade,,29.0,,,956.008,853.7460000000003,446.977,678.317,,,
118,1339522,5092,3.8396525923016496,left,fixation,31.0,,429.4305086342231,698.2912158555721,,,,,16.0,22.582115820923168,69.56373994970639
119,1339522,5456,3.8455986915887848,right,fixation,,30.0,422.974775091575,682.0998974358989,,,,,21.0,19.121121649998226,62.300666823084796
120,1344618,0,,left,saccade,31.0,,,,462.80699999999996,691.039,462.80699999999996,691.039,,,
121,1344622,352,3.962944,left,fixation,32.0,,464.544292134831,681.92504494382,,,,,1.0,3.6882597898979133,13.542938898186009
122,1344978,40,,left,saccade,32.0,,,,478.99199999999996,686.227,429.814,686.8510000000001,,,
123,1344982,40,,right,saccade,,30.0,,,439.45,685.705,438.961,779.4810000000001,,,
124,1345078,0,,right,fixation,,31.0,439.05300000000005,779.4810000000001,,,,,0.0,,
125,1345082,20,,right,saccade,,31.0,,,440.168,779.4810000000001,457.619,671.42,,,
126,1345098,8,,left,fixation,33.0,,427.2526666666671,683.107,,,,,0.0,,
127,1345106,232,3.8950641499463865,right,fixation,,32.0,444.305542372881,682.409542372881,,,,,0.0,,
128,1345110,4,,left,saccade,33.0,,,,419.284,655.6469999999998,415.852,642.502,,,
129,1345118,220,3.8950641499463865,left,fixation,34.0,,446.657839285715,684.363053571429,,,,,1.0,7.945932105661267,68.70214920946805
130,1345342,40,,left,saccade,34.0,,,,458.905,685.925,468.81300000000016,703.393,,,
131,1345342,76,,right,saccade,,32.0,,,434.97900000000004,693.32,465.843,644.0419999999998,,,
132,1345502,4,,left,fixation,35.0,,468.81300000000016,703.393,,,,,0.0,,
133,1345502,112,3.8853260869565216,right,fixation,,33.0,457.607517241379,667.092620689655,,,,,1.0,6.098562353356542,17.672283497047047
134,1345510,16,,left,saccade,35.0,,,,468.81300000000016,693.2260000000001,449.38199999999995,632.2330000000002,,,
135,1345530,88,3.885460869565217,left,fixation,36.0,,472.73821739130403,656.029695652174,,,,,1.0,6.702868560880808,59.654651528610884
136,1345618,40,,right,saccade,,33.0,,,457.57199999999995,694.128,956.88,809.99,,,
137,1345622,40,,left,saccade,36.0,,,,489.523,683.185,990.341,802.918,,,
138,1345662,1604,4.016372208436724,right,fixation,,34.0,959.4433407960199,832.788549751245,,,,,9.0,5.094206042521625,20.594561062629946
139,1345666,1600,4.016468905472636,left,fixation,37.0,,983.185436408977,822.125663341645,,,,,3.0,4.488915886950327,11.752806848547316
140,1347270,24,,right,saccade,,34.0,,,961.1080000000001,823.21,1189.322,835.3510000000001,,,
141,1347270,28,,left,saccade,37.0,,,,975.7139999999999,816.585,1199.363,814.813,,,
142,1347298,288,4.001493055555557,right,fixation,,35.0,1189.05843835616,839.8712876712331,,,,,0.0,,
143,1347302,284,4.000852112676055,left,fixation,38.0,,1197.81531944444,820.769875,,,,,0.0,,
144,1347590,32,,left,saccade,38.0,,,,1197.065,821.768,1468.27,824.755,,,
145,1347590,32,,right,saccade,,35.0,,,1191.025,841.3439999999997,1469.3010000000006,838.952,,,
146,1347626,328,3.8993231707317073,left,fixation,39.0,,1477.59402409639,842.2079879518069,,,,,1.0,3.4051164974360537,5.67128953589929
147,1347626,328,3.8993231707317073,right,fixation,,36.0,1455.58354216867,858.267578313253,,,,,2.0,3.56617619552145,9.63460165649094
148,1347958,12,,right,saccade,,36.0,,,1453.4779999999994,870.444,1498.116,900.382,,,
149,1347958,16,,left,saccade,39.0,,,,1470.611,847.586,1525.892,894.2860000000003,,,
150,1347974,256,3.8343515625,right,fixation,,37.0,1516.7900461538502,923.556076923077,,,,,1.0,4.703923764026975,17.65414107228105
151,1347978,248,3.8341774193548392,left,fixation,40.0,,1549.0469047619001,913.582158730159,,,,,2.0,4.47457484708608,10.885968162465858
152,1348230,68,,left,saccade,40.0,,,,1549.817,914.957,426.27099999999996,718.7510000000003,,,
153,1348234,64,,right,saccade,,37.0,,,1517.839,932.195,431.67699999999996,709.3739999999997,,,
154,1348302,440,3.8395810810810818,left,fixation,41.0,,453.8145495495489,703.6075495495503,,,,,2.0,11.335617648335125,30.68060743341528
155,1348302,440,3.8395810810810818,right,fixation,,38.0,440.476567567568,699.758531531532,,,,,4.0,7.02003318560844,22.82238976745677
156,1348746,36,,right,saccade,,38.0,,,470.926,730.3839999999999,973.954,784.9780000000003,,,
157,1348746,44,,left,saccade,41.0,,,,473.51800000000003,703.7239999999997,977.373,781.056,,,
158,1348786,348,4.052919540229885,right,fixation,,39.0,975.250590909091,822.241522727272,,,,,4.0,5.6084419973701225,22.178076598493565
159,1348794,340,4.055711764705882,left,fixation,42.0,,982.5835813953488,805.843662790698,,,,,3.0,4.182008020178055,11.559871098206694
