,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,21561487,296,3.686234999999999,left,fixation,1.0,,956.0857599999999,182.022306666667,,,,,1.0,2.417720919470318,6.527504040596242
1,21561487,296,3.686234999999999,right,fixation,,1.0,946.527906666667,183.66678666666698,,,,,1.0,2.094297707798205,6.4305297604473735
2,21561787,44,,left,saccade,1.0,,,,949.941,182.43200000000002,467.941,213.609,,,
3,21561787,44,,right,saccade,,1.0,,,934.153,179.43,466.653,222.43900000000002,,,
4,21561835,612,3.6594180583196336,left,fixation,2.0,,442.174311688312,199.37698701298697,,,,,3.0,3.6025480162238623,16.615061387243113
5,21561835,612,3.6594180583196336,right,fixation,,2.0,415.55288961039,192.052961038961,,,,,5.0,3.9024761341525256,28.573321030469717
6,21562451,32,,left,saccade,2.0,,,,407.691,166.93599999999995,426.51199999999994,146.92700000000005,,,
7,21562451,32,,right,saccade,,2.0,,,402.496,175.532,402.824,155.82299999999995,,,
8,21562599,116,3.885656593406593,right,fixation,,3.0,402.9570333333329,158.2722,,,,,0.0,,
9,21562607,112,3.811781814959234,left,fixation,3.0,,439.94013793103403,151.74275862068995,,,,,1.0,2.2834148708069275,4.343083351721432
10,21562719,72,,right,saccade,,3.0,,,407.04699999999997,155.192,1236.7910000000004,745.5189999999999,,,
11,21562723,68,,left,saccade,3.0,,,,445.272,138.21200000000002,1229.402,772.717,,,
12,21562795,92,3.6261739130434782,left,fixation,4.0,,1250.62195833333,794.403875,,,,,3.0,2.7190428551227552,7.8498971167708484
13,21562795,92,3.6261739130434782,right,fixation,,4.0,1232.7858333333302,767.80375,,,,,1.0,3.5480631414273884,24.564238009757208
14,21562891,20,,left,saccade,4.0,,,,1268.695,800.447,1450.631,844.4860000000001,,,
15,21562891,24,,right,saccade,,4.0,,,1234.649,784.355,1443.93,872.893,,,
16,21562915,316,3.643949367088607,left,fixation,5.0,,1455.64285,866.2053875,,,,,1.0,5.072112251759075,5.530007323684112
17,21562919,312,3.64401923076923,right,fixation,,5.0,1447.93582278481,875.792835443037,,,,,2.0,3.0345756349557185,9.186805256959373
18,21563235,44,,left,saccade,5.0,,,,1466.536,862.115,1326.246,231.109,,,
19,21563235,48,,right,saccade,,5.0,,,1434.9560000000001,857.0930000000003,1317.878,210.899,,,
20,21563283,148,3.6879864864864857,left,fixation,6.0,,1298.98013157895,197.708552631579,,,,,3.0,3.0159629966360537,12.742391220537051
21,21563287,144,3.6893472222222234,right,fixation,,6.0,1294.28459459459,161.68491891891898,,,,,1.0,4.870951039353375,56.29389425150836
22,21563435,52,,right,saccade,,6.0,,,1288.417,153.178,455.639,187.99099999999999,,,
23,21563435,56,,left,saccade,6.0,,,,1288.8410000000001,204.644,455.485,175.34400000000005,,,
24,21563491,300,3.710946666666667,right,fixation,,7.0,418.69139473684197,209.37619736842097,,,,,2.0,4.085537914074831,20.651583581286157
25,21563495,296,3.710939189189189,left,fixation,7.0,,444.756306666667,182.77908,,,,,1.0,1.8588112389971725,3.634301721101333
26,21563795,28,,left,saccade,7.0,,,,451.85,222.233,397.501,453.44300000000004,,,
27,21563795,32,,right,saccade,,7.0,,,408.85699999999997,219.851,361.67800000000005,490.624,,,
28,21563827,300,3.6629066666666654,left,fixation,8.0,,408.72656578947306,449.7698026315789,,,,,2.0,4.2310417852946784,11.855760809603918
29,21563831,140,3.653314285714286,right,fixation,,8.0,376.442222222222,498.552055555556,,,,,1.0,4.123486405808649,17.708459136807992
30,21563975,4,,right,saccade,,8.0,,,385.233,469.835,387.12199999999996,466.48699999999997,,,
31,21563983,144,3.6726805555555564,right,fixation,,9.0,393.798837837838,438.956216216216,,,,,0.0,,
32,21564131,36,,right,saccade,,9.0,,,395.22,439.73400000000004,661.5160000000002,215.97799999999998,,,
33,21564131,40,,left,saccade,8.0,,,,428.17400000000004,431.385,690.998,178.738,,,
34,21564171,112,3.71375,right,fixation,,10.0,673.534379310345,202.23368965517201,,,,,1.0,3.550377229566206,9.859897058286078
35,21564175,108,3.7139814814814818,left,fixation,9.0,,696.3125,161.96225,,,,,1.0,4.190563251057195,6.511986025783571
36,21564287,32,,left,saccade,9.0,,,,689.085,153.129,940.7710000000001,43.159,,,
37,21564287,32,,right,saccade,,10.0,,,676.7339999999998,201.838,955.4780000000001,76.755,,,
38,21564323,248,3.747008064516129,left,fixation,10.0,,955.396174603174,39.63404761904761,,,,,1.0,4.227398267387532,8.332856953050232
39,21564323,248,3.747008064516129,right,fixation,,11.0,959.6013968253959,72.50414285714291,,,,,3.0,2.5861638194672407,9.180033899177367
40,21564575,56,,left,saccade,10.0,,,,955.7389999999999,50.258,439.205,677.4960000000002,,,
41,21564575,56,,right,saccade,,11.0,,,953.2669999999999,52.931999999999995,418.19800000000004,687.025,,,
