,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1642280,104,3.9989722222222217,left,fixation,1.0,,674.129703703704,332.785148148148,,,,,0.0,,
1,1642280,104,3.9989722222222217,right,fixation,,1.0,642.670814814815,310.562222222222,,,,,0.0,,
2,1642388,24,,right,saccade,,1.0,,,639.314,303.654,468.094,183.74200000000002,,,
3,1642388,28,,left,saccade,1.0,,,,668.5260000000002,331.539,491.18800000000016,216.29,,,
4,1642416,424,3.89320283018868,right,fixation,,2.0,453.51638317757005,165.416429906542,,,,,1.0,4.105791252067681,9.272429724727004
5,1642420,872,3.919876146788991,left,fixation,2.0,,491.95200913242,223.08247945205503,,,,,4.0,5.797392079499179,20.85310079079221
6,1642844,20,,right,saccade,,2.0,,,460.925,150.19299999999996,467.569,257.165,,,
7,1642868,424,3.947188679245283,right,fixation,,3.0,493.017635514019,262.357448598131,,,,,4.0,6.916182963966834,17.596913997341076
8,1643296,28,,left,saccade,2.0,,,,515.2909999999998,261.889,736.325,351.735,,,
9,1643296,28,,right,saccade,,3.0,,,499.96,281.855,737.296,350.772,,,
10,1643328,272,4.141845588235293,right,fixation,,4.0,744.537956521739,360.85268115942,,,,,0.0,,
11,1643328,468,4.19291452991453,left,fixation,3.0,,749.083677966102,352.5100762711869,,,,,2.0,8.387107234219005,48.54478096757774
12,1643604,20,,right,saccade,,4.0,,,754.247,362.25800000000004,750.023,286.782,,,
13,1643628,168,4.2715714285714315,right,fixation,,5.0,747.045023255814,280.497395348837,,,,,0.0,,
14,1643800,24,,right,saccade,,5.0,,,751.2669999999997,270.133,880.7819999999997,465.98199999999997,,,
15,1643800,28,,left,saccade,3.0,,,,724.6110000000001,305.4890000000001,856.0369999999997,499.80199999999996,,,
16,1643828,184,4.267836956521739,right,fixation,,6.0,892.5603404255321,498.372765957447,,,,,0.0,,
17,1643832,180,4.267233333333333,left,fixation,4.0,,880.2947173913043,530.54502173913,,,,,1.0,3.4282487673900093,12.988313708869192
18,1644016,24,,left,saccade,4.0,,,,887.6260000000003,535.6709999999998,742.127,524.2819999999998,,,
19,1644016,24,,right,saccade,,6.0,,,890.921,515.606,747.6239999999997,504.716,,,
20,1644044,176,4.312818181818182,left,fixation,5.0,,735.508466666667,523.449222222222,,,,,2.0,4.515806084379912,12.678880029744473
21,1644044,176,4.312818181818182,right,fixation,,7.0,735.119844444445,488.595355555556,,,,,0.0,,
22,1644224,40,,left,saccade,5.0,,,,721.553,520.578,493.07199999999995,231.36900000000003,,,
23,1644224,40,,right,saccade,,7.0,,,730.043,471.75800000000004,477.89599999999996,197.71099999999998,,,
24,1644268,412,4.2143300970873785,left,fixation,6.0,,465.80751923076895,202.54215384615398,,,,,3.0,5.861203326401293,21.26154052990981
25,1644268,424,4.213014150943397,right,fixation,,8.0,471.924981308411,193.483971962617,,,,,1.0,3.9133300716908535,10.952528931712573
26,1644684,20,,left,saccade,6.0,,,,468.538,199.83,542.726,225.388,,,
27,1644696,4,,right,saccade,,8.0,,,490.273,226.391,496.866,226.50900000000001,,,
28,1644704,124,4.168109375,right,fixation,,9.0,515.75440625,239.0625625,,,,,2.0,3.6882812195512336,9.69693613324842
29,1644708,120,4.167967741935484,left,fixation,7.0,,555.026741935484,256.054838709677,,,,,0.0,,
30,1644832,24,,left,saccade,7.0,,,,543.492,275.695,726.929,283.184,,,
31,1644832,24,,right,saccade,,9.0,,,527.495,255.546,715.082,259.813,,,
32,1644860,688,4.261748538011696,left,fixation,8.0,,746.6237861271678,306.062710982659,,,,,1.0,8.401034461765848,29.40412314625282
33,1644860,688,4.261748538011696,right,fixation,,10.0,714.631433526011,270.779832369942,,,,,5.0,4.650315605756463,15.186675103895483
34,1645552,28,,left,saccade,8.0,,,,762.3589999999997,317.572,516.491,301.686,,,
35,1645552,28,,right,saccade,,10.0,,,728.165,280.55,498.923,267.757,,,
36,1645584,180,4.151891304347825,right,fixation,,11.0,485.45182608695603,260.086478260869,,,,,0.0,,
37,1645584,184,4.151170212765956,left,fixation,9.0,,505.51912765957496,276.745617021277,,,,,0.0,,
38,1645768,16,,right,saccade,,11.0,,,476.534,266.425,464.98800000000006,210.405,,,
39,1645772,12,,left,saccade,9.0,,,,497.92400000000004,258.89599999999996,471.12300000000016,211.895,,,
40,1645788,892,4.024761261261261,right,fixation,,12.0,431.6318258928569,173.741540178571,,,,,3.0,4.78650952443168,13.156652270177851
41,1645788,1460,3.9988520547945208,left,fixation,10.0,,470.07977322404406,205.39951092896197,,,,,3.0,7.547287254347211,28.3002599100308
42,1646684,16,,right,saccade,,12.0,,,448.219,157.329,514.2180000000002,155.584,,,
43,1646704,544,3.9596240875912403,right,fixation,,13.0,515.916474452555,143.056664233577,,,,,0.0,,
44,1647252,36,,right,saccade,,13.0,,,518.2819999999998,147.548,876.924,199.646,,,
45,1647252,40,,left,saccade,10.0,,,,520.442,209.567,904.675,264.503,,,
46,1647292,200,4.058299999999999,right,fixation,,14.0,894.7086274509801,225.907333333333,,,,,0.0,,
47,1647296,196,4.05895918367347,left,fixation,11.0,,911.3561599999999,289.24532,,,,,0.0,,
48,1647496,28,,right,saccade,,14.0,,,917.888,224.65400000000002,1232.988,235.072,,,
49,1647496,32,,left,saccade,11.0,,,,912.8330000000001,294.407,1245.508,292.654,,,
50,1647528,1316,4.133893939393939,right,fixation,,15.0,1205.7334181818198,257.000112121212,,,,,5.0,6.449802632977932,22.694936967445518
51,1647532,1312,4.133939209726443,left,fixation,12.0,,1215.0194468085099,279.84129179331296,,,,,2.0,6.112311824350207,16.10597060467881
52,1648848,48,,left,saccade,12.0,,,,1222.1760000000004,260.883,470.522,372.62,,,
53,1648848,48,,right,saccade,,15.0,,,1198.3010000000004,253.22299999999998,497.945,335.1930000000001,,,
54,1648900,1160,4.132924137931036,left,fixation,13.0,,451.56421649484497,412.346553264605,,,,,7.0,5.970690075158062,21.14469592483784
55,1648900,1736,4.1038813364055295,right,fixation,,16.0,458.623611494253,393.005462068965,,,,,8.0,8.460418702528605,27.612336750409106
56,1650064,16,,left,saccade,13.0,,,,432.06800000000004,423.63,489.941,415.43800000000016,,,
57,1650084,556,4.0451618705035965,left,fixation,14.0,,524.648292857143,421.89051428571406,,,,,3.0,5.601017690922948,16.004848000702548
58,1650640,28,,right,saccade,,16.0,,,519.24,411.06,707.1010000000001,479.849,,,
59,1650644,24,,left,saccade,14.0,,,,545.906,416.339,728.25,489.50800000000004,,,
60,1650672,888,4.1143923766816135,left,fixation,15.0,,726.804417040359,535.932636771301,,,,,1.0,3.4212731751336483,7.372632433534176
61,1650672,888,4.1143923766816135,right,fixation,,17.0,723.1035605381171,509.5474932735421,,,,,0.0,,
62,1651564,32,,left,saccade,15.0,,,,715.823,559.188,455.649,649.797,,,
63,1651564,32,,right,saccade,,17.0,,,745.975,520.748,476.286,628.696,,,
64,1651600,468,4.167111111111112,left,fixation,16.0,,445.853084745763,655.888127118644,,,,,3.0,4.639134999977316,11.245811433026438
65,1651600,1120,4.12945,right,fixation,,18.0,485.560252669039,606.440071174377,,,,,6.0,6.717813489192749,20.507621762852136
66,1652072,8,,left,saccade,16.0,,,,443.397,648.2719999999998,458.906,645.553,,,
67,1652084,640,4.1013125000000015,left,fixation,17.0,,511.006354037267,646.74902484472,,,,,2.0,4.561465339423217,11.687725030551965
68,1652724,40,,right,saccade,,18.0,,,521.192,609.133,1048.029,683.804,,,
69,1652728,40,,left,saccade,17.0,,,,530.827,644.4169999999998,1027.297,705.2869999999997,,,
70,1652768,144,4.119527777777779,right,fixation,,19.0,1052.9937297297301,702.4840540540538,,,,,0.0,,
71,1652772,140,4.119457142857144,left,fixation,18.0,,1061.35880555556,718.797583333333,,,,,0.0,,
72,1652916,20,,left,saccade,18.0,,,,1066.513,723.7460000000003,905.831,731.2689999999999,,,
73,1652916,24,,right,saccade,,19.0,,,1049.265,711.4910000000001,910.2539999999999,713.796,,,
74,1652940,200,4.19798,left,fixation,19.0,,904.939607843138,744.837784313726,,,,,0.0,,
75,1652944,196,4.198765306122448,right,fixation,,20.0,900.9816,715.43836,,,,,1.0,5.914425737597494,11.826060459848915
76,1653144,36,,left,saccade,19.0,,,,922.837,742.435,1386.471,730.796,,,
77,1653144,36,,right,saccade,,20.0,,,909.336,707.252,1404.152,721.2810000000003,,,
78,1653184,180,4.0985000000000005,left,fixation,20.0,,1403.5771956521698,723.8241956521741,,,,,1.0,8.501549259138349,28.17301909629139
79,1653184,180,4.0985000000000005,right,fixation,,21.0,1411.7897826086999,731.7039347826089,,,,,1.0,5.2257887921347175,17.221485563098554
80,1653368,28,,left,saccade,20.0,,,,1397.7520000000006,720.451,1045.891,734.671,,,
81,1653368,32,,right,saccade,,21.0,,,1401.408,733.8860000000003,1043.795,713.2189999999997,,,
82,1653400,328,4.110268292682926,left,fixation,21.0,,990.0640722891568,753.134144578314,,,,,4.0,6.589566555849099,21.636849751840238
83,1653404,324,4.110530864197529,right,fixation,,22.0,984.540256097561,718.5749512195122,,,,,2.0,7.377374508929615,20.634405311931946
84,1653732,32,,left,saccade,21.0,,,,957.002,769.3910000000003,1389.0770000000002,745.747,,,
85,1653732,36,,right,saccade,,22.0,,,948.8389999999999,728.6189999999997,1426.89,731.77,,,
86,1653768,280,4.007871428571431,left,fixation,22.0,,1420.1194225352099,724.401943661972,,,,,1.0,4.412894190765208,12.876401049983064
87,1653772,276,4.0068768115942035,right,fixation,,23.0,1437.60495714286,718.051528571429,,,,,0.0,,
88,1654052,36,,left,saccade,22.0,,,,1433.214,722.227,965.9630000000001,755.682,,,
89,1654052,36,,right,saccade,,23.0,,,1439.842,709.565,960.295,722.9939999999997,,,
90,1654092,300,4.0750866666666665,left,fixation,23.0,,945.3148815789481,764.292289473685,,,,,2.0,5.349537241783022,11.648131659587865
91,1654092,300,4.0750866666666665,right,fixation,,24.0,940.6020657894741,746.611421052632,,,,,2.0,4.729718903423228,13.242422897848884
92,1654396,36,,left,saccade,23.0,,,,966.118,765.44,584.715,662.2669999999998,,,
93,1654396,36,,right,saccade,,24.0,,,951.816,747.9789999999997,593.453,624.135,,,
94,1654436,308,4.038584415584416,left,fixation,24.0,,552.881717948718,649.498871794872,,,,,0.0,,
95,1654436,308,4.038584415584416,right,fixation,,25.0,537.579551282052,601.840602564103,,,,,1.0,5.677502174763512,38.3310612688979
96,1654748,56,,right,saccade,,25.0,,,531.336,609.203,1490.828,718.4630000000003,,,
97,1654748,60,,left,saccade,24.0,,,,548.2869999999998,634.495,1520.0479999999998,700.818,,,
98,1654808,496,3.965208,right,fixation,,26.0,1487.6509839999999,721.404672,,,,,2.0,4.790555632801062,17.186927277795643
99,1654812,492,3.9648991935483884,left,fixation,25.0,,1502.76957258065,698.057951612903,,,,,2.0,5.342132306577924,17.913110190781275
100,1655308,20,,left,saccade,25.0,,,,1466.15,710.5939999999997,1576.885,785.9760000000001,,,
101,1655308,20,,right,saccade,,26.0,,,1459.395,708.947,1531.5810000000001,820.128,,,
102,1655332,251,3.99483870967742,left,fixation,26.0,,1561.521625,799.072984375,,,,,1.0,6.528956671798444,27.986179803610288
103,1655332,251,3.99483870967742,right,fixation,,27.0,1539.64396875,821.90434375,,,,,1.0,8.974700638770901,10.353728700328247
104,1655587,60,,left,saccade,26.0,,,,1538.223,794.298,409.213,525.351,,,
105,1655587,64,,right,saccade,,27.0,,,1551.244,812.628,403.49800000000016,502.597,,,
106,1655651,128,4.0888125,left,fixation,27.0,,398.03024242424203,510.752363636364,,,,,1.0,5.212449903836037,6.83245702511186
107,1655655,156,4.090892857142856,right,fixation,,28.0,389.8111,498.589475,,,,,2.0,13.029465806499172,43.865033131778134
108,1655783,8,,left,saccade,27.0,,,,402.211,505.17,409.426,534.979,,,
109,1655795,16,4.097571428571428,left,fixation,28.0,,414.361,554.475,,,,,0.0,,
