,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,21042149,336,2.9295764705882346,left,fixation,1.0,,593.5174941176471,285.52495294117597,,,,,1.0,3.450102562887716,19.267316834473867
1,21042149,340,2.929616279069767,right,fixation,,1.0,584.758220930232,289.296790697674,,,,,2.0,4.330707251589175,17.67379485064047
2,21042489,32,,left,saccade,1.0,,,,585.991,294.814,481.125,173.763,,,
3,21042493,28,,right,saccade,,1.0,,,579.847,297.526,489.464,197.96400000000003,,,
4,21042525,464,2.9638318965517243,right,fixation,,2.0,496.929846153846,168.632897435897,,,,,1.0,11.455483307375363,63.16322961977161
5,21042525,708,2.969251412429378,left,fixation,2.0,,491.221415730337,162.261505617978,,,,,3.0,7.217870370939625,26.55353229938807
6,21042993,8,,right,saccade,,2.0,,,504.30400000000003,168.21900000000005,472.264,171.109,,,
7,21043005,232,2.9792068965517235,right,fixation,,3.0,465.003237288136,174.93645762711895,,,,,0.0,,
8,21043237,20,,left,saccade,2.0,,,,484.332,169.273,496.474,273.659,,,
9,21043241,12,,right,saccade,,3.0,,,472.86,182.47099999999998,474.565,233.96200000000002,,,
10,21043257,296,2.9775,right,fixation,,4.0,481.452973333333,263.82676000000004,,,,,1.0,3.928953670437504,20.64310356995767
11,21043261,292,2.977541095890411,left,fixation,3.0,,504.432743243243,270.712418918919,,,,,0.0,,
12,21043557,60,,left,saccade,3.0,,,,521.116,257.63,1368.829,241.862,,,
13,21043557,60,,right,saccade,,4.0,,,499.944,271.517,1354.4479999999999,281.901,,,
14,21043621,260,3.003609375,left,fixation,4.0,,1404.68677272727,250.688893939394,,,,,2.0,3.866336792459909,10.113728879313806
15,21043621,264,3.0037384615384615,right,fixation,,5.0,1372.7842238806,275.26247761194,,,,,1.0,2.9574780594658923,8.806676160731534
16,21043885,28,,left,saccade,4.0,,,,1420.651,256.212,1156.122,270.067,,,
17,21043889,24,,right,saccade,,5.0,,,1368.125,277.672,1139.9560000000001,274.58,,,
18,21043917,132,3.0180606060606063,left,fixation,5.0,,1145.90414705882,267.397029411765,,,,,0.0,,
