,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2499361,28,,right,saccade,,1.0,,,0.0,0.0,716.612,697.783,,,
1,2499361,168,3.3952151162790702,left,fixation,1.0,,606.450186046512,674.257697674419,,,,,1.0,15.285553842690073,45.91720489097732
2,2499393,136,3.4001571428571435,right,fixation,,1.0,682.017285714286,661.512542857143,,,,,1.0,5.016990612464347,11.501150594614424
3,2499533,28,,left,saccade,1.0,,,,634.182,693.1339999999999,524.679,253.075,,,
4,2499533,60,,right,saccade,,2.0,,,656.319,642.206,551.367,167.03099999999995,,,
5,2499565,124,3.3512258064516134,left,fixation,2.0,,512.04953125,218.49640625,,,,,1.0,7.06644499062687,19.09884294924697
6,2499597,92,3.3573913043478267,right,fixation,,2.0,527.263041666667,162.416125,,,,,0.0,,
7,2499693,20,,left,saccade,2.0,,,,510.298,216.317,446.065,216.179,,,
8,2499693,20,,right,saccade,,3.0,,,518.289,158.86,427.788,151.376,,,
9,2499717,1249,3.2461794425087107,left,fixation,3.0,,386.4309712460061,165.447664536741,,,,,2.0,5.148339600359601,18.765498284726764
10,2499717,1249,3.2461794425087107,right,fixation,,3.0,410.4841277955269,162.04304472843398,,,,,1.0,4.700645068025827,9.719723658623202
11,2500970,48,,left,saccade,3.0,,,,382.36699999999996,137.889,293.6,89.15799999999999,,,
12,2500970,40,,right,saccade,,4.0,,,425.17800000000005,169.48,436.38800000000003,153.625,,,
13,2501157,848,3.380681129288176,left,fixation,4.0,,373.292830985915,138.387042253521,,,,,3.0,7.097912131113925,47.1428687206207
14,2501157,848,3.380681129288176,right,fixation,,4.0,412.843169014084,159.443990610329,,,,,0.0,,
15,2502009,24,,left,saccade,4.0,,,,381.03,148.781,456.153,237.575,,,
16,2502009,24,,right,saccade,,5.0,,,411.895,162.403,454.24300000000005,264.519,,,
17,2502037,764,3.3469166666666665,left,fixation,5.0,,469.52740104166605,271.491765625,,,,,0.0,,
18,2502037,764,3.3469166666666665,right,fixation,,5.0,476.862421875,253.2009375,,,,,1.0,5.1890271460286455,14.989095669852784
19,2502805,24,,left,saccade,5.0,,,,457.494,277.509,652.539,259.295,,,
20,2502805,24,,right,saccade,,6.0,,,459.06199999999995,268.025,702.576,259.212,,,
21,2502833,860,3.3209275700934584,left,fixation,6.0,,677.702962962962,273.264449074074,,,,,0.0,,
22,2502833,860,3.3209275700934584,right,fixation,,6.0,720.540583333333,251.36245833333302,,,,,0.0,,
23,2503697,28,,left,saccade,6.0,,,,671.2189999999998,281.474,416.784,194.727,,,
24,2503697,28,,right,saccade,,7.0,,,734.168,248.135,429.264,166.808,,,
25,2503729,636,3.464734375,left,fixation,7.0,,385.2779125,155.2974875,,,,,2.0,5.212251437309753,10.889073201860857
26,2503729,636,3.464734375,right,fixation,,7.0,399.96553125,143.15193125,,,,,1.0,9.345417311293401,19.14276565703089
27,2504369,32,,left,saccade,7.0,,,,387.99699999999996,163.5,686.475,220.00799999999998,,,
28,2504369,32,,right,saccade,,8.0,,,385.43199999999996,103.21600000000001,730.363,210.93099999999998,,,
29,2504405,676,3.357038461538462,left,fixation,8.0,,691.378605882354,263.131941176471,,,,,0.0,,
30,2504405,680,3.3566617647058825,right,fixation,,8.0,744.8898245614032,263.069040935672,,,,,0.0,,
31,2505085,32,,left,saccade,8.0,,,,690.138,264.053,421.61400000000003,213.732,,,
32,2505089,44,,right,saccade,,9.0,,,732.956,271.427,417.874,165.37599999999995,,,
33,2505121,0,,left,fixation,9.0,,419.93800000000016,208.44099999999997,,,,,0.0,,
34,2505125,4,,left,saccade,9.0,,,,407.843,188.15200000000002,399.00199999999995,187.127,,,
35,2505133,364,3.3700824175824176,left,fixation,10.0,,382.0875978260871,162.708619565217,,,,,0.0,,
