,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10049725,188,3.2901614583333334,left,fixation,1.0,,1569.75935416667,937.921458333334,,,,,0.0,,
1,10049725,192,3.290117346938775,right,fixation,,1.0,1540.10226530612,946.632326530612,,,,,2.0,2.392381387825319,5.1934797092248886
2,10049917,52,,left,saccade,1.0,,,,1568.776,934.0160000000001,986.565,623.294,,,
3,10049921,52,,right,saccade,,1.0,,,1534.237,948.6339999999999,992.02,676.0980000000002,,,
4,10049973,124,3.21008064516129,left,fixation,2.0,,990.24384375,624.04521875,,,,,0.0,,
5,10049977,124,3.2100806451612907,right,fixation,,2.0,982.35846875,653.76078125,,,,,0.0,,
6,10050101,56,,left,saccade,2.0,,,,995.813,642.946,476.233,164.486,,,
7,10050105,52,,right,saccade,,2.0,,,977.0360000000001,642.1990000000002,508.295,193.856,,,
8,10050161,204,3.27556862745098,left,fixation,3.0,,460.945365384615,126.2245,,,,,4.0,5.652916574917848,16.399096638855738
9,10050161,700,3.31209364548495,right,fixation,,3.0,451.111602272727,155.231573863636,,,,,3.0,7.623987383780071,41.907936828703114
10,10050369,0,,left,saccade,3.0,,,,410.93800000000016,122.375,410.93800000000016,122.375,,,
11,10050373,492,3.3318186528497407,left,fixation,4.0,,401.056733870968,129.63824193548402,,,,,2.0,4.818942223168781,14.431564415859757
12,10050865,40,,right,saccade,,3.0,,,428.92800000000005,155.092,411.954,114.406,,,
13,10050869,40,,left,saccade,4.0,,,,412.87,123.729,408.314,94.54,,,
14,10051013,1220,3.4255171790235086,left,fixation,5.0,,422.4354248366009,145.37312418300698,,,,,12.0,4.791816187264964,18.73300058784679
15,10051013,1220,3.4255171790235086,right,fixation,,4.0,440.604254901961,171.33239869281,,,,,7.0,5.392635548309113,29.627842695172248
16,10052237,24,,left,saccade,5.0,,,,383.85,146.619,459.468,251.18599999999998,,,
17,10052237,24,,right,saccade,,4.0,,,417.705,168.297,474.23400000000004,250.25400000000002,,,
18,10052265,236,3.4745593220338984,left,fixation,6.0,,481.42235,272.573033333333,,,,,0.0,,
19,10052265,236,3.4745593220338984,right,fixation,,5.0,505.06435,289.524133333333,,,,,3.0,3.3317710042862223,6.765437399560968
20,10052505,24,,left,saccade,6.0,,,,490.04900000000004,274.649,426.773,143.377,,,
21,10052505,24,,right,saccade,,5.0,,,506.798,309.772,466.75800000000004,183.021,,,
22,10052533,1556,3.581570694087404,right,fixation,,6.0,435.71624615384695,178.558620512821,,,,,11.0,5.621790988231474,22.727114972429145
23,10052533,2744,3.6111501457725934,left,fixation,7.0,,422.294296943232,142.255097525473,,,,,15.0,4.602906836972883,16.934546409041708
24,10054093,0,,right,saccade,,6.0,,,474.837,196.977,474.837,196.977,,,
25,10054097,1184,3.6501756756756762,right,fixation,,7.0,456.634710437711,178.857848484849,,,,,8.0,5.400175124262637,24.836598205468174
26,10055281,12,,left,saccade,7.0,,,,384.74,147.701,437.517,148.067,,,
27,10055285,12,,right,saccade,,7.0,,,409.88800000000003,176.15099999999995,455.163,180.558,,,
28,10055297,472,3.6579830508474576,left,fixation,8.0,,435.915966386555,157.276075630252,,,,,3.0,3.238072365537008,9.837772586664084
29,10055301,468,3.658004273504274,right,fixation,,8.0,451.240559322033,179.27407627118697,,,,,2.0,3.7740574700558196,15.79654502672392
30,10055773,24,,left,saccade,8.0,,,,398.292,135.684,472.792,279.691,,,
