,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2433734,127,3.9962734375,left,fixation,1.0,,451.210333333333,742.53603030303,,,,,0.0,,
1,2433734,127,3.9962734375,right,fixation,,1.0,463.199303030303,709.33493939394,,,,,0.0,,
2,2433865,32,,left,saccade,1.0,,,,453.79400000000004,740.4760000000001,479.106,404.41900000000004,,,
3,2433865,36,,right,saccade,,1.0,,,466.52099999999996,713.3389999999997,488.80800000000005,385.403,,,
4,2433901,144,3.892791666666666,left,fixation,2.0,,509.50927027027,364.41005405405406,,,,,1.0,5.896093857612655,28.31330277449099
5,2433905,140,3.8919,right,fixation,,2.0,486.411138888889,357.2615277777781,,,,,0.0,,
6,2434049,24,,right,saccade,,2.0,,,490.17699999999996,349.19300000000015,487.215,208.21400000000003,,,
7,2434049,28,,left,saccade,2.0,,,,512.947,353.684,484.467,199.80599999999998,,,
8,2434077,300,3.870265678694158,right,fixation,,3.0,438.259118421053,166.006605263158,,,,,1.0,4.405555331371717,43.78083367182492
9,2434081,292,3.870008114035088,left,fixation,3.0,,452.183716216216,165.208175675676,,,,,2.0,5.073119059125284,31.28018784090173
10,2434377,40,,left,saccade,3.0,,,,425.908,143.945,901.4119999999999,19.338,,,
11,2434381,40,,right,saccade,,3.0,,,392.14099999999996,145.812,981.418,57.706,,,
12,2434497,252,3.8219672131147537,left,fixation,4.0,,956.488359375,43.385609375,,,,,1.0,8.271887781650674,54.612165457890434
13,2434497,252,3.8219672131147537,right,fixation,,4.0,958.773953125,51.991921875,,,,,0.0,,
14,2434753,48,,left,saccade,4.0,,,,972.168,39.361,456.94199999999995,164.817,,,
15,2434753,48,,right,saccade,,4.0,,,957.005,39.851,427.32199999999995,172.986,,,
16,2434805,360,3.980533333333333,left,fixation,5.0,,459.124197802198,217.49870329670296,,,,,1.0,9.10607260904015,61.515847470387634
17,2434805,364,3.980873626373626,right,fixation,,5.0,436.454010869566,210.74160869565202,,,,,2.0,5.821411148305812,33.079089619481074
18,2435169,20,,left,saccade,5.0,,,,468.597,244.50900000000001,428.43699999999995,171.887,,,
19,2435173,20,,right,saccade,,5.0,,,444.574,223.417,406.523,178.865,,,
20,2435193,852,4.016605633802817,left,fixation,6.0,,409.268093457944,152.21626168224302,,,,,2.0,3.1392833127235167,7.324118407006362
21,2435197,848,4.016627358490567,right,fixation,,6.0,379.897511737089,130.673422535211,,,,,1.0,5.514252885830404,9.4338259470906
22,2436049,24,,left,saccade,6.0,,,,398.907,137.505,471.592,178.357,,,
23,2436049,24,,right,saccade,,6.0,,,377.694,142.21200000000005,452.083,197.09900000000002,,,
24,2436077,696,4.047692528735632,right,fixation,,7.0,460.477451428572,247.592411428571,,,,,1.0,2.6322736317150346,6.747219056767078
25,2436077,700,4.048102857142856,left,fixation,7.0,,478.11366477272696,241.295198863637,,,,,0.0,,
26,2436777,28,,right,saccade,,7.0,,,448.539,250.861,417.81699999999995,144.57299999999995,,,
27,2436781,24,,left,saccade,7.0,,,,461.536,260.83099999999996,419.855,158.945,,,
28,2436809,660,4.1385272727272735,left,fixation,8.0,,414.109271084337,139.66115060241,,,,,2.0,2.6115321984239057,6.780429686906677
29,2436809,660,4.1385272727272735,right,fixation,,8.0,387.35100602409597,128.307457831325,,,,,1.0,3.800234046154984,13.137933817766069
30,2437473,32,,right,saccade,,8.0,,,397.42699999999996,124.81700000000001,659.118,182.047,,,
