,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3739177,20,3.6461666666666654,left,fixation,1.0,,618.995333333333,214.670833333333,,,,,0.0,,
1,3739177,20,3.6461666666666654,right,fixation,,1.0,655.3283333333329,242.38116666666699,,,,,0.0,,
2,3739201,16,,left,saccade,1.0,,,,622.821,215.338,689.643,224.00900000000001,,,
3,3739201,20,,right,saccade,,1.0,,,655.612,241.669,740.4580000000003,241.669,,,
4,3739221,244,3.6349918032786888,left,fixation,2.0,,705.911370967742,231.80472580645198,,,,,0.0,,
5,3739225,240,3.6345833333333335,right,fixation,,2.0,731.506459016394,230.28627868852504,,,,,0.0,,
6,3739469,36,,left,saccade,2.0,,,,721.1080000000003,238.933,444.81199999999995,185.44400000000002,,,
7,3739469,36,,right,saccade,,2.0,,,726.375,246.8,450.343,170.96900000000005,,,
8,3739509,756,3.59084014604035,left,fixation,3.0,,419.125068421053,157.491289473684,,,,,1.0,8.755077542647907,33.73193768522642
9,3739509,756,3.59084014604035,right,fixation,,3.0,420.34896842105286,145.049342105263,,,,,2.0,9.430330568896558,33.474208208103896
10,3740269,48,,left,saccade,3.0,,,,448.709,150.188,449.305,264.255,,,
11,3740269,40,,right,saccade,,3.0,,,451.06800000000004,154.5,462.38800000000003,216.767,,,
12,3740381,256,3.5734788121454786,left,fixation,4.0,,468.505523076923,264.456446153846,,,,,1.0,7.001916900233652,16.541025965761598
13,3740385,252,3.573478812145478,right,fixation,,4.0,483.5843125,248.951984375,,,,,0.0,,
14,3740641,28,,left,saccade,4.0,,,,469.164,270.45,677.575,241.769,,,
15,3740641,32,,right,saccade,,4.0,,,476.61199999999997,251.00599999999997,688.622,242.459,,,
16,3740673,180,3.5261333333333336,left,fixation,5.0,,704.4845,242.09732608695703,,,,,0.0,,
17,3740677,176,3.5251363636363635,right,fixation,,5.0,710.3604444444438,230.68595555555598,,,,,0.0,,
18,3740857,28,,left,saccade,5.0,,,,704.779,241.542,473.624,238.396,,,
19,3740857,28,,right,saccade,,5.0,,,717.205,239.798,483.056,222.23,,,
20,3740889,1040,3.5693557692307687,left,fixation,6.0,,429.092084291188,165.89645210728,,,,,1.0,8.095112587577491,24.657180779643067
21,3740889,1040,3.5693557692307687,right,fixation,,6.0,437.92757471264395,164.03746743295,,,,,3.0,7.422051112254042,19.152235470369643
22,3741933,20,,left,saccade,6.0,,,,402.67400000000004,164.82299999999995,400.769,72.58,,,
23,3741933,20,,right,saccade,,6.0,,,401.295,171.15200000000004,410.73,68.221,,,
24,3741957,328,3.6508536585365854,left,fixation,7.0,,389.315048192771,46.880843373493995,,,,,0.0,,
25,3741957,328,3.6508536585365854,right,fixation,,7.0,422.924807228916,56.931000000000004,,,,,0.0,,
26,3742289,32,,left,saccade,7.0,,,,396.23400000000004,58.718,405.527,382.91900000000004,,,
27,3742289,36,,right,saccade,,7.0,,,416.19300000000004,58.093999999999994,445.36800000000005,404.18,,,
28,3742325,456,3.663635964912281,left,fixation,8.0,,438.525078260869,405.250817391304,,,,,0.0,,
29,3742329,452,3.6635530973451327,right,fixation,,8.0,459.575587719298,417.14168421052597,,,,,1.0,8.468117526607939,5.931678093086241
30,3742785,20,,left,saccade,8.0,,,,456.042,400.934,466.092,495.708,,,
31,3742785,24,,right,saccade,,8.0,,,451.895,439.496,486.301,543.4680000000002,,,
32,3742809,284,3.6461408450704216,left,fixation,9.0,,499.593875,529.319930555555,,,,,0.0,,
33,3742813,284,3.6457676056338015,right,fixation,,9.0,499.115138888889,556.207805555556,,,,,0.0,,
34,3743097,36,,left,saccade,9.0,,,,507.9,530.961,416.24300000000005,380.096,,,
35,3743101,32,,right,saccade,,9.0,,,511.65,548.0369999999998,425.695,378.42900000000003,,,
36,3743137,188,3.6060425531914895,right,fixation,,10.0,418.61175,374.455041666667,,,,,0.0,,
37,3743137,192,3.60503125,left,fixation,10.0,,432.02130612244906,367.92271428571405,,,,,0.0,,
38,3743329,28,,right,saccade,,10.0,,,419.431,393.273,430.254,256.532,,,
39,3743333,24,,left,saccade,10.0,,,,420.347,380.43800000000016,429.783,229.303,,,
40,3743361,156,3.5455000000000005,left,fixation,11.0,,441.8006,236.448525,,,,,0.0,,
41,3743361,800,3.51832,right,fixation,,11.0,405.07063681592,191.253865671642,,,,,2.0,8.366707101091185,22.456987232816118
42,3743521,4,,left,saccade,11.0,,,,436.524,236.142,431.66900000000004,227.737,,,
43,3743529,1208,3.5026937086092707,left,fixation,12.0,,419.834085808581,147.627564356436,,,,,2.0,7.9886011441204285,21.94403616048985
44,3744165,16,,right,saccade,,11.0,,,382.286,162.591,432.417,142.178,,,
45,3744185,5699,3.684418188202247,right,fixation,,12.0,420.588644460028,139.187021037868,,,,,7.0,8.698551480815437,29.805091985689238
46,3744741,12,,left,saccade,12.0,,,,447.789,114.289,408.711,128.59,,,
