,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2723376,164,3.357136904761905,left,fixation,1.0,,1514.7214285714301,984.136571428572,,,,,0.0,,
1,2723376,168,3.3572965116279065,right,fixation,,1.0,1508.5640930232598,989.964790697675,,,,,0.0,,
2,2723544,96,,left,saccade,1.0,,,,1513.414,975.755,477.413,181.752,,,
3,2723548,72,,right,saccade,,1.0,,,1502.026,991.31,520.163,217.035,,,
4,2723624,204,3.3126078431372563,right,fixation,,2.0,502.950326923077,179.58542307692295,,,,,1.0,6.818560464317641,14.952344164043328
5,2723644,528,3.2748853080568723,left,fixation,2.0,,448.682127819549,202.214639097744,,,,,5.0,7.7151326678723935,21.55763302571623
6,2723832,12,,right,saccade,,2.0,,,480.542,180.28799999999998,435.404,179.649,,,
7,2723848,324,3.2401449541284406,right,fixation,,3.0,408.49937804878,172.26013414634102,,,,,1.0,7.165505041516602,3.3930036840533804
8,2724176,56,,left,saccade,2.0,,,,405.782,172.09900000000005,339.84,92.67299999999999,,,
9,2724176,40,,right,saccade,,3.0,,,399.897,155.409,384.463,152.75799999999995,,,
10,2724292,476,3.143723163841808,right,fixation,,4.0,392.4111666666671,131.704716666667,,,,,2.0,4.359628523167917,15.360288571721744
11,2724316,452,3.143723163841808,left,fixation,3.0,,397.02109649122804,175.471921052631,,,,,4.0,10.911448504137766,23.853490117284412
12,2724772,32,,left,saccade,3.0,,,,427.279,180.30599999999998,706.699,279.607,,,
13,2724772,32,,right,saccade,,4.0,,,426.226,132.465,702.7660000000003,233.322,,,
14,2724808,776,3.152047435897436,left,fixation,4.0,,713.369492307692,298.313158974359,,,,,2.0,3.799236088936772,13.311227277712922
15,2724808,776,3.152047435897436,right,fixation,,5.0,727.005553846154,259.813892307692,,,,,1.0,3.606530099848224,5.492388369370897
16,2725588,28,,left,saccade,4.0,,,,707.375,310.038,440.161,377.787,,,
17,2725588,28,,right,saccade,,5.0,,,716.635,258.012,457.435,321.64099999999996,,,
18,2725620,108,3.2422222222222223,right,fixation,,6.0,438.096428571429,337.503107142857,,,,,1.0,8.54659181259471,28.245474487074873
19,2725620,116,3.243672413793103,left,fixation,5.0,,434.787366666667,389.742566666667,,,,,0.0,,
20,2725732,16,,right,saccade,,6.0,,,422.75699999999995,353.27099999999996,399.689,394.76099999999997,,,
21,2725740,0,,left,saccade,5.0,,,,415.29400000000004,400.73900000000003,415.29400000000004,400.73900000000003,,,
22,2725744,0,,left,fixation,6.0,,409.23699999999997,414.406,,,,,0.0,,
23,2725748,0,,left,saccade,6.0,,,,406.084,427.298,406.084,427.298,,,
24,2725752,928,3.2826158798283265,left,fixation,7.0,,398.829665236051,439.972579399142,,,,,10.0,5.2732743413698975,19.06647313369511
25,2725752,928,3.2826158798283265,right,fixation,,7.0,390.61430472102995,396.886708154506,,,,,7.0,6.267273314975675,17.766424241892942
26,2726684,40,,left,saccade,7.0,,,,436.621,440.162,868.215,528.715,,,
27,2726684,40,,right,saccade,,7.0,,,431.42400000000004,375.73900000000003,891.335,464.81300000000016,,,
28,2726728,800,3.2621902985074627,right,fixation,,8.0,944.233328358208,507.554547263682,,,,,11.0,7.189310455922801,29.069815638153386
29,2726728,804,3.2622883663366338,left,fixation,8.0,,932.9834504950501,539.940955445545,,,,,8.0,4.858318413669034,16.210287377223903
30,2727532,48,,right,saccade,,8.0,,,972.201,535.434,403.691,703.075,,,
31,2727536,44,,left,saccade,8.0,,,,934.013,539.674,374.274,693.919,,,
32,2727584,896,3.272183035714286,left,fixation,9.0,,388.795373333333,705.258177777778,,,,,7.0,4.6359976651912245,18.56646696159127
33,2727584,896,3.272183035714286,right,fixation,,9.0,401.485733333333,716.736102222222,,,,,3.0,6.329442349102948,16.063470603847403
34,2728484,32,,left,saccade,9.0,,,,397.97,733.48,632.3240000000002,775.5239999999999,,,
35,2728484,32,,right,saccade,,9.0,,,401.164,753.551,635.501,797.314,,,
36,2728520,512,3.3643007812500003,left,fixation,10.0,,662.02711627907,851.5186744186052,,,,,10.0,9.204430775312488,28.02275722684464
37,2728520,512,3.3643007812500003,right,fixation,,10.0,678.745689922481,836.2211395348842,,,,,1.0,3.5786534168283914,9.722301167933233
38,2729036,32,,left,saccade,10.0,,,,673.3810000000002,883.3960000000003,368.64099999999996,728.0880000000003,,,
39,2729036,32,,right,saccade,,10.0,,,691.012,841.7869999999997,410.51599999999996,727.3939999999999,,,
40,2729072,564,3.357675,right,fixation,,11.0,399.250915492958,720.378232394366,,,,,3.0,7.1463003312858175,23.10110168717374
41,2729072,568,3.3577163120567377,left,fixation,11.0,,386.223342657343,701.700286713286,,,,,5.0,4.819594881590182,15.716982607761825
42,2729640,68,,right,saccade,,11.0,,,418.316,711.405,1524.079,873.691,,,
43,2729644,64,,left,saccade,11.0,,,,415.644,697.6389999999999,1501.362,909.2080000000001,,,
44,2729712,764,3.399219072164948,left,fixation,12.0,,1514.489203125,935.397541666668,,,,,3.0,3.630707146850989,9.436620817123076
45,2729712,764,3.399219072164948,right,fixation,,12.0,1518.402421875,920.004671875,,,,,5.0,4.89216704943742,20.151214844987408
