,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2182009,52,,right,saccade,,1.0,,,382.25199999999995,645.052,579.607,430.855,,,
1,2182009,56,,left,saccade,1.0,,,,414.983,614.675,569.413,411.723,,,
2,2182065,184,3.8866847826086963,right,fixation,,1.0,586.689787234043,425.897042553191,,,,,0.0,,
3,2182069,180,3.8868,left,fixation,1.0,,607.771956521739,415.594956521739,,,,,1.0,6.937067796346732,24.1920246568988
4,2182253,28,,left,saccade,2.0,,,,604.919,405.351,602.4780000000002,263.53700000000003,,,
5,2182253,28,,right,saccade,,2.0,,,588.5459999999998,425.506,582.481,245.773,,,
6,2182285,96,3.8675625,left,fixation,2.0,,593.14012,238.46776,,,,,0.0,,
7,2182285,96,3.8675625,right,fixation,,2.0,541.6541599999998,243.69212000000002,,,,,1.0,4.822492892109271,23.344523576205248
8,2182385,24,,left,saccade,3.0,,,,582.637,225.352,499.04900000000004,139.654,,,
9,2182385,24,,right,saccade,,3.0,,,537.43,239.981,478.606,154.293,,,
10,2182413,1008,3.823988095238095,right,fixation,,3.0,506.215770750989,182.19087351778703,,,,,4.0,4.559416627493537,18.653659193750293
11,2182413,1012,3.8238754940711455,left,fixation,3.0,,532.907543307087,152.531271653543,,,,,5.0,4.663430892294686,18.418195339440338
12,2183425,20,,right,saccade,,4.0,,,551.994,181.99,452.108,185.83900000000003,,,
13,2183429,20,,left,saccade,4.0,,,,584.054,146.274,460.71,156.037,,,
14,2183449,260,3.780053846153846,right,fixation,,4.0,443.84069696969704,196.275287878788,,,,,4.0,4.3586171178093736,20.66856422937314
15,2183453,260,3.7795615384615378,left,fixation,4.0,,456.654863636364,155.940984848485,,,,,0.0,,
16,2183713,20,,right,saccade,,5.0,,,448.962,209.082,513.269,284.546,,,
17,2183717,16,,left,saccade,5.0,,,,455.22900000000004,163.63299999999995,493.26599999999996,224.178,,,
18,2183737,364,3.699527472527473,right,fixation,,5.0,528.395076086957,302.080260869565,,,,,2.0,3.7006639639949928,21.113907006640748
19,2183737,372,3.6984623655913977,left,fixation,5.0,,508.657393617021,248.870117021277,,,,,3.0,3.3129669837288542,9.081946173894707
20,2184105,12,,right,saccade,,6.0,,,526.339,296.313,498.598,256.514,,,
21,2184113,0,,left,saccade,6.0,,,,515.2040000000002,219.91400000000002,515.2040000000002,219.91400000000002,,,
22,2184117,476,3.683340336134453,left,fixation,6.0,,521.829466666667,166.490491666667,,,,,2.0,5.49037550489754,31.464933873967453
23,2184121,472,3.6835677966101694,right,fixation,,6.0,518.05243697479,194.876033613445,,,,,3.0,8.159472117974397,24.402372833494717
24,2184597,24,,left,saccade,7.0,,,,547.866,159.654,424.399,164.632,,,
25,2184597,24,,right,saccade,,7.0,,,531.368,154.61700000000005,410.775,158.928,,,
26,2184625,365,3.708385869565217,right,fixation,,7.0,435.02133695652196,204.71623913043496,,,,,2.0,6.862263924844703,14.718729217167182
27,2184625,369,3.7084946236559135,left,fixation,7.0,,448.2149569892469,163.221741935484,,,,,2.0,4.411882780327134,9.564350453181847
28,2184994,24,,right,saccade,,8.0,,,432.44800000000004,206.66400000000002,495.67,267.535,,,
29,2184998,20,,left,saccade,8.0,,,,456.23800000000006,154.05,467.92900000000003,244.53,,,
30,2185022,308,3.6514220779220783,left,fixation,8.0,,499.45658974359003,269.884333333333,,,,,0.0,,
31,2185022,308,3.6514220779220783,right,fixation,,8.0,532.274153846154,303.887025641026,,,,,1.0,6.0139489707032245,23.797105139070943
32,2185334,20,,right,saccade,,9.0,,,550.622,307.753,710.27,282.953,,,
33,2185334,24,,left,saccade,9.0,,,,514.947,273.568,701.829,262.35200000000003,,,
34,2185358,439,3.6426009174311926,right,fixation,,9.0,720.751144144144,264.066954954955,,,,,0.0,,
35,2185362,435,3.6423703703703705,left,fixation,9.0,,726.3842545454539,266.055190909091,,,,,0.0,,
36,2185801,28,,right,saccade,,10.0,,,724.832,268.85900000000004,557.987,194.972,,,
37,2185801,32,,left,saccade,10.0,,,,736.323,269.557,558.1619999999998,172.375,,,
38,2185833,952,3.7233248945147683,right,fixation,,10.0,506.856209205021,186.293774058578,,,,,3.0,5.2756414588563025,22.227773593071266
39,2185837,940,3.723337606837607,left,fixation,10.0,,517.2699618644069,168.343957627119,,,,,2.0,6.590075894044382,39.20845926771537
40,2186781,16,,left,saccade,11.0,,,,483.56699999999995,168.06400000000005,424.265,165.447,,,
41,2186789,4,,right,saccade,,11.0,,,451.634,209.15900000000002,438.717,209.15900000000002,,,
42,2186797,456,3.7916403508771936,right,fixation,,11.0,419.71006956521796,224.300626086957,,,,,2.0,3.971913291984008,13.146133708862168
43,2186801,916,3.823329694323143,left,fixation,11.0,,465.332,161.257091304348,,,,,3.0,4.6520947371484445,24.164128417765962
44,2187257,0,,right,saccade,,12.0,,,450.63800000000003,200.696,450.63800000000003,200.696,,,
45,2187261,452,3.8542610619469024,right,fixation,,12.0,487.767122807018,202.6215,,,,,3.0,6.6904296545822755,32.95140676420288
46,2187717,40,,right,saccade,,13.0,,,499.851,203.71,883.62,230.43,,,
47,2187721,40,,left,saccade,12.0,,,,512.094,166.956,875.939,222.90900000000002,,,
48,2187761,772,3.78560103626943,right,fixation,,13.0,945.482587628866,225.36578350515492,,,,,3.0,6.25869966784176,21.580975167035785
49,2187765,768,3.785244791666667,left,fixation,12.0,,954.647720207254,228.917683937824,,,,,2.0,8.117620105366555,35.88574354059378
50,2188537,20,,right,saccade,,14.0,,,967.8789999999999,201.632,1178.961,224.851,,,
