,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3271519,100,2.9914662640566427,right,fixation,,1.0,935.45873076923,405.9719230769229,,,,,0.0,,
1,3271519,104,2.992604841936775,left,fixation,1.0,,923.8969259259261,422.776037037037,,,,,0.0,,
2,3271623,24,,right,saccade,,1.0,,,925.893,400.977,796.03,410.441,,,
3,3271627,20,,left,saccade,1.0,,,,918.615,399.811,800.942,403.158,,,
4,3271651,136,3.0542647058823524,left,fixation,2.0,,801.8442,425.194228571429,,,,,0.0,,
5,3271651,136,3.0542647058823524,right,fixation,,2.0,789.888114285714,425.383085714286,,,,,0.0,,
6,3271791,32,,left,saccade,2.0,,,,809.9910000000001,434.344,536.0409999999998,384.725,,,
7,3271791,32,,right,saccade,,2.0,,,781.9789999999997,426.97900000000004,520.309,377.334,,,
8,3271827,132,3.0210303030303027,left,fixation,3.0,,526.830970588235,356.60208823529405,,,,,0.0,,
9,3271827,132,3.0210303030303027,right,fixation,,3.0,514.294117647059,365.890617647059,,,,,0.0,,
10,3271963,28,,left,saccade,3.0,,,,513.586,322.262,453.82800000000003,145.766,,,
11,3271963,28,,right,saccade,,3.0,,,509.21,358.042,479.97900000000004,190.043,,,
12,3271995,340,2.9996470588235296,right,fixation,,4.0,464.60665116279006,177.25765116279098,,,,,0.0,,
13,3271995,344,2.9997093023255816,left,fixation,4.0,,450.64391954022994,144.659724137931,,,,,0.0,,
14,3272339,28,,right,saccade,,4.0,,,464.971,160.644,685.375,207.107,,,
15,3272343,24,,left,saccade,4.0,,,,455.44199999999995,145.10299999999995,645.756,155.89700000000005,,,
16,3272371,128,3.012953125,left,fixation,5.0,,654.6650909090911,162.129212121212,,,,,0.0,,
17,3272371,488,3.035188524590164,right,fixation,,5.0,710.334666666666,269.335983739837,,,,,1.0,10.65059193451498,33.01260874272122
18,3272503,16,,left,saccade,5.0,,,,679.074,177.245,711.362,213.572,,,
19,3272523,336,3.045357142857143,left,fixation,6.0,,724.258247058824,230.253023529412,,,,,0.0,,
20,3272863,28,,left,saccade,6.0,,,,714.7660000000003,242.542,469.22900000000004,168.835,,,
21,3272863,28,,right,saccade,,5.0,,,726.153,284.745,493.24800000000016,225.412,,,
22,3272895,783,3.15906923076923,right,fixation,,6.0,506.133568527919,199.32353299492402,,,,,0.0,,
23,3272895,787,3.1591530612244902,left,fixation,7.0,,497.115388888889,140.190883838384,,,,,0.0,,
24,3273682,36,,right,saccade,,6.0,,,526.337,196.19799999999998,979.7610000000001,262.759,,,
25,3273686,36,,left,saccade,7.0,,,,535.627,171.855,954.679,214.313,,,
26,3273722,244,3.1309032258064513,right,fixation,,7.0,978.661677419355,283.527629032258,,,,,0.0,,
