,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1985557,12,3.701333333333333,left,fixation,1.0,,1475.894,616.64625,,,,,0.0,,
1,1985557,12,3.701333333333333,right,fixation,,1.0,1509.434,636.955,,,,,0.0,,
2,1985573,40,,right,saccade,,1.0,,,1509.434,637.054,1205.975,208.32299999999998,,,
3,1985573,44,,left,saccade,1.0,,,,1475.894,616.682,1146.43,206.549,,,
4,1985617,188,3.67125,right,fixation,,2.0,1180.6704375,198.94810416666698,,,,,0.0,,
5,1985621,184,3.6713802083333333,left,fixation,2.0,,1153.65,200.917914893617,,,,,0.0,,
6,1985809,48,,left,saccade,2.0,,,,1156.64,214.528,570.815,229.063,,,
7,1985809,48,,right,saccade,,2.0,,,1184.431,197.442,591.804,213.17,,,
8,1985861,236,3.624508620689656,right,fixation,,3.0,573.651383333333,228.30531666666698,,,,,1.0,4.679114769673589,7.906621086153088
9,1985861,528,3.590515267175572,left,fixation,3.0,,521.205466165414,237.56939097744305,,,,,2.0,4.956018200312339,28.19628852294402
10,1986101,8,,right,saccade,,3.0,,,546.433,238.282,522.711,242.011,,,
11,1986113,280,3.560685714285714,right,fixation,,4.0,501.769014084507,243.030028169014,,,,,0.0,,
12,1986393,20,,left,saccade,3.0,,,,474.59,219.34900000000002,475.275,132.96200000000002,,,
13,1986397,16,,right,saccade,,4.0,,,510.712,235.13,511.783,163.872,,,
14,1986417,896,3.4833777777777777,left,fixation,4.0,,489.84755555555495,148.366422222222,,,,,2.0,2.360743500403512,4.696617758544621
15,1986417,904,3.4840859030837006,right,fixation,,5.0,512.570964757709,165.092581497797,,,,,4.0,3.397008299166981,9.442029371176787
16,1987317,20,,left,saccade,4.0,,,,483.708,163.094,396.958,163.16899999999995,,,
17,1987325,16,,right,saccade,,5.0,,,497.195,163.18,430.673,166.706,,,
18,1987341,264,3.630848484848484,left,fixation,5.0,,393.064104477612,170.271626865672,,,,,1.0,1.9711093675615616,3.6341667545670298
19,1987345,260,3.631592307692308,right,fixation,,6.0,397.3210454545449,163.96053030303003,,,,,1.0,3.2642953382859585,15.96051330628183
20,1987609,20,,left,saccade,5.0,,,,401.88800000000003,182.49099999999999,500.845,207.597,,,
21,1987609,20,,right,saccade,,6.0,,,398.533,161.675,504.035,205.93,,,
22,1987633,412,3.765160194174757,left,fixation,6.0,,512.628865384615,244.730884615385,,,,,2.0,3.6404574666935803,10.729141201693981
23,1987633,412,3.765160194174757,right,fixation,,7.0,520.118307692308,239.67940384615397,,,,,2.0,3.2267245420287543,6.437177972714252
24,1988049,24,,left,saccade,6.0,,,,497.54699999999997,247.56599999999997,670.944,241.983,,,
25,1988049,24,,right,saccade,,7.0,,,524.106,242.22799999999998,702.0169999999997,242.334,,,
26,1988077,384,3.752688770999116,left,fixation,7.0,,696.1729278350522,254.948742268041,,,,,0.0,,
27,1988077,388,3.752688770999116,right,fixation,,8.0,708.074306122449,252.95243877551002,,,,,1.0,3.356369471285575,6.895905596801647
28,1988465,40,,left,saccade,7.0,,,,700.3430000000003,244.082,702.9989999999997,221.425,,,
29,1988469,40,,right,saccade,,8.0,,,720.8389999999997,267.313,743.7639999999999,240.743,,,
30,1988605,240,3.5942424790399485,left,fixation,8.0,,721.804327868853,243.571327868852,,,,,2.0,4.415117789264894,22.74059273883549
31,1988613,232,3.5942424790399468,right,fixation,,9.0,750.474322033898,260.75364406779704,,,,,1.0,5.0339328588865495,13.836962744764461
32,1988849,28,,left,saccade,8.0,,,,733.416,274.918,962.304,266.983,,,
33,1988849,28,,right,saccade,,9.0,,,763.297,266.569,999.953,264.663,,,
34,1988881,232,3.5886982758620687,right,fixation,,10.0,999.241389830508,249.1564067796609,,,,,0.0,,
35,1988881,236,3.5881271186440684,left,fixation,9.0,,972.746933333333,275.74551666666696,,,,,1.0,5.3500839141913445,22.82259976426873
36,1989117,28,,right,saccade,,10.0,,,1001.1139999999999,251.99400000000003,1188.098,251.403,,,
37,1989121,28,,left,saccade,9.0,,,,977.183,289.535,1152.702,257.16900000000004,,,
38,1989149,444,3.5474774774774773,right,fixation,,11.0,1191.56330357143,240.19151785714297,,,,,3.0,3.005404064286686,8.767588177176883
39,1989153,444,3.5476891891891893,left,fixation,10.0,,1171.43908928571,250.03158035714299,,,,,1.0,3.0696558846229745,12.762639617257836
40,1989597,40,,right,saccade,,11.0,,,1190.651,237.708,1471.0,86.134,,,
41,1989601,36,,left,saccade,10.0,,,,1176.0430000000001,251.16,1430.34,106.72399999999999,,,
42,1989641,168,3.6904523809523817,left,fixation,11.0,,1461.41660465116,90.4014186046512,,,,,1.0,3.7545814976136027,27.463772373802065
43,1989641,172,3.691220930232559,right,fixation,,12.0,1470.35213636364,65.3752045454546,,,,,2.0,3.530376010142353,11.336260616747671
44,1989813,40,,left,saccade,11.0,,,,1474.954,89.37700000000002,1005.018,57.13,,,
45,1989817,40,,right,saccade,,12.0,,,1463.233,72.434,1014.694,46.483999999999995,,,
46,1989857,1228,3.6424676870748303,left,fixation,12.0,,966.767016233767,64.2800551948053,,,,,3.0,3.7364609066033267,14.47998959858302
47,1989861,1224,3.642133105802048,right,fixation,,13.0,966.568983713356,68.4048013029316,,,,,3.0,3.8291646758289537,10.276511691270949
48,1991089,44,,right,saccade,,13.0,,,964.2810000000001,71.339,474.225,102.223,,,
49,1991089,76,,left,saccade,12.0,,,,964.087,58.18899999999999,465.45599999999996,95.75200000000001,,,
50,1991137,256,3.670258741258741,right,fixation,,14.0,497.02203076923104,154.348769230769,,,,,2.0,4.346487322066691,10.919509750778596
51,1991189,200,3.6828496503496497,left,fixation,13.0,,484.01637254902,133.93211764705902,,,,,1.0,5.600638864847879,16.59826599377175
52,1991393,48,,left,saccade,13.0,,,,487.332,138.495,525.882,117.89,,,
53,1991397,52,,right,saccade,,14.0,,,510.772,159.19,494.55699999999996,178.201,,,
54,1991545,0,,right,fixation,,15.0,506.464,178.201,,,,,0.0,,
55,1991549,4,,right,saccade,,15.0,,,506.655,178.201,507.51199999999994,168.615,,,
56,1991557,0,,right,fixation,,16.0,507.708,152.292,,,,,0.0,,
57,1991557,247,3.720904403839888,left,fixation,14.0,,531.60453968254,155.052698412698,,,,,3.0,4.461949045250764,13.368996305595605
58,1991561,0,,right,saccade,,16.0,,,526.067,136.74,526.067,136.74,,,
59,1991565,239,3.720904403839888,right,fixation,,17.0,550.995524590164,164.348409836066,,,,,1.0,2.847165047122412,8.136331913092054
60,1991808,44,,right,saccade,,17.0,,,559.748,164.748,1209.213,194.233,,,
61,1991808,48,,left,saccade,14.0,,,,528.872,159.542,1167.755,194.21599999999998,,,
62,1991856,1857,3.7459822961373392,right,fixation,,18.0,1199.54193118279,224.429632258065,,,,,3.0,3.203567553240909,8.707242247939398
63,1991860,1857,3.7461990343347638,left,fixation,15.0,,1180.0443849462401,241.209913978495,,,,,15.0,3.935136422962507,12.950762718634154
64,1993717,32,,right,saccade,,18.0,,,1205.132,253.9,1439.807,256.015,,,
65,1993721,28,,left,saccade,15.0,,,,1193.691,300.719,1395.3129999999999,294.803,,,
66,1993753,271,3.860910447761194,left,fixation,16.0,,1418.58150724638,269.23400000000004,,,,,2.0,3.7545638845465765,13.423079587944892
67,1993753,275,3.8601397058823532,right,fixation,,19.0,1435.4134,261.34652857142896,,,,,0.0,,
68,1994028,56,,left,saccade,16.0,,,,1425.257,243.21900000000002,529.664,227.739,,,
69,1994032,60,,right,saccade,,19.0,,,1426.693,265.748,559.505,253.042,,,
