,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3856175,52,3.8177857142857134,left,fixation,1.0,,400.330142857143,505.52378571428596,,,,,0.0,,
1,3856175,52,3.8177857142857134,right,fixation,,1.0,415.39178571428596,518.372714285714,,,,,0.0,,
2,3856231,32,,left,saccade,1.0,,,,413.12699999999995,514.169,433.01800000000003,142.336,,,
3,3856231,32,,right,saccade,,1.0,,,412.838,513.11,438.46,165.56799999999996,,,
4,3856267,1419,3.7675663841807907,left,fixation,2.0,,422.538867977528,141.72585112359502,,,,,1.0,8.030674921477306,26.576087992780327
5,3856267,1999,3.8146022044088177,right,fixation,,2.0,422.187610778443,158.205239520958,,,,,13.0,6.507421410722264,19.51072595317465
6,3857690,0,,left,saccade,2.0,,,,417.705,194.97799999999998,417.705,194.97799999999998,,,
7,3857694,576,3.930295138888889,left,fixation,3.0,,411.98827586206886,182.110944827586,,,,,3.0,5.319196993993415,22.21559909428213
8,3858270,32,,right,saccade,,2.0,,,469.662,171.735,695.659,267.817,,,
9,3858274,28,,left,saccade,3.0,,,,440.101,149.428,649.168,244.245,,,
10,3858306,200,3.90126,left,fixation,4.0,,673.998254901961,257.651254901961,,,,,1.0,5.685102911215547,14.294712449014233
11,3858306,200,3.90126,right,fixation,,3.0,717.299411764706,285.802823529412,,,,,0.0,,
12,3858510,24,,left,saccade,4.0,,,,681.123,290.435,859.64,295.061,,,
13,3858510,24,,right,saccade,,3.0,,,728.2230000000003,303.343,890.987,303.29,,,
14,3858538,472,3.7903855932203374,left,fixation,5.0,,902.9001764705881,270.14206722689096,,,,,3.0,3.7218089142798685,11.998313444329552
15,3858538,476,3.789739495798319,right,fixation,,4.0,942.4037083333328,291.651,,,,,5.0,4.5967343020730045,12.210924800419535
16,3859014,28,,left,saccade,5.0,,,,932.758,268.63599999999997,1170.557,273.461,,,
17,3859018,24,,right,saccade,,4.0,,,973.0980000000001,298.767,1204.4189999999999,308.686,,,
18,3859046,440,3.7046136363636366,left,fixation,6.0,,1189.0902252252301,254.64963963964001,,,,,3.0,4.031955875101874,9.877403653160098
19,3859046,440,3.7046136363636366,right,fixation,,5.0,1212.90128828829,296.63737837837897,,,,,2.0,5.2537780992836645,15.278828178445467
