,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2572142,324,3.2266509146341456,left,fixation,1.0,,544.393048780488,281.419829268293,,,,,0.0,,
1,2572142,324,3.2266509146341456,right,fixation,,1.0,561.524817073171,269.448695121951,,,,,0.0,,
2,2572470,28,,left,saccade,1.0,,,,534.0840000000002,269.45799999999997,439.402,196.93400000000003,,,
3,2572470,32,,right,saccade,,1.0,,,552.84,273.437,447.945,190.71599999999998,,,
4,2572502,188,3.218244444444444,left,fixation,2.0,,419.454125,192.09275,,,,,0.0,,
5,2572506,188,3.21806976744186,right,fixation,,2.0,415.134208333333,161.799833333333,,,,,0.0,,
6,2572694,40,,left,saccade,2.0,,,,402.86300000000006,164.067,389.70599999999996,102.48100000000001,,,
7,2572698,40,,right,saccade,,2.0,,,407.33099999999996,153.30100000000004,395.914,105.56299999999999,,,
8,2572857,953,3.2500805860805864,right,fixation,,3.0,416.097062761506,169.677460251046,,,,,1.0,7.997084199534518,31.786243471036354
9,2572861,949,3.2500805860805864,left,fixation,3.0,,414.202777310924,168.46982773109198,,,,,1.0,15.20138648099062,23.936567047093444
10,2573814,40,,left,saccade,3.0,,,,413.777,220.87099999999998,710.2719999999997,250.612,,,
11,2573814,44,,right,saccade,,3.0,,,408.209,206.78,744.684,250.649,,,
12,2573858,612,3.2801928104575167,left,fixation,4.0,,722.341915584416,273.346792207792,,,,,0.0,,
13,2573862,608,3.280253289473684,right,fixation,,4.0,736.1643071895419,281.231202614379,,,,,0.0,,
14,2574474,28,,left,saccade,4.0,,,,726.807,297.19,920.9730000000001,296.74,,,
15,2574474,32,,right,saccade,,4.0,,,719.709,269.38,933.4889999999999,274.726,,,
16,2574506,223,3.2567909090909084,left,fixation,5.0,,944.473228070175,279.612736842105,,,,,0.0,,
17,2574510,223,3.256454545454545,right,fixation,,5.0,956.567228070175,278.35559649122797,,,,,0.0,,
18,2574733,32,,left,saccade,5.0,,,,944.3,290.788,1146.4389999999999,290.332,,,
19,2574737,28,,right,saccade,,5.0,,,968.4119999999999,289.812,1160.452,287.353,,,
20,2574769,468,3.243418803418804,left,fixation,6.0,,1176.06397457627,294.329169491525,,,,,1.0,6.7993026378527235,24.79421811632702
21,2574769,468,3.243418803418804,right,fixation,,6.0,1191.5130593220301,298.834271186441,,,,,0.0,,
22,2575241,64,,right,saccade,,6.0,,,1192.945,300.45799999999997,428.024,203.79,,,
23,2575241,68,,left,saccade,6.0,,,,1180.248,304.936,425.351,204.453,,,
24,2575309,1040,3.3578065134099617,right,fixation,,7.0,439.806697318008,156.898563218391,,,,,1.0,10.222904620942561,37.9896010244909
25,2575313,429,3.32344495412844,left,fixation,7.0,,406.29987962962997,183.726037037037,,,,,0.0,,
26,2575746,0,,left,saccade,7.0,,,,433.79699999999997,170.495,433.79699999999997,170.495,,,
27,2575750,599,3.3836677852349,left,fixation,8.0,,453.801357615894,151.215165562914,,,,,1.0,7.615754184948162,15.485910564122465
28,2576353,64,,left,saccade,8.0,,,,447.24199999999996,154.42,1158.52,259.964,,,
29,2576353,68,,right,saccade,,7.0,,,458.38199999999995,147.67,1161.848,257.907,,,
30,2576421,197,3.3794699999999995,left,fixation,9.0,,1163.18408,274.91572,,,,,0.0,,
31,2576425,189,3.3793125,right,fixation,,8.0,1168.48145833333,270.872333333333,,,,,0.0,,
32,2576618,24,,right,saccade,,8.0,,,1169.535,258.29900000000004,1279.711,261.95799999999997,,,
33,2576622,20,,left,saccade,9.0,,,,1164.876,290.478,1248.286,291.694,,,
34,2576646,56,3.3673928571428573,left,fixation,10.0,,1280.9374,292.0284,,,,,0.0,,
35,2576646,56,3.3673928571428573,right,fixation,,9.0,1303.61946666667,272.287466666667,,,,,0.0,,
36,2576706,16,,right,saccade,,9.0,,,1315.4029999999998,286.288,1373.362,294.3,,,
37,2576706,20,,left,saccade,10.0,,,,1297.681,290.825,1384.309,296.285,,,
38,2576726,299,3.327263243691122,right,fixation,,10.0,1422.1150263157901,309.75680263157903,,,,,0.0,,
39,2576730,303,3.3267270612680204,left,fixation,11.0,,1411.7359090909101,314.425337662338,,,,,0.0,,
40,2577029,44,,right,saccade,,10.0,,,1431.604,314.441,788.41,202.132,,,
41,2577037,48,,left,saccade,11.0,,,,1409.8329999999999,311.32599999999996,781.1510000000003,203.074,,,
42,2577221,84,,right,fixation,,11.0,790.264863636364,236.022181818182,,,,,1.0,8.988630863794306,29.14671475483989
43,2577229,76,,left,fixation,12.0,,784.87335,239.19285,,,,,1.0,6.309166446528424,14.824389161108792
44,2577309,24,,right,saccade,,11.0,,,783.8639999999997,253.53799999999998,698.938,266.91900000000004,,,
45,2577309,32,,left,saccade,12.0,,,,758.9019999999997,267.95599999999996,662.689,274.36400000000003,,,
46,2577337,104,3.1985192307692305,right,fixation,,12.0,656.2967777777781,271.75914814814803,,,,,0.0,,
47,2577345,92,3.19886956521739,left,fixation,13.0,,653.371875,295.285375,,,,,0.0,,
48,2577441,32,,left,saccade,13.0,,,,656.073,310.472,500.713,310.994,,,
49,2577445,28,,right,saccade,,12.0,,,652.221,273.755,490.189,282.452,,,
50,2577477,192,3.1870104166666664,left,fixation,14.0,,465.246081632653,296.903285714286,,,,,0.0,,
51,2577477,200,3.18608,right,fixation,,13.0,461.4078431372551,298.924803921569,,,,,0.0,,
52,2577673,28,,left,saccade,14.0,,,,458.691,304.175,416.675,391.63300000000004,,,
53,2577681,24,,right,saccade,,13.0,,,446.286,321.343,401.70099999999996,384.56,,,
54,2577705,2912,3.2491236263736263,left,fixation,15.0,,402.842010973937,446.24336076817497,,,,,2.0,7.503196024972849,20.926677336470423
55,2577709,2908,3.249247592847319,right,fixation,,14.0,399.56820467033,426.373432692308,,,,,2.0,7.4373475623771705,23.13985559954229
56,2580621,40,,left,saccade,15.0,,,,404.041,467.355,700.0939999999997,556.846,,,
