,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,4126756,192,4.151602040816327,left,fixation,1.0,,540.3643061224491,713.528489795918,,,,,0.0,,
1,4126756,196,4.15051,right,fixation,,1.0,537.4828,779.1171,,,,,0.0,,
2,4126952,36,,left,saccade,1.0,,,,558.1080000000002,725.302,537.852,220.71099999999998,,,
3,4126956,40,,right,saccade,,1.0,,,535.65,789.6260000000003,537.534,261.938,,,
4,4126992,160,4.0020250000000015,left,fixation,2.0,,515.564243902439,211.145829268293,,,,,2.0,4.777413013314405,19.906540792841614
5,4127000,152,4.001789473684212,right,fixation,,2.0,508.746076923077,227.51889743589692,,,,,3.0,3.692052236682712,10.453004299136106
6,4127156,52,,left,saccade,2.0,,,,508.45599999999996,185.928,1370.0320000000004,154.614,,,
7,4127156,52,,right,saccade,,2.0,,,522.7819999999998,221.729,1370.264,202.885,,,
8,4127212,172,3.944813953488372,left,fixation,3.0,,1380.90577272727,153.76527272727301,,,,,0.0,,
9,4127212,172,3.944813953488372,right,fixation,,3.0,1370.9941363636399,191.2185,,,,,1.0,2.6655584051210623,7.019608678551875
10,4127388,36,,left,saccade,3.0,,,,1380.825,148.715,1050.299,94.48700000000001,,,
11,4127388,40,,right,saccade,,3.0,,,1370.0870000000002,176.395,1061.755,102.959,,,
12,4127428,119,3.921551724137931,left,fixation,4.0,,1034.38806451613,95.80345161290319,,,,,0.0,,
13,4127432,111,3.9214814814814813,right,fixation,,4.0,1048.12844827586,100.369379310345,,,,,1.0,2.722208304953025,6.625785085557588
14,4127547,36,,right,saccade,,4.0,,,1051.275,102.64299999999999,1447.158,121.506,,,
15,4127551,32,,left,saccade,4.0,,,,1031.193,100.546,1439.148,101.23,,,
16,4127587,212,3.936754716981132,left,fixation,5.0,,1448.2890925925901,75.56301851851849,,,,,1.0,4.0774730532524845,12.647999090765294
17,4127587,212,3.936754716981132,right,fixation,,5.0,1463.94572222222,113.105962962963,,,,,1.0,2.8345613074257923,5.347333260607441
18,4127803,12,,right,saccade,,5.0,,,1455.364,121.964,1404.7979999999998,122.381,,,
19,4127803,16,,left,saccade,5.0,,,,1442.35,94.22399999999999,1376.435,90.039,,,
20,4127819,285,4.0123402777777795,right,fixation,,6.0,1387.93544444444,111.66098611111099,,,,,3.0,3.1824951616550563,11.916027824397814
21,4127823,281,4.0133028169014064,left,fixation,6.0,,1372.37083098592,79.6306056338028,,,,,0.0,,
22,4128108,32,,left,saccade,6.0,,,,1364.8270000000002,88.529,948.258,42.425,,,
23,4128108,32,,right,saccade,,6.0,,,1380.604,123.198,994.289,50.537,,,
24,4128144,360,4.033727777777777,left,fixation,7.0,,935.6677472527472,32.041109890109894,,,,,0.0,,
25,4128144,360,4.033727777777777,right,fixation,,7.0,968.718989010988,45.130879120879094,,,,,0.0,,
26,4128508,36,,left,saccade,7.0,,,,932.8430000000001,36.027,470.49,157.68,,,
27,4128508,36,,right,saccade,,7.0,,,952.502,47.714,486.41900000000004,166.334,,,
28,4128548,604,4.250102649006623,left,fixation,8.0,,444.980460526316,185.266848684211,,,,,2.0,3.70766485168905,10.684235158997131
29,4128548,604,4.250102649006623,right,fixation,,8.0,458.575967105263,204.77894736842097,,,,,7.0,3.2661024445295928,9.307818412270716
30,4129155,16,,right,saccade,,8.0,,,457.494,221.558,561.43,223.34,,,
31,4129155,20,,left,saccade,8.0,,,,441.816,197.273,541.182,197.28,,,
32,4129175,313,4.191651898734177,right,fixation,,9.0,540.474050632911,227.708987341772,,,,,1.0,2.8255029149201225,5.181228618773782
33,4129179,309,4.19049358974359,left,fixation,9.0,,528.2556794871799,192.280115384615,,,,,4.0,3.8403291352098914,12.737617365518453
34,4129492,20,,left,saccade,9.0,,,,530.23,205.305,636.85,190.84900000000002,,,
35,4129492,20,,right,saccade,,9.0,,,535.151,232.00799999999998,653.128,224.62400000000002,,,
36,4129516,404,4.019267326732674,left,fixation,10.0,,626.275401960784,183.27937254902,,,,,1.0,3.6402970002459867,10.684724844374808
37,4129516,404,4.019267326732674,right,fixation,,10.0,638.89362745098,215.94814705882303,,,,,2.0,5.185786141775517,13.230625485450359
38,4129924,16,,left,saccade,10.0,,,,606.995,165.91299999999995,532.325,174.16099999999997,,,
39,4129924,16,,right,saccade,,10.0,,,625.464,212.467,529.382,222.175,,,
40,4129944,572,4.012300699300701,right,fixation,,11.0,488.989111111111,214.78192361111093,,,,,3.0,7.016727524579406,26.33588103252524
41,4129944,576,4.0122881944444435,left,fixation,11.0,,481.91478620689696,192.086765517241,,,,,4.0,5.117944560290408,14.913315677626915
42,4130520,27,,right,saccade,,11.0,,,439.462,202.77,770.8510000000001,204.502,,,
43,4130523,28,,left,saccade,11.0,,,,447.81199999999995,177.984,764.76,180.34599999999998,,,
44,4130551,848,4.020415094339622,right,fixation,,12.0,798.4792253521132,233.64244600939,,,,,8.0,5.259236090490793,21.726677051440557
45,4130555,456,4.0231052631578965,left,fixation,12.0,,763.0109739130438,199.782469565217,,,,,2.0,11.043593288700542,23.940836700947195
46,4131015,0,,left,saccade,12.0,,,,792.997,197.24,792.997,197.24,,,
47,4131019,376,4.017468085106383,left,fixation,13.0,,838.510884210527,219.813852631579,,,,,4.0,6.354103584306857,22.527333025936013
48,4131399,28,,left,saccade,13.0,,,,851.237,222.55900000000003,653.996,207.132,,,
49,4131403,28,,right,saccade,,12.0,,,849.4739999999997,248.25799999999998,656.1010000000001,241.76,,,
50,4131431,356,3.955275280898877,left,fixation,14.0,,628.9881,182.212566666667,,,,,0.0,,
51,4131435,356,3.954578651685393,right,fixation,,13.0,644.933044444444,217.635588888889,,,,,3.0,3.127991020046062,9.395665459171042
52,4131791,12,,left,saccade,14.0,,,,637.489,190.59099999999998,685.523,192.24200000000002,,,
53,4131795,12,,right,saccade,,13.0,,,658.6039999999998,226.47799999999998,704.971,225.328,,,
54,4131807,520,3.80345,left,fixation,15.0,,741.5182824427492,206.14496946564896,,,,,1.0,9.06511268851939,33.016927249518574
55,4131811,516,3.8026472868217054,right,fixation,,14.0,752.438215384615,229.419761538461,,,,,3.0,4.2808252308560775,21.500846873890435
56,4132331,28,,left,saccade,15.0,,,,753.48,211.46900000000002,476.55300000000005,197.86599999999999,,,
57,4132331,28,,right,saccade,,14.0,,,766.687,233.378,504.102,217.667,,,
58,4132363,336,3.759559523809524,left,fixation,16.0,,432.4465294117649,185.377176470588,,,,,1.0,2.801340120767595,6.150259831909546
59,4132363,336,3.759559523809524,right,fixation,,15.0,447.710223529412,200.197952941176,,,,,1.0,3.5986794530154533,13.173037652720796
60,4132703,28,,left,saccade,16.0,,,,428.061,195.229,648.634,193.30200000000002,,,
61,4132703,28,,right,saccade,,15.0,,,442.662,204.097,674.832,205.97099999999998,,,
62,4132735,196,3.7743367346938776,left,fixation,17.0,,669.33326,198.5828,,,,,0.0,,
63,4132735,196,3.7743367346938776,right,fixation,,16.0,690.92922,209.69556,,,,,1.0,2.4966791332576967,5.675151539826878
64,4132935,12,,left,saccade,17.0,,,,695.038,203.437,735.6189999999997,203.437,,,
65,4132935,12,,right,saccade,,16.0,,,711.449,213.99099999999999,754.337,214.361,,,
66,4132951,536,3.813630597014925,left,fixation,18.0,,759.1338222222231,209.15531851851898,,,,,2.0,3.6026708931595715,12.281500160709625
67,4132951,536,3.813630597014925,right,fixation,,17.0,768.1072370370372,221.813422222222,,,,,2.0,2.5563289065714665,6.290646105464614
68,4133491,44,,left,saccade,18.0,,,,769.508,203.185,445.22,168.558,,,
69,4133491,44,,right,saccade,,17.0,,,770.318,216.2,470.542,203.292,,,
70,4133539,8,3.85225,left,fixation,19.0,,440.097666666667,163.87900000000005,,,,,0.0,,
71,4133539,404,3.898430693069306,right,fixation,,18.0,438.975970588236,188.34210784313703,,,,,3.0,3.6506542937416673,24.75573629643162
72,4133551,16,,left,saccade,19.0,,,,429.029,162.472,365.278,128.066,,,
73,4133571,140,3.901614285714286,left,fixation,20.0,,369.237305555556,136.192388888889,,,,,1.0,3.0686386458638193,6.525054865669729
74,4133715,8,,left,saccade,20.0,,,,395.81,146.218,417.425,155.52,,,
75,4133727,216,3.901907407407408,left,fixation,21.0,,431.22792727272696,160.788618181818,,,,,1.0,3.633288378926791,16.788069156397942
76,4133947,16,,left,saccade,21.0,,,,436.634,166.363,542.288,160.843,,,
77,4133947,16,,right,saccade,,18.0,,,461.04400000000004,200.82,532.965,207.017,,,
78,4133967,172,3.871674418604652,left,fixation,22.0,,546.852454545455,181.56988636363602,,,,,0.0,,
79,4133967,176,3.8712045454545456,right,fixation,,19.0,561.9830000000002,217.4402,,,,,1.0,3.418716722364952,13.393238928653496
80,4134143,16,,left,saccade,22.0,,,,549.747,183.253,643.0740000000002,180.765,,,
81,4134147,16,,right,saccade,,19.0,,,587.682,220.59099999999998,671.635,213.861,,,
82,4134163,420,3.8673428571428574,left,fixation,23.0,,644.193264150943,188.353018867924,,,,,1.0,3.749348573048706,7.884884590151058
83,4134167,412,3.867033980582524,right,fixation,,20.0,665.6598557692299,210.031038461538,,,,,5.0,3.5319618499219403,11.944099015474787
84,4134583,24,,right,saccade,,20.0,,,639.996,207.209,849.097,217.355,,,
85,4134587,20,,left,saccade,23.0,,,,635.203,193.554,843.539,203.37400000000002,,,
86,4134611,432,3.9162824074074085,left,fixation,24.0,,847.416477064221,207.108926605505,,,,,0.0,,
87,4134611,436,3.9161146788990826,right,fixation,,21.0,849.87350909091,231.39412727272702,,,,,1.0,2.5898026522841144,4.1110321088505
88,4135047,24,,left,saccade,24.0,,,,835.556,221.77200000000002,629.373,208.632,,,
89,4135051,20,,right,saccade,,21.0,,,828.3860000000003,239.495,629.637,224.62099999999998,,,
90,4135075,656,3.93909756097561,left,fixation,25.0,,629.346987878788,167.130703030303,,,,,2.0,4.0594073119323895,8.687735943425396
91,4135075,656,3.93909756097561,right,fixation,,22.0,641.205896969697,213.59086666666698,,,,,4.0,3.355473937245502,8.585034878240075
92,4135735,20,,right,saccade,,22.0,,,648.2280000000002,211.37900000000002,841.082,225.382,,,
93,4135735,24,,left,saccade,25.0,,,,630.98,173.706,844.893,189.826,,,
94,4135759,424,3.8672735849056608,right,fixation,,23.0,844.683018691589,235.69523364486,,,,,0.0,,
95,4135763,420,3.866790476190476,left,fixation,26.0,,842.5585,214.222339622641,,,,,2.0,3.651453770159861,10.87638594682538
96,4136187,20,,left,saccade,26.0,,,,820.9989999999997,210.067,639.369,206.75599999999997,,,
97,4136187,20,,right,saccade,,23.0,,,833.181,227.16099999999997,663.438,222.81799999999998,,,
98,4136211,232,3.8402499999999993,left,fixation,27.0,,622.701983050848,201.008169491525,,,,,0.0,,
99,4136211,232,3.8402499999999993,right,fixation,,24.0,654.555440677966,229.38688135593202,,,,,0.0,,
100,4136447,16,,left,saccade,27.0,,,,617.511,199.428,522.2280000000002,198.42700000000002,,,
101,4136447,16,,right,saccade,,24.0,,,647.363,235.25799999999998,567.629,235.46599999999998,,,
102,4136467,304,3.8455197368421072,right,fixation,,25.0,534.759818181818,224.49485714285703,,,,,1.0,3.378339093071882,18.63528534796293
103,4136467,308,3.845584415584416,left,fixation,28.0,,516.672294871795,193.51508974358998,,,,,0.0,,
104,4136775,20,,right,saccade,,25.0,,,507.895,219.766,636.1709999999998,217.81099999999998,,,
105,4136779,20,,left,saccade,28.0,,,,514.22,183.604,634.4590000000002,179.835,,,
106,4136799,940,3.8993559322033895,right,fixation,,26.0,650.779046610169,210.74081355932202,,,,,3.0,4.68139876315806,26.180280276442137
107,4136803,936,3.8995340425531912,left,fixation,29.0,,636.839574468084,180.78917446808498,,,,,3.0,5.568576593670674,29.72026759336524
108,4137743,8,,left,saccade,29.0,,,,696.4960000000003,189.519,718.665,193.545,,,
109,4137743,12,,right,saccade,,26.0,,,709.2719999999997,196.37400000000002,748.6489999999999,199.885,,,
110,4137755,372,3.9187311827957005,left,fixation,30.0,,762.514989361702,203.014989361702,,,,,1.0,6.50962140902905,30.412758178106717
111,4137759,368,3.9184456521739133,right,fixation,,27.0,776.418580645161,219.72038709677398,,,,,2.0,5.159823468604777,28.339841065035486
112,4138131,20,,left,saccade,30.0,,,,782.797,208.91400000000002,602.567,202.705,,,
113,4138131,20,,right,saccade,,27.0,,,798.265,229.233,623.183,226.142,,,
114,4138155,244,3.88772131147541,left,fixation,31.0,,599.122919354839,176.770032258064,,,,,0.0,,
115,4138155,244,3.88772131147541,right,fixation,,28.0,612.201435483871,207.66029032258098,,,,,0.0,,
116,4138403,48,,right,saccade,,28.0,,,619.645,202.51,1328.991,190.894,,,
117,4138403,52,,left,saccade,31.0,,,,599.321,174.018,1332.951,173.63099999999997,,,
118,4138455,976,3.827502049180328,right,fixation,,29.0,1394.79422040816,179.43522448979596,,,,,4.0,5.291156054370159,19.30524581819552
119,4138459,972,3.8274012345679016,left,fixation,32.0,,1399.53023770492,156.223200819672,,,,,5.0,5.826133375192758,18.47951387849249
120,4139435,48,,left,saccade,32.0,,,,1425.993,170.09599999999998,660.7080000000002,177.51,,,
121,4139435,48,,right,saccade,,29.0,,,1425.955,175.68200000000004,690.1419999999997,193.71900000000002,,,
122,4139487,184,3.7595326086956518,right,fixation,,30.0,672.67129787234,214.90395744680904,,,,,0.0,,
123,4139487,188,3.759840425531914,left,fixation,33.0,,651.6023333333329,190.78835416666698,,,,,0.0,,
124,4139675,20,,right,saccade,,30.0,,,662.3589999999998,219.96599999999998,573.754,224.271,,,
125,4139679,16,,left,saccade,33.0,,,,641.374,190.57299999999998,544.234,198.94299999999998,,,
126,4139699,264,3.859901515151515,left,fixation,34.0,,528.05647761194,203.955104477612,,,,,1.0,2.980848443722762,6.642725043233364
127,4139699,264,3.859901515151515,right,fixation,,31.0,558.862179104478,228.191895522388,,,,,1.0,2.7189551965987033,5.978723944120532
128,4139967,24,,right,saccade,,31.0,,,569.573,239.278,757.748,220.171,,,
129,4139967,28,,left,saccade,34.0,,,,543.557,204.519,739.076,183.118,,,
130,4139995,308,3.882435064935065,right,fixation,,32.0,769.521141025641,212.91060256410304,,,,,3.0,3.6463741951494937,12.224087680628495
131,4139999,304,3.8821052631578943,left,fixation,35.0,,753.184779220779,198.40451948051896,,,,,0.0,,
132,4140307,16,,left,saccade,35.0,,,,763.706,217.40400000000002,858.45,218.11900000000003,,,
133,4140307,16,,right,saccade,,32.0,,,778.515,215.217,854.1410000000003,216.574,,,
134,4140327,492,3.8696068548387093,left,fixation,36.0,,848.1833306451607,218.455677419355,,,,,2.0,3.333682576378536,12.950323209772131
135,4140327,492,3.8696068548387093,right,fixation,,33.0,856.919443548388,223.792629032258,,,,,1.0,4.070569118003577,29.396338156307806
136,4140823,16,,left,saccade,36.0,,,,839.557,216.95,767.66,212.525,,,
137,4140823,16,,right,saccade,,33.0,,,838.7180000000003,221.396,774.5219999999997,221.396,,,
138,4140843,228,3.8823947368421066,right,fixation,,34.0,765.0333620689661,223.788672413793,,,,,2.0,2.3896688271923456,5.457039055443443
139,4140843,232,3.88219827586207,left,fixation,37.0,,745.828016949153,196.029338983051,,,,,0.0,,
140,4141075,20,,right,saccade,,34.0,,,766.575,226.267,648.9580000000002,222.18400000000003,,,
141,4141079,16,,left,saccade,37.0,,,,738.1210000000003,204.114,623.35,201.125,,,
142,4141099,364,3.8690494505494497,left,fixation,38.0,,617.024336956522,183.79223913043492,,,,,1.0,4.3142801672018285,30.00556450060553
143,4141099,364,3.8690494505494497,right,fixation,,35.0,638.674858695652,216.82222826087,,,,,1.0,4.298421945577462,29.991100363274413
144,4141467,20,,left,saccade,38.0,,,,639.043,200.30599999999998,481.48,226.108,,,
145,4141467,20,,right,saccade,,35.0,,,657.238,210.68599999999998,494.066,245.668,,,
146,4141491,68,3.8050882352941175,right,fixation,,36.0,489.749277777778,264.94133333333303,,,,,0.0,,
147,4141491,72,3.8048055555555553,left,fixation,39.0,,468.917631578947,250.394526315789,,,,,2.0,4.4354302884972086,10.746214332510906
148,4141563,16,,right,saccade,,36.0,,,489.974,271.089,439.409,316.282,,,
149,4141567,16,,left,saccade,39.0,,,,461.19,256.426,439.101,312.27099999999996,,,
150,4141583,168,3.7856666666666663,right,fixation,,37.0,436.442976744186,335.760232558139,,,,,2.0,2.5113504083191813,5.629577205919786
151,4141587,164,3.785536585365855,left,fixation,40.0,,425.748357142857,313.20719047619,,,,,0.0,,
152,4141755,20,,right,saccade,,37.0,,,431.36699999999996,331.819,536.193,235.989,,,
153,4141755,24,,left,saccade,40.0,,,,421.605,297.455,493.154,177.975,,,
154,4141779,711,3.7943333333333333,right,fixation,,38.0,544.917083798883,216.120547486034,,,,,9.0,4.523625138186712,15.594412370060622
155,4141783,703,3.7939428571428566,left,fixation,41.0,,526.344446327683,179.76641242937905,,,,,3.0,5.885194764800183,34.19148325887466
156,4142490,16,,left,saccade,41.0,,,,511.782,200.253,458.92699999999996,182.609,,,
157,4142494,8,,right,saccade,,38.0,,,492.458,218.445,470.336,218.445,,,
158,4142506,224,3.8780089285714285,right,fixation,,39.0,453.39461403508795,205.301315789474,,,,,1.0,4.948170823647856,11.728427004504907
159,4142510,220,3.878045454545454,left,fixation,42.0,,444.049214285714,173.385,,,,,1.0,3.4568254061911916,6.940069163920487
160,4142734,16,,left,saccade,42.0,,,,446.95599999999996,161.91,587.4159999999998,161.418,,,
161,4142734,16,,right,saccade,,39.0,,,456.733,208.24200000000002,611.057,206.99099999999999,,,
162,4142754,869,3.8603096330275233,left,fixation,43.0,,627.630798165138,179.658706422018,,,,,2.0,4.5235812104710496,13.814737913773634
163,4142754,873,3.860230593607306,right,fixation,,40.0,636.510187214612,208.018863013698,,,,,4.0,3.207780658834304,11.195913272822292
164,4143627,16,,left,saccade,43.0,,,,633.987,189.267,749.8989999999999,185.481,,,
165,4143631,16,,right,saccade,,40.0,,,661.1289999999998,203.32,767.056,200.345,,,
166,4143647,223,3.8422727272727273,left,fixation,44.0,,761.467877192982,192.679807017544,,,,,1.0,3.646201619493908,13.5956514003559
167,4143651,219,3.84225,right,fixation,,41.0,764.021928571428,199.971732142857,,,,,0.0,,
168,4143874,20,,left,saccade,44.0,,,,756.529,177.243,597.106,173.842,,,
169,4143874,20,,right,saccade,,41.0,,,773.279,206.19,614.778,208.24099999999999,,,
170,4143898,512,3.97083203125,left,fixation,45.0,,612.034186046512,169.690519379845,,,,,4.0,4.189745986925192,14.878165307947132
171,4143898,512,3.97083203125,right,fixation,,42.0,622.689821705427,188.71121705426398,,,,,5.0,3.7321747175767577,13.685937859649307
172,4144414,52,,left,saccade,45.0,,,,605.354,150.064,1322.5379999999998,169.924,,,
173,4144414,56,,right,saccade,,42.0,,,601.7919999999998,169.14,1323.7420000000004,191.831,,,
174,4144470,120,3.9623166666666663,left,fixation,46.0,,1341.1849354838698,164.691709677419,,,,,1.0,3.714135315102232,15.39218831095816
175,4144474,313,3.94303164556962,right,fixation,,43.0,1364.2953164557,175.306493670886,,,,,1.0,11.792846148312922,64.71104914154911
176,4144594,12,,left,saccade,46.0,,,,1344.275,172.375,1403.3670000000006,172.505,,,
177,4144610,177,3.9297444444444434,left,fixation,47.0,,1405.1589999999999,182.75168888888905,,,,,1.0,4.050822018773205,17.076732620732802
178,4144791,44,,left,saccade,47.0,,,,1403.4470000000001,160.583,733.7410000000001,170.123,,,
179,4144791,44,,right,saccade,,43.0,,,1393.245,167.354,753.1089999999997,167.391,,,
180,4144839,804,3.811057213930349,left,fixation,48.0,,737.578391089109,176.58059405940602,,,,,3.0,7.401850549988482,32.251406034941596
181,4144839,1072,3.8136119402985074,right,fixation,,44.0,751.1619776951669,181.76562825278802,,,,,8.0,4.953276441035375,23.99061147484806
182,4145647,4,,left,saccade,48.0,,,,734.8489999999997,167.858,749.732,167.858,,,
183,4145655,252,3.8216904761904753,left,fixation,49.0,,764.152546875,183.391453125,,,,,1.0,6.105490327474833,14.017893743355355
184,4145911,8,,left,saccade,49.0,,,,747.0310000000003,167.428,726.878,155.55100000000004,,,
185,4145915,8,,right,saccade,,44.0,,,760.307,178.14,731.308,173.18900000000005,,,
186,4145923,171,3.858809523809524,left,fixation,50.0,,701.4297272727271,140.322568181818,,,,,0.0,,
187,4145927,167,3.8588292682926832,right,fixation,,45.0,714.593209302325,160.35469767441901,,,,,1.0,3.898723256115733,6.953362495943947
188,4146098,20,,right,saccade,,45.0,,,718.65,173.967,853.935,194.66,,,
189,4146098,24,,left,saccade,50.0,,,,698.7180000000003,141.368,861.1060000000001,167.013,,,
190,4146122,793,3.8312989949748735,right,fixation,,46.0,809.198557788944,200.991537688442,,,,,5.0,6.171218763604936,24.228227028952826
191,4146126,605,3.836315789473685,left,fixation,51.0,,829.477980263159,189.478269736842,,,,,4.0,5.765035196785746,23.69870873916642
192,4146735,12,,left,saccade,51.0,,,,789.321,175.671,738.694,176.483,,,
193,4146751,164,3.8152926829268297,left,fixation,52.0,,732.341619047619,181.443238095238,,,,,2.0,2.973462589795024,7.456270176518376
194,4146919,44,,right,saccade,,46.0,,,738.9580000000003,210.873,1365.495,194.023,,,
195,4146919,47,,left,saccade,52.0,,,,735.557,190.00900000000001,1385.7620000000006,179.85299999999995,,,
196,4146966,136,3.8420294117647065,right,fixation,,47.0,1383.40548571428,164.085657142857,,,,,1.0,4.844475507673071,11.820440685524547
197,4146970,132,3.842166666666667,left,fixation,53.0,,1386.8312647058801,156.051558823529,,,,,0.0,,
198,4147106,56,,left,saccade,53.0,,,,1390.495,152.776,490.527,263.254,,,
199,4147106,60,,right,saccade,,47.0,,,1394.088,159.94799999999995,496.707,283.161,,,
200,4147166,708,3.864418079096045,left,fixation,54.0,,452.090179775281,303.301168539326,,,,,3.0,5.24166245469875,22.709161373449486
201,4147170,164,3.829402439024391,right,fixation,,48.0,496.279571428571,301.256738095238,,,,,0.0,,
202,4147338,16,,right,saccade,,48.0,,,495.523,302.51099999999997,450.462,314.745,,,
203,4147358,516,3.8769263565891463,right,fixation,,49.0,434.76434615384596,340.461892307692,,,,,1.0,3.8536779041441687,5.613595728229841
204,4147878,20,,left,saccade,54.0,,,,435.81300000000016,307.561,540.359,313.309,,,
205,4147878,20,,right,saccade,,49.0,,,433.983,336.351,545.868,341.015,,,
206,4147902,308,3.9309506578947366,left,fixation,55.0,,557.514064102564,332.17732051282,,,,,2.0,109.75259561175136,330.49596690504745
207,4147902,308,3.9309506578947366,right,fixation,,50.0,553.946051282051,358.711961538462,,,,,2.0,110.70005002195794,335.1432393604474
208,4148214,12,,right,saccade,,50.0,,,562.878,362.85699999999997,624.4630000000002,362.903,,,
209,4148214,16,,left,saccade,55.0,,,,570.9159999999998,337.866,645.737,335.045,,,
210,4148230,160,3.979375,right,fixation,,51.0,641.57556097561,361.368024390244,,,,,1.0,4.923326949330094,2.0721797701936753
211,4148234,152,3.9792368421052635,left,fixation,56.0,,652.492564102564,340.394307692308,,,,,0.0,,
212,4148390,24,,left,saccade,56.0,,,,649.401,344.55800000000005,449.405,339.351,,,
213,4148394,24,,right,saccade,,51.0,,,642.76,362.76599999999996,439.801,363.55199999999996,,,
214,4148418,500,4.019181238404451,left,fixation,57.0,,438.233611111111,315.180634920635,,,,,1.0,3.1612384528148967,8.546129240773269
215,4148422,496,4.019595477975633,right,fixation,,52.0,437.378008,360.49284,,,,,0.0,,
216,4148922,40,,left,saccade,57.0,,,,438.949,314.5540000000001,442.861,369.056,,,
217,4148922,36,,right,saccade,,52.0,,,446.151,359.11800000000005,452.276,343.63199999999995,,,
218,4149082,92,4.05725,right,fixation,,53.0,467.11125,324.203625,,,,,2.0,4.214178241341521,10.873342514293864
219,4149094,20,,left,fixation,58.0,,440.6148333333329,353.476833333333,,,,,0.0,,
220,4149118,12,,left,saccade,58.0,,,,435.64599999999996,330.402,431.594,289.253,,,
221,4149134,40,4.05725,left,fixation,59.0,,428.507818181818,275.588636363636,,,,,1.0,3.9324710424871423,7.0121426825186415
222,4149178,20,,right,saccade,,53.0,,,465.389,333.741,634.788,342.5540000000001,,,
223,4149178,24,,left,saccade,59.0,,,,431.221,273.05,606.003,301.343,,,
224,4149202,424,4.020199052132702,right,fixation,,54.0,658.207560747664,349.91449532710294,,,,,2.0,6.780606134131308,25.892642513035174
225,4149206,420,4.019957142857144,left,fixation,60.0,,650.253037735849,343.147084905661,,,,,3.0,5.6365215220500335,24.404519107521
226,4149630,16,,left,saccade,60.0,,,,682.322,339.3730000000001,778.995,334.163,,,
227,4149630,16,,right,saccade,,54.0,,,688.538,356.412,770.102,345.986,,,
228,4149650,560,3.966278571428572,left,fixation,61.0,,774.8153900709219,348.53860283687993,,,,,1.0,4.2469495588664135,12.834595630560367
229,4149650,560,3.966278571428572,right,fixation,,55.0,775.165070921986,346.19426241134806,,,,,7.0,3.8315401973944536,13.265313368706671
230,4150214,16,,left,saccade,61.0,,,,802.77,342.0080000000001,879.283,345.30699999999996,,,
231,4150214,16,,right,saccade,,55.0,,,795.7610000000003,354.72900000000016,858.815,356.231,,,
232,4150234,1008,4.047482142857144,left,fixation,62.0,,869.2924861660091,365.991735177865,,,,,1.0,4.580918906483439,15.727403504711123
233,4150234,1012,4.0476086956521735,right,fixation,,56.0,855.7162204724409,366.75873622047203,,,,,8.0,3.6399001769637453,10.618522370240004
234,4151246,20,,left,saccade,62.0,,,,871.62,394.24199999999996,756.802,382.717,,,
235,4151250,16,,right,saccade,,56.0,,,850.4939999999997,380.25699999999995,754.18,369.375,,,
236,4151270,720,4.119897790055249,left,fixation,63.0,,756.0102375690599,377.05449723756897,,,,,2.0,5.3629440112944256,14.540482546010228
237,4151270,720,4.119897790055249,right,fixation,,57.0,756.078613259669,376.42056353591204,,,,,3.0,3.5831851436192452,12.586651434328775
238,4151994,20,,left,saccade,63.0,,,,764.362,389.325,644.612,378.86199999999997,,,
239,4151994,20,,right,saccade,,57.0,,,759.39,377.629,666.2439999999998,371.066,,,
240,4152018,776,4.001363402061855,left,fixation,64.0,,635.764292307693,356.253897435897,,,,,3.0,6.551104230704419,17.806554453113044
