,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20584405,152,3.4690641025641025,left,fixation,1.0,,385.49712820512804,824.763871794872,,,,,0.0,,
1,20584405,156,3.4691,right,fixation,,1.0,408.709075,823.55845,,,,,0.0,,
2,20584561,36,,left,saccade,1.0,,,,405.608,825.1030000000003,552.564,673.914,,,
3,20584565,28,,right,saccade,,1.0,,,400.495,800.493,530.628,625.637,,,
4,20584597,588,3.5340748299319733,right,fixation,,2.0,549.739608108108,618.961777027028,,,,,0.0,,
5,20584601,588,3.5345374149659863,left,fixation,2.0,,565.945256756757,652.016702702703,,,,,2.0,9.555986073173036,27.55086097708278
6,20585189,20,,right,saccade,,2.0,,,566.861,628.87,653.623,618.3340000000002,,,
7,20585193,20,,left,saccade,2.0,,,,582.562,644.361,670.1110000000001,644.876,,,
8,20585213,352,3.578460227272727,right,fixation,,3.0,668.118213483146,609.690539325843,,,,,0.0,,
9,20585217,348,3.578327586206897,left,fixation,3.0,,680.459034090909,644.5143409090911,,,,,0.0,,
10,20585569,24,,left,saccade,3.0,,,,657.5889999999997,651.262,790.05,651.253,,,
11,20585569,24,,right,saccade,,3.0,,,654.495,622.394,781.467,623.836,,,
12,20585597,144,3.5507777777777787,left,fixation,4.0,,795.9423243243242,651.577702702703,,,,,0.0,,
13,20585597,144,3.5507777777777787,right,fixation,,4.0,790.4988648648648,614.97145945946,,,,,0.0,,
14,20585745,44,,left,saccade,4.0,,,,797.977,641.743,670.1260000000002,305.855,,,
15,20585745,44,,right,saccade,,4.0,,,780.7739999999999,616.2719999999998,688.855,262.176,,,
16,20585793,131,3.401625,right,fixation,,5.0,668.142029411765,256.19855882353,,,,,0.0,,
17,20585793,135,3.4008787878787885,left,fixation,5.0,,672.5432,299.778685714286,,,,,0.0,,
18,20585928,20,,right,saccade,,5.0,,,648.943,257.513,663.7410000000001,194.22299999999998,,,
19,20585932,16,,left,saccade,5.0,,,,669.2180000000002,298.524,669.5060000000002,241.25799999999998,,,
20,20585952,160,3.3723,left,fixation,6.0,,668.460634146342,213.57590243902402,,,,,0.0,,
21,20585952,160,3.3723,right,fixation,,6.0,648.2186341463411,175.204195121951,,,,,0.0,,
22,20586116,32,,right,saccade,,6.0,,,667.797,178.15400000000002,690.905,539.72,,,
23,20586116,36,,left,saccade,6.0,,,,654.3480000000002,206.71900000000002,670.7689999999999,609.242,,,
24,20586152,192,3.450239583333333,right,fixation,,7.0,708.834040816326,598.7561224489799,,,,,0.0,,
25,20586156,192,3.451166666666667,left,fixation,7.0,,704.0089999999999,637.917448979592,,,,,0.0,,
26,20586348,24,,right,saccade,,7.0,,,709.67,614.504,845.687,618.793,,,
27,20586352,24,,left,saccade,7.0,,,,722.836,646.746,848.99,665.2330000000002,,,
28,20586376,132,3.5153636363636367,right,fixation,,8.0,867.089823529411,618.377117647059,,,,,0.0,,
29,20586380,128,3.516125,left,fixation,8.0,,865.787545454545,656.233484848485,,,,,0.0,,
30,20586512,44,,left,saccade,8.0,,,,863.975,659.908,1402.879,637.322,,,
31,20586512,44,,right,saccade,,8.0,,,877.816,612.9069999999998,1422.4189999999999,603.566,,,
32,20586560,164,3.4713292682926835,right,fixation,,9.0,1437.88402380952,599.1113095238089,,,,,0.0,,
33,20586560,272,3.4575661764705883,left,fixation,9.0,,1440.5587826086999,598.540550724637,,,,,0.0,,
34,20586728,8,,right,saccade,,9.0,,,1435.535,580.39,1436.997,555.7080000000002,,,
35,20586740,136,3.4274852941176475,right,fixation,,10.0,1461.0498571428602,554.299828571429,,,,,0.0,,
36,20586836,4,,left,saccade,9.0,,,,1446.486,576.873,1446.6429999999998,590.7919999999998,,,
37,20586844,36,3.405722222222221,left,fixation,10.0,,1449.4089999999999,612.0077,,,,,0.0,,
38,20586880,20,,right,saccade,,10.0,,,1464.842,550.058,1374.092,550.058,,,
39,20586884,20,,left,saccade,10.0,,,,1450.274,605.121,1348.109,590.283,,,
40,20586904,124,3.3966451612903223,right,fixation,,11.0,1350.39884375,559.69540625,,,,,0.0,,
41,20586908,120,3.3961166666666665,left,fixation,11.0,,1340.3822580645199,574.362806451613,,,,,0.0,,
42,20587032,56,,left,saccade,11.0,,,,1335.601,589.734,418.904,581.866,,,
43,20587032,60,,right,saccade,,11.0,,,1346.017,560.429,434.55400000000003,568.5930000000002,,,
44,20587092,768,3.3632395833333333,left,fixation,12.0,,413.317435233161,633.009647668394,,,,,1.0,12.302883060937841,34.32182211072143
45,20587096,152,3.3876973684210525,right,fixation,,12.0,433.48130769230795,553.787692307692,,,,,0.0,,
46,20587252,12,,right,saccade,,12.0,,,443.77,553.8380000000002,433.856,594.5369999999998,,,
47,20587268,592,3.3560641891891887,right,fixation,,13.0,426.07020805369103,607.71889261745,,,,,0.0,,
48,20587864,20,,left,saccade,12.0,,,,409.292,672.962,489.913,671.492,,,
49,20587864,20,,right,saccade,,13.0,,,420.514,634.865,508.215,630.1619999999998,,,
50,20587888,152,3.3491273728930646,left,fixation,13.0,,515.725025641026,658.202897435897,,,,,0.0,,
51,20587888,152,3.3491273728930646,right,fixation,,14.0,535.738025641026,620.595846153846,,,,,0.0,,
52,20588044,52,,left,saccade,13.0,,,,526.732,674.9119999999998,490.517,576.819,,,
53,20588044,60,,right,saccade,,14.0,,,534.5930000000002,623.206,526.148,536.455,,,
54,20588268,20,,right,fixation,,15.0,525.238,521.740166666667,,,,,0.0,,
55,20588276,4,,left,fixation,14.0,,490.517,576.819,,,,,0.0,,
56,20588284,40,,left,saccade,14.0,,,,490.517,576.819,495.861,658.852,,,
57,20588292,40,,right,saccade,,15.0,,,524.106,507.575,460.71,541.6519999999998,,,
58,20588464,24,,right,fixation,,16.0,480.356428571429,536.560285714286,,,,,1.0,11.948646920142131,22.463126696878113
59,20588492,0,,right,saccade,,16.0,,,504.005,509.56300000000016,504.005,509.56300000000016,,,
60,20588496,24,,right,fixation,,17.0,516.871714285714,505.4455714285711,,,,,1.0,15.737119209937315,36.67909275050293
61,20588504,4,,left,fixation,15.0,,495.861,676.138,,,,,0.0,,
62,20588512,88,,left,saccade,15.0,,,,495.159,658.852,464.626,534.271,,,
63,20588524,64,,right,saccade,,17.0,,,509.461,513.069,444.74199999999996,497.17,,,
64,20588724,20,,right,fixation,,18.0,450.6968333333329,493.8966666666671,,,,,0.0,,
65,20588748,20,,right,saccade,,18.0,,,468.991,495.309,476.602,581.6669999999998,,,
66,20588772,72,3.6968431818181813,right,fixation,,19.0,477.639,588.020789473684,,,,,0.0,,
67,20588772,80,3.698507386363637,left,fixation,16.0,,457.081047619048,535.479333333333,,,,,1.0,11.48257898465707,43.93902732196054
68,20588848,16,,right,saccade,,19.0,,,472.283,557.7909999999998,536.845,556.288,,,
69,20588856,8,,left,saccade,16.0,,,,476.13599999999997,588.901,501.278,591.8480000000002,,,
70,20588868,348,3.550192982456141,left,fixation,17.0,,535.400193181818,608.087352272727,,,,,0.0,,
71,20588868,348,3.550192982456141,right,fixation,,20.0,536.315147727273,597.1201590909089,,,,,0.0,,
72,20589220,20,,left,saccade,17.0,,,,531.856,628.496,450.17199999999997,636.4680000000002,,,
73,20589220,20,,right,saccade,,20.0,,,532.913,605.095,449.788,611.972,,,
74,20589244,484,3.3429297520661154,left,fixation,18.0,,422.9274180327871,632.829557377049,,,,,0.0,,
75,20589244,484,3.3429297520661154,right,fixation,,21.0,439.552893442623,615.516893442623,,,,,0.0,,
76,20589732,20,,left,saccade,18.0,,,,420.961,628.256,556.068,628.906,,,
77,20589732,24,,right,saccade,,21.0,,,436.07300000000004,596.7869999999998,579.923,604.566,,,
78,20589756,156,3.3002435897435896,left,fixation,19.0,,555.94785,624.0369,,,,,0.0,,
79,20589760,616,3.3266006493506497,right,fixation,,22.0,621.3211161290329,627.795864516129,,,,,0.0,,
