,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10517906,316,3.5460432098765438,left,fixation,1.0,,791.0706125,307.533525,,,,,0.0,,
1,10517906,316,3.5460432098765438,right,fixation,,1.0,787.7530875,324.3895375,,,,,1.0,3.7386485154695044,14.882807530839127
2,10518226,20,,left,saccade,1.0,,,,786.023,280.018,705.5830000000003,261.494,,,
3,10518226,20,,right,saccade,,1.0,,,782.332,316.9840000000001,705.775,265.805,,,
4,10518250,108,3.5393888888888885,left,fixation,2.0,,693.06875,242.410928571429,,,,,1.0,3.557263875196471,6.485417796873209
5,10518250,108,3.5393888888888885,right,fixation,,2.0,694.473714285714,257.08532142857104,,,,,0.0,,
6,10518362,28,,right,saccade,,2.0,,,693.533,254.043,470.724,221.44400000000002,,,
7,10518362,32,,left,saccade,2.0,,,,694.578,249.528,453.765,211.813,,,
8,10518394,348,3.5212988077496274,right,fixation,,3.0,421.52640909090894,181.84932954545502,,,,,2.0,4.34775583820247,19.079377816649046
9,10518398,340,3.5212037878787883,left,fixation,3.0,,414.12739534883696,163.43008139534902,,,,,2.0,4.4444581368612255,30.08877409159451
10,10518742,40,,left,saccade,3.0,,,,412.98800000000006,154.562,396.284,156.48,,,
11,10518746,40,,right,saccade,,3.0,,,418.876,159.041,417.63,146.222,,,
12,10518890,2024,3.658349053030303,right,fixation,,4.0,404.562477317554,156.225011834319,,,,,7.0,3.891185524410613,12.564794422582045
13,10518902,2008,3.6582474852913274,left,fixation,4.0,,414.650500994036,159.116373757455,,,,,2.0,3.2844710064333453,9.632818122196776
14,10520914,23,,left,saccade,4.0,,,,402.405,163.283,460.954,249.84599999999998,,,
15,10520918,23,,right,saccade,,4.0,,,400.08099999999996,175.46,451.98800000000006,263.587,,,
16,10520941,413,3.6856436644196338,left,fixation,5.0,,492.616451923077,274.583798076923,,,,,0.0,,
17,10520945,417,3.6853480146021607,right,fixation,,5.0,480.523152380952,287.105771428571,,,,,0.0,,
18,10521358,40,,left,saccade,5.0,,,,498.851,285.39799999999997,372.333,168.93099999999995,,,
19,10521366,40,,right,saccade,,5.0,,,489.284,300.71,434.315,179.372,,,
20,10521526,1548,3.686223795374627,right,fixation,,6.0,415.130018041237,147.852012886598,,,,,4.0,3.7668004691149513,9.397302679346918
