,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3571112,12,3.5955,left,fixation,1.0,,1435.59975,810.25575,,,,,0.0,,
1,3571112,20,3.5946,right,fixation,,1.0,1453.83083333333,845.9375,,,,,0.0,,
2,3571128,20,,left,saccade,1.0,,,,1437.48,812.6489999999999,1516.994,879.9989999999997,,,
3,3571136,12,,right,saccade,,1.0,,,1458.9679999999994,858.939,1501.884,885.1510000000003,,,
4,3571152,156,3.6129615384615374,left,fixation,2.0,,1519.179225,884.238275,,,,,1.0,2.736293747429505,6.309220237081576
5,3571152,156,3.6129615384615374,right,fixation,,2.0,1516.4569,903.249425,,,,,2.0,4.138910396150171,18.905892491177553
6,3571312,60,,left,saccade,2.0,,,,1511.392,888.789,498.13300000000004,322.70099999999996,,,
7,3571312,60,,right,saccade,,2.0,,,1509.963,903.615,547.4780000000002,317.848,,,
8,3571376,140,3.6260428571428567,right,fixation,,3.0,526.953916666667,312.530111111111,,,,,1.0,2.7427250034307926,4.9466632187769015
9,3571376,144,3.625125,left,fixation,3.0,,494.00640540540496,309.354324324324,,,,,0.0,,
10,3571520,28,,right,saccade,,3.0,,,514.596,308.275,415.20599999999996,197.021,,,
11,3571524,20,,left,saccade,3.0,,,,497.281,312.1740000000001,399.86,185.442,,,
12,3571548,948,3.5613177936886764,left,fixation,4.0,,408.366722689076,147.355281512605,,,,,3.0,7.907014781758092,41.00378147823957
13,3571552,940,3.5612809485744736,right,fixation,,4.0,421.679966101695,157.592004237288,,,,,10.0,5.072641666289013,18.86222292881279
14,3572496,40,,right,saccade,,4.0,,,444.155,156.22299999999996,416.47,153.537,,,
15,3572500,40,,left,saccade,4.0,,,,428.642,136.559,397.781,130.72,,,
16,3572636,196,3.7453695652173913,left,fixation,5.0,,399.65137999999996,103.82958,,,,,1.0,3.645227092453304,10.82968037386143
17,3572640,2048,3.6753572895277213,right,fixation,,5.0,401.883296296296,157.490489278752,,,,,15.0,5.189135148674213,17.328422146582344
18,3572836,16,,left,saccade,5.0,,,,372.728,82.00399999999998,357.88300000000015,143.591,,,
19,3572856,1832,3.6710087336244537,left,fixation,6.0,,391.11292374727685,137.073797385621,,,,,10.0,5.564136596296848,22.62667289225545
20,3574692,44,,left,saccade,6.0,,,,378.751,111.09700000000001,844.812,127.01299999999999,,,
21,3574692,44,,right,saccade,,5.0,,,401.36300000000006,147.141,873.985,154.442,,,
22,3574740,48,3.683875,left,fixation,7.0,,856.918153846154,149.189307692308,,,,,1.0,2.6325200484622404,7.90413240020678
23,3574740,48,3.683875,right,fixation,,6.0,880.972153846154,156.123384615385,,,,,0.0,,
24,3574792,32,,left,saccade,7.0,,,,871.6439999999999,156.846,1182.846,230.577,,,
25,3574792,36,,right,saccade,,6.0,,,884.55,158.256,1188.594,231.47099999999998,,,
26,3574828,188,3.632893617021277,left,fixation,8.0,,1193.6717916666698,249.699854166667,,,,,0.0,,
27,3574832,184,3.6325217391304334,right,fixation,,7.0,1195.26157446809,251.953723404255,,,,,0.0,,
28,3575020,52,,left,saccade,8.0,,,,1192.692,268.156,485.649,231.613,,,
29,3575020,52,,right,saccade,,7.0,,,1186.019,269.724,497.726,219.28,,,
30,3575076,100,3.6880000000000006,left,fixation,9.0,,458.986461538462,235.065,,,,,1.0,4.50912928894752,5.088215404245363
31,3575076,100,3.6880000000000006,right,fixation,,8.0,478.981346153846,241.35299999999998,,,,,1.0,4.510924458713758,8.333926625546956
32,3575180,12,,left,saccade,9.0,,,,453.523,221.551,454.94199999999995,178.083,,,
33,3575180,12,,right,saccade,,8.0,,,473.506,241.412,473.605,187.74599999999998,,,
34,3575196,528,3.7374659090909086,right,fixation,,9.0,452.250428571429,155.77551127819598,,,,,1.0,3.3383858458176325,14.75454184310714
35,3575196,532,3.7376052631578953,left,fixation,10.0,,432.943291044776,146.822694029851,,,,,1.0,8.052930984706409,56.41651525927493
36,3575728,20,,right,saccade,,9.0,,,452.533,166.081,377.115,158.407,,,
37,3575732,12,,left,saccade,10.0,,,,427.745,152.207,379.14099999999996,155.125,,,
38,3575748,2675,3.7373255988023946,left,fixation,11.0,,401.97885522388003,146.229304477612,,,,,7.0,5.439895322088663,25.183383400907456
39,3575752,632,3.7618132911392403,right,fixation,,10.0,395.793993710692,141.663698113207,,,,,3.0,3.4539408623909313,17.326584147322816
40,3576388,11,,right,saccade,,10.0,,,387.66,139.733,395.01800000000003,176.88099999999997,,,
41,3576403,2016,3.7292142857142854,right,fixation,,11.0,428.829522772277,152.57659207920798,,,,,9.0,4.780337846286652,21.77551794884525
42,3578423,44,,right,saccade,,11.0,,,441.746,124.52799999999999,852.2669999999997,219.96400000000003,,,
43,3578427,40,,left,saccade,11.0,,,,435.83099999999996,129.816,823.695,221.967,,,
44,3578471,164,3.7344999999999993,left,fixation,12.0,,838.493142857143,270.038833333333,,,,,1.0,6.648516812459443,33.69373615377191
45,3578471,168,3.734511904761904,right,fixation,,12.0,840.170860465116,261.313581395349,,,,,1.0,4.730515575612358,19.226207764403302
46,3578639,20,,left,saccade,12.0,,,,833.94,279.955,743.041,284.903,,,
47,3578643,20,,right,saccade,,12.0,,,828.915,261.95,745.825,261.244,,,
48,3578663,221,3.735928571428572,left,fixation,13.0,,733.7259285714281,285.479982142857,,,,,0.0,,
49,3578667,217,3.7360636363636366,right,fixation,,13.0,738.3069272727271,250.62452727272702,,,,,0.0,,
50,3578888,36,,right,saccade,,13.0,,,746.182,258.171,502.431,175.58599999999996,,,
51,3578888,40,,left,saccade,13.0,,,,731.7610000000003,288.158,487.57599999999996,179.17,,,
52,3578928,1112,3.769535971223022,right,fixation,,14.0,442.735161290322,141.132677419355,,,,,7.0,5.572616637690864,24.485779259952636
53,3578932,1104,3.7695289855072467,left,fixation,14.0,,424.45099638989194,144.949115523466,,,,,5.0,6.97508205130263,32.642797987175854
54,3580040,20,,left,saccade,14.0,,,,407.316,163.776,446.533,262.068,,,
55,3580044,20,,right,saccade,,14.0,,,449.99699999999996,168.42,468.44599999999997,257.048,,,
56,3580064,284,3.751232394366197,left,fixation,15.0,,463.682111111111,279.328375,,,,,2.0,4.054536186629802,14.354497163871544
57,3580068,280,3.7512142857142856,right,fixation,,15.0,482.6562535211271,266.062211267606,,,,,3.0,3.5752520049514867,16.394721074512404
58,3580352,48,,right,saccade,,15.0,,,484.71,282.756,1120.153,285.7940000000001,,,
59,3580352,52,,left,saccade,15.0,,,,469.955,299.257,1095.353,311.403,,,
60,3580404,151,3.717959459459458,right,fixation,,16.0,1128.7614102564098,300.943538461538,,,,,2.0,3.7464920961078176,9.93144919185889
61,3580408,147,3.717166666666666,left,fixation,16.0,,1113.4155,302.194815789474,,,,,1.0,4.017080051341872,10.573025016521976
62,3580559,16,,left,saccade,16.0,,,,1121.778,302.264,1186.4589999999996,299.013,,,
63,3580559,16,,right,saccade,,16.0,,,1130.365,302.8040000000001,1204.371,299.454,,,
64,3580579,20,3.6721,left,fixation,17.0,,1190.46116666667,297.8095,,,,,0.0,,
65,3580579,24,3.670166666666667,right,fixation,,17.0,1206.53914285714,293.26557142857104,,,,,0.0,,
66,3580603,24,,left,saccade,17.0,,,,1190.223,294.003,1024.667,282.3540000000001,,,
67,3580607,20,,right,saccade,,17.0,,,1206.646,288.426,1036.152,281.318,,,
68,3580631,408,3.5621470588235287,left,fixation,18.0,,977.6005922330099,286.81359223301,,,,,4.0,6.191575262623304,20.012371422856575
69,3580631,408,3.5621470588235287,right,fixation,,18.0,983.128019417475,287.89728155339805,,,,,1.0,7.4633083016552355,45.99325234205546
70,3581043,44,,left,saccade,18.0,,,,957.7330000000001,282.598,1412.424,286.14099999999996,,,
71,3581043,44,,right,saccade,,18.0,,,965.798,292.225,1411.0220000000006,314.039,,,
72,3581091,688,3.5800465116279065,left,fixation,19.0,,1431.6625664739902,274.502716763006,,,,,4.0,3.2852776314473044,9.45709459101571
73,3581091,692,3.5800780346820806,right,fixation,,19.0,1422.5572183907998,308.23984482758596,,,,,3.0,3.5456600461094703,12.102655446660952
74,3581783,68,,left,saccade,19.0,,,,1434.52,253.503,440.884,166.08700000000005,,,
75,3581787,64,,right,saccade,,19.0,,,1416.793,325.539,476.806,175.269,,,
76,3581855,272,3.6742028985507247,right,fixation,,20.0,430.56734782608703,169.953637681159,,,,,4.0,5.875449729399482,28.978393845596308
77,3581855,276,3.67415,left,fixation,20.0,,402.63228571428596,149.626285714286,,,,,2.0,7.226022755478768,27.31496283897112
78,3582131,72,,right,saccade,,20.0,,,414.066,198.611,1447.306,280.70799999999997,,,
79,3582135,68,,left,saccade,20.0,,,,392.658,188.91299999999998,1431.767,266.531,,,
80,3582207,264,3.6787272727272726,left,fixation,21.0,,1431.0931641791,275.984014925373,,,,,2.0,4.820407782162087,14.332850790138608
81,3582207,264,3.6787272727272726,right,fixation,,21.0,1451.65717910448,293.781029850746,,,,,2.0,4.997992650737606,18.304360339652508
82,3582475,68,,left,saccade,21.0,,,,1423.308,263.916,437.806,128.204,,,
83,3582475,68,,right,saccade,,21.0,,,1431.1729999999998,304.375,477.337,144.31,,,
84,3582547,1448,3.6417651933701656,left,fixation,22.0,,426.560749311295,116.936988980716,,,,,5.0,6.52187804318226,23.05112749124515
85,3582547,1448,3.6417651933701656,right,fixation,,22.0,441.594325068871,135.772972451791,,,,,7.0,5.8193717331275145,17.50062994528866
86,3583999,76,,left,saccade,22.0,,,,432.82300000000004,116.794,1408.0120000000006,244.69299999999998,,,
87,3583999,80,,right,saccade,,22.0,,,443.625,132.85299999999998,1421.779,276.972,,,
88,3584079,332,3.5753012048192767,left,fixation,23.0,,1435.72535714286,260.24063095238097,,,,,3.0,4.34403129699578,28.502128134189267
89,3584083,328,3.5751829268292683,right,fixation,,23.0,1435.2683253011999,285.88197590361403,,,,,0.0,,
90,3584415,72,,left,saccade,23.0,,,,1446.523,242.54,400.19300000000004,212.352,,,
91,3584415,76,,right,saccade,,23.0,,,1442.774,284.32099999999997,431.361,214.613,,,
92,3584491,648,3.5793765432098765,left,fixation,24.0,,392.333257668712,176.74757055214695,,,,,4.0,5.857343399233318,25.409342939000936
93,3584495,420,3.5863190476190483,right,fixation,,24.0,405.030754716981,214.91556603773603,,,,,5.0,6.396334495987007,18.583660035335587
94,3584919,12,,right,saccade,,24.0,,,378.485,190.58599999999998,378.485,137.775,,,
95,3584935,200,3.5650800000000005,right,fixation,,25.0,415.142274509804,130.79992156862698,,,,,1.0,4.842518450604425,21.999487834947466
96,3585139,68,,right,saccade,,25.0,,,420.04900000000004,142.447,932.311,364.211,,,
97,3585143,60,,left,saccade,24.0,,,,424.374,144.55200000000005,917.012,333.98,,,
98,3585207,92,3.5555434782608693,left,fixation,25.0,,901.1408333333328,356.227416666667,,,,,2.0,5.1990229388934575,16.739113093896382
99,3585211,88,3.5557045454545446,right,fixation,,26.0,927.340304347826,373.30300000000005,,,,,0.0,,
100,3585303,48,,left,saccade,25.0,,,,906.752,376.418,1433.65,252.737,,,
101,3585303,48,,right,saccade,,26.0,,,922.184,370.874,1431.774,269.33,,,
102,3585355,436,3.580327272727273,left,fixation,26.0,,1444.06481818182,260.2794,,,,,5.0,3.2422353016805827,15.317530389113454
103,3585355,436,3.580327272727273,right,fixation,,27.0,1436.3374636363599,268.236018181818,,,,,0.0,,
104,3585795,68,,left,saccade,26.0,,,,1428.849,282.376,450.844,130.505,,,
105,3585795,72,,right,saccade,,27.0,,,1432.5739999999994,275.775,477.598,127.655,,,
106,3585867,1152,3.632494773519164,left,fixation,27.0,,401.924107266437,139.664951557094,,,,,4.0,9.429366883405537,36.36504130155205
107,3585871,456,3.624508771929824,right,fixation,,28.0,406.57061739130404,127.703973913043,,,,,6.0,4.427389150521343,14.006041845165065
108,3586331,12,,right,saccade,,28.0,,,378.314,131.58100000000002,431.425,132.287,,,
109,3586347,672,3.638032934131737,right,fixation,,29.0,424.671082840237,154.84773964497,,,,,2.0,6.171165513687508,40.27964541024031
110,3587023,40,,left,saccade,27.0,,,,388.496,180.285,420.217,447.145,,,
111,3587023,40,,right,saccade,,29.0,,,389.126,185.449,462.941,469.661,,,
112,3587067,948,3.6116008403361337,right,fixation,,30.0,424.70198739495794,446.108781512605,,,,,8.0,7.06194052617971,29.428515926771578
113,3587067,1604,3.5995808457711433,left,fixation,28.0,,405.48750497512395,428.88915174129403,,,,,6.0,8.309574915090378,29.926132633234204
114,3588019,0,,right,saccade,,30.0,,,429.875,420.969,429.875,420.969,,,
115,3588023,644,3.5822981366459627,right,fixation,,31.0,401.21252469135806,396.100358024691,,,,,7.0,5.946764085954988,19.15000398011178
116,3588671,44,,right,saccade,,31.0,,,404.108,418.347,879.57,528.915,,,
117,3588675,44,,left,saccade,28.0,,,,400.204,426.691,880.635,559.5,,,
118,3588719,188,3.615946808510639,right,fixation,,32.0,893.3671875,566.091916666667,,,,,2.0,4.672133486161859,13.608732490188618
119,3588723,180,3.6157222222222223,left,fixation,29.0,,893.481217391304,561.152695652174,,,,,0.0,,
120,3588907,28,,left,saccade,29.0,,,,905.648,579.453,680.335,575.193,,,
121,3588911,28,,right,saccade,,32.0,,,895.122,570.868,680.3810000000002,566.7180000000002,,,
122,3588939,152,3.6079078947368415,left,fixation,30.0,,670.701641025641,554.003,,,,,1.0,5.047800161676613,23.878419461932484
123,3588943,152,3.607315789473685,right,fixation,,33.0,668.299512820513,572.2302307692311,,,,,1.0,3.5522603797519885,31.005161263892933
124,3589095,36,,left,saccade,30.0,,,,665.003,549.8969999999998,480.353,452.81199999999995,,,
125,3589099,24,,right,saccade,,33.0,,,654.195,557.493,506.99300000000005,440.913,,,
126,3589127,320,3.5581296296296285,right,fixation,,34.0,459.1616172839511,425.02075308642,,,,,3.0,4.652420298392758,17.768394538081537
