,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3535976,232,3.5916949152542377,left,fixation,1.0,,968.208220338983,59.0558135593221,,,,,0.0,,
1,3535976,236,3.591308333333333,right,fixation,,1.0,960.038983333333,39.11181666666671,,,,,0.0,,
2,3536212,40,,left,saccade,1.0,,,,970.33,66.126,425.843,181.588,,,
3,3536216,40,,right,saccade,,1.0,,,955.638,59.687,403.606,154.566,,,
4,3536256,572,3.6066899216125416,left,fixation,2.0,,394.102729166667,182.74109027777803,,,,,1.0,5.184162905212153,15.392001884095484
5,3536260,564,3.607086401626383,right,fixation,,2.0,375.96764084507004,144.00799295774598,,,,,0.0,,
6,3536828,40,,right,saccade,,2.0,,,380.355,133.111,384.68,131.374,,,
7,3536832,40,,left,saccade,2.0,,,,386.16,185.05200000000002,375.20099999999996,189.013,,,
8,3536932,2832,3.565991105880537,left,fixation,3.0,,400.9349393512,190.49210437235598,,,,,1.0,5.9883268508175265,11.640574040828085
9,3536944,2176,3.56558816547126,right,fixation,,3.0,391.299596330276,183.280282568808,,,,,4.0,7.7086945058522724,24.051074962786338
10,3539124,24,,right,saccade,,3.0,,,408.51,185.46,379.18199999999996,95.82,,,
11,3539152,616,3.563925324675325,right,fixation,,4.0,374.02704516129097,110.144980645161,,,,,3.0,7.525246279309925,38.08636468272217
12,3539768,20,,left,saccade,3.0,,,,424.733,180.395,459.665,245.843,,,
13,3539772,20,,right,saccade,,4.0,,,413.88599999999997,150.664,424.791,233.563,,,
14,3539792,648,3.5117668711656433,left,fixation,4.0,,475.953815950921,300.03533742331297,,,,,1.0,3.711962680906744,8.002640189337509
15,3539796,644,3.5118703703703704,right,fixation,,5.0,454.585401234568,249.004530864198,,,,,2.0,7.073821889764481,17.833218677492667
16,3540444,24,,left,saccade,4.0,,,,480.10400000000004,311.937,667.132,293.142,,,
17,3540444,24,,right,saccade,,5.0,,,474.231,265.711,701.6110000000001,249.24099999999999,,,
18,3540472,316,3.4733057734204795,right,fixation,,6.0,703.0087875,238.0260125,,,,,0.0,,
19,3540472,320,3.4733057734204795,left,fixation,5.0,,691.044049382716,286.078913580247,,,,,0.0,,
20,3540792,40,,right,saccade,,6.0,,,706.309,252.80200000000002,725.818,307.885,,,
21,3540796,40,,left,saccade,5.0,,,,693.3639999999997,302.798,704.805,271.76,,,
22,3540904,0,,right,fixation,,7.0,726.306,307.885,,,,,0.0,,
23,3540904,1584,3.3471668995204475,left,fixation,6.0,,710.6777103274561,295.092120906801,,,,,4.0,5.298188150164455,17.185176904357668
24,3540908,0,,right,saccade,,7.0,,,730.875,282.874,730.875,282.874,,,
25,3540912,1576,3.3471668995204475,right,fixation,,8.0,713.073708860759,264.617602531646,,,,,2.0,7.521253298204638,21.471871621134227
26,3542492,24,,left,saccade,6.0,,,,709.305,300.904,947.857,285.627,,,
27,3542492,24,,right,saccade,,8.0,,,716.9960000000003,311.079,975.722,310.154,,,
28,3542520,599,3.5338355704697992,left,fixation,7.0,,962.2125231788079,298.29250993377497,,,,,4.0,6.247787397336581,24.925614486997983
29,3542520,599,3.5338355704697992,right,fixation,,9.0,969.283973509934,268.178218543046,,,,,0.0,,
30,3543123,20,,right,saccade,,9.0,,,972.3789999999999,240.395,1182.391,248.33,,,
31,3543123,24,,left,saccade,7.0,,,,960.818,278.341,1164.474,279.218,,,
32,3543147,1329,3.4327252252252247,right,fixation,,10.0,1187.5413993994,276.579777777778,,,,,3.0,6.0557047427513435,17.71999557632301
33,3543151,1325,3.432378012048192,left,fixation,8.0,,1186.6170391566302,265.454,,,,,4.0,6.2140857603946875,20.25316993330205
34,3544480,20,,right,saccade,,10.0,,,1197.424,291.361,1316.5620000000001,297.566,,,
35,3544480,24,,left,saccade,8.0,,,,1202.775,250.597,1324.0810000000001,250.456,,,
36,3544504,44,3.4104090909090914,right,fixation,,11.0,1324.51925,295.394166666667,,,,,0.0,,
37,3544508,44,3.4114545454545464,left,fixation,9.0,,1331.164,253.54283333333302,,,,,0.0,,
38,3544552,12,,right,saccade,,11.0,,,1336.621,292.058,1392.2939999999999,294.055,,,
39,3544556,8,,left,saccade,9.0,,,,1365.431,256.626,1383.8829999999994,257.32,,,
40,3544568,196,3.452418367346939,left,fixation,10.0,,1409.82802,280.03508,,,,,2.0,8.1213559988553,16.602757252823455
41,3544568,1816,3.539919603524228,right,fixation,,12.0,1446.38437362637,307.020287912088,,,,,2.0,6.854524335928191,11.809302270226194
42,3544768,4,,left,saccade,10.0,,,,1416.9360000000001,307.849,1439.902,307.849,,,
43,3544776,1604,3.5510561097256863,left,fixation,11.0,,1455.02346268657,313.019950248756,,,,,6.0,6.240500139199597,16.830032044512055
44,3546384,56,,left,saccade,11.0,,,,1447.761,320.41,556.441,327.502,,,
45,3546388,56,,right,saccade,,12.0,,,1445.7079999999999,300.969,546.023,257.459,,,
46,3546444,380,3.467714126234436,left,fixation,12.0,,497.4055,307.929604166667,,,,,1.0,14.700696540564925,48.007016164306634
47,3546448,372,3.4673543355119825,right,fixation,,13.0,491.688468085107,262.044042553191,,,,,1.0,7.699127102398597,17.514372669325027
48,3546824,40,,right,saccade,,13.0,,,454.69599999999997,255.782,474.336,264.099,,,
49,3546828,40,,left,saccade,12.0,,,,456.11400000000003,279.642,457.52099999999996,273.015,,,
50,3546948,891,3.257675126903553,left,fixation,13.0,,469.4116875,297.724183035715,,,,,3.0,5.244082467675288,15.554789380226655
51,3546956,879,3.2581862244897963,right,fixation,,14.0,465.660742081448,277.645932126697,,,,,0.0,,
52,3547839,28,,right,saccade,,14.0,,,466.48699999999997,298.055,711.0139999999999,283.087,,,
53,3547843,24,,left,saccade,13.0,,,,465.543,286.117,672.525,292.027,,,
