,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2810362,72,2.9635625,right,fixation,,1.0,463.11447368421096,787.7758421052631,,,,,0.0,,
1,2810362,76,2.9631381578947367,left,fixation,1.0,,452.67165,748.143,,,,,0.0,,
2,2810438,44,,right,saccade,,1.0,,,459.124,778.053,559.683,292.871,,,
3,2810442,48,,left,saccade,1.0,,,,465.343,747.435,496.94199999999995,212.218,,,
4,2810486,153,2.9681666666666664,right,fixation,,2.0,560.615333333334,271.193230769231,,,,,0.0,,
5,2810494,145,2.968891891891892,left,fixation,2.0,,513.8114054054049,209.212918918919,,,,,0.0,,
6,2810643,20,,left,saccade,2.0,,,,524.099,203.399,410.496,206.005,,,
7,2810643,20,,right,saccade,,2.0,,,544.54,248.81900000000002,421.217,247.028,,,
8,2810667,348,2.992936781609195,right,fixation,,3.0,403.710295454546,218.496431818182,,,,,2.0,3.9905125460850566,17.706871254952702
9,2810667,1404,3.0014501424501425,left,fixation,3.0,,402.422602272727,195.53282954545503,,,,,7.0,3.5106244683327392,22.287911547110983
10,2811019,16,,right,saccade,,3.0,,,401.936,205.935,464.783,202.649,,,
11,2811039,1036,3.004521235521236,right,fixation,,4.0,421.31605,219.257888461539,,,,,2.0,7.545021362851911,50.343524889904735
12,2812075,24,,left,saccade,3.0,,,,347.12800000000016,193.40400000000002,363.541,363.0,,,
13,2812079,20,,right,saccade,,4.0,,,381.03,237.673,378.523,322.666,,,
14,2812103,164,3.0322804878048784,left,fixation,4.0,,380.9429047619049,349.64630952381003,,,,,1.0,2.357980915953306,6.571780961048537
15,2812103,480,3.0308375,right,fixation,,5.0,385.449685950414,391.956033057851,,,,,1.0,6.5422518761593675,21.937988809368964
16,2812271,8,,left,saccade,4.0,,,,383.81800000000004,361.158,386.25,390.661,,,
17,2812283,776,3.0527963917525778,left,fixation,5.0,,420.078558974359,449.108599999999,,,,,3.0,4.202181898060671,24.38793532814785
18,2812587,12,,right,saccade,,5.0,,,394.85400000000004,431.24199999999996,447.155,426.691,,,
19,2812603,440,3.0680045454545457,right,fixation,,6.0,452.381729729729,430.980468468469,,,,,4.0,3.114396627966556,12.907455337562006
