,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,11386414,20,3.6106,left,fixation,1.0,,458.915166666667,905.714333333333,,,,,0.0,,
1,11386414,20,3.6106,right,fixation,,1.0,445.715333333333,894.315833333333,,,,,0.0,,
2,11386438,35,,right,saccade,,1.0,,,446.42,892.872,661.1060000000001,350.371,,,
3,11386438,39,,left,saccade,1.0,,,,459.76300000000003,905.962,647.875,346.3,,,
4,11386477,204,3.6172745098039214,right,fixation,,2.0,675.351653846154,338.377673076923,,,,,1.0,3.97493438450384,15.978992521432593
5,11386481,200,3.61774,left,fixation,2.0,,665.004196078431,325.529901960784,,,,,1.0,4.219782580628746,15.047677096482305
6,11386685,28,,left,saccade,2.0,,,,662.247,328.173,448.66,114.889,,,
7,11386685,28,,right,saccade,,2.0,,,669.575,342.594,437.57800000000003,166.47299999999996,,,
8,11386717,128,3.621889623265037,left,fixation,3.0,,423.93187878787904,107.20527272727301,,,,,1.0,2.823227728249272,13.74934445710047
9,11386717,132,3.621889623265037,right,fixation,,3.0,434.088117647059,183.624941176471,,,,,1.0,4.133080734889058,34.23509582285408
10,11386849,40,,left,saccade,3.0,,,,415.975,110.04,406.903,112.777,,,
11,11386853,40,,right,saccade,,3.0,,,438.642,203.38099999999997,449.523,208.31,,,
12,11387001,1108,3.604137489668729,left,fixation,4.0,,390.383258992806,137.617820143885,,,,,3.0,3.2354128396145128,12.003631443863295
13,11387009,1100,3.604137489668729,right,fixation,,4.0,411.601623188406,146.79281884058,,,,,10.0,2.5620462003526097,13.60058859377357
14,11388113,20,,left,saccade,4.0,,,,384.444,131.379,387.6,10.157,,,
15,11388113,20,,right,saccade,,4.0,,,409.121,134.98,421.72900000000004,34.513000000000005,,,
16,11388137,324,3.7022901234567898,left,fixation,5.0,,423.22775609756104,17.5481463414634,,,,,2.0,3.4714736048733226,12.178945525896909
17,11388137,332,3.704463855421687,right,fixation,,5.0,449.33703571428595,25.027916666666695,,,,,1.0,3.8227352699924837,10.36704056131742
18,11388465,16,,left,saccade,5.0,,,,433.597,11.569,441.527,66.26,,,
19,11388473,12,,right,saccade,,5.0,,,449.44599999999997,30.074,454.10699999999997,74.91,,,
20,11388485,144,3.8187222222222235,left,fixation,6.0,,452.80318918918886,87.11372972972971,,,,,2.0,3.6720057008932563,17.61495127234484
21,11388489,140,3.8193,right,fixation,,6.0,472.6365,103.957166666667,,,,,3.0,2.309967710872846,6.592379436754666
22,11388633,16,,left,saccade,6.0,,,,452.51099999999997,90.044,402.07599999999996,118.256,,,
23,11388633,16,,right,saccade,,6.0,,,471.097,110.26100000000001,413.63,152.523,,,
24,11388653,132,3.838166666666667,left,fixation,7.0,,396.640176470588,140.189823529412,,,,,1.0,4.43882768557445,10.81950484079565
25,11388653,132,3.838166666666667,right,fixation,,7.0,402.953676470588,170.559147058824,,,,,1.0,5.172567350938988,13.42747519081677
26,11388789,36,,left,saccade,7.0,,,,400.50300000000004,144.827,738.6189999999997,269.503,,,
27,11388789,36,,right,saccade,,7.0,,,399.961,175.77900000000002,740.668,286.447,,,
28,11388829,304,3.7624276315789484,left,fixation,8.0,,734.7868961038962,285.344662337662,,,,,3.0,5.949552902850384,25.12287573711862
29,11388829,304,3.7624276315789484,right,fixation,,8.0,731.88235064935,282.807376623377,,,,,4.0,3.4005980361218437,19.918101621375737
30,11389137,32,,left,saccade,8.0,,,,718.14,266.204,422.23400000000004,152.447,,,
31,11389137,32,,right,saccade,,8.0,,,723.529,266.69,450.686,167.956,,,
32,11389173,420,3.754085336946294,left,fixation,9.0,,396.08658490566,134.81977358490602,,,,,2.0,4.943515908364805,25.489964974430052
33,11389173,424,3.754085336946294,right,fixation,,9.0,413.382439252337,141.879214953271,,,,,3.0,3.548324293269894,19.524705287253074
34,11389597,40,,left,saccade,9.0,,,,385.69199999999995,149.19,380.77099999999996,130.44799999999998,,,
35,11389601,40,,right,saccade,,9.0,,,404.62199999999996,149.91299999999995,406.975,132.83700000000002,,,
36,11389741,2648,3.7866252911126135,left,fixation,10.0,,391.42369381598803,142.031422322775,,,,,13.0,2.9243276859993994,11.02065046904232
37,11389745,2644,3.7866252911126135,right,fixation,,10.0,406.831430513596,155.613320241692,,,,,13.0,2.142858632514124,7.905719160238446
38,11392393,40,,left,saccade,10.0,,,,394.4,174.283,400.00699999999995,127.897,,,
39,11392393,40,,right,saccade,,10.0,,,390.00699999999995,174.794,396.39,114.90899999999999,,,
40,11392525,244,3.8299854925775967,left,fixation,11.0,,407.610870967742,134.55464516128998,,,,,3.0,4.774518442200868,23.6163547965594
41,11392529,244,3.830357659434582,right,fixation,,11.0,413.421048387097,134.639467741936,,,,,4.0,2.269675562778744,7.508609399770073
42,11392773,24,,left,saccade,11.0,,,,405.486,132.461,454.35400000000004,242.359,,,
43,11392777,20,,right,saccade,,11.0,,,415.789,147.395,461.654,252.21900000000002,,,
44,11392801,1016,3.5677176470588234,left,fixation,12.0,,488.02165882352995,259.54409411764703,,,,,2.0,2.6434371013552447,11.1577955404968
45,11392801,1020,3.5677421875000004,right,fixation,,12.0,497.02614453125,263.14281640625,,,,,5.0,2.330259992134219,9.93413262787486
46,11393821,20,,left,saccade,12.0,,,,492.23800000000006,254.195,415.11699999999996,206.833,,,
47,11393825,16,,right,saccade,,12.0,,,496.846,252.81400000000002,444.13199999999995,210.305,,,
48,11393845,1108,3.716969202898551,left,fixation,13.0,,396.991780575539,146.91863309352502,,,,,4.0,3.4834519855930743,14.635468536877651
49,11393845,1112,3.717113718411552,right,fixation,,13.0,406.800204301075,166.259878136201,,,,,6.0,2.2710372898743083,9.56712525016142
50,11394957,24,,left,saccade,13.0,,,,390.852,159.167,472.22,246.227,,,
51,11394961,20,,right,saccade,,13.0,,,395.73800000000006,170.332,480.204,226.06900000000002,,,
52,11394985,1628,3.746049019607843,left,fixation,14.0,,481.45808333333395,263.631053921569,,,,,3.0,2.678136228688896,9.344976744137922
53,11394985,1628,3.746049019607843,right,fixation,,14.0,486.887156862745,255.60304411764702,,,,,9.0,2.0052974877595258,6.305736732851416
54,11396617,28,,left,saccade,14.0,,,,481.038,246.457,704.8760000000003,245.58599999999998,,,
55,11396617,28,,right,saccade,,14.0,,,485.793,255.24599999999998,715.1060000000001,255.423,,,
56,11396649,892,3.658466367713004,left,fixation,15.0,,710.186598214285,265.744410714286,,,,,2.0,2.286409777330193,14.374485617037067
57,11396649,896,3.658160714285714,right,fixation,,15.0,719.5161511111121,267.99117777777803,,,,,3.0,2.3725313462969133,10.098906999652797
58,11397545,40,,left,saccade,15.0,,,,710.7639999999999,279.17400000000004,432.514,208.872,,,
59,11397549,36,,right,saccade,,15.0,,,723.2360000000001,271.779,451.866,231.75799999999998,,,
60,11397589,556,3.699147482014389,left,fixation,16.0,,396.6687,154.252392857143,,,,,3.0,3.6790673256476993,12.291838301071714
61,11397589,556,3.699147482014389,right,fixation,,16.0,417.7870071428569,172.26070714285703,,,,,2.0,4.810461565241639,28.761678222836426
62,11398149,36,,left,saccade,16.0,,,,382.67900000000003,138.454,702.701,192.56900000000002,,,
63,11398149,36,,right,saccade,,16.0,,,403.686,161.875,730.3510000000001,199.468,,,
64,11398189,372,3.712720430107527,left,fixation,17.0,,722.850521276596,231.820925531915,,,,,5.0,3.3411261821483142,12.274882721026671
65,11398189,372,3.712720430107527,right,fixation,,17.0,739.575627659574,240.14063829787202,,,,,3.0,2.663627745314453,14.377020960780053
66,11398565,28,,left,saccade,17.0,,,,720.238,217.872,960.299,227.453,,,
67,11398565,28,,right,saccade,,17.0,,,724.382,248.61700000000002,964.298,248.018,,,
68,11398597,1192,3.637991610738255,left,fixation,18.0,,949.1069063545152,265.73578260869596,,,,,6.0,3.6293450944631616,14.69057262605508
69,11398597,1192,3.637991610738255,right,fixation,,18.0,948.632428093645,265.931832775919,,,,,8.0,2.679435929272413,13.2298842303967
70,11399793,36,,left,saccade,18.0,,,,960.135,260.555,681.059,230.202,,,
71,11399793,40,,right,saccade,,18.0,,,958.48,273.235,682.571,231.168,,,
72,11399833,668,3.630958333333333,left,fixation,19.0,,698.546964285714,222.687880952381,,,,,5.0,4.658304708238137,22.45124058090344
73,11399837,764,3.633854166666667,right,fixation,,19.0,705.4026875,241.97340625,,,,,6.0,5.790209304115215,26.769874145674734
74,11400505,4,,left,saccade,19.0,,,,720.512,221.547,720.6189999999997,210.639,,,
75,11400513,88,3.6563409090909103,left,fixation,20.0,,719.836173913043,206.62813043478297,,,,,2.0,3.1133553749941614,12.394062073285514
76,11400605,32,,left,saccade,20.0,,,,710.6619999999997,217.987,424.67900000000003,387.908,,,
77,11400605,32,,right,saccade,,19.0,,,718.0169999999997,238.997,420.99,380.02,,,
78,11400641,120,3.6585197568389054,left,fixation,21.0,,409.53503225806503,398.922935483871,,,,,1.0,1.9645248930862609,5.405249022940548
79,11400641,124,3.6585197568389054,right,fixation,,20.0,412.87459375,391.19599999999997,,,,,1.0,2.690008271362739,8.38468705438668
80,11400765,40,,left,saccade,21.0,,,,399.88199999999995,394.00800000000004,364.25800000000004,373.184,,,
81,11400769,40,,right,saccade,,20.0,,,401.949,389.62,385.216,390.18800000000016,,,
82,11400929,2339,3.6486427740330614,left,fixation,22.0,,389.046208191127,408.588720136518,,,,,11.0,2.459527680892457,8.561072167853741
83,11400929,2343,3.6486427740330614,right,fixation,,21.0,399.967371379898,419.439028960818,,,,,16.0,2.2102071509170784,9.266360846537824
84,11403272,40,,left,saccade,22.0,,,,387.972,409.916,375.00699999999995,404.376,,,
85,11403276,40,,right,saccade,,21.0,,,406.329,441.38199999999995,387.264,440.139,,,
86,11403416,4,,right,fixation,,22.0,386.039,423.72,,,,,0.0,,
87,11403424,0,,right,saccade,,22.0,,,386.039,423.72,386.039,423.72,,,
88,11403428,1172,3.6759259395725854,left,fixation,23.0,,399.11223129251687,411.736108843537,,,,,7.0,2.7964218537702767,11.892058298690374
89,11403428,1172,3.6759259395725854,right,fixation,,23.0,397.883142857143,424.684853741496,,,,,6.0,2.5078355915070083,10.04820688596307
90,11404604,24,,left,saccade,23.0,,,,396.98199999999997,416.027,493.026,502.336,,,
91,11404604,28,,right,saccade,,23.0,,,392.58099999999996,422.291,501.19800000000004,490.598,,,
92,11404632,240,3.7054416666666654,left,fixation,24.0,,503.137475409836,531.713540983607,,,,,3.0,3.979656935286192,18.34711008029797
93,11404636,236,3.7055423728813572,right,fixation,,24.0,499.678916666667,539.7859,,,,,3.0,4.783356932484801,19.121739394950165
94,11404876,25,,left,saccade,24.0,,,,488.976,555.312,718.541,550.9540000000002,,,
95,11404876,25,,right,saccade,,24.0,,,478.277,557.5369999999998,727.455,542.288,,,
96,11404905,2055,3.606997081712063,left,fixation,25.0,,724.818069902914,553.02246407767,,,,,7.0,3.2760365669798697,13.06410881069422
97,11404905,2055,3.606997081712063,right,fixation,,25.0,727.844512621358,517.260706796116,,,,,16.0,2.830025636711212,12.656357445596912
98,11406964,32,,left,saccade,25.0,,,,731.5360000000003,539.9119999999998,511.226,463.99199999999996,,,
99,11406964,40,,right,saccade,,25.0,,,730.783,496.656,489.668,438.348,,,
100,11407000,148,3.6260135135135134,left,fixation,26.0,,482.788578947368,451.324342105263,,,,,2.0,5.720090694267941,11.354211006245748
101,11407008,144,3.6261666666666654,right,fixation,,26.0,474.461243243243,427.415810810811,,,,,2.0,7.259940313036375,21.467316627359427
102,11407152,4,,left,saccade,26.0,,,,437.71,428.48,426.269,426.279,,,
103,11407156,0,,right,saccade,,26.0,,,431.665,414.10400000000004,431.665,414.10400000000004,,,
104,11407160,1020,3.626931102362205,left,fixation,27.0,,397.1309296875,408.28555078125,,,,,3.0,2.244354347663514,5.992876647003128
105,11407160,1020,3.626931102362205,right,fixation,,27.0,410.9940234375,395.21641015625,,,,,9.0,1.8675974861858928,6.839843603956195
106,11408184,36,,right,saccade,,27.0,,,408.981,394.976,714.8919999999997,493.461,,,
107,11408184,40,,left,saccade,27.0,,,,385.82199999999995,418.901,703.935,537.633,,,
108,11408224,696,3.6067857142857145,right,fixation,,28.0,721.343285714286,517.358348571428,,,,,5.0,3.8762769675986535,21.558681350021168
109,11408228,692,3.606856321839081,left,fixation,28.0,,719.717086206897,555.070706896552,,,,,3.0,4.128003321087931,21.19479096768604
110,11408924,28,,left,saccade,28.0,,,,726.572,552.035,497.01199999999994,563.2040000000002,,,
111,11408924,28,,right,saccade,,28.0,,,712.472,525.1569999999998,501.25300000000004,530.78,,,
112,11408956,824,3.6054083463808255,left,fixation,29.0,,473.514623188406,551.651024154589,,,,,3.0,2.8722582907528453,13.13390126732556
113,11408956,828,3.6054083463808255,right,fixation,,29.0,475.551475961539,541.519745192307,,,,,5.0,2.357831258824368,8.094354570479101
114,11409784,40,,left,saccade,29.0,,,,480.42800000000005,549.98,442.276,532.149,,,
115,11409788,40,,right,saccade,,29.0,,,479.35,535.099,459.16900000000004,552.465,,,
116,11409924,740,3.5266883116883125,right,fixation,,30.0,475.945698924731,524.299532258065,,,,,8.0,3.9869496572755017,14.121697691213381
117,11409940,720,3.5270065359477125,left,fixation,30.0,,477.106419889503,538.766569060773,,,,,3.0,3.114235685296175,21.953398707873735
118,11410664,28,,left,saccade,30.0,,,,487.157,526.344,365.719,429.89099999999996,,,
119,11410668,24,,right,saccade,,30.0,,,486.741,516.21,388.087,444.536,,,
120,11410696,544,3.5812299270073,left,fixation,31.0,,379.96154744525495,405.17839416058405,,,,,1.0,4.450764768865884,34.724455949661746
121,11410696,544,3.5812299270073,right,fixation,,31.0,398.80769343065697,409.668408759124,,,,,5.0,3.340511627268301,11.60339241496811
122,11411244,48,,left,saccade,31.0,,,,391.301,407.401,903.409,513.628,,,
123,11411244,48,,right,saccade,,31.0,,,416.454,409.051,931.4810000000001,475.88699999999994,,,
124,11411296,1768,3.5376949760765557,left,fixation,32.0,,939.041776523703,531.059751693002,,,,,13.0,2.7705707078596538,11.223789353889325
125,11411296,1776,3.5376949760765557,right,fixation,,32.0,958.604008988764,515.9775415730339,,,,,16.0,3.046721934423643,12.981941794772013
126,11413068,40,,left,saccade,32.0,,,,937.987,559.365,943.566,540.08,,,
127,11413076,40,,right,saccade,,32.0,,,957.034,537.566,962.975,478.534,,,
128,11413248,172,3.461863193089997,right,fixation,,33.0,968.47025,485.948181818182,,,,,2.0,3.4643200502046683,14.70678588577004
129,11413256,160,3.461055375552283,left,fixation,33.0,,946.114634146342,534.951780487805,,,,,2.0,2.433432260310485,5.568477646778673
130,11413420,48,,left,saccade,33.0,,,,951.672,542.269,477.207,474.645,,,
131,11413424,44,,right,saccade,,33.0,,,967.068,485.045,484.23699999999997,448.1,,,
132,11413472,128,3.50484375,left,fixation,34.0,,462.003363636364,453.996939393939,,,,,1.0,3.6669517654313295,5.493252952486359
133,11413472,488,3.465032786885246,right,fixation,,34.0,438.123894308943,423.95177235772314,,,,,10.0,2.677923703210481,13.55607855869084
134,11413604,12,,left,saccade,34.0,,,,453.371,446.222,419.83,421.37800000000004,,,
135,11413620,340,3.4491235294117635,left,fixation,35.0,,409.347476744186,412.298779069767,,,,,1.0,2.162015520552786,6.637737717023858
136,11413964,40,,left,saccade,35.0,,,,407.506,416.621,846.018,462.532,,,
137,11413964,40,,right,saccade,,34.0,,,431.543,422.964,874.3480000000003,449.264,,,
138,11414008,152,3.4201052631578954,left,fixation,36.0,,873.7163333333342,497.58169230769204,,,,,1.0,5.332831239386598,23.41140756127233
139,11414008,916,3.4697510917030567,right,fixation,,35.0,954.721643478261,504.60401739130486,,,,,6.0,4.648047867193998,22.67526340114665
140,11414164,20,,left,saccade,36.0,,,,876.1419999999997,509.66,957.554,519.0419999999998,,,
141,11414188,736,3.4820434782608687,left,fixation,37.0,,947.791729729729,539.097513513513,,,,,4.0,2.731388901108143,14.150570366787708
142,11414928,24,,left,saccade,37.0,,,,959.3989999999999,551.109,1160.774,551.52,,,
143,11414928,24,,right,saccade,,35.0,,,967.097,524.465,1186.443,523.052,,,
144,11414956,1160,3.5718258620689656,left,fixation,38.0,,1182.63147766323,543.038388316152,,,,,6.0,3.0123725696546004,15.689933686823606
145,11414956,1160,3.5718258620689656,right,fixation,,36.0,1204.62250171821,511.22141924398596,,,,,2.0,3.318942696641466,8.33355676700962
146,11416120,24,,left,saccade,38.0,,,,1190.247,547.332,1401.142,544.395,,,
147,11416120,24,,right,saccade,,36.0,,,1191.607,516.817,1394.993,517.44,,,
148,11416148,1687,3.5522410926365797,left,fixation,39.0,,1427.17974704492,556.745888888889,,,,,12.0,3.4040703212526733,16.74272507509215
149,11416148,1687,3.5522410926365797,right,fixation,,37.0,1429.78281087471,525.312929078014,,,,,13.0,2.457699127306212,9.875184218419587
150,11417839,60,,left,saccade,39.0,,,,1424.486,565.781,479.162,432.88199999999995,,,
151,11417839,60,,right,saccade,,37.0,,,1424.2279999999994,525.993,489.176,428.755,,,
152,11417903,2064,3.683999031007752,left,fixation,40.0,,406.496506769826,417.811427466151,,,,,5.0,4.090369529011223,17.680642000663003
153,11417903,2064,3.683999031007752,right,fixation,,38.0,411.722001934236,415.98399032882,,,,,4.0,4.099960481277553,19.8490368564506
154,11419971,60,,left,saccade,40.0,,,,389.767,427.524,1362.693,490.84,,,
155,11419971,64,,right,saccade,,38.0,,,400.579,414.76300000000003,1383.3339999999994,472.99699999999996,,,
156,11420035,836,3.733397129186603,left,fixation,41.0,,1419.33441904762,559.823785714285,,,,,6.0,4.032494479512061,17.193582147341953
157,11420039,832,3.732894230769231,right,fixation,,39.0,1421.53935885168,525.968043062201,,,,,2.0,5.717022919629907,30.56728673869434
158,11420875,24,,right,saccade,,39.0,,,1439.183,540.5369999999998,1243.624,522.196,,,
159,11420875,28,,left,saccade,41.0,,,,1435.4679999999994,569.682,1216.861,555.253,,,
160,11420903,2440,3.5030350727117194,right,fixation,,40.0,1202.87320621931,506.166572831425,,,,,12.0,2.737570296318838,13.490865291472556
161,11420907,2432,3.502796915167095,left,fixation,42.0,,1186.88787356322,540.693671592775,,,,,16.0,3.881603990972765,18.463193992510487
162,11423343,40,,left,saccade,42.0,,,,1186.114,527.252,944.33,516.443,,,
163,11423347,40,,right,saccade,,40.0,,,1212.035,509.249,986.2339999999999,481.966,,,
164,11423491,1820,3.3969157265495467,right,fixation,,41.0,966.397098684211,503.621813596491,,,,,10.0,3.028806230397767,11.433894936122055
165,11423503,1804,3.3969157265495467,left,fixation,43.0,,946.641765486727,514.428418141593,,,,,18.0,3.6542502097020906,14.879686711569212
166,11425311,40,,left,saccade,43.0,,,,933.045,535.687,695.455,497.397,,,
167,11425315,40,,right,saccade,,41.0,,,965.946,508.517,706.015,483.404,,,
168,11425471,444,3.3609313725490195,right,fixation,,42.0,714.935303571429,500.197946428571,,,,,5.0,3.539544257190721,14.019299559799736
169,11425483,428,3.3620019841269846,left,fixation,44.0,,697.312611111111,515.427259259259,,,,,3.0,4.762901983703746,21.548224461290157
170,11425915,28,,left,saccade,44.0,,,,715.2239999999997,532.773,896.638,515.654,,,
171,11425919,24,,right,saccade,,42.0,,,733.919,521.016,916.2760000000001,500.342,,,
172,11425947,900,3.300531938325991,left,fixation,45.0,,934.166084070797,481.619769911505,,,,,5.0,3.4434525260524,12.71418083221102
173,11425947,904,3.3010449561403505,right,fixation,,43.0,958.9936387665199,470.49772246696,,,,,4.0,3.3136434344225627,17.22486934376482
174,11426851,44,,left,saccade,45.0,,,,928.7739999999999,479.91,473.865,775.5930000000003,,,
175,11426855,36,,right,saccade,,43.0,,,958.057,484.60400000000004,476.26099999999997,761.947,,,
176,11426895,132,3.4971818181818177,right,fixation,,44.0,462.841852941176,780.2360000000001,,,,,2.0,2.505598697033476,5.577887200802041
177,11426899,128,3.498171875,left,fixation,46.0,,457.154939393939,788.0306363636363,,,,,1.0,2.4622146140325767,8.013803903265886
178,11427031,20,,left,saccade,46.0,,,,455.876,786.878,406.475,698.312,,,
179,11427031,20,,right,saccade,,44.0,,,452.499,777.676,414.653,712.6239999999997,,,
180,11427055,104,3.563,left,fixation,47.0,,385.380296296296,687.849296296296,,,,,1.0,2.8298382069965964,6.442608245113143
181,11427055,104,3.563,right,fixation,,45.0,398.369407407407,696.0783333333328,,,,,3.0,2.9614780093513384,7.2938597275864945
182,11427163,44,,left,saccade,47.0,,,,384.23699999999997,674.5830000000002,341.07599999999996,658.0039999999998,,,
183,11427163,44,,right,saccade,,45.0,,,400.514,704.437,366.74300000000005,700.06,,,
184,11427299,552,3.454972850678733,right,fixation,,46.0,400.89852517985605,682.112496402878,,,,,10.0,2.5745362655771715,7.1915424841446915
185,11427311,540,3.454972850678733,left,fixation,48.0,,375.013625,670.306433823529,,,,,2.0,3.12173291924362,12.835717778733112
186,11427855,24,,left,saccade,48.0,,,,395.722,682.365,440.04400000000004,811.199,,,
187,11427855,24,,right,saccade,,46.0,,,411.11400000000003,686.6260000000002,447.37300000000016,816.556,,,
188,11427883,968,3.5091095041322315,left,fixation,49.0,,465.300600823045,814.462127572016,,,,,5.0,3.5119628958660427,16.42732942263934
189,11427883,972,3.5095185185185183,right,fixation,,47.0,465.039057377049,817.379372950818,,,,,8.0,3.242331462476322,13.180420239292655
190,11428855,16,,left,saccade,49.0,,,,479.963,800.804,425.944,745.711,,,
191,11428859,16,,right,saccade,,47.0,,,465.92900000000003,796.414,435.724,745.798,,,
192,11428875,376,3.614898936170212,left,fixation,50.0,,404.068242105263,704.3145789473689,,,,,5.0,2.8499975097321317,9.226857498202179
193,11428879,376,3.61475,right,fixation,,48.0,410.06834736842086,709.161115789474,,,,,3.0,3.8652336549956665,19.302204047352493
194,11429255,24,,left,saccade,50.0,,,,385.75199999999995,687.3530000000003,463.12699999999995,789.295,,,
195,11429259,20,,right,saccade,,48.0,,,401.477,700.9780000000003,460.20300000000003,793.972,,,
196,11429283,380,3.616842105263157,left,fixation,51.0,,475.36925,789.210864583333,,,,,3.0,3.727998239749695,15.847297618605836
197,11429283,384,3.6168645833333333,right,fixation,,49.0,469.50407216494904,781.454701030928,,,,,2.0,5.832256437687184,22.01731281224411
198,11429667,24,,left,saccade,51.0,,,,473.593,764.315,397.60699999999997,734.453,,,
199,11429671,16,,right,saccade,,49.0,,,465.756,762.831,404.68199999999996,734.8939999999999,,,
200,11429691,144,3.6231497076023382,right,fixation,,50.0,400.6592432432431,717.8547297297299,,,,,3.0,2.1627023557791474,4.951351037579976
201,11429695,136,3.6236684210526313,left,fixation,52.0,,391.52511428571404,706.4975714285713,,,,,1.0,2.9079304305448663,7.548678891037795
202,11429835,40,,left,saccade,52.0,,,,379.884,706.095,362.416,677.258,,,
203,11429839,44,,right,saccade,,50.0,,,392.189,721.278,364.064,718.916,,,
204,11429983,8,,right,fixation,,51.0,365.825,715.1063333333328,,,,,0.0,,
205,11429995,4,,right,saccade,,51.0,,,368.662,683.203,370.001,677.44,,,
206,11429999,2272,3.58535955186525,left,fixation,53.0,,394.475971880492,677.373543057996,,,,,10.0,2.3902946048071354,14.390240866455104
207,11430003,2268,3.58535955186525,right,fixation,,52.0,397.662910211268,684.891973591549,,,,,20.0,2.0127969350128017,6.648330672833526
208,11432275,24,,left,saccade,53.0,,,,417.543,692.4910000000001,481.33099999999996,785.243,,,
209,11432275,24,,right,saccade,,52.0,,,399.80300000000005,704.81,491.38300000000004,759.615,,,
210,11432303,803,3.693605323296142,left,fixation,54.0,,485.510688118812,823.806415841584,,,,,6.0,5.052490471811139,13.982574622834711
211,11432303,807,3.693605323296142,right,fixation,,53.0,466.821305418719,810.134783251232,,,,,4.0,4.768599987055866,18.40824762992584
212,11433110,40,,left,saccade,54.0,,,,464.75300000000004,828.405,450.856,903.482,,,
213,11433114,40,,right,saccade,,53.0,,,450.219,823.171,435.319,806.758,,,
214,11433238,0,,left,fixation,55.0,,450.856,903.482,,,,,0.0,,
215,11433238,1292,3.709187231018281,right,fixation,,54.0,459.604182098765,807.9157654321001,,,,,11.0,2.680153690348096,13.181104989678097
216,11433242,16,,left,saccade,55.0,,,,450.856,903.482,442.17199999999997,833.27,,,
217,11433262,1264,3.7090430648547996,left,fixation,56.0,,463.742104100946,820.018110410094,,,,,5.0,2.6348029768523906,10.180810123852622
218,11434530,24,,left,saccade,56.0,,,,473.496,805.7230000000003,421.86400000000003,703.692,,,
219,11434534,20,,right,saccade,,54.0,,,466.414,806.677,430.577,710.7660000000003,,,
220,11434558,704,3.759690340909091,left,fixation,57.0,,397.446920903955,694.28893220339,,,,,6.0,2.2484116217779477,8.401581770776144
221,11434558,708,3.75961581920904,right,fixation,,55.0,393.588865168539,700.96561235955,,,,,6.0,2.4648062911075903,6.798768244833616
222,11435266,28,,left,saccade,57.0,,,,396.42,689.393,444.852,814.946,,,
223,11435270,24,,right,saccade,,55.0,,,396.486,700.7819999999997,446.61199999999997,822.528,,,
224,11435298,104,3.7394615384615375,left,fixation,58.0,,464.803666666667,825.033222222222,,,,,0.0,,
225,11435298,104,3.7394615384615375,right,fixation,,56.0,466.261407407407,827.3929259259261,,,,,1.0,2.62112156867585,7.467481503157579
226,11435406,24,,right,saccade,,56.0,,,472.72,827.422,725.363,817.615,,,
227,11435406,28,,left,saccade,58.0,,,,471.61199999999997,828.5369999999997,691.72,818.49,,,
228,11435434,500,3.795875,right,fixation,,57.0,724.283428571429,817.967809523809,,,,,11.0,1.884952260724048,5.83275625686234
229,11435438,492,3.796161616161617,left,fixation,59.0,,706.3050725806461,820.596129032258,,,,,3.0,2.559244520038269,7.219194142040576
230,11435934,40,,left,saccade,59.0,,,,697.8330000000003,830.919,694.095,834.1030000000003,,,
231,11435938,40,,right,saccade,,57.0,,,706.403,816.461,693.2260000000001,784.409,,,
232,11436078,176,3.630869299516908,left,fixation,60.0,,701.216755555556,814.768488888889,,,,,2.0,5.6856076562435325,21.19492954819481
233,11436090,164,3.6308692995169087,right,fixation,,58.0,708.8513571428571,789.066452380952,,,,,3.0,3.4676667651249704,14.992801598172967
234,11436258,32,,left,saccade,60.0,,,,710.09,815.5830000000003,451.015,747.202,,,
235,11436258,32,,right,saccade,,58.0,,,712.9119999999997,794.541,452.115,739.9760000000001,,,
236,11436294,689,3.611323699421965,left,fixation,61.0,,397.115300578035,697.048670520231,,,,,4.0,3.9711336273893214,23.825009350923327
237,11436294,693,3.6114281609195413,right,fixation,,59.0,400.90007471264397,706.741166666667,,,,,6.0,3.5422711428972864,19.431652048702684
