,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3053830,244,3.8559596774193534,left,fixation,1.0,,1451.09640322581,811.997516129032,,,,,0.0,,
1,3053830,248,3.855730158730159,right,fixation,,1.0,1457.70236507936,796.99053968254,,,,,5.0,3.7934287782935088,12.60083357315155
2,3054078,88,,left,saccade,1.0,,,,1449.4370000000001,812.6489999999999,556.4019999999998,225.426,,,
3,3054082,76,,right,saccade,,1.0,,,1462.241,800.1089999999997,561.582,252.505,,,
4,3054162,160,3.821375,right,fixation,,2.0,528.9992195121949,223.691829268293,,,,,0.0,,
5,3054170,156,3.8195000000000014,left,fixation,2.0,,551.268575,207.5693,,,,,0.0,,
6,3054326,16,,right,saccade,,2.0,,,517.256,226.99599999999998,466.218,247.50400000000002,,,
7,3054330,12,,left,saccade,2.0,,,,534.547,213.28799999999998,503.81699999999995,254.426,,,
8,3054346,244,3.745844262295082,left,fixation,3.0,,489.669016129032,264.435096774194,,,,,0.0,,
9,3054346,252,3.7451825396825393,right,fixation,,3.0,454.029359375,269.384203125,,,,,0.0,,
10,3054594,32,,left,saccade,3.0,,,,486.265,276.018,423.165,141.12,,,
11,3054602,24,,right,saccade,,3.0,,,455.352,265.405,410.824,186.21900000000002,,,
12,3054630,340,3.697937931034483,left,fixation,4.0,,410.84486046511705,135.495627906977,,,,,1.0,4.10080744420466,9.724444714224036
13,3054630,352,3.6958445945945937,right,fixation,,4.0,403.717134831461,169.564516853933,,,,,1.0,6.732718051508697,21.03987309847663
14,3054974,20,,left,saccade,4.0,,,,402.972,120.198,331.6330000000001,118.70700000000001,,,
15,3054986,48,,right,saccade,,4.0,,,391.765,162.501,325.974,163.749,,,
16,3054998,0,,left,fixation,5.0,,331.05199999999996,118.652,,,,,0.0,,
17,3055002,12,,left,saccade,5.0,,,,330.291,118.70700000000001,306.845,156.958,,,
18,3055018,120,3.416199999999999,left,fixation,6.0,,327.538774193548,128.20377419354799,,,,,2.0,7.854358554191692,28.276770545209942
19,3055038,8,,right,fixation,,5.0,328.573666666667,161.611,,,,,0.0,,
20,3055050,8,,right,saccade,,5.0,,,329.708,142.88299999999995,337.64599999999996,119.37799999999999,,,
21,3055062,80,,right,fixation,,6.0,367.7459047619049,138.475904761905,,,,,1.0,5.771557814932745,19.80321885451959
22,3055142,40,,left,saccade,6.0,,,,358.759,113.265,376.73199999999997,132.69,,,
23,3055146,40,,right,saccade,,6.0,,,363.173,160.10299999999995,367.355,171.137,,,
24,3055326,28,,left,fixation,7.0,,397.030125,142.415875,,,,,1.0,6.387010866246859,15.682015208511961
25,3055334,20,,right,fixation,,7.0,382.5271666666671,179.1135,,,,,0.0,,
26,3055358,20,,left,saccade,7.0,,,,415.43800000000016,154.711,443.99,235.63299999999998,,,
